"permutation_id","program_name","percent_specified","mean"
10,"list",0.9,0.001340014
10,"list",0.9,0.375919639
10,"list",0.9,0.005907557
10,"list",0.9,0.154154059
12,"list",1.8,0.001368648
12,"list",1.8,0.375169218
12,"list",1.8,0.0059383
12,"list",1.8,0.155509682
13,"list",2.8,0.001399419
13,"list",2.8,0.374132702
13,"list",2.8,0.00616564
13,"list",2.8,0.152808575
15,"list",3.7,0.001385949
15,"list",3.7,0.374516079
15,"list",3.7,0.006180741
15,"list",3.7,0.152527587
17,"list",4.6,0.001374986
17,"list",4.6,0.37489112
17,"list",4.6,0.00611697
17,"list",4.6,0.155666019
19,"list",5.5,0.001403477
19,"list",5.5,0.378643614
19,"list",5.5,0.006189017
19,"list",5.5,0.155634382
21,"list",6.4,0.00133954
21,"list",6.4,0.385761247
21,"list",6.4,0.006290496
21,"list",6.4,0.156954663
23,"list",7.3,0.00142623
23,"list",7.3,0.389979768
23,"list",7.3,0.006919093
23,"list",7.3,0.163460189
24,"list",8.3,0.0015005
24,"list",8.3,0.380678046
24,"list",8.3,0.006475094
24,"list",8.3,0.15896516
26,"list",9.2,0.001503534
26,"list",9.2,0.365839982
26,"list",9.2,0.00659513
26,"list",9.2,0.16066094
28,"list",10.1,0.001447252
28,"list",10.1,0.363270972
28,"list",10.1,0.006656906
28,"list",10.1,0.159717275
30,"list",11,0.001497579
30,"list",11,0.376062304
30,"list",11,0.006631419
30,"list",11,0.162545527
32,"list",11.9,0.001657324
32,"list",11.9,0.387140935
32,"list",11.9,0.007390476
32,"list",11.9,0.164080296
34,"list",12.8,0.001549413
34,"list",12.8,0.381911366
34,"list",12.8,0.00701151
34,"list",12.8,0.167956348
36,"list",13.8,0.001572842
36,"list",13.8,0.393375174
36,"list",13.8,0.008250252
36,"list",13.8,0.173392826
38,"list",14.7,0.001695811
38,"list",14.7,0.406098754
38,"list",14.7,0.008906698
38,"list",14.7,0.174895329
40,"list",15.6,0.001560829
40,"list",15.6,0.405202418
40,"list",15.6,0.01099437
40,"list",15.6,0.19218561
43,"list",16.5,0.001591655
43,"list",16.5,0.400714211
43,"list",16.5,0.011139094
43,"list",16.5,0.191798234
45,"list",17.4,0.001576448
45,"list",17.4,0.406809518
45,"list",17.4,0.011095688
45,"list",17.4,0.189099901
47,"list",18.3,0.001507093
47,"list",18.3,0.419480901
47,"list",18.3,0.011179838
47,"list",18.3,0.192711579
48,"list",19.3,0.001609454
48,"list",19.3,0.424289126
48,"list",19.3,0.013147314
48,"list",19.3,0.197532025
51,"list",20.2,0.001836452
51,"list",20.2,0.414271313
51,"list",20.2,0.010248372
51,"list",20.2,0.162582597
53,"list",21.1,0.001612905
53,"list",21.1,0.401225158
53,"list",21.1,0.009574657
53,"list",21.1,0.162184957
55,"list",22,0.00181577
55,"list",22,0.420479793
55,"list",22,0.010552641
55,"list",22,0.168810797
57,"list",22.9,0.001577862
57,"list",22.9,0.434256337
57,"list",22.9,0.010185556
57,"list",22.9,0.173900973
60,"list",23.9,0.001856325
60,"list",23.9,0.42194242
60,"list",23.9,0.010454499
60,"list",23.9,0.173679973
62,"list",24.8,0.001617215
62,"list",24.8,0.468689841
62,"list",24.8,0.010744349
62,"list",24.8,0.169281003
65,"list",25.7,0.00164348
65,"list",25.7,0.445800915
65,"list",25.7,0.010094187
65,"list",25.7,0.16814187
68,"list",26.6,0.001619577
68,"list",26.6,0.458173934
68,"list",26.6,0.010672021
68,"list",26.6,0.167413473
70,"list",27.5,0.001723651
70,"list",27.5,0.443924322
70,"list",27.5,0.011494615
70,"list",27.5,0.17884043
73,"list",28.4,0.001710837
73,"list",28.4,0.445683093
73,"list",28.4,0.011976548
73,"list",28.4,0.185913525
76,"list",29.4,0.001708029
76,"list",29.4,0.448751949
76,"list",29.4,0.011954766
76,"list",29.4,0.186695162
79,"list",30.3,0.001751025
79,"list",30.3,0.456714135
79,"list",30.3,0.012849093
79,"list",30.3,0.189755156
83,"list",31.2,0.001756532
83,"list",31.2,0.450471268
83,"list",31.2,0.013090733
83,"list",31.2,0.187335754
86,"list",32.1,0.001954382
86,"list",32.1,0.484759781
86,"list",32.1,0.01436208
86,"list",32.1,0.195040217
89,"list",33,0.001949014
89,"list",33,0.572798098
89,"list",33,0.014753772
89,"list",33,0.198459656
92,"list",33.9,0.001842585
92,"list",33.9,0.61277318
92,"list",33.9,0.017951574
92,"list",33.9,0.231933009
95,"list",34.9,0.001800604
95,"list",34.9,0.607285255
95,"list",34.9,0.018447079
95,"list",34.9,0.234176954
99,"list",35.8,0.00175895
99,"list",35.8,0.618171565
99,"list",35.8,0.019256643
99,"list",35.8,0.233717335
102,"list",36.7,0.001792638
102,"list",36.7,0.61153931
102,"list",36.7,0.019214803
102,"list",36.7,0.233074254
105,"list",37.6,0.001819249
105,"list",37.6,0.717667488
105,"list",37.6,0.022098563
105,"list",37.6,0.251526441
108,"list",38.5,0.001792031
108,"list",38.5,0.735319791
108,"list",38.5,0.023115861
108,"list",38.5,0.252188812
111,"list",39.4,0.001769661
111,"list",39.4,0.724345634
111,"list",39.4,0.025111302
111,"list",39.4,0.255803282
114,"list",40.4,0.001798345
114,"list",40.4,0.725168703
114,"list",40.4,0.02356816
114,"list",40.4,0.253854847
116,"list",41.3,0.001811068
116,"list",41.3,0.731374869
116,"list",41.3,0.023438381
116,"list",41.3,0.253508287
120,"list",42.2,0.001784848
120,"list",42.2,0.735569178
120,"list",42.2,0.025294658
120,"list",42.2,0.279571484
123,"list",43.1,0.002127888
123,"list",43.1,0.722364832
123,"list",43.1,0.02556798
123,"list",43.1,0.280020878
126,"list",44,0.002070682
126,"list",44,0.882939158
126,"list",44,0.035627215
126,"list",44,0.363771871
131,"list",45,0.002098181
131,"list",45,0.99054384
131,"list",45,0.028536825
131,"list",45,0.288015471
132,"list",45.9,0.001823588
132,"list",45.9,0.990904457
132,"list",45.9,0.028557607
132,"list",45.9,0.292637223
137,"list",46.8,0.001846544
137,"list",46.8,1.080110776
137,"list",46.8,0.023066509
137,"list",46.8,0.267570991
141,"list",47.7,0.001890724
141,"list",47.7,1.100374245
141,"list",47.7,0.023976699
141,"list",47.7,0.267718497
142,"composite",0.6,0.002894361
142,"composite",0.6,0.229069821
142,"composite",0.6,0.001762643
142,"composite",0.6,0.102882376
145,"list",48.6,0.002133486
145,"list",48.6,1.132845992
145,"list",48.6,0.026185096
145,"list",48.6,0.27388182
146,"composite",1.2,0.002913195
146,"composite",1.2,0.230420394
146,"composite",1.2,0.001739435
146,"composite",1.2,0.103839355
149,"composite",1.9,0.002834105
149,"composite",1.9,0.236959948
149,"composite",1.9,0.001783608
149,"composite",1.9,0.104325272
150,"list",49.5,0.001898639
150,"list",49.5,1.245943537
150,"list",49.5,0.029599467
150,"list",49.5,0.334374286
153,"composite",2.5,0.002937663
153,"composite",2.5,0.232099048
153,"composite",2.5,0.001863954
153,"composite",2.5,0.105206151
155,"list",50.5,0.001803554
155,"list",50.5,1.246083443
155,"list",50.5,0.031225158
155,"list",50.5,0.3368705
157,"composite",3.1,0.003077106
157,"composite",3.1,0.244264949
157,"composite",3.1,0.001915306
157,"composite",3.1,0.104779976
158,"list",51.4,0.001933807
158,"list",51.4,1.24485407
158,"list",51.4,0.029643463
158,"list",51.4,0.334761764
161,"composite",3.7,0.003303954
161,"composite",3.7,0.248402217
161,"composite",3.7,0.001856449
161,"composite",3.7,0.10459524
162,"list",52.3,0.001883901
162,"list",52.3,1.507312073
162,"list",52.3,0.030743055
162,"list",52.3,0.341667927
165,"composite",4.3,0.002960277
165,"composite",4.3,0.242380026
165,"composite",4.3,0.001857842
165,"composite",4.3,0.104308842
167,"list",53.2,0.002152092
167,"list",53.2,1.553157626
167,"list",53.2,0.037301427
167,"list",53.2,0.356259989
169,"composite",5,0.003066275
169,"composite",5,0.239900564
169,"composite",5,0.001899485
169,"composite",5,0.105487475
171,"list",54.1,0.001942275
171,"list",54.1,1.518031979
171,"list",54.1,0.03485854
171,"list",54.1,0.349090207
172,"composite",5.6,0.002993945
172,"composite",5.6,0.244465874
172,"composite",5.6,0.001957906
172,"composite",5.6,0.109140456
175,"list",55,0.001966706
175,"list",55,1.51571716
175,"list",55,0.039547204
175,"list",55,0.34713568
176,"composite",6.2,0.002928412
176,"composite",6.2,0.246297674
176,"composite",6.2,0.002044527
176,"composite",6.2,0.109115308
178,"list",56,0.002010064
178,"list",56,1.610050547
178,"list",56,0.031717967
178,"list",56,0.309602593
180,"composite",6.8,0.003164047
180,"composite",6.8,0.250655696
180,"composite",6.8,0.001976159
180,"composite",6.8,0.110422865
183,"list",56.9,0.001936858
183,"list",56.9,1.615554876
183,"list",56.9,0.034617641
183,"list",56.9,0.312591923
185,"composite",7.5,0.002991657
185,"composite",7.5,0.257035841
185,"composite",7.5,0.001984083
185,"composite",7.5,0.111019466
186,"list",57.8,0.00225453
186,"list",57.8,1.652218063
186,"list",57.8,0.036739103
186,"list",57.8,0.315216572
189,"composite",8.1,0.003008791
189,"composite",8.1,0.246416011
189,"composite",8.1,0.002014909
189,"composite",8.1,0.111654611
190,"list",58.7,0.00199548
190,"list",58.7,1.627545827
190,"list",58.7,0.034567897
190,"list",58.7,0.314544533
193,"composite",8.7,0.003009159
193,"composite",8.7,0.244203736
193,"composite",8.7,0.002007942
