"permutation_id","program_name","percent_specified","mean","diff","spec_type","expr_type","classification"
10146,"avlja",70.7,0.26288173,-99.83136751,"pred","bool","min"
10150,"avlja",71.2,0.277544504,-103.248164826,"assert","bool","min"
10154,"avlja",71.7,0.27753143,-100.494371918,"pre","pred","min"
10158,"avlja",72.3,0.280531704,-100.703941416,"assert","bool","min"
10162,"avlja",72.8,0.276481891,-102.3079375,"pre","rem_imp","min"
10166,"avlja",73.3,0.285995681,-106.466725467,"assert","pred","min"
5728,"avlja",75.4,0.230334463,-101.151672297,"post","rem_imp","min"
5733,"avlja",75.9,0.23219702,-100.799784078,"inv","rem_imp","min"
5751,"avlja",77.5,0.271887758,-108.575933747,"unfold","pred","min"
5758,"avlja",78,0.251741522,-112.629555742,"assert","bool","min"
5766,"avlja",78.5,0.254935321,-108.013160582,"post","pred","min"
5769,"avlja",79.1,0.28807866,-122.790096789,"fold","pred","min"
5775,"avlja",79.6,0.289303,-122.456965622,"post","rem_imp","min"
5783,"avlja",80.1,0.308437474,-123.289879909,"assert","bool","min"
13853,"avlja",80.1,0.184655311,-101.159636667,"pred","acc","min"
5789,"avlja",80.6,0.282036826,-120.016214734,"post","rem_imp","min"
13855,"avlja",80.6,0.186128737,-99.549989595,"assert","acc","min"
5795,"avlja",81.2,0.281817966,-120.685612784,"assert","acc","min"
12998,"avlja",81.2,0.148408468,-98.73215921,"assert","bool","min"
13857,"avlja",81.2,0.189299525,-109.103420237,"pred","acc","min"
5801,"avlja",81.7,0.304217043,-120.444754867,"post","bool","min"
13001,"avlja",81.7,0.148655296,-100.052162369,"unfold","pred","min"
13859,"avlja",81.7,0.19089824,-107.297316861,"pred","bool","min"
5809,"avlja",82.2,0.284813199,-122.305987089,"fold","pred","min"
13861,"avlja",82.2,0.190680153,-109.328772967,"assert","pred","min"
5814,"avlja",82.7,0.288596445,-122.905993105,"pre","pred","min"
13007,"avlja",82.7,0.149061581,-99.414375876,"fold","pred","min"
13863,"avlja",82.7,0.190923737,-118.368908691,"pred","acc","min"
5818,"avlja",83.2,0.284838506,-120.915453137,"assert","bool","min"
13865,"avlja",83.2,0.152451559,-110.284749199,"pred","rem_imp","min"
5823,"avlja",83.8,0.288976383,-122.918357077,"post","rem_imp","min"
13013,"avlja",83.8,0.150380686,-101.140717185,"pred","acc","min"
13867,"avlja",83.8,0.150515869,-111.474388967,"post","pred","min"
5829,"avlja",84.3,0.294481823,-127.114893746,"pre","rem_imp","min"
13016,"avlja",84.3,0.15213682,-103.285326794,"post","rem_imp","min"
13869,"avlja",84.3,0.156896183,-111.26381021,"post","bool","min"
5835,"avlja",84.8,0.291938436,-133.668577809,"pred","bool","min"
13019,"avlja",84.8,0.146065429,-103.506072787,"pred","bool","min"
13871,"avlja",84.8,0.159630345,-111.108185416,"fold","pred","min"
5838,"avlja",85.3,0.306095804,-130.648460776,"assert","pred","min"
13022,"avlja",85.3,0.14976682,-102.838043496,"post","rem_imp","min"
13873,"avlja",85.3,0.171317144,-110.833010314,"fold","pred","min"
5846,"avlja",85.9,0.306667686,-134.047236593,"pred","acc","min"
13875,"avlja",85.9,0.160181187,-111.155043968,"pre","rem_imp","min"
5851,"avlja",86.4,0.32250372,-134.476021808,"unfold","pred","min"
13877,"avlja",86.4,0.161928415,-125.115903428,"pred","pred","min"
5855,"avlja",86.9,0.304192569,-140.498062592,"assert","acc","min"
13879,"avlja",86.9,0.164327252,-121.65311074,"assert","acc","min"
5864,"avlja",87.4,0.302527857,-145.12921279,"assert","acc","min"
13881,"avlja",87.4,0.163464191,-126.306873179,"fold","pred","min"
5869,"avlja",88,0.303429745,-144.713348083,"pred","pred","min"
13883,"avlja",88,0.162347077,-124.314271962,"post","rem_imp","min"
2406,"avlja",88.5,0.153785221,-110.521032667,"unfold","pred","min"
5876,"avlja",88.5,0.14922352,-124.21598242,"pre","rem_imp","min"
11045,"avlja",88.5,0.109038707,-98.599087011,"pred","pred","min"
13885,"avlja",88.5,0.163913561,-126.081797309,"inv","bool","min"
2412,"avlja",89,0.144398985,-111.500388315,"pred","bool","min"
5883,"avlja",89,0.151044447,-135.553216863,"pre","pred","min"
11049,"avlja",89,0.107860448,-102.743956396,"pred","acc","min"
13887,"avlja",89,0.164971079,-125.375136088,"assert","pred","min"
2416,"avlja",89.5,0.14307312,-119.816683723,"pred","acc","min"
11053,"avlja",89.5,0.109091772,-103.97739329,"post","rem_imp","min"
13507,"avlja",89.5,0.150989088,-102.654798085,"fold","pred","min"
13889,"avlja",89.5,0.165381344,-134.094113968,"pred","acc","min"
2422,"avlja",90.1,0.144226224,-117.922947295,"assert","bool","min"
11057,"avlja",90.1,0.10870496,-104.92767772,"pre","rem_imp","min"
13509,"avlja",90.1,0.147114029,-111.679613195,"pred","acc","min"
13891,"avlja",90.1,0.165703716,-135.87691506,"assert","pred","min"
2428,"avlja",90.6,0.144232389,-117.80524588,"fold","pred","min"
5900,"avlja",90.6,0.092676832,-99.90710501,"pre","rem_imp","min"
11061,"avlja",90.6,0.109281721,-105.59018268,"post","bool","min"
13511,"avlja",90.6,0.16385469,-112.946877372,"unfold","pred","min"
13893,"avlja",90.6,0.16808633,-136.981525461,"fold","pred","min"
2434,"avlja",91.1,0.144591465,-116.591966315,"pre","rem_imp","min"
11065,"avlja",91.1,0.10848781,-105.011709838,"pre","rem_imp","min"
13513,"avlja",91.1,0.150619342,-112.327945456,"post","rem_imp","min"
13895,"avlja",91.1,0.167189409,-136.207078367,"pre","rem_imp","min"
2438,"avlja",91.6,0.146489781,-118.171691271,"pred","bool","min"
13515,"avlja",91.6,0.152653695,-111.909764497,"pre","bool","min"
13897,"avlja",91.6,0.169239177,-136.704760589,"post","rem_imp","min"
2443,"avlja",92.1,0.141079441,-117.68802041,"post","rem_imp","min"
13517,"avlja",92.1,0.161880295,-110.481180451,"post","rem_imp","min"
13899,"avlja",92.1,0.165299649,-137.16718671,"pred","bool","min"
2450,"avlja",92.7,0.142099114,-116.513058959,"fold","pred","min"
13519,"avlja",92.7,0.152102587,-114.864000808,"assert","bool","min"
