"program_name","permutation_id","path_id","level_id","conj_type","VCs","percent_specified"
"bst",402,65,1,"Eliminated",208,0.5
"bst",408,65,2,"Eliminated",210,0.9
"bst",413,65,3,"Eliminated",210,1.4
"bst",419,65,4,"Eliminated",210,1.8
"bst",425,65,5,"Eliminated",212,2.3
"bst",430,65,6,"Eliminated",214,2.8
"bst",438,65,7,"Eliminated",214,3.2
"bst",443,65,8,"Eliminated",214,3.7
"bst",453,65,9,"Eliminated",220,4.1
"bst",459,65,10,"Eliminated",222,4.6
"bst",465,65,11,"Eliminated",221,5.1
"bst",471,65,12,"Eliminated",221,5.5
"bst",478,65,13,"Eliminated",223,6
"bst",483,65,14,"Eliminated",224,6.5
"bst",488,65,15,"Eliminated",227,6.9
"bst",494,65,16,"Eliminated",226,7.4
"bst",496,65,17,"Eliminated",231,7.8
"bst",505,65,18,"Eliminated",231,8.3
"bst",511,65,19,"Eliminated",237,8.8
"bst",518,65,20,"Eliminated",237,9.2
"bst",523,65,21,"Eliminated",237,9.7
"bst",531,65,22,"Eliminated",240,10.1
"bst",538,65,23,"Eliminated",240,10.6
"bst",543,65,24,"Eliminated",242,11.1
"bst",549,65,25,"Eliminated",242,11.5
"bst",553,65,26,"Eliminated",245,12
"bst",559,65,27,"Eliminated",247,12.4
"bst",565,65,28,"Eliminated",247,12.9
"bst",571,65,29,"Eliminated",248,13.4
"bst",577,65,30,"Eliminated",253,13.8
"bst",580,65,31,"Eliminated",271,14.3
"bst",586,65,32,"Eliminated",279,14.7
"bst",594,65,33,"Eliminated",279,15.2
"bst",599,65,34,"Eliminated",279,15.7
"bst",606,65,35,"Eliminated",289,16.1
"bst",613,65,36,"Eliminated",297,16.6
"bst",621,65,37,"Eliminated",309,17.1
"bst",626,65,38,"Eliminated",309,17.5
"bst",630,65,39,"Eliminated",309,18
"bst",636,65,40,"Eliminated",311,18.4
"bst",642,65,41,"Eliminated",318,18.9
"bst",648,65,42,"Eliminated",318,19.4
"bst",654,65,43,"Eliminated",325,19.8
"bst",659,65,44,"Eliminated",331,20.3
"bst",663,65,45,"Eliminated",376,20.7
