"prefix","stress","pdiff_grad_mean","pdiff_grad_sd","pdiff_grad_max","pdiff_grad_min","steps_impr_mean","steps_impr_sd","steps_impr_max","steps_impr_min","percent_paths_complete"
"avlja","8","-20.6","17","62.2","-79.2","92.2","9.6","99.5","69.6","0"
"avlja","16","-47.4","24.7","14.1","-97.2","96.8","2.8","100","90.1","6.25"
"avlja","32","-65.6","29.6","14.7","-99.7","97.6","2.2","100","93.2","18.75"
"bst","8","-57.1","25.4","15.9","-96.3","98.8","1","100","96.3","18.75"
"bst","16","-72.5","23.7","15.9","-99.4","98.9","1.2","100","96.3","18.75"
"bst","32","-84.8","21.5","9.2","-100","98.8","1.3","100","96.3","31.25"
"composite","4","-59.5","26.9","15.3","-98.8","98.5","1.5","100","95","25"
"composite","8","-81.9","21.5","5.7","-100","98.5","2.4","100","91.3","31.25"
"composite","16","-90.8","19.4","6.1","-100","98.4","2.5","100","91.3","37.5"
"list","8","-20","15.8","59.6","-79.1","92.5","14.2","99.1","42.2","0"
"list","16","-47.4","28.4","18","-98.6","94.5","11.1","100","56","18.75"
"list","32","-62.6","37.1","11.9","-100","95.5","8.9","100","65.1","31.25"
