"program_id","permutation_id","path_id","level_id","gradual_median","stress","dynamic_median","framing_median","diff","pdiff","example","classification","completion_percentage","context_name","spec_type","expr_type"
5,391,81,107,5.324038,32,43.006206,30.467625,-20.516035,-79.4,"list","min",98.2,"sortedSegHelper","pred","rem_imp"
5,1040,82,108,5.374808,32,43.27672,30.7655785,-23.431745,-81.3,"list","min",99.1,"appendLemmaLoopBody","post","rem_imp"
5,2988,85,108,5.3650695,32,42.9486655,31.0832035,-23.525764,-81.4,"list","min",99.1,"appendLemmaLoopBody","post","rem_imp"
5,4937,88,108,8.459249,32,42.883056,29.647288,-23.84372,-73.8,"list","min",99.1,"appendLemmaLoopBody","post","rem_imp"
5,5583,89,108,5.18378,32,42.979682,30.226754,-23.6876945,-82,"list","min",99.1,"appendLemmaLoopBody","post","rem_imp"
5,6920,91,108,4.687715,32,42.4810675,30.0435195,-21.4835995,-82.1,"list","min",99.1,"sortedSegHelper","pred","rem_imp"
5,8880,94,108,4.900558,32,42.84425,30.166168,-20.9221935,-81,"list","min",99.1,"sortedSegHelper","pred","rem_imp"
5,1697,83,109,1.9738335,32,42.736678,30.2783745,-26.6389985,-93.1,"list","min",100,"appendLemmaLoopBody","post","rem_imp"
5,3250,86,43,25.092972,32,25.135602,2.3090795,11.696266,87.3,"list","max",43.4,"sortedSegHelper","pred","pred"
5,132,81,50,19.8821335,32,17.780008,2.311145,10.2611685,106.7,"list","max",50.5,"appendLemmaLoopBody","unfold","pred"
5,1441,83,66,30.2551555,32,29.615377,2.35255,10.482201,53,"list","max",66.7,"appendLemmaLoopBody","pre","pred"
5,7979,93,67,27.845763,32,29.392651,2.3734895,13.231953,90.5,"list","max",67.7,"sortedSegHelper","pred","pred"
5,9958,96,80,26.088022,32,38.8288835,2.336898,10.721965,69.8,"list","max",80.8,"sortedSegHelper","pred","pred"
5,5432,89,82,37.9063925,32,39.5907175,2.374573,22.4024425,144.5,"list","max",82.8,"sortedSegHelper","pred","pred"
5,6777,91,84,26.7229405,32,39.6203085,2.3412375,10.7238365,67,"list","max",84.8,"sortedSegHelper","pred","pred"
5,2872,85,89,32.7913695,32,32.4910735,2.3468405,12.879467,64.7,"list","max",89.9,"appendLemmaLoopBody","pre","pred"
5,8799,94,94,26.029313,32,40.3152075,2.3120265,9.95491,61.9,"list","max",94.9,"sortedSegHelper","pred","pred"
5,4885,88,99,25.949319,32,41.1371955,2.3037385,9.6718195,59.4,"list","max",100,"sortedSegHelper","pred","pred"
