"program_name","permutation_id","path_id","level_id","conj_type","VCs","percent_specified"
"bst",349,65,1,"Eliminated",193,0.5
"bst",354,65,2,"Eliminated",193,1
"bst",359,65,3,"Eliminated",193,1.4
"bst",365,65,4,"Eliminated",193,1.9
"bst",370,65,5,"Eliminated",195,2.4
"bst",375,65,6,"Eliminated",201,2.9
"bst",381,65,7,"Eliminated",198,3.3
"bst",387,65,8,"Eliminated",199,3.8
"bst",393,65,9,"Eliminated",199,4.3
"bst",399,65,10,"Eliminated",200,4.8
"bst",405,65,11,"Eliminated",198,5.3
"bst",411,65,12,"Eliminated",200,5.7
"bst",416,65,13,"Eliminated",202,6.2
"bst",422,65,14,"Eliminated",202,6.7
"bst",428,65,15,"Eliminated",204,7.2
"bst",434,65,16,"Eliminated",205,7.7
"bst",438,65,17,"Eliminated",207,8.1
"bst",444,65,18,"Eliminated",207,8.6
"bst",450,65,19,"Eliminated",207,9.1
"bst",456,65,20,"Eliminated",209,9.6
"bst",462,65,21,"Eliminated",211,10
"bst",468,65,22,"Eliminated",212,10.5
"bst",473,65,23,"Eliminated",212,11
"bst",479,65,24,"Eliminated",212,11.5
"bst",485,65,25,"Eliminated",212,12
"bst",491,65,26,"Eliminated",212,12.4
"bst",496,65,27,"Eliminated",214,12.9
"bst",504,65,28,"Eliminated",216,13.4
"bst",510,65,29,"Eliminated",220,13.9
"bst",517,65,30,"Eliminated",234,14.4
"bst",520,65,31,"Eliminated",234,14.8
"bst",526,65,32,"Eliminated",234,15.3
"bst",532,65,33,"Eliminated",242,15.8
"bst",538,65,34,"Eliminated",242,16.3
"bst",544,65,35,"Eliminated",250,16.7
"bst",550,65,36,"Eliminated",252,17.2
"bst",556,65,37,"Eliminated",258,17.7
"bst",562,65,38,"Eliminated",257,18.2
"bst",564,65,39,"Eliminated",260,18.7
"bst",571,65,40,"Eliminated",262,19.1
"bst",578,65,41,"Eliminated",268,19.6
"bst",583,65,42,"Eliminated",268,20.1
"bst",589,65,43,"Eliminated",268,20.6
"bst",595,65,44,"Eliminated",268,21.1
"bst",601,65,45,"Eliminated",268,21.5
"bst",607,65,46,"Eliminated",268,22
"bst",613,65,47,"Eliminated",268,22.5
"bst",620,65,48,"Eliminated",286,23
"bst",625,65,49,"Eliminated",297,23.4
"bst",630,65,50,"Eliminated",297,23.9
"bst",636,65,51,"Eliminated",299,24.4
"bst",644,65,52,"Eliminated",299,24.9
"bst",648,65,53,"Eliminated",298,25.4
"bst",654,65,54,"Eliminated",302,25.8
"bst",660,65,55,"Eliminated",302,26.3
"bst",667,65,56,"Eliminated",314,26.8
"bst",674,65,57,"Eliminated",319,27.3
"bst",680,65,58,"Eliminated",334,27.8
"bst",686,65,59,"Eliminated",335,28.2
"bst",692,65,60,"Eliminated",341,28.7
"bst",698,65,61,"Eliminated",342,29.2
"bst",705,65,62,"Eliminated",359,29.7
"bst",712,65,63,"Eliminated",363,30.1
"bst",722,65,64,"Eliminated",363,30.6
"bst",728,65,65,"Eliminated",368,31.1
"bst",734,65,66,"Eliminated",370,31.6
"bst",740,65,67,"Eliminated",370,32.1
"bst",746,65,68,"Eliminated",373,32.5
"bst",752,65,69,"Eliminated",375,33
"bst",756,65,70,"Eliminated",384,33.5
"bst",762,65,71,"Eliminated",391,34
"bst",768,65,72,"Eliminated",392,34.4
"bst",775,65,73,"Eliminated",392,34.9
"bst",781,65,74,"Eliminated",400,35.4
"bst",787,65,75,"Eliminated",401,35.9
"bst",793,65,76,"Eliminated",406,36.4
"bst",799,65,77,"Eliminated",406,36.8
"bst",805,65,78,"Eliminated",409,37.3
"bst",809,65,79,"Eliminated",409,37.8
"bst",816,65,80,"Eliminated",409,38.3
"bst",822,65,81,"Eliminated",464,38.8
"bst",828,65,82,"Eliminated",468,39.2
"bst",835,65,83,"Eliminated",468,39.7
"bst",840,65,84,"Eliminated",469,40.2
"bst",846,65,85,"Eliminated",476,40.7
"bst",852,65,86,"Eliminated",509,41.1
"bst",858,65,87,"Eliminated",510,41.6
"bst",863,65,88,"Eliminated",510,42.1
"bst",869,65,89,"Eliminated",576,42.6
"bst",875,65,90,"Eliminated",580,43.1
"bst",879,65,91,"Eliminated",583,43.5
"bst",885,65,92,"Eliminated",588,44
"bst",891,65,93,"Eliminated",589,44.5
"bst",897,65,94,"Eliminated",598,45
"bst",903,65,95,"Eliminated",599,45.5
"bst",909,65,96,"Eliminated",603,45.9
"bst",915,65,97,"Eliminated",632,46.4
"bst",922,65,98,"Eliminated",637,46.9
"bst",927,65,99,"Eliminated",640,47.4
"bst",932,65,100,"Eliminated",640,47.8
"bst",937,65,101,"Eliminated",642,48.3
"bst",943,65,102,"Eliminated",645,48.8
"bst",949,65,103,"Eliminated",648,49.3
"bst",952,65,104,"Eliminated",647,49.8
"bst",960,65,105,"Eliminated",651,50.2
"bst",968,65,106,"Eliminated",653,50.7
"bst",974,65,107,"Eliminated",667,51.2
"bst",978,65,108,"Eliminated",668,51.7
"bst",986,65,109,"Eliminated",663,52.2
"bst",990,65,110,"Eliminated",671,52.6
"bst",998,65,111,"Eliminated",681,53.1
"bst",1001,65,112,"Eliminated",689,53.6
"bst",1009,65,113,"Eliminated",698,54.1
"bst",1015,65,114,"Eliminated",702,54.5
"bst",1021,65,115,"Eliminated",705,55
"bst",1025,65,116,"Eliminated",706,55.5
"bst",1030,65,117,"Eliminated",708,56
"bst",1036,65,118,"Eliminated",716,56.5
"bst",1039,65,119,"Eliminated",716,56.9
"bst",1045,65,120,"Eliminated",723,57.4
"bst",1054,65,121,"Eliminated",727,57.9
"bst",1057,65,122,"Eliminated",731,58.4
"bst",1063,65,123,"Eliminated",805,58.9
"bst",1070,65,124,"Eliminated",812,59.3
"bst",1076,65,125,"Eliminated",817,59.8
"bst",1082,65,126,"Eliminated",817,60.3
"bst",1089,65,127,"Eliminated",820,60.8
"bst",1096,65,128,"Eliminated",820,61.2
"bst",1101,65,129,"Eliminated",831,61.7
"bst",1106,65,130,"Eliminated",833,62.2
"bst",1114,65,131,"Eliminated",836,62.7
"bst",1120,65,132,"Eliminated",840,63.2
