"program_name","level_id","stress","median","measurement_type"
"bst",1,8,2.1027425,"dynamic"
"bst",1,16,2.2092105,"dynamic"
"bst",1,32,2.9319165,"dynamic"
"bst",1,8,2.0576305,"framing"
"bst",1,16,2.133352,"framing"
"bst",1,32,2.9888635,"framing"
"bst",1,8,2.0307075,"gradual"
"bst",1,16,2.1384085,"gradual"
"bst",1,32,2.963895,"gradual"
"bst",2,8,2.93736,"dynamic"
"bst",2,16,4.022933,"dynamic"
"bst",2,32,17.0625045,"dynamic"
"bst",2,8,2.1379635,"framing"
"bst",2,16,2.1153445,"framing"
"bst",2,32,3.021213,"framing"
"bst",2,8,2.042027,"gradual"
"bst",2,16,2.162446,"gradual"
"bst",2,32,3.051891,"gradual"
"bst",3,8,2.8284325,"dynamic"
"bst",3,16,4.3508235,"dynamic"
"bst",3,32,16.861408,"dynamic"
"bst",3,8,2.1561205,"framing"
"bst",3,16,2.1304485,"framing"
"bst",3,32,2.915721,"framing"
"bst",3,8,2.014711,"gradual"
"bst",3,16,2.229259,"gradual"
"bst",3,32,3.1766665,"gradual"
"bst",4,8,2.7802225,"dynamic"
"bst",4,16,4.288632,"dynamic"
"bst",4,32,16.8087415,"dynamic"
"bst",4,8,2.0659465,"framing"
"bst",4,16,2.157034,"framing"
"bst",4,32,2.9764385,"framing"
"bst",4,8,2.0328325,"gradual"
"bst",4,16,2.154053,"gradual"
"bst",4,32,3.091067,"gradual"
"bst",5,8,2.876856,"dynamic"
"bst",5,16,4.2019655,"dynamic"
"bst",5,32,16.5028725,"dynamic"
"bst",5,8,2.029837,"framing"
"bst",5,16,2.1547945,"framing"
"bst",5,32,2.9098865,"framing"
"bst",5,8,2.019841,"gradual"
"bst",5,16,2.210594,"gradual"
"bst",5,32,2.9535055,"gradual"
"bst",6,8,3.0810755,"dynamic"
"bst",6,16,4.5945825,"dynamic"
"bst",6,32,17.767277,"dynamic"
"bst",6,8,2.036207,"framing"
"bst",6,16,2.177621,"framing"
"bst",6,32,2.987957,"framing"
"bst",6,8,2.112684,"gradual"
"bst",6,16,2.1887275,"gradual"
"bst",6,32,3.1189015,"gradual"
"bst",7,8,2.6594765,"dynamic"
"bst",7,16,4.347342,"dynamic"
"bst",7,32,16.758685,"dynamic"
"bst",7,8,2.000928,"framing"
"bst",7,16,2.1389585,"framing"
"bst",7,32,3.036768,"framing"
"bst",7,8,2.0880525,"gradual"
"bst",7,16,2.1823555,"gradual"
"bst",7,32,2.984962,"gradual"
"bst",8,8,3.5594,"dynamic"
"bst",8,16,5.9862955,"dynamic"
"bst",8,32,31.7008405,"dynamic"
"bst",8,8,2.1148945,"framing"
"bst",8,16,2.125052,"framing"
"bst",8,32,3.0729235,"framing"
"bst",8,8,2.1792215,"gradual"
"bst",8,16,2.422541,"gradual"
"bst",8,32,3.487761,"gradual"
"bst",9,8,3.568642,"dynamic"
"bst",9,16,6.6385975,"dynamic"
"bst",9,32,37.169331,"dynamic"
"bst",9,8,2.0649415,"framing"
"bst",9,16,2.2418525,"framing"
"bst",9,32,2.9419235,"framing"
"bst",9,8,2.210104,"gradual"
"bst",9,16,2.482645,"gradual"
"bst",9,32,3.6639585,"gradual"
"bst",10,8,3.8179715,"dynamic"
"bst",10,16,7.92483,"dynamic"
"bst",10,32,46.026078,"dynamic"
"bst",10,8,2.012075,"framing"
"bst",10,16,2.176189,"framing"
"bst",10,32,2.891285,"framing"
"bst",10,8,2.169358,"gradual"
"bst",10,16,2.5042945,"gradual"
"bst",10,32,3.670676,"gradual"
"bst",11,8,3.8481005,"dynamic"
"bst",11,16,8.059809,"dynamic"
"bst",11,32,45.875642,"dynamic"
"bst",11,8,2.028499,"framing"
"bst",11,16,2.1213005,"framing"
"bst",11,32,2.932009,"framing"
"bst",11,8,2.168092,"gradual"
"bst",11,16,2.4805055,"gradual"
"bst",11,32,3.614639,"gradual"
"bst",12,8,3.7791115,"dynamic"
"bst",12,16,8.0542285,"dynamic"
"bst",12,32,45.96923,"dynamic"
"bst",12,8,2.0483205,"framing"
"bst",12,16,2.191894,"framing"
"bst",12,32,3.0724155,"framing"
"bst",12,8,2.1911805,"gradual"
"bst",12,16,2.4272305,"gradual"
"bst",12,32,3.609027,"gradual"
"bst",13,8,4.081428,"dynamic"
"bst",13,16,7.8212945,"dynamic"
"bst",13,32,45.987831,"dynamic"
"bst",13,8,2.013355,"framing"
"bst",13,16,2.121549,"framing"
"bst",13,32,3.039097,"framing"
"bst",13,8,2.18434,"gradual"
"bst",13,16,2.4798945,"gradual"
"bst",13,32,3.6059585,"gradual"
"bst",14,8,4.0261535,"dynamic"
"bst",14,16,7.4944755,"dynamic"
"bst",14,32,46.3629515,"dynamic"
"bst",14,8,2.08039,"framing"
"bst",14,16,2.1502145,"framing"
"bst",14,32,2.9696995,"framing"
"bst",14,8,2.1771895,"gradual"
"bst",14,16,2.390632,"gradual"
"bst",14,32,3.652439,"gradual"
"bst",15,8,4.006687,"dynamic"
"bst",15,16,7.5045465,"dynamic"
"bst",15,32,45.8724455,"dynamic"
"bst",15,8,2.063106,"framing"
"bst",15,16,2.190599,"framing"
"bst",15,32,2.9805925,"framing"
"bst",15,8,2.3456565,"gradual"
"bst",15,16,2.44214,"gradual"
"bst",15,32,3.6110905,"gradual"
"bst",16,8,4.188313,"dynamic"
"bst",16,16,7.776742,"dynamic"
"bst",16,32,46.171512,"dynamic"
"bst",16,8,2.043733,"framing"
"bst",16,16,2.109928,"framing"
"bst",16,32,2.9384175,"framing"
"bst",16,8,2.202891,"gradual"
"bst",16,16,2.473645,"gradual"
"bst",16,32,3.6742045,"gradual"
"bst",17,8,4.046049,"dynamic"
"bst",17,16,7.7685245,"dynamic"
"bst",17,32,46.093927,"dynamic"
"bst",17,8,2.0216185,"framing"
"bst",17,16,2.148699,"framing"
"bst",17,32,2.9615265,"framing"
"bst",17,8,2.2091455,"gradual"
"bst",17,16,2.4182255,"gradual"
"bst",17,32,3.6606165,"gradual"
"bst",18,8,3.9639835,"dynamic"
"bst",18,16,8.0376805,"dynamic"
"bst",18,32,46.207654,"dynamic"
"bst",18,8,2.102305,"framing"
"bst",18,16,2.131517,"framing"
"bst",18,32,2.9633605,"framing"
"bst",18,8,2.1590355,"gradual"
"bst",18,16,2.4523545,"gradual"
"bst",18,32,3.700821,"gradual"
"bst",19,8,3.944509,"dynamic"
"bst",19,16,7.592786,"dynamic"
"bst",19,32,45.931575,"dynamic"
"bst",19,8,2.0468375,"framing"
"bst",19,16,2.310353,"framing"
"bst",19,32,2.9781905,"framing"
"bst",19,8,2.2977485,"gradual"
"bst",19,16,2.5507255,"gradual"
"bst",19,32,3.613148,"gradual"
"bst",20,8,3.9901085,"dynamic"
"bst",20,16,7.9517185,"dynamic"
"bst",20,32,45.9323145,"dynamic"
"bst",20,8,2.0489225,"framing"
"bst",20,16,2.172948,"framing"
"bst",20,32,2.9437225,"framing"
"bst",20,8,2.1447765,"gradual"
"bst",20,16,2.506257,"gradual"
"bst",20,32,3.712987,"gradual"
"bst",21,8,3.7866245,"dynamic"
"bst",21,16,7.530252,"dynamic"
"bst",21,32,45.8090065,"dynamic"
"bst",21,8,2.116566,"framing"
"bst",21,16,2.1337255,"framing"
"bst",21,32,2.8411415,"framing"
"bst",21,8,2.183426,"gradual"
"bst",21,16,2.4955675,"gradual"
"bst",21,32,3.572676,"gradual"
"bst",22,8,3.8133065,"dynamic"
"bst",22,16,7.477971,"dynamic"
"bst",22,32,46.3090435,"dynamic"
"bst",22,8,2.042579,"framing"
"bst",22,16,2.1913735,"framing"
"bst",22,32,3.012666,"framing"
"bst",22,8,2.104331,"gradual"
"bst",22,16,2.447721,"gradual"
"bst",22,32,3.580995,"gradual"
"bst",23,8,4.7355175,"dynamic"
"bst",23,16,10.658977,"dynamic"
"bst",23,32,65.0845365,"dynamic"
"bst",23,8,2.0239325,"framing"
"bst",23,16,2.1388485,"framing"
"bst",23,32,2.952678,"framing"
"bst",23,8,2.574834,"gradual"
"bst",23,16,3.124258,"gradual"
"bst",23,32,7.006635,"gradual"
"bst",24,8,5.025741,"dynamic"
"bst",24,16,11.4304605,"dynamic"
"bst",24,32,69.1392305,"dynamic"
"bst",24,8,2.097155,"framing"
"bst",24,16,2.0904775,"framing"
"bst",24,32,2.9955485,"framing"
"bst",24,8,2.534372,"gradual"
"bst",24,16,3.3234435,"gradual"
"bst",24,32,7.1445855,"gradual"
"bst",25,8,5.0313725,"dynamic"
"bst",25,16,11.2078875,"dynamic"
"bst",25,32,70.089925,"dynamic"
"bst",25,8,2.0632225,"framing"
"bst",25,16,2.073413,"framing"
"bst",25,32,2.882279,"framing"
"bst",25,8,2.580364,"gradual"
"bst",25,16,3.2924295,"gradual"
"bst",25,32,6.8167705,"gradual"
"bst",26,8,4.8904005,"dynamic"
"bst",26,16,11.016013,"dynamic"
"bst",26,32,68.8539885,"dynamic"
"bst",26,8,2.1201395,"framing"
"bst",26,16,2.177404,"framing"
"bst",26,32,2.958724,"framing"
"bst",26,8,2.554575,"gradual"
"bst",26,16,3.2909175,"gradual"
"bst",26,32,6.6695205,"gradual"
"bst",27,8,5.1026235,"dynamic"
"bst",27,16,11.2189595,"dynamic"
"bst",27,32,69.2037695,"dynamic"
"bst",27,8,2.061269,"framing"
"bst",27,16,2.166916,"framing"
"bst",27,32,2.871823,"framing"
"bst",27,8,2.670388,"gradual"
"bst",27,16,3.1740245,"gradual"
"bst",27,32,6.7082485,"gradual"
"bst",28,8,5.0042695,"dynamic"
"bst",28,16,10.8481635,"dynamic"
"bst",28,32,69.043146,"dynamic"
"bst",28,8,1.991989,"framing"
"bst",28,16,2.126756,"framing"
"bst",28,32,3.0134065,"framing"
"bst",28,8,2.5832375,"gradual"
"bst",28,16,3.252506,"gradual"
"bst",28,32,7.090247,"gradual"
"bst",29,8,4.9679975,"dynamic"
"bst",29,16,10.810005,"dynamic"
"bst",29,32,70.3691105,"dynamic"
"bst",29,8,2.033048,"framing"
"bst",29,16,2.272094,"framing"
"bst",29,32,3.27575,"framing"
"bst",29,8,2.611486,"gradual"
"bst",29,16,3.287076,"gradual"
"bst",29,32,6.6143615,"gradual"
"bst",30,8,4.944551,"dynamic"
"bst",30,16,11.3015315,"dynamic"
"bst",30,32,69.4298885,"dynamic"
"bst",30,8,2.093277,"framing"
"bst",30,16,2.0590105,"framing"
"bst",30,32,2.914069,"framing"
"bst",30,8,2.458709,"gradual"
"bst",30,16,3.2964885,"gradual"
"bst",30,32,6.9319185,"gradual"
"bst",31,8,5.2358275,"dynamic"
"bst",31,16,11.6744605,"dynamic"
"bst",31,32,74.469216,"dynamic"
"bst",31,8,2.047511,"framing"
"bst",31,16,2.2783915,"framing"
"bst",31,32,2.9897145,"framing"
"bst",31,8,2.6049235,"gradual"
"bst",31,16,3.2419065,"gradual"
"bst",31,32,6.6904905,"gradual"
"bst",32,8,5.674766,"dynamic"
"bst",32,16,13.3003845,"dynamic"
"bst",32,32,86.937694,"dynamic"
"bst",32,8,2.0343385,"framing"
"bst",32,16,2.135491,"framing"
"bst",32,32,3.207268,"framing"
"bst",32,8,2.693889,"gradual"
"bst",32,16,3.3861845,"gradual"
"bst",32,32,7.0122395,"gradual"
"bst",33,8,5.917339,"dynamic"
"bst",33,16,13.507067,"dynamic"
"bst",33,32,87.5309855,"dynamic"
"bst",33,8,2.117758,"framing"
"bst",33,16,2.1500215,"framing"
"bst",33,32,2.9570935,"framing"
"bst",33,8,2.670539,"gradual"
"bst",33,16,3.2502625,"gradual"
"bst",33,32,6.840172,"gradual"
"bst",34,8,6.0269935,"dynamic"
"bst",34,16,14.806634,"dynamic"
"bst",34,32,93.3487785,"dynamic"
"bst",34,8,1.991718,"framing"
"bst",34,16,2.1298285,"framing"
"bst",34,32,3.0124895,"framing"
"bst",34,8,2.604776,"gradual"
"bst",34,16,3.560299,"gradual"
"bst",34,32,7.309661,"gradual"
"bst",35,8,5.628027,"dynamic"
"bst",35,16,14.5752925,"dynamic"
