permutation_id,conj_elim,conj_total
395,202,272
402,208,280
408,210,282
413,210,282
419,210,285
425,212,287
430,214,289
438,214,289
443,214,291
453,220,299
459,222,301
465,221,301
471,221,301
478,223,303
483,224,310
488,227,312
494,226,312
496,231,312
505,231,308
511,237,316
518,237,317
523,237,317
531,240,320
538,240,320
543,242,322
549,242,323
553,245,329
559,247,331
565,247,331
571,248,333
577,253,338
580,271,356
586,279,361
594,279,362
599,279,364
606,289,374
613,297,388
621,309,400
626,309,400
630,309,402
636,311,404
642,318,413
648,318,425
654,325,435
659,331,441
663,376,524
669,385,539
675,400,558
681,402,561
687,405,567
693,409,569
698,416,584
705,416,584
715,420,586
718,422,588
727,429,591
732,440,608
736,450,611
741,464,639
752,465,646
756,466,650
763,466,651
768,465,651
776,466,654
780,468,654
786,468,654
792,468,654
797,471,656
801,482,673
808,482,674
813,483,675
820,485,675
825,491,681
832,494,684
841,502,682
846,502,682
851,502,683
857,510,696
863,551,765
869,561,782
875,564,784
881,568,787
887,575,802
891,583,813
896,583,815
902,587,817
908,587,817
914,589,819
920,595,823
924,617,877
930,618,883
936,628,885
945,628,886
949,629,887
957,629,887
961,629,889
969,651,943
976,651,943
979,654,944
986,654,947
996,671,979
1001,673,981
1007,674,986
1011,680,993
1019,687,1008
1024,686,1014
1029,690,1016
1035,690,1016
1041,694,1019
1047,693,1020
1052,703,1039
1058,703,1039
1064,705,1040
1070,716,1051
1076,738,1095
1082,741,1097
1088,744,1101
1094,747,1105
1100,747,1105
1106,818,1231
1113,818,1232
1118,829,1232
1124,831,1234
1130,831,1234
1135,833,1236
1140,835,1239
1151,836,1239
1156,839,1242
1160,852,1267
1169,857,1271
1174,856,1271
1179,859,1273
1185,860,1278
1192,861,1279
1199,865,1283
1204,868,1291
1212,886,1328
1220,890,1330
1225,892,1332
1231,894,1338
1237,895,1341
1243,896,1341
1249,909,1368
1254,912,1369
1259,912,1369
1266,913,1370
1273,913,1370
1280,918,1376
1285,920,1378
1292,924,1382
1296,927,1384
1302,926,1384
1309,929,1386
1314,940,1397
1320,1009,1524
1326,1009,1524
1331,1008,1524
1339,1008,1524
1344,1009,1524
1349,1010,1526
1355,1010,1526
1361,1043,1611
1367,1043,1611
1373,1051,1626
1379,1051,1626
1386,1051,1626
1392,1053,1626
1402,1053,1626
1408,1084,1667
1414,1079,1668
1420,1081,1669
1426,1081,1669
1432,1081,1669
1438,1083,1671
1444,1083,1671
1450,1088,1670
1456,1091,1677
1463,1091,1677
1469,1094,1680
1475,1094,1680
1478,1099,1679
1486,1111,1710
1493,1111,1710
1501,1116,1709
1505,1118,1716
1514,1118,1716
1521,1118,1716
1524,1118,1716
1534,1123,1715
1538,1130,1719
1545,1125,1720
1552,1151,1762
1558,1151,1762
1563,1137,1694
1568,1151,1762
1573,1137,1694
1580,1155,1766
1584,1141,1698
1592,1145,1703
1597,1192,1722
1603,1197,1726
1611,1167,1595
1615,1167,1595
1621,1170,1598
1627,1208,1722
1633,1184,1587
1641,1208,1722
1647,1208,1722
1653,1186,1589
1661,1198,1582
1665,1198,1582
1672,1330,1854
1679,1330,1854
1686,1330,1854
1692,1338,1847
1698,1304,1718
1703,1321,1321
1709,1321,1321
1717,202,273
