permutation_id,measurement_id,program_id,program_name,level_id,iter,mean,spec_type,expr_type
10,726563,5,list,1,1,1340014.0,post,bool
10,726564,5,list,1,1,3.75919639E8,post,bool
10,726565,5,list,1,1,5907557.0,post,bool
10,726566,5,list,1,1,1.54154059E8,post,bool
12,800916,5,list,2,1,1368648.0,post,pred
12,800917,5,list,2,1,3.75169218E8,post,pred
12,800918,5,list,2,1,5938300.0,post,pred
12,800919,5,list,2,1,1.55509682E8,post,pred
13,807901,5,list,3,1,1399419.0,post,acc
13,807902,5,list,3,1,3.74132702E8,post,acc
13,807903,5,list,3,1,6165640.0,post,acc
13,807904,5,list,3,1,1.52808575E8,post,acc
15,751662,5,list,4,1,1385949.0,inv,bool
15,751663,5,list,4,1,3.74516079E8,inv,bool
15,751664,5,list,4,1,6180741.0,inv,bool
15,751665,5,list,4,1,1.52527587E8,inv,bool
17,771009,5,list,5,1,1374986.0,post,bool
17,771010,5,list,5,1,3.7489112E8,post,bool
17,771011,5,list,5,1,6116970.0,post,bool
17,771012,5,list,5,1,1.55666019E8,post,bool
19,771478,5,list,6,1,1403477.0,fold,pred
19,771479,5,list,6,1,3.78643614E8,fold,pred
19,771480,5,list,6,1,6189017.0,fold,pred
19,771481,5,list,6,1,1.55634382E8,fold,pred
21,720645,5,list,7,1,1339540.0,pred,pred
21,720646,5,list,7,1,3.85761247E8,pred,pred
21,720647,5,list,7,1,6290496.0,pred,pred
21,720648,5,list,7,1,1.56954663E8,pred,pred
23,761603,5,list,8,1,1426230.0,pre,bool
23,761604,5,list,8,1,3.89979768E8,pre,bool
23,761605,5,list,8,1,6919093.0,pre,bool
23,761606,5,list,8,1,1.63460189E8,pre,bool
24,702684,5,list,9,1,1500500.0,fold,pred
24,702685,5,list,9,1,3.80678046E8,fold,pred
24,702686,5,list,9,1,6475094.0,fold,pred
24,702687,5,list,9,1,1.5896516E8,fold,pred
26,757305,5,list,10,1,1503534.0,fold,pred
26,757306,5,list,10,1,3.65839982E8,fold,pred
26,757307,5,list,10,1,6595130.0,fold,pred
26,757308,5,list,10,1,1.6066094E8,fold,pred
28,759732,5,list,11,1,1447252.0,pre,acc
28,759733,5,list,11,1,3.63270972E8,pre,acc
28,759734,5,list,11,1,6656906.0,pre,acc
28,759735,5,list,11,1,1.59717275E8,pre,acc
30,740881,5,list,12,1,1497579.0,pred,bool
30,740882,5,list,12,1,3.76062304E8,pred,bool
30,740883,5,list,12,1,6631419.0,pred,bool
30,740884,5,list,12,1,1.62545527E8,pred,bool
32,809418,5,list,13,1,1657324.0,unfold,pred
32,809419,5,list,13,1,3.87140935E8,unfold,pred
32,809420,5,list,13,1,7390476.0,unfold,pred
32,809421,5,list,13,1,1.64080296E8,unfold,pred
34,707182,5,list,14,1,1549413.0,unfold,pred
34,707183,5,list,14,1,3.81911366E8,unfold,pred
34,707184,5,list,14,1,7011510.0,unfold,pred
34,707185,5,list,14,1,1.67956348E8,unfold,pred
36,728344,5,list,15,1,1572842.0,pre,pred
36,728345,5,list,15,1,3.93375174E8,pre,pred
36,728346,5,list,15,1,8250252.0,pre,pred
36,728347,5,list,15,1,1.73392826E8,pre,pred
38,805011,5,list,16,1,1695811.0,fold,pred
38,805012,5,list,16,1,4.06098754E8,fold,pred
38,805013,5,list,16,1,8906698.0,fold,pred
38,805014,5,list,16,1,1.74895329E8,fold,pred
40,735876,5,list,17,1,1560829.0,pre,pred
40,735877,5,list,17,1,4.05202418E8,pre,pred
40,735878,5,list,17,1,1.099437E7,pre,pred
40,735879,5,list,17,1,1.9218561E8,pre,pred
43,724471,5,list,18,1,1591655.0,pre,bool
43,724472,5,list,18,1,4.00714211E8,pre,bool
43,724473,5,list,18,1,1.1139094E7,pre,bool
43,724474,5,list,18,1,1.91798234E8,pre,bool
45,807413,5,list,19,1,1576448.0,fold,pred
45,807414,5,list,19,1,4.06809518E8,fold,pred
45,807415,5,list,19,1,1.1095688E7,fold,pred
45,807416,5,list,19,1,1.89099901E8,fold,pred
47,748150,5,list,20,1,1507093.0,fold,pred
