program_id,permutation_id,measurement_type_id,stress,iter,median
2,2,3,8,10,2010502.5
2,2,3,16,10,2202976.0
2,2,3,32,10,3187133.5
2,2,2,8,10,1988385.0
2,2,2,16,10,2215633.5
2,2,2,32,10,3184603.0
2,2,1,8,10,2015623.5
2,2,1,16,10,2265789.0
2,2,1,32,10,3129453.5
2,5,3,8,10,2194825.5
2,5,3,16,10,5535843.5
2,5,3,32,10,1.63308139E8
2,5,2,8,10,1996429.0
2,5,2,16,10,2228730.0
2,5,2,32,10,3165519.0
2,5,1,8,10,2057589.0
2,5,1,16,10,2354653.0
2,5,1,32,10,3690044.5
2,7,3,8,10,2246138.0
2,7,3,16,10,5716130.0
2,7,3,32,10,1.65501167E8
2,7,2,8,10,2032696.0
2,7,2,16,10,2236583.5
2,7,2,32,10,3286244.5
2,7,1,8,10,2035519.0
2,7,1,16,10,2358933.0
2,7,1,32,10,3714189.5
2,9,3,8,10,2456474.0
2,9,3,16,10,6993457.5
2,9,3,32,10,2.15883292E8
2,9,2,8,10,1942240.5
2,9,2,16,10,2243369.5
2,9,2,32,10,3176738.5
2,9,1,8,10,2086832.0
2,9,1,16,10,2598929.5
2,9,1,32,10,6745360.5
2,11,3,8,10,2381066.5
2,11,3,16,10,6748016.5
2,11,3,32,10,2.15740166E8
2,11,2,8,10,1992818.0
2,11,2,16,10,2220179.5
2,11,2,32,10,3186630.0
2,11,1,8,10,2101814.5
2,11,1,16,10,2664397.5
2,11,1,32,10,6799047.0
2,12,3,8,10,2494148.0
2,12,3,16,10,6647636.5
2,12,3,32,10,2.16652998E8
2,12,2,8,10,1978642.5
2,12,2,16,10,2219402.5
2,12,2,32,10,3157339.5
2,12,1,8,10,2053221.5
2,12,1,16,10,2642472.5
2,12,1,32,10,6730693.0
2,14,3,8,10,2414756.5
2,14,3,16,10,7220485.0
2,14,3,32,10,2.123878965E8
2,14,2,8,10,2079666.5
2,14,2,16,10,2238319.5
2,14,2,32,10,3112536.0
2,14,1,8,10,2071218.5
2,14,1,16,10,2680021.0
2,14,1,32,10,6970016.5
2,16,3,8,10,2377059.5
2,16,3,16,10,1.14236905E7
2,16,3,32,10,2.16192169E8
2,16,2,8,10,1997337.5
2,16,2,16,10,2253571.5
2,16,2,32,10,3175213.5
2,16,1,8,10,2049083.0
2,16,1,16,10,2665414.0
2,16,1,32,10,6641928.5
2,18,3,8,10,2486894.0
2,18,3,16,10,7863721.5
2,18,3,32,10,2.405448475E8
2,18,2,8,10,2025441.5
2,18,2,16,10,2219126.5
2,18,2,32,10,3171420.5
