permutation_id,conj_elim,conj_total
106,252,353
111,258,361
114,270,373
117,270,373
120,272,375
123,278,383
126,278,383
129,278,383
132,287,392
136,293,398
140,313,423
142,313,423
145,315,425
148,336,455
151,336,455
154,344,465
157,356,482
160,374,518
163,374,518
166,374,518
169,377,521
173,379,523
176,385,531
180,385,530
184,389,534
188,413,567
192,441,606
195,485,662
199,489,666
203,489,664
207,583,840
210,587,844
214,635,918
217,641,926
221,641,927
225,672,957
229,726,1027
233,729,1006
238,737,1016
243,745,1024
247,749,1029
252,751,1031
254,783,1063
258,796,1084
264,802,1093
266,802,1093
271,835,1146
274,848,1167
278,856,1175
283,858,1177
286,862,1182
290,874,1197
295,876,1198
298,881,1203
302,895,1221
306,909,1237
310,913,1245
314,928,1260
318,976,1360
322,1012,1428
326,1020,1438
329,1028,1446
334,1030,1448
338,1659,2320
342,1664,2325
345,1672,2333
349,1676,2337
353,1671,2305
357,1671,2309
361,1662,2298
364,1662,2298
369,1666,2306
374,2092,2822
378,2108,2842
383,2108,2842
386,2112,2846
390,2113,2847
394,2227,2983
400,2227,2983
404,2227,2983
408,2995,3951
412,2997,3953
416,3005,3961
420,3055,3999
424,3247,4255
428,3266,4290
431,3373,4394
434,3373,4394
440,3373,4394
443,3709,4850
447,4237,5462
451,4275,5524
455,4313,5588
459,4349,5592
463,4369,5644
467,4377,5660
471,4391,5680
475,4400,5680
480,4672,6248
483,5920,7960
487,5922,7962
491,6030,8214
495,6070,8272
498,6078,8280
504,6210,8568
508,6214,8572
512,6676,9442
515,6780,9566
520,6781,9567
523,6157,8745
528,6241,8829
532,6286,8894
537,6310,8936
541,6318,8944
544,6338,8968
548,5642,7942
555,5757,8186
558,5849,8306
561,6505,9190
565,6505,9190
571,6505,9190
574,6614,9342
578,6631,9350
582,6639,9364
586,6641,9366
591,6665,9406
595,6809,9598
597,6815,9608
601,6815,9608
605,8745,12032
609,9493,13380
613,9493,13380
617,9517,13420
621,9738,13676
624,9782,13728
627,9782,13727
633,9864,13827
636,9944,13897
639,10058,14031
643,10065,14015
647,10113,14063
651,10113,14063
655,9289,13007
659,9395,13063
663,9406,13079
667,9422,13099
671,9710,13459
673,9710,13459
677,9712,13463
681,9712,13463
685,9712,13463
689,10042,13957
693,10229,14264
697,10233,14269
701,10237,14273
707,10288,14434
712,10304,14466
714,10504,14706
