id,stress,iter,95th,5th,median,mean,stdev,min,max
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,0,10,1843960.25,1744637.5,1744637.5,1763656.1,54966.89,1700347,1876817
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,16,10,24201271.65,23339814.0,23339814,23503413.6,440243.53,22991177,24242907
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,0,10,1861123.50,1758272.0,1758272,1763247.9,67242.48,1679189,1901097
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,16,10,24003603.45,23345451.5,23345451.5,23427432.3,362057.65,23034420,24030360
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,0,10,1850808.95,1714630.5,1714630.5,1731220.1,70603.69,1670397,1909151
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,16,10,28888748.10,28036858.0,28036858,28235640.8,421447.04,27829669,28894590
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,0,10,2364359.10,1751296.0,1751296,1863768,332880.62,1685700,2802669
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,16,10,22841292.15,22214756.5,22214756.5,22318991.4,290031.20,22052002,22926078
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,0,10,1861452.45,1753498.5,1753498.5,1765572.4,61457.05,1701138,1895796
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,16,10,7074776.00,6903842.5,6903842.5,6905874.6,118190.40,6739914,7122575
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,0,10,1817140.05,1712973.5,1712973.5,1739146.8,54879.09,1679324,1820430
