id,stress,iter,95th,5th,median,mean,stdev,min,max
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,0,10,2917470.15,1836335.5,1836335.5,2028423.9,594082.46,1761611,3712950
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,16,10,3313321.85,2976311.0,2976311,3030390.2,181977.24,2923748,3537767
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,0,10,2141600.00,1872694.0,1872694,1917592.7,129949.83,1762251,2175881
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,16,10,13672148.75,13473018.0,13473018,13480566.9,123519.91,13286920,13721984
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,0,10,1954122.25,1827503.0,1827503,1826825.6,86345.54,1701848,2033113
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,16,10,13571643.05,13311633.0,13311633,13325642.2,154885.54,13143806,13671773
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,0,10,3654567.20,1902764.5,1902764.5,2212802.3,963613.25,1819370,4946591
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,16,10,5739950.15,5661067.0,5661067,5665498,54064.24,5594469,5743646
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,0,10,1981034.05,1827482.5,1827482.5,1850379,77308.97,1787505,2038396
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,16,10,2847223.50,2762516.0,2762516,2780504.2,46007.58,2715003,2865480
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,0,10,1918850.90,1790101.0,1790101,1818986,60978.18,1767850,1960547
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,16,10,5884223.55,5720508.5,5720508.5,5742512.8,105526.94,5616718,5891010
c2000004204200080a130000458024120a00040014020000b0080000000000000,0,10,2602444.70,1811121.0,1811121,1942832.2,416119.50,1740324,3110465
c2000004204200080a130000458024120a00040014020000b0080000000000000,16,10,2331697.30,2272530.5,2272530.5,2272905.7,50296.20,2181778,2341663
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,0,10,1958191.35,1823833.0,1823833,1843384.8,66177.63,1786863,1997070
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,16,10,4095330.10,2853471.0,2853471,3073397.4,658685.38,2706808,4912747
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,0,10,1945697.45,1804666.0,1804666,1824086.4,72450.45,1756533,1975793
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,16,10,2878392.55,2794481.5,2794481.5,2792997.9,63363.52,2701526,2895673
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,0,10,1944971.05,1783281.0,1783281,1827947.9,75495.83,1765881,1992091
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,16,10,2739221.20,2655612.0,2655612,2674671.3,43102.79,2624120,2756926
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffabffdffb87ee73f,0,10,1951035.45,1796012.0,1796012,1815367.8,82162.86,1737083,2000112
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffabffdffb87ee73f,16,10,15721979.20,15334363.0,15334363,15383307.2,231458.49,15091108,15759826
c2000004204300080b130005478024120a01040015020400b0080000000000000,0,10,1933682.90,1812095.5,1812095.5,1829656.3,67611.41,1742842,1961069
c2000004204300080b130005478024120a01040015020400b0080000000000000,16,10,2658698.55,2545870.0,2545870,2563608.1,66095.85,2466619,2679498
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210104312,0,10,1959858.75,1812349.0,1812349,1835760.2,70943.80,1768563,2010036
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210104312,16,10,5722226.05,5619941.5,5619941.5,5627120.4,65117.48,5558632,5768194
3dbc5b73775d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,0,10,1912424.55,1805665.0,1805665,1819839.1,57572.84,1753372,1926762
3dbc5b73775d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,16,10,13950781.40,13507957.0,13507957,13615635,214971.31,13425922,13970711
1d2c4953570d7c109bb7b99b56f8334d67a9305bad51b5576f72a2080000000000,0,10,1912191.25,1869805.5,1869805.5,1849875.3,54955.16,1772238,1919713
1d2c4953570d7c109bb7b99b56f8334d67a9305bad51b5576f72a2080000000000,16,10,4594392.10,4457797.5,4457797.5,4475116.2,71159.29,4376302,4610548
1c2041004304300080b130895478124960a01048055020420f40a0000000000000,0,10,1918465.35,1814162.5,1814162.5,1820160,65168.54,1754443,1984506
