id,stress,iter,95th,5th,median,mean,stdev,min,max
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,0,10,1831992.55,1741498.5,1741498.5,1750860.4,53224.47,1694330,1848220
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,16,10,2006213.05,1957409.5,1957409.5,1947230,44955.02,1883184,2019547
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,0,10,1823691.15,1744822.0,1744822,1756571.5,48651.34,1694029,1840311
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,16,10,2629680.70,1915617.5,1915617.5,2039180.6,394003.97,1874658,3157141
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,0,10,1828396.00,1729099.5,1729099.5,1741269.8,56521.53,1677833,1841788
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,16,10,2015290.10,1918154.5,1918154.5,1927949.4,55346.55,1871840,2043488
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,0,10,1872662.25,1769960.5,1769960.5,1781736.4,59823.82,1713632,1909110
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,16,10,2083172.15,1965239.0,1965239,1980572.9,71518.27,1892956,2126459
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,0,10,1866891.15,1724472.0,1724472,1756600,73542.86,1670880,1870929
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,16,10,2350486.40,1945853.0,1945853,2012220.2,218400.15,1879629,2616440
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,0,10,1834835.75,1748829.5,1748829.5,1759008.4,45973.01,1712199,1845323
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,16,10,2040726.70,1938461.0,1938461,1946820.2,60418.07,1876101,2095840
c2000004204200080a130000458024120a00040014020000b0080000000000000,0,10,1906372.75,1745518.5,1745518.5,1769974.2,80765.32,1694790,1972939
c2000004204200080a130000458024120a00040014020000b0080000000000000,16,10,1992702.40,1942953.5,1942953.5,1948049.1,33000.12,1899339,1996234
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,0,10,1836425.05,1704614.5,1704614.5,1734261.4,65944.27,1667736,1869541
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,16,10,2414540.90,1958356.5,1958356.5,2042737.6,239378.26,1874076,2701496
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,0,10,1900564.05,1747207.5,1747207.5,1769496.7,83313.03,1683879,1975980
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,16,10,2009341.35,1911954.0,1911954,1927428.8,59347.02,1856381,2023281
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,0,10,1892075.35,1752041.0,1752041,1766239,76456.60,1675715,1932367
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,16,10,2430142.10,1952305.0,1952305,2029871.1,255278.24,1905200,2747069
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffabffdffb87ee73f,0,10,1863085.75,1749526.0,1749526,1761131.4,63603.93,1673981,1887946
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffabffdffb87ee73f,16,10,2061462.60,1955619.0,1955619,1961960.8,66322.03,1868610,2076498
c2000004204300080b130005478024120a01040015020400b0080000000000000,0,10,2256625.55,1747601.5,1747601.5,1842706.4,267378.41,1691775,2587871
c2000004204300080b130005478024120a01040015020400b0080000000000000,16,10,2282676.95,1968925.0,1968925,2004410.8,179982.38,1869252,2501057
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210104312,0,10,1859962.95,1771345.0,1771345,1770715.4,63335.03,1693480,1886319
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210104312,16,10,2424648.35,1953542.5,1953542.5,2034530.7,244087.48,1888975,2715158
3dbc5b73775d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,0,10,1860537.00,1756059.5,1756059.5,1770623.9,60555.21,1703095,1901793
3dbc5b73775d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,16,10,2027849.10,1942333.0,1942333,1950377.6,52553.53,1880362,2075361
1d2c4953570d7c109bb7b99b56f8334d67a9305bad51b5576f72a2080000000000,0,10,1821634.85,1718653.5,1718653.5,1733327.4,54030.75,1670456,1828433
1d2c4953570d7c109bb7b99b56f8334d67a9305bad51b5576f72a2080000000000,16,10,2072898.85,1933831.0,1933831,1950835.6,75606.19,1872008,2088661
1c2041004304300080b130895478124960a01048055020420f40a0000000000000,0,10,1868657.05,1758442.5,1758442.5,1773846.8,61573.08,1709126,1912420
1c2041004304300080b130895478124960a01048055020420f40a0000000000000,16,10,1976662.00,1910089.5,1910089.5,1921360.9,34809.07,1876002,1980640
3d2c4b53574d7d34dbb7bd9b56f9b74d77ebb6dbadd1b7dfeff2a288d200004012,0,10,2195732.15,1743411.5,1743411.5,1825098,241257.42,1692864,2497526
3d2c4b53574d7d34dbb7bd9b56f9b74d77ebb6dbadd1b7dfeff2a288d200004012,16,10,2006370.85,1902987.5,1902987.5,1925115.7,53528.09,1872723,2013907
1d2c4953574d7c14dbb7b99b56f9334d77abb0dbad51b557eff2a2080000004002,0,10,1839235.90,1718005.5,1718005.5,1740654.2,52808.91,1702140,1841251
1d2c4953574d7c14dbb7b99b56f9334d77abb0dbad51b557eff2a2080000004002,16,10,2016243.20,1931541.5,1931541.5,1941587.3,45735.49,1884831,2021366
1d2c4112570d741093b7b98956f8134d66a1305b2551b5566f72a2080000000000,0,10,1858118.90,1759154.5,1759154.5,1765760.8,60284.52,1691044,1909913
1d2c4112570d741093b7b98956f8134d66a1305b2551b5566f72a2080000000000,16,10,2092118.15,1922520.5,1922520.5,1963268.9,77677.17,1896381,2096714
82000000000200000000000001800000000000000002000080000000000000000,0,10,2231278.15,1766937.0,1766937,1851048.6,241519.89,1705187,2516917
82000000000200000000000001800000000000000002000080000000000000000,16,10,2009969.40,1945109.5,1945109.5,1947920.7,39553.05,1881142,2012151
c2000004204300080b130085478024160a01040015020420f0080000000000000,0,10,1869370.00,1733233.0,1733233,1758847,68129.17,1683666,1874041
c2000004204300080b130085478024160a01040015020420f0080000000000000,16,10,2020526.50,1950425.5,1950425.5,1951142.5,48575.92,1883502,2027110
82000000000200000000000001000000000000000000000080000000000000000,0,10,1853071.00,1779815.5,1779815.5,1766000.4,70299.63,1661341,1867012
82000000000200000000000001000000000000000000000080000000000000000,16,10,2073200.80,1987511.5,1987511.5,1985444.9,58030.23,1919152,2118541
1c204102470d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,0,10,2467635.65,1763107.0,1763107,1885498.9,370035.55,1692414,2924999
1c204102470d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,16,10,2049695.25,1930786.0,1930786,1952589.5,68675.39,1860892,2080374
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbadd1b5d7eff2a2888000004002,0,10,1857654.55,1740582.0,1740582,1758441.9,68779.66,1683824,1864144
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbadd1b5d7eff2a2888000004002,16,10,1974708.70,1934825.0,1934825,1923144.8,38961.24,1874971,2000041
1c204100430c300080b138895678124960a03048055020424f40a0000000000000,0,10,1914468.30,1730673.0,1730673,1759540.3,90348.59,1681931,1988559
1c204100430c300080b138895678124960a03048055020424f40a0000000000000,16,10,2030440.65,1954423.5,1954423.5,1950211.2,54768.85,1884179,2061249
7dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbedd3b7dfeffabffdfb987ec33f,0,10,1896435.65,1756490.5,1756490.5,1776025.3,78815.06,1694840,1910720
7dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbedd3b7dfeffabffdfb987ec33f,16,10,2025553.40,1956411.0,1956411,1961525.7,48327.09,1891877,2040767
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffafffdffb87ee73f,0,10,1859945.45,1734695.5,1734695.5,1758797.2,63747.45,1696893,1895027
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffafffdffb87ee73f,16,10,2019623.75,1943260.5,1943260.5,1952269.5,43360.43,1885479,2021021
1c204100430d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,0,10,1879160.50,1766746.5,1766746.5,1768378.8,69645.13,1674639,1914544
1c204100430d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,16,10,2246056.80,1935944.0,1935944,1986377.1,175625.28,1903458,2484312
7dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffab7fdfb983ec337,0,10,1811928.40,1716972.0,1716972,1728607.5,52743.59,1665816,1831390
7dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffab7fdfb983ec337,16,10,2029008.75,1947144.5,1947144.5,1964355.9,41747.12,1916627,2043636
82000000000200000000000041802002000000000402000090000000000000000,0,10,1844186.45,1707571.5,1707571.5,1736026.4,66858.06,1679979,1889573
82000000000200000000000041802002000000000402000090000000000000000,16,10,1995163.85,1930838.0,1930838,1937099.2,42128.19,1884943,2000135
82000000000200000000000041802002000000001402000090000000000000000,0,10,1894058.75,1764756.5,1764756.5,1780827.7,70611.20,1695648,1940060
82000000000200000000000041802002000000001402000090000000000000000,16,10,2324530.30,1943165.0,1943165,2009011,190686.92,1889588,2527861
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd3b7dfeff2a28dd290104312,0,10,1906668.00,1748108.0,1748108,1774696.7,84860.81,1693786,1957689
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd3b7dfeff2a28dd290104312,16,10,2057539.80,1958586.0,1958586,1968706.5,59253.57,1889078,2065107
c20000000042000800130000458020120a00040014020000b0000000000000000,0,10,1881473.40,1757860.5,1757860.5,1768128.1,71955.40,1675741,1932831
c20000000042000800130000458020120a00040014020000b0000000000000000,16,10,2070146.30,1992930.0,1992930,1983327,67962.80,1886467,2089697
c20000000042000808130000458020120a00040014020000b0080000000000000,0,10,1869759.40,1770956.5,1770956.5,1769952.6,63836.28,1674755,1880284
c20000000042000808130000458020120a00040014020000b0080000000000000,16,10,2007074.80,1919245.0,1919245,1931014.2,48661.92,1882293,2008945
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbad51b5d7eff2a2088000004002,0,10,2264686.60,1734813.0,1734813,1824247.7,268475.11,1685292,2569027
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbad51b5d7eff2a2088000004002,16,10,2028257.15,1927677.5,1927677.5,1942020.5,51390.36,1893258,2068232
1d2c4953574d7c109bb7b99b56f9334d67a9305bad51b5576ff2a2080000000000,0,10,1837119.05,1731333.5,1731333.5,1741306.9,58571.89,1676214,1874132
1d2c4953574d7c109bb7b99b56f9334d67a9305bad51b5576ff2a2080000000000,16,10,2300913.30,1923717.0,1923717,1990710.3,206204.92,1877044,2571834
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbad51b5d7eff2a2080000004002,0,10,1863062.40,1734723.0,1734723,1756358.3,66553.34,1694241,1911612
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbad51b5d7eff2a2080000004002,16,10,1975829.70,1930189.5,1930189.5,1932151.6,27236.30,1891428,1981353
82000000000200000000000001802002000000000402000080000000000000000,0,10,2218478.70,1731155.5,1731155.5,1825745.7,237874.98,1679332,2478675
82000000000200000000000001802002000000000402000080000000000000000,16,10,1983527.05,1934584.5,1934584.5,1936288,34346.86,1883607,1992397
1c2000004204300080b130885478024160a01040055020420f00a0000000000000,0,10,1829437.00,1727711.5,1727711.5,1744141.9,57698.72,1653857,1830067
1c2000004204300080b130885478024160a01040055020420f00a0000000000000,16,10,2300625.25,1923798.0,1923798,1980397.5,203873.33,1870917,2550868
