id,iter,95th,5th,median,mean,stdev,min,max
80000000000000000,10,89537965,89537965,89537965,89537965,0,89537965,89537965
2000000000000000000000000000000000000000000000080000000000000000,10,30453256,30453256,30453256,30453256,0,30453256,30453256
2000000000200000000000000000000000000000000000080000000000000000,10,17279950,17279950,17279950,17279950,0,17279950,17279950
82000000000200000000000000000000000000000000000080000000000000000,10,15971609,15971609,15971609,15971609,0,15971609,15971609
82000000000200000000000001000000000000000000000080000000000000000,10,14380544,14380544,14380544,14380544,0,14380544,14380544
82000000000200000000000001800000000000000000000080000000000000000,10,11964684,11964684,11964684,11964684,0,11964684,11964684
82000000000200000000000001800000000000000002000080000000000000000,10,12806175,12806175,12806175,12806175,0,12806175,12806175
82000000000200000000000001800002000000000002000080000000000000000,10,11234745,11234745,11234745,11234745,0,11234745,11234745
82000000000200000000000001802002000000000002000080000000000000000,10,10726139,10726139,10726139,10726139,0,10726139,10726139
82000000000200000000000001802002000000000402000080000000000000000,10,10362118,10362118,10362118,10362118,0,10362118,10362118
82000000000200000000000001802002000000000402000090000000000000000,10,10995594,10995594,10995594,10995594,0,10995594,10995594
82000000000200000000000041802002000000000402000090000000000000000,10,9457094,9457094,9457094,9457094,0,9457094,9457094
82000000000200000000000041802002000000001402000090000000000000000,10,9131217,9131217,9131217,9131217,0,9131217,9131217
820000000002000000000000418020020000000014020000b0000000000000000,10,9937060,9937060,9937060,9937060,0,9937060,9937060
820000000002000000000000418020120000000014020000b0000000000000000,10,12216303,12216303,12216303,12216303,0,12216303,12216303
820000000002000000100000418020120000000014020000b0000000000000000,10,10269203,10269203,10269203,10269203,0,10269203,10269203
820000000002000000100000418020120800000014020000b0000000000000000,10,12638634,12638634,12638634,12638634,0,12638634,12638634
820000000002000000110000418020120800000014020000b0000000000000000,10,9600690,9600690,9600690,9600690,0,9600690,9600690
820000000002000000130000418020120800000014020000b0000000000000000,10,8593846,8593846,8593846,8593846,0,8593846,8593846
820000000002000000130000458020120800000014020000b0000000000000000,10,8537148,8537148,8537148,8537148,0,8537148,8537148
820000000042000000130000458020120800000014020000b0000000000000000,10,8545327,8545327,8545327,8545327,0,8545327,8545327
820000000042000000130000458020120800040014020000b0000000000000000,10,8930532,8930532,8930532,8930532,0,8930532,8930532
820000000042000000130000458020120a00040014020000b0000000000000000,10,8797822,8797822,8797822,8797822,0,8797822,8797822
c20000000042000000130000458020120a00040014020000b0000000000000000,10,8018282,8018282,8018282,8018282,0,8018282,8018282
c20000000042000800130000458020120a00040014020000b0000000000000000,10,8042623,8042623,8042623,8042623,0,8042623,8042623
c20000000042000808130000458020120a00040014020000b0000000000000000,10,8455742,8455742,8455742,8455742,0,8455742,8455742
c20000000042000808130000458020120a00040014020000b0080000000000000,10,7746329,7746329,7746329,7746329,0,7746329,7746329
c20000000042000808130000458024120a00040014020000b0080000000000000,10,10516857,10516857,10516857,10516857,0,10516857,10516857
c20000040042000808130000458024120a00040014020000b0080000000000000,10,8347718,8347718,8347718,8347718,0,8347718,8347718
c20000042042000808130000458024120a00040014020000b0080000000000000,10,9362670,9362670,9362670,9362670,0,9362670,9362670
c2000004204200080a130000458024120a00040014020000b0080000000000000,10,8292699,8292699,8292699,8292699,0,8292699,8292699
c2000004204200080b130000458024120a00040014020000b0080000000000000,10,9456058,9456058,9456058,9456058,0,9456058,9456058
c2000004204200080b130000478024120a00040014020000b0080000000000000,10,8130559,8130559,8130559,8130559,0,8130559,8130559
c2000004204200080b130000478024120a00040014020400b0080000000000000,10,8254777,8254777,8254777,8254777,0,8254777,8254777
c2000004204200080b130000478024120a01040014020400b0080000000000000,10,8816067,8816067,8816067,8816067,0,8816067,8816067
c2000004204200080b130000478024120a01040015020400b0080000000000000,10,8669431,8669431,8669431,8669431,0,8669431,8669431
c2000004204200080b130004478024120a01040015020400b0080000000000000,10,8997417,8997417,8997417,8997417,0,8997417,8997417
c2000004204200080b130005478024120a01040015020400b0080000000000000,10,9039299,9039299,9039299,9039299,0,9039299,9039299
c2000004204300080b130005478024120a01040015020400b0080000000000000,10,8802560,8802560,8802560,8802560,0,8802560,8802560
c2000004204300080b130005478024120a01040015020400f0080000000000000,10,8886678,8886678,8886678,8886678,0,8886678,8886678
c2000004204300080b130005478024120a01040015020420f0080000000000000,10,8974121,8974121,8974121,8974121,0,8974121,8974121
c2000004204300080b130085478024120a01040015020420f0080000000000000,10,8931433,8931433,8931433,8931433,0,8931433,8931433
c2000004204300080b130085478024160a01040015020420f0080000000000000,10,9169821,9169821,9169821,9169821,0,9169821,9169821
c2000004204300080b130085478024160a01040055020420f0080000000000000,10,8709209,8709209,8709209,8709209,0,8709209,8709209
1c2000004204300080b130085478024160a01040055020420f00a0000000000000,10,8741526,8741526,8741526,8741526,0,8741526,8741526
1c2000004204300080b130885478024160a01040055020420f00a0000000000000,10,8515805,8515805,8515805,8515805,0,8515805,8515805
1c2000004304300080b130885478024160a01040055020420f00a0000000000000,10,9040834,9040834,9040834,9040834,0,9040834,9040834
1c2040004304300080b130885478024160a01040055020420f00a0000000000000,10,8385197,8385197,8385197,8385197,0,8385197,8385197
1c2040004304300080b130885478024160a01040055020420f40a0000000000000,10,10837039,10837039,10837039,10837039,0,10837039,10837039
1c2040004304300080b130885478124160a01040055020420f40a0000000000000,10,9400712,9400712,9400712,9400712,0,9400712,9400712
1c2040004304300080b130885478124160a01048055020420f40a0000000000000,10,9331707,9331707,9331707,9331707,0,9331707,9331707
1c2040004304300080b130895478124160a01048055020420f40a0000000000000,10,9044067,9044067,9044067,9044067,0,9044067,9044067
1c2040004304300080b130895478124960a01048055020420f40a0000000000000,10,8627396,8627396,8627396,8627396,0,8627396,8627396
1c2041004304300080b130895478124960a01048055020420f40a0000000000000,10,8006891,8006891,8006891,8006891,0,8006891,8006891
1c2041004304300080b130895478124960a03048055020420f40a0000000000000,10,8407089,8407089,8407089,8407089,0,8407089,8407089
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,10,8289010,8289010,8289010,8289010,0,8289010,8289010
1c204100430c300080b130895678124960a03048055020420f40a0000000000000,10,8423677,8423677,8423677,8423677,0,8423677,8423677
1c204100430c300080b138895678124960a03048055020420f40a0000000000000,10,12791563,12791563,12791563,12791563,0,12791563,12791563
1c204100430c300080b138895678124960a03048055020424f40a0000000000000,10,8727169,8727169,8727169,8727169,0,8727169,8727169
