id,conjuncts_total,conjuncts_elim
80000000000000000,202,136
2000000000000000000000000000000000000000000000080000000000000000,203,136
2000000000200000000000000000000000000000000000080000000000000000,205,138
82000000000200000000000000000000000000000000000080000000000000000,206,138
82000000000200000000000001000000000000000000000080000000000000000,208,140
82000000000200000000000001800000000000000000000080000000000000000,210,142
82000000000200000000000001800000000000000002000080000000000000000,210,140
82000000000200000000000001800002000000000002000080000000000000000,212,142
82000000000200000000000001802002000000000002000080000000000000000,214,144
82000000000200000000000001802002000000000402000080000000000000000,218,148
82000000000200000000000001802002000000000402000090000000000000000,221,149
82000000000200000000000041802002000000000402000090000000000000000,221,148
82000000000200000000000041802002000000001402000090000000000000000,223,150
820000000002000000000000418020020000000014020000b0000000000000000,231,155
820000000002000000000000418020120000000014020000b0000000000000000,235,155
820000000002000000100000418020120000000014020000b0000000000000000,239,158
820000000002000000100000418020120800000014020000b0000000000000000,240,158
820000000002000000110000418020120800000014020000b0000000000000000,241,158
820000000002000000130000418020120800000014020000b0000000000000000,243,160
820000000002000000130000458020120800000014020000b0000000000000000,245,161
820000000042000000130000458020120800000014020000b0000000000000000,247,163
820000000042000000130000458020120800040014020000b0000000000000000,270,171
820000000042000000130000458020120a00040014020000b0000000000000000,277,173
c20000000042000000130000458020120a00040014020000b0000000000000000,279,176
c20000000042000800130000458020120a00040014020000b0000000000000000,284,181
c20000000042000808130000458020120a00040014020000b0000000000000000,286,183
c20000000042000808130000458020120a00040014020000b0080000000000000,286,183
c20000000042000808130000458024120a00040014020000b0080000000000000,287,183
c20000040042000808130000458024120a00040014020000b0080000000000000,287,182
c20000042042000808130000458024120a00040014020000b0080000000000000,289,184
c2000004204200080a130000458024120a00040014020000b0080000000000000,287,182
c2000004204200080b130000458024120a00040014020000b0080000000000000,293,185
c2000004204200080b130000478024120a00040014020000b0080000000000000,295,187
c2000004204200080b130000478024120a00040014020400b0080000000000000,318,195
c2000004204200080b130000478024120a01040014020400b0080000000000000,324,195
c2000004204200080b130000478024120a01040015020400b0080000000000000,324,193
c2000004204200080b130004478024120a01040015020400b0080000000000000,325,193
c2000004204200080b130005478024120a01040015020400b0080000000000000,327,196
c2000004204300080b130005478024120a01040015020400b0080000000000000,329,198
c2000004204300080b130005478024120a01040015020400f0080000000000000,367,212
c2000004204300080b130005478024120a01040015020420f0080000000000000,377,219
c2000004204300080b130085478024120a01040015020420f0080000000000000,382,222
c2000004204300080b130085478024160a01040015020420f0080000000000000,389,225
c2000004204300080b130085478024160a01040055020420f0080000000000000,391,225
1c2000004204300080b130085478024160a01040055020420f00a0000000000000,391,225
1c2000004204300080b130885478024160a01040055020420f00a0000000000000,393,225
1c2000004304300080b130885478024160a01040055020420f00a0000000000000,408,232
1c2040004304300080b130885478024160a01040055020420f00a0000000000000,408,232
1c2040004304300080b130885478024160a01040055020420f40a0000000000000,427,235
1c2040004304300080b130885478124160a01040055020420f40a0000000000000,429,236
1c2040004304300080b130885478124160a01048055020420f40a0000000000000,434,236
1c2040004304300080b130895478124160a01048055020420f40a0000000000000,434,236
1c2040004304300080b130895478124960a01048055020420f40a0000000000000,436,238
1c2041004304300080b130895478124960a01048055020420f40a0000000000000,430,233
1c2041004304300080b130895478124960a03048055020420f40a0000000000000,436,237
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,438,239
1c204100430c300080b130895678124960a03048055020420f40a0000000000000,442,241
1c204100430c300080b138895678124960a03048055020420f40a0000000000000,445,242
1c204100430c300080b138895678124960a03048055020424f40a0000000000000,463,259
1c204100430c340080b138895678124960a03048055020424f40a0000000000000,468,261
1c204100430c340080b538895678124960a03048055020424f40a0000000000000,468,261
1c204100430c340080b538895678124960a03048055024424f40a0000000000000,472,265
1c204100430c340080b538895678124960a03058055024424f40a0000000000000,477,268
1c204100430c340080b538895678124d60a03058055024424f40a0000000000000,480,271
1c204100430c340080b538895678124d60a0305a055024424f40a0000000000000,484,271
1c204100430c340080b538895678124d60a0305a055124424f40a0000000000000,492,279
1c204100430c340080b538895678124d60a0305a0551a4424f40a0000000000000,507,284
1c204100430c340080b538895678124d60a0305a0551b4424f40a0000000000000,521,291
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,523,294
1c204100430c340080b538895678124d62a0305a0551b5424f40a0000000000000,554,303
1c204100430c340080b538895678124d62a0305a2551b5424f40a0000000000000,595,318
1c204100430c341080b538895678124d62a0305a2551b5424f40a0000000000000,597,320
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,602,322
1c204100430c341080b5b8895678124d62a0305a2551b5424f42a0000000000000,604,324
1c204100430c341082b5b8895678124d62a0305a2551b5424f42a0000000000000,605,325
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,607,326
1c204100430c341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,627,345
1c204100430d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,630,346
1c204102430d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,632,348
1c204102470d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,638,354
1c204102470d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,638,355
1c204102570d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,644,359
1c284102570d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,648,363
1c284102570d341092b5b88956f8124d62a0305a2551b5426f52a0000000000000,676,377
1c284102570d341092b5b88956f8124d62a0305a2551b5426f52a0080000000000,676,377
1c284102570d341092b5b88956f8134d62a0305a2551b5426f52a0080000000000,685,382
1c284102570d341092b5b88956f8134d62a0305a2551b5426f52a2080000000000,685,382
1c284102570d341092b5b88956f8134d66a0305a2551b5426f52a2080000000000,700,387
1c284102570d341092b5b88956f8134d66a0305a2551b5466f52a2080000000000,760,421
1c284102570d341092b5b88956f8134d66a0305a2551b5466f72a2080000000000,790,438
1c284102570d341092b5b88956f8134d66a0305a2551b5566f72a2080000000000,790,438
1c284112570d341092b5b88956f8134d66a0305a2551b5566f72a2080000000000,790,438
