id,path_id,level_id,component_added
0,0,0,NA
80000000000000000,0,1,p.bstRemove.6.pred.bool.118.146
2000000000000000000000000000000000000000000000080000000000000000,0,2,m.create_tree_helper.2.post.pred_inst.4.6
2000000000200000000000000000000000000000000000080000000000000000,0,3,m.tree_contains_helper.4.unfold.pred_inst.26.34
82000000000200000000000000000000000000000000000080000000000000000,0,4,m.create_tree.2.post.pred_inst.1.2
82000000000200000000000001000000000000000000000080000000000000000,0,5,m.tree_min_helper.3.fold.pred_inst.62.77
82000000000200000000000001800000000000000000000080000000000000000,0,6,m.tree_min_helper.3.fold.pred_inst.63.78
82000000000200000000000001800000000000000002000080000000000000000,0,7,m.tree_remove_lemma_right.1.pre.bool.111.131
82000000000200000000000001800002000000000002000080000000000000000,0,8,m.tree_remove_helper.3.fold.pred_inst.78.94
82000000000200000000000001802002000000000002000080000000000000000,0,9,m.tree_min_lemma.4.unfold.pred_inst.70.86
82000000000200000000000001802002000000000402000080000000000000000,0,10,m.tree_remove_lemma_max.3.fold.pred_inst.106.125
82000000000200000000000001802002000000000402000090000000000000000,0,11,p.bstRemove.6.pred.bool.118.149
82000000000200000000000041802002000000000402000090000000000000000,0,12,m.tree_min_helper.1.pre.bool.59.72
82000000000200000000000041802002000000001402000090000000000000000,0,13,m.tree_remove_lemma_max.2.post.pred_inst.104.123
820000000002000000000000418020020000000014020000b0000000000000000,0,14,p.bstRemove.6.pred.pred_inst.118.148
820000000002000000000000418020120000000014020000b0000000000000000,0,15,m.tree_remove_helper.1.pre.pred_inst.76.92
820000000002000000100000418020120000000014020000b0000000000000000,0,16,m.tree_max_helper.4.unfold.pred_inst.44.55
820000000002000000100000418020120800000014020000b0000000000000000,0,17,m.tree_remove_helper.0.assert.bool.84.100
820000000002000000110000418020120800000014020000b0000000000000000,0,18,m.tree_max_helper.0.assert.bool.48.59
820000000002000000130000418020120800000014020000b0000000000000000,0,19,m.tree_max_helper.4.unfold.pred_inst.47.58
820000000002000000130000458020120800000014020000b0000000000000000,0,20,m.tree_min_helper.2.post.pred_inst.60.75
820000000042000000130000458020120800000014020000b0000000000000000,0,21,m.tree_contains.3.fold.pred_inst.23.31
820000000042000000130000458020120800040014020000b0000000000000000,0,22,m.tree_remove_lemma_left.3.fold.pred_inst.96.113
820000000042000000130000458020120a00040014020000b0000000000000000,0,23,m.tree_remove_helper.3.fold.pred_inst.86.102
c20000000042000000130000458020120a00040014020000b0000000000000000,0,24,m.create_tree.3.fold.pred_inst.2.3
c20000000042000800130000458020120a00040014020000b0000000000000000,0,25,m.tree_main_lemma_bst.4.unfold.pred_inst.36.44
c20000000042000808130000458020120a00040014020000b0000000000000000,0,26,m.tree_max.3.fold.pred_inst.41.50
c20000000042000808130000458020120a00040014020000b0080000000000000,0,27,p.treeRemove.6.pred.pred_inst.120.156
c20000000042000808130000458024120a00040014020000b0080000000000000,0,28,m.tree_remove.1.pre.pred_inst.72.88
c20000040042000808130000458024120a00040014020000b0080000000000000,0,29,m.tree_add_helper.1.pre.bool.16.22
c20000042042000808130000458024120a00040014020000b0080000000000000,0,30,m.tree_add_helper.4.unfold.pred_inst.18.26
c2000004204200080a130000458024120a00040014020000b0080000000000000,0,31,m.tree_max_helper.1.pre.bool.42.51
c2000004204200080b130000458024120a00040014020000b0080000000000000,0,32,m.tree_max_helper.1.pre.pred_inst.42.52
c2000004204200080b130000478024120a00040014020000b0080000000000000,0,33,m.tree_min_helper.4.unfold.pred_inst.61.76
c2000004204200080b130000478024120a00040014020400b0080000000000000,0,34,m.tree_remove_lemma_right.3.fold.pred_inst.116.137
c2000004204200080b130000478024120a01040014020400b0080000000000000,0,35,m.tree_remove_lemma_left.1.pre.pred_inst.91.108
c2000004204200080b130000478024120a01040015020400b0080000000000000,0,36,m.tree_remove_lemma_min.1.pre.bool.107.126
c2000004204200080b130004478024120a01040015020400b0080000000000000,0,37,m.tree_min.2.post.pred_inst.56.69
c2000004204200080b130005478024120a01040015020400b0080000000000000,0,38,m.tree_min.3.fold.pred_inst.58.71
c2000004204300080b130005478024120a01040015020400b0080000000000000,0,39,m.tree_contains_helper.3.fold.pred_inst.27.35
c2000004204300080b130005478024120a01040015020400f0080000000000000,0,40,p.bstRemove.6.pred.pred_inst.118.147
c2000004204300080b130005478024120a01040015020420f0080000000000000,0,41,p.bst.6.pred.bool.117.141
c2000004204300080b130085478024120a01040015020420f0080000000000000,0,42,m.tree_max_lemma.3.fold.pred_inst.54.66
c2000004204300080b130085478024160a01040015020420f0080000000000000,0,43,m.tree_remove_helper.2.post.pred_inst.77.93
c2000004204300080b130085478024160a01040055020420f0080000000000000,0,44,m.tree_remove_lemma_max.1.pre.pred_inst.103.122
1c2000004204300080b130085478024160a01040055020420f00a0000000000000,0,45,m.create_tree.2.post.imp.1.-1
1c2000004204300080b130885478024160a01040055020420f00a0000000000000,0,46,m.tree_max_lemma.1.pre.pred_inst.51.63
1c2000004304300080b130885478024160a01040055020420f00a0000000000000,0,47,m.tree_add_helper.3.fold.pred_inst.19.27
1c2040004304300080b130885478024160a01040055020420f00a0000000000000,0,48,m.main.2.post.bool.9.11
1c2040004304300080b130885478024160a01040055020420f40a0000000000000,0,49,p.bstRemove.6.pred.bool.118.151
1c2040004304300080b130885478124160a01040055020420f40a0000000000000,0,50,m.tree_min_lemma.1.pre.pred_inst.68.84
1c2040004304300080b130885478124160a01048055020420f40a0000000000000,0,51,m.tree_remove_lemma_left2.1.pre.pred_inst.97.115
1c2040004304300080b130895478124160a01048055020420f40a0000000000000,0,52,m.tree_min.1.pre.pred_inst.55.68
1c2040004304300080b130895478124960a01048055020420f40a0000000000000,0,53,m.tree_remove.4.unfold.pred_inst.74.90
1c2041004304300080b130895478124960a01048055020420f40a0000000000000,0,54,m.main.5.inv.bool.11.15
1c2041004304300080b130895478124960a03048055020420f40a0000000000000,0,55,m.tree_remove_lemma_left.1.pre.bool.91.107
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,0,56,m.tree_contains.4.unfold.pred_inst.22.30
1c204100430c300080b130895678124960a03048055020420f40a0000000000000,0,57,m.tree_min_helper.1.pre.pred_inst.59.73
1c204100430c300080b138895678124960a03048055020420f40a0000000000000,0,58,m.tree_max_helper.3.fold.pred_inst.49.60
1c204100430c300080b138895678124960a03048055020424f40a0000000000000,0,59,p.bst.6.pred.acc.117.144
1c204100430c340080b138895678124960a03048055020424f40a0000000000000,0,60,m.tree_contains_helper.3.fold.pred_inst.29.37
1c204100430c340080b538895678124960a03048055020424f40a0000000000000,0,61,m.tree_max_helper.2.post.bool.43.53
1c204100430c340080b538895678124960a03048055024424f40a0000000000000,0,62,m.tree_remove_lemma_right.2.post.pred_inst.112.133
1c204100430c340080b538895678124960a03058055024424f40a0000000000000,0,63,m.tree_remove_lemma_left2.1.pre.bool.97.114
1c204100430c340080b538895678124d60a03058055024424f40a0000000000000,0,64,m.tree_remove.3.fold.pred_inst.75.91
1c204100430c340080b538895678124d60a0305a055024424f40a0000000000000,0,65,m.tree_remove_lemma_left2.2.post.pred_inst.98.116
1c204100430c340080b538895678124d60a0305a055124424f40a0000000000000,0,66,m.tree_remove_lemma_min.4.unfold.pred_inst.109.129
1c204100430c340080b538895678124d60a0305a0551a4424f40a0000000000000,0,67,m.tree_remove_lemma_min.3.fold.pred_inst.110.130
1c204100430c340080b538895678124d60a0305a0551b4424f40a0000000000000,0,68,m.tree_remove_lemma_right.1.pre.pred_inst.111.132
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,0,69,m.tree_remove_helper.3.fold.pred_inst.82.98
1c204100430c340080b538895678124d62a0305a0551b5424f40a0000000000000,0,70,m.tree_remove_lemma_right.3.fold.pred_inst.114.135
