id,stress,iter,95th,5th,median,mean,stdev,min,max
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,0,10,1907982.30,1715082.5,1715082.5,1757187.9,91823.48,1668678,1978914
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,16,10,23646350.80,23252328.5,23252328.5,23309201.1,220587.30,23110624,23909284
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,0,10,1917872.00,1721999.5,1721999.5,1762770.1,87161.18,1678148,1950263
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,16,10,23965521.30,23470566.0,23470566,23546141,313135.35,23105898,24022341
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,0,10,1986730.80,1751020.0,1751020,1805927.4,111814.94,1687899,2025636
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,16,10,28874552.05,28561388.5,28561388.5,28474960.7,303990.36,28093038,28977310
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,0,10,2495682.45,1697838.5,1697838.5,1846076.5,397421.33,1669133,2954637
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,16,10,22955089.40,22512377.5,22512377.5,22582091.7,237950.48,22339999,23161733
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,0,10,1906413.85,1700829.0,1700829,1744065.5,93624.10,1668156,1938988
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,16,10,7133920.55,6969373.0,6969373,6973642.5,108764.36,6832764,7169534
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,0,10,1858623.05,1696355.0,1696355,1722737.7,74517.59,1670300,1905248
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,16,10,20926450.00,20404187.5,20404187.5,20502591.5,246825.17,20227088,20963863
c2000004204200080a130000458024120a00040014020000b0080000000000000,0,10,2345018.85,1720027.0,1720027,1850348.2,286641.08,1679338,2610450
c2000004204200080a130000458024120a00040014020000b0080000000000000,16,10,4654108.75,4495200.0,4495200,4508727.7,110742.77,4339927,4654318
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,0,10,1922684.40,1709635.0,1709635,1750264,94634.24,1672450,1938969
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,16,10,7071409.55,6949960.5,6949960.5,6942380.1,121457.11,6737133,7079375
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,0,10,1898872.40,1758519.5,1758519.5,1791566.6,69577.46,1703840,1916777
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,16,10,7061351.60,6973866.0,6973866,6963523.5,104545.62,6712569,7063931
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,0,10,1898481.85,1744809.5,1744809.5,1766512.7,80602.11,1681049,1942990
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,16,10,6822445.25,6741369.0,6741369,6732882.6,76030.45,6600593,6841883
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffabffdffb87ee73f,0,10,1900084.00,1763886.5,1763886.5,1781474.3,81374.99,1676380,1928740
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffabffdffb87ee73f,16,10,28777671.65,28198498.5,28198498.5,28271886.5,318896.06,27952891,29078039
c2000004204300080b130005478024120a01040015020400b0080000000000000,0,10,1897036.90,1804513.0,1804513,1803863,64931.24,1705329,1922632
c2000004204300080b130005478024120a01040015020400b0080000000000000,16,10,5489780.35,5315720.5,5315720.5,5339954.2,84767.17,5237848,5496763
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210104312,0,10,1968699.75,1760714.0,1760714,1795648.9,103637.63,1695957,2010219
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210104312,16,10,23364932.85,22666697.5,22666697.5,22736618.8,366667.27,22194824,23412807
3dbc5b73775d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,0,10,1944778.30,1760463.5,1760463.5,1804535.5,95941.87,1716241,1995991
3dbc5b73775d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,16,10,25581265.15,25062288.0,25062288,25102937,315147.01,24815233,25921948
