id,stress,iter,95th,5th,median,mean,stdev,min,max
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,0,10,2826118.30,1864760.5,1864760.5,2020365.4,525334.49,1744951,3489853
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,16,10,3047280.60,2903102.5,2903102.5,2930961.5,69206.94,2855582,3065646
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,0,10,6888138.70,1911405.0,1911405,2830781.2,2233171.08,1774935,8636269
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,16,10,14121760.30,13918603.0,13918603,13916834.2,146735.99,13653612,14154388
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,0,10,2016852.65,1852945.0,1852945,1870858.7,91764.20,1772636,2088665
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,16,10,13849792.35,13737264.0,13737264,13730135.1,108645.90,13575881,13852266
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,0,10,2026681.60,1826127.0,1826127,1859004.1,106524.32,1754480,2094583
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,16,10,5915961.70,5782922.5,5782922.5,5768050.2,107589.19,5626700,5938468
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,0,10,2003573.20,1803447.0,1803447,1844244.1,97362.78,1739620,2037874
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,16,10,2961560.35,2868334.0,2868334,2852189.4,87503.07,2729873,2986633
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,0,10,3147846.45,1790978.5,1790978.5,2040235.3,717931.39,1741589,4068852
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,16,10,6035960.80,5831521.5,5831521.5,5863453.8,91752.93,5794793,6066244
c2000004204200080a130000458024120a00040014020000b0080000000000000,0,10,2097671.60,1834143.0,1834143,1866853.5,131299.48,1729859,2143397
c2000004204200080a130000458024120a00040014020000b0080000000000000,16,10,2392880.50,2285037.5,2285037.5,2280907.5,76292.58,2170892,2403955
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,0,10,2184708.40,1878600.0,1878600,1923152.5,157190.15,1756103,2256541
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,16,10,2912049.00,2788689.0,2788689,2800584.3,71729.31,2692393,2936934
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,0,10,2084375.30,1857222.0,1857222,1885467,121693.23,1746900,2140493
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,16,10,2971060.55,2723068.0,2723068,2764417.3,112378.29,2665206,3031775
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,0,10,2039704.95,1869020.5,1869020.5,1880446.1,106377.84,1762611,2097660
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,16,10,2785006.05,2715261.5,2715261.5,2720534.6,44919.14,2653664,2787801
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffabffdffb87ee73f,0,10,1994407.25,1843707.0,1843707,1867269.9,75200.67,1764467,2035769
7dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbedd3b7dfeffabffdffb87ee73f,16,10,16012718.40,15743364.0,15743364,15769031.8,150522.19,15572849,16145409
