id,stress,iter,95th,5th,median,mean,stdev,min,max
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,0,10,1875288.75,1690058.0,1690058,1722963.4,83599.07,1659370,1926861
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,16,10,1982307.55,1893645.5,1893645.5,1904537.8,45711.09,1859215,2014114
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,0,10,2316582.85,1748217.0,1748217,1835800.1,305692.66,1642938,2679682
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,16,10,1976335.70,1907733.0,1907733,1915426.2,44466.38,1840020,1981112
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,0,10,1857663.95,1697880.5,1697880.5,1721631.7,75933.84,1649829,1872941
3dbd5b77775d7d75dbb7fdbb76fbb75d7febb6dbadd3b7dfeffaa3edfb901ec337,16,10,2009471.55,1899739.0,1899739,1921473.6,55693.06,1854929,2017932
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,0,10,1896136.20,1688421.5,1688421.5,1743429.5,93773.29,1670412,1960263
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,16,10,2502216.35,1918975.5,1918975.5,2020361.1,298247.03,1865026,2853710
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,0,10,1908026.55,1723315.5,1723315.5,1771248,86373.53,1694360,1915281
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,16,10,2038045.75,1925557.0,1925557,1937762.3,65451.96,1869873,2069170
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,0,10,2294591.65,1746867.5,1746867.5,1861088.5,274458.62,1662998,2602384
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,16,10,2018941.20,1910258.5,1910258.5,1932174.2,60441.98,1864667,2029617
c2000004204200080a130000458024120a00040014020000b0080000000000000,0,10,1850694.20,1719131.0,1719131,1745428.3,65760.11,1679987,1875986
c2000004204200080a130000458024120a00040014020000b0080000000000000,16,10,1981506.00,1910819.0,1910819,1915256.6,50311.54,1851927,1991262
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,0,10,1943662.85,1754590.5,1754590.5,1778457.1,94398.51,1678705,1963646
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,16,10,2568486.90,1954979.5,1954979.5,2059089.7,309980.41,1864343,2901810
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,0,10,1888768.75,1736566.0,1736566,1767623.3,81767.58,1683598,1907842
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,16,10,2047201.10,1922314.0,1922314,1945203.3,67454.57,1876435,2081285
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,0,10,2371873.65,1776521.0,1776521,1865290,315870.53,1664611,2727780
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,16,10,2042374.95,1932589.0,1932589,1947483.5,55347.72,1891731,2073906
