id,iter,95th,5th,median,mean,stdev,min,max
80000000000000000,10,87872834,87872834,87872834,87872834,0,87872834,87872834
2000000000000000000000000000000000000000000000080000000000000000,10,28179525,28179525,28179525,28179525,0,28179525,28179525
2000000000200000000000000000000000000000000000080000000000000000,10,21672759,21672759,21672759,21672759,0,21672759,21672759
82000000000200000000000000000000000000000000000080000000000000000,10,22494979,22494979,22494979,22494979,0,22494979,22494979
82000000000200000000000001000000000000000000000080000000000000000,10,15870177,15870177,15870177,15870177,0,15870177,15870177
82000000000200000000000001800000000000000000000080000000000000000,10,12906437,12906437,12906437,12906437,0,12906437,12906437
82000000000200000000000001800000000000000002000080000000000000000,10,13512408,13512408,13512408,13512408,0,13512408,13512408
82000000000200000000000001800002000000000002000080000000000000000,10,12258888,12258888,12258888,12258888,0,12258888,12258888
82000000000200000000000001802002000000000002000080000000000000000,10,11751885,11751885,11751885,11751885,0,11751885,11751885
82000000000200000000000001802002000000000402000080000000000000000,10,11452680,11452680,11452680,11452680,0,11452680,11452680
82000000000200000000000001802002000000000402000090000000000000000,10,11440966,11440966,11440966,11440966,0,11440966,11440966
82000000000200000000000041802002000000000402000090000000000000000,10,11089379,11089379,11089379,11089379,0,11089379,11089379
82000000000200000000000041802002000000001402000090000000000000000,10,11258141,11258141,11258141,11258141,0,11258141,11258141
820000000002000000000000418020020000000014020000b0000000000000000,10,12377360,12377360,12377360,12377360,0,12377360,12377360
820000000002000000000000418020120000000014020000b0000000000000000,10,13819464,13819464,13819464,13819464,0,13819464,13819464
820000000002000000100000418020120000000014020000b0000000000000000,10,11189590,11189590,11189590,11189590,0,11189590,11189590
820000000002000000100000418020120800000014020000b0000000000000000,10,11105634,11105634,11105634,11105634,0,11105634,11105634
820000000002000000110000418020120800000014020000b0000000000000000,10,11172104,11172104,11172104,11172104,0,11172104,11172104
820000000002000000130000418020120800000014020000b0000000000000000,10,10010335,10010335,10010335,10010335,0,10010335,10010335
820000000002000000130000458020120800000014020000b0000000000000000,10,9858281,9858281,9858281,9858281,0,9858281,9858281
820000000042000000130000458020120800000014020000b0000000000000000,10,9818557,9818557,9818557,9818557,0,9818557,9818557
820000000042000000130000458020120800040014020000b0000000000000000,10,10355760,10355760,10355760,10355760,0,10355760,10355760
820000000042000000130000458020120a00040014020000b0000000000000000,10,10695807,10695807,10695807,10695807,0,10695807,10695807
c20000000042000000130000458020120a00040014020000b0000000000000000,10,9807703,9807703,9807703,9807703,0,9807703,9807703
c20000000042000800130000458020120a00040014020000b0000000000000000,10,9774196,9774196,9774196,9774196,0,9774196,9774196
c20000000042000808130000458020120a00040014020000b0000000000000000,10,10003156,10003156,10003156,10003156,0,10003156,10003156
c20000000042000808130000458020120a00040014020000b0080000000000000,10,9578966,9578966,9578966,9578966,0,9578966,9578966
c20000000042000808130000458024120a00040014020000b0080000000000000,10,11720058,11720058,11720058,11720058,0,11720058,11720058
c20000040042000808130000458024120a00040014020000b0080000000000000,10,9939348,9939348,9939348,9939348,0,9939348,9939348
c20000042042000808130000458024120a00040014020000b0080000000000000,10,9684217,9684217,9684217,9684217,0,9684217,9684217
c2000004204200080a130000458024120a00040014020000b0080000000000000,10,9498470,9498470,9498470,9498470,0,9498470,9498470
c2000004204200080b130000458024120a00040014020000b0080000000000000,10,10052304,10052304,10052304,10052304,0,10052304,10052304
c2000004204200080b130000478024120a00040014020000b0080000000000000,10,9518644,9518644,9518644,9518644,0,9518644,9518644
c2000004204200080b130000478024120a00040014020400b0080000000000000,10,9736505,9736505,9736505,9736505,0,9736505,9736505
c2000004204200080b130000478024120a01040014020400b0080000000000000,10,10599631,10599631,10599631,10599631,0,10599631,10599631
c2000004204200080b130000478024120a01040015020400b0080000000000000,10,9741830,9741830,9741830,9741830,0,9741830,9741830
c2000004204200080b130004478024120a01040015020400b0080000000000000,10,9961656,9961656,9961656,9961656,0,9961656,9961656
c2000004204200080b130005478024120a01040015020400b0080000000000000,10,10228621,10228621,10228621,10228621,0,10228621,10228621
c2000004204300080b130005478024120a01040015020400b0080000000000000,10,9744188,9744188,9744188,9744188,0,9744188,9744188
c2000004204300080b130005478024120a01040015020400f0080000000000000,10,9919729,9919729,9919729,9919729,0,9919729,9919729
c2000004204300080b130005478024120a01040015020420f0080000000000000,10,11107078,11107078,11107078,11107078,0,11107078,11107078
c2000004204300080b130085478024120a01040015020420f0080000000000000,10,10100819,10100819,10100819,10100819,0,10100819,10100819
c2000004204300080b130085478024160a01040015020420f0080000000000000,10,11226887,11226887,11226887,11226887,0,11226887,11226887
c2000004204300080b130085478024160a01040055020420f0080000000000000,10,10834988,10834988,10834988,10834988,0,10834988,10834988
1c2000004204300080b130085478024160a01040055020420f00a0000000000000,10,10316732,10316732,10316732,10316732,0,10316732,10316732
1c2000004204300080b130885478024160a01040055020420f00a0000000000000,10,9838978,9838978,9838978,9838978,0,9838978,9838978
1c2000004304300080b130885478024160a01040055020420f00a0000000000000,10,9948419,9948419,9948419,9948419,0,9948419,9948419
1c2040004304300080b130885478024160a01040055020420f00a0000000000000,10,9913418,9913418,9913418,9913418,0,9913418,9913418
1c2040004304300080b130885478024160a01040055020420f40a0000000000000,10,13026095,13026095,13026095,13026095,0,13026095,13026095
1c2040004304300080b130885478124160a01040055020420f40a0000000000000,10,10853576,10853576,10853576,10853576,0,10853576,10853576
1c2040004304300080b130885478124160a01048055020420f40a0000000000000,10,10934416,10934416,10934416,10934416,0,10934416,10934416
1c2040004304300080b130895478124160a01048055020420f40a0000000000000,10,10741004,10741004,10741004,10741004,0,10741004,10741004
1c2040004304300080b130895478124960a01048055020420f40a0000000000000,10,10418460,10418460,10418460,10418460,0,10418460,10418460
1c2041004304300080b130895478124960a01048055020420f40a0000000000000,10,10234893,10234893,10234893,10234893,0,10234893,10234893
1c2041004304300080b130895478124960a03048055020420f40a0000000000000,10,11563776,11563776,11563776,11563776,0,11563776,11563776
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,10,10137587,10137587,10137587,10137587,0,10137587,10137587
1c204100430c300080b130895678124960a03048055020420f40a0000000000000,10,10430462,10430462,10430462,10430462,0,10430462,10430462
1c204100430c300080b138895678124960a03048055020420f40a0000000000000,10,10323850,10323850,10323850,10323850,0,10323850,10323850
1c204100430c300080b138895678124960a03048055020424f40a0000000000000,10,10350674,10350674,10350674,10350674,0,10350674,10350674
1c204100430c340080b138895678124960a03048055020424f40a0000000000000,10,10357139,10357139,10357139,10357139,0,10357139,10357139
1c204100430c340080b538895678124960a03048055020424f40a0000000000000,10,16686178,16686178,16686178,16686178,0,16686178,16686178
1c204100430c340080b538895678124960a03048055024424f40a0000000000000,10,10464969,10464969,10464969,10464969,0,10464969,10464969
1c204100430c340080b538895678124960a03058055024424f40a0000000000000,10,10475084,10475084,10475084,10475084,0,10475084,10475084
1c204100430c340080b538895678124d60a03058055024424f40a0000000000000,10,10885257,10885257,10885257,10885257,0,10885257,10885257
1c204100430c340080b538895678124d60a0305a055024424f40a0000000000000,10,10117370,10117370,10117370,10117370,0,10117370,10117370
1c204100430c340080b538895678124d60a0305a055124424f40a0000000000000,10,10425673,10425673,10425673,10425673,0,10425673,10425673
1c204100430c340080b538895678124d60a0305a0551a4424f40a0000000000000,10,10178517,10178517,10178517,10178517,0,10178517,10178517
1c204100430c340080b538895678124d60a0305a0551b4424f40a0000000000000,10,10252838,10252838,10252838,10252838,0,10252838,10252838
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,10,10409886,10409886,10409886,10409886,0,10409886,10409886
1c204100430c340080b538895678124d62a0305a0551b5424f40a0000000000000,10,10772358,10772358,10772358,10772358,0,10772358,10772358
1c204100430c340080b538895678124d62a0305a2551b5424f40a0000000000000,10,10613449,10613449,10613449,10613449,0,10613449,10613449
1c204100430c341080b538895678124d62a0305a2551b5424f40a0000000000000,10,10525437,10525437,10525437,10525437,0,10525437,10525437
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,10,10153439,10153439,10153439,10153439,0,10153439,10153439
1c204100430c341080b5b8895678124d62a0305a2551b5424f42a0000000000000,10,10266882,10266882,10266882,10266882,0,10266882,10266882
1c204100430c341082b5b8895678124d62a0305a2551b5424f42a0000000000000,10,10174478,10174478,10174478,10174478,0,10174478,10174478
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,10,10406641,10406641,10406641,10406641,0,10406641,10406641
1c204100430c341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,10153108,10153108,10153108,10153108,0,10153108,10153108
1c204100430d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,10357685,10357685,10357685,10357685,0,10357685,10357685
1c204102430d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,10382593,10382593,10382593,10382593,0,10382593,10382593
1c204102470d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,10440805,10440805,10440805,10440805,0,10440805,10440805
1c204102470d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,10361774,10361774,10361774,10361774,0,10361774,10361774
1c204102570d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,10342553,10342553,10342553,10342553,0,10342553,10342553
1c284102570d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,13206763,13206763,13206763,13206763,0,13206763,13206763
1c284102570d341092b5b88956f8124d62a0305a2551b5426f52a0000000000000,10,10961916,10961916,10961916,10961916,0,10961916,10961916
1c284102570d341092b5b88956f8124d62a0305a2551b5426f52a0080000000000,10,10749470,10749470,10749470,10749470,0,10749470,10749470
1c284102570d341092b5b88956f8134d62a0305a2551b5426f52a0080000000000,10,11337452,11337452,11337452,11337452,0,11337452,11337452
1c284102570d341092b5b88956f8134d62a0305a2551b5426f52a2080000000000,10,10179395,10179395,10179395,10179395,0,10179395,10179395
1c284102570d341092b5b88956f8134d66a0305a2551b5426f52a2080000000000,10,10174451,10174451,10174451,10174451,0,10174451,10174451
1c284102570d341092b5b88956f8134d66a0305a2551b5466f52a2080000000000,10,10735101,10735101,10735101,10735101,0,10735101,10735101
1c284102570d341092b5b88956f8134d66a0305a2551b5466f72a2080000000000,10,10480845,10480845,10480845,10480845,0,10480845,10480845
1c284102570d341092b5b88956f8134d66a0305a2551b5566f72a2080000000000,10,10566083,10566083,10566083,10566083,0,10566083,10566083
