id,iter,95th,5th,median,mean,stdev,min,max
80000000000000000,10,270231677,270231677,270231677,270231677,0,270231677,270231677
2000000000000000000000000000000000000000000000080000000000000000,10,89960310,89960310,89960310,89960310,0,89960310,89960310
2000000000200000000000000000000000000000000000080000000000000000,10,73667021,73667021,73667021,73667021,0,73667021,73667021
82000000000200000000000000000000000000000000000080000000000000000,10,66545662,66545662,66545662,66545662,0,66545662,66545662
82000000000200000000000001000000000000000000000080000000000000000,10,65568536,65568536,65568536,65568536,0,65568536,65568536
82000000000200000000000001800000000000000000000080000000000000000,10,54385743,54385743,54385743,54385743,0,54385743,54385743
82000000000200000000000001800000000000000002000080000000000000000,10,47267220,47267220,47267220,47267220,0,47267220,47267220
82000000000200000000000001800002000000000002000080000000000000000,10,43026438,43026438,43026438,43026438,0,43026438,43026438
82000000000200000000000001802002000000000002000080000000000000000,10,41476107,41476107,41476107,41476107,0,41476107,41476107
82000000000200000000000001802002000000000402000080000000000000000,10,39301019,39301019,39301019,39301019,0,39301019,39301019
82000000000200000000000001802002000000000402000090000000000000000,10,36324689,36324689,36324689,36324689,0,36324689,36324689
82000000000200000000000041802002000000000402000090000000000000000,10,37091221,37091221,37091221,37091221,0,37091221,37091221
82000000000200000000000041802002000000001402000090000000000000000,10,43709154,43709154,43709154,43709154,0,43709154,43709154
820000000002000000000000418020020000000014020000b0000000000000000,10,40413874,40413874,40413874,40413874,0,40413874,40413874
820000000002000000000000418020120000000014020000b0000000000000000,10,29741393,29741393,29741393,29741393,0,29741393,29741393
820000000002000000100000418020120000000014020000b0000000000000000,10,28612123,28612123,28612123,28612123,0,28612123,28612123
820000000002000000100000418020120800000014020000b0000000000000000,10,29700445,29700445,29700445,29700445,0,29700445,29700445
820000000002000000110000418020120800000014020000b0000000000000000,10,26200756,26200756,26200756,26200756,0,26200756,26200756
820000000002000000130000418020120800000014020000b0000000000000000,10,30415544,30415544,30415544,30415544,0,30415544,30415544
820000000002000000130000458020120800000014020000b0000000000000000,10,23606911,23606911,23606911,23606911,0,23606911,23606911
820000000042000000130000458020120800000014020000b0000000000000000,10,23657314,23657314,23657314,23657314,0,23657314,23657314
820000000042000000130000458020120800040014020000b0000000000000000,10,23279706,23279706,23279706,23279706,0,23279706,23279706
820000000042000000130000458020120a00040014020000b0000000000000000,10,22264504,22264504,22264504,22264504,0,22264504,22264504
c20000000042000000130000458020120a00040014020000b0000000000000000,10,22636440,22636440,22636440,22636440,0,22636440,22636440
c20000000042000800130000458020120a00040014020000b0000000000000000,10,20880499,20880499,20880499,20880499,0,20880499,20880499
c20000000042000808130000458020120a00040014020000b0000000000000000,10,19052706,19052706,19052706,19052706,0,19052706,19052706
c20000000042000808130000458020120a00040014020000b0080000000000000,10,19233573,19233573,19233573,19233573,0,19233573,19233573
c20000000042000808130000458024120a00040014020000b0080000000000000,10,19250849,19250849,19250849,19250849,0,19250849,19250849
c20000040042000808130000458024120a00040014020000b0080000000000000,10,18462170,18462170,18462170,18462170,0,18462170,18462170
c20000042042000808130000458024120a00040014020000b0080000000000000,10,18022987,18022987,18022987,18022987,0,18022987,18022987
c2000004204200080a130000458024120a00040014020000b0080000000000000,10,17355253,17355253,17355253,17355253,0,17355253,17355253
c2000004204200080b130000458024120a00040014020000b0080000000000000,10,18072846,18072846,18072846,18072846,0,18072846,18072846
c2000004204200080b130000478024120a00040014020000b0080000000000000,10,17740538,17740538,17740538,17740538,0,17740538,17740538
c2000004204200080b130000478024120a00040014020400b0080000000000000,10,17894156,17894156,17894156,17894156,0,17894156,17894156
c2000004204200080b130000478024120a01040014020400b0080000000000000,10,17179131,17179131,17179131,17179131,0,17179131,17179131
c2000004204200080b130000478024120a01040015020400b0080000000000000,10,17317371,17317371,17317371,17317371,0,17317371,17317371
c2000004204200080b130004478024120a01040015020400b0080000000000000,10,16216452,16216452,16216452,16216452,0,16216452,16216452
c2000004204200080b130005478024120a01040015020400b0080000000000000,10,20068009,20068009,20068009,20068009,0,20068009,20068009
c2000004204300080b130005478024120a01040015020400b0080000000000000,10,16480023,16480023,16480023,16480023,0,16480023,16480023
c2000004204300080b130005478024120a01040015020400f0080000000000000,10,15650707,15650707,15650707,15650707,0,15650707,15650707
c2000004204300080b130005478024120a01040015020420f0080000000000000,10,15776191,15776191,15776191,15776191,0,15776191,15776191
c2000004204300080b130085478024120a01040015020420f0080000000000000,10,15480456,15480456,15480456,15480456,0,15480456,15480456
c2000004204300080b130085478024160a01040015020420f0080000000000000,10,19834724,19834724,19834724,19834724,0,19834724,19834724
c2000004204300080b130085478024160a01040055020420f0080000000000000,10,16016071,16016071,16016071,16016071,0,16016071,16016071
1c2000004204300080b130085478024160a01040055020420f00a0000000000000,10,15532626,15532626,15532626,15532626,0,15532626,15532626
1c2000004204300080b130885478024160a01040055020420f00a0000000000000,10,14988706,14988706,14988706,14988706,0,14988706,14988706
1c2000004304300080b130885478024160a01040055020420f00a0000000000000,10,15065533,15065533,15065533,15065533,0,15065533,15065533
1c2040004304300080b130885478024160a01040055020420f00a0000000000000,10,14598275,14598275,14598275,14598275,0,14598275,14598275
1c2040004304300080b130885478024160a01040055020420f40a0000000000000,10,18622995,18622995,18622995,18622995,0,18622995,18622995
1c2040004304300080b130885478124160a01040055020420f40a0000000000000,10,14947575,14947575,14947575,14947575,0,14947575,14947575
1c2040004304300080b130885478124160a01048055020420f40a0000000000000,10,14025625,14025625,14025625,14025625,0,14025625,14025625
1c2040004304300080b130895478124160a01048055020420f40a0000000000000,10,13544427,13544427,13544427,13544427,0,13544427,13544427
1c2040004304300080b130895478124960a01048055020420f40a0000000000000,10,13947682,13947682,13947682,13947682,0,13947682,13947682
1c2041004304300080b130895478124960a01048055020420f40a0000000000000,10,13414517,13414517,13414517,13414517,0,13414517,13414517
1c2041004304300080b130895478124960a03048055020420f40a0000000000000,10,13498924,13498924,13498924,13498924,0,13498924,13498924
1c204100430c300080b130895478124960a03048055020420f40a0000000000000,10,13265829,13265829,13265829,13265829,0,13265829,13265829
1c204100430c300080b130895678124960a03048055020420f40a0000000000000,10,13251828,13251828,13251828,13251828,0,13251828,13251828
1c204100430c300080b138895678124960a03048055020420f40a0000000000000,10,13636803,13636803,13636803,13636803,0,13636803,13636803
1c204100430c300080b138895678124960a03048055020424f40a0000000000000,10,31058591,31058591,31058591,31058591,0,31058591,31058591
1c204100430c340080b138895678124960a03048055020424f40a0000000000000,10,19130150,19130150,19130150,19130150,0,19130150,19130150
1c204100430c340080b538895678124960a03048055020424f40a0000000000000,10,17571575,17571575,17571575,17571575,0,17571575,17571575
1c204100430c340080b538895678124960a03048055024424f40a0000000000000,10,18164845,18164845,18164845,18164845,0,18164845,18164845
1c204100430c340080b538895678124960a03058055024424f40a0000000000000,10,17543127,17543127,17543127,17543127,0,17543127,17543127
1c204100430c340080b538895678124d60a03058055024424f40a0000000000000,10,19922483,19922483,19922483,19922483,0,19922483,19922483
1c204100430c340080b538895678124d60a0305a055024424f40a0000000000000,10,15549224,15549224,15549224,15549224,0,15549224,15549224
1c204100430c340080b538895678124d60a0305a055124424f40a0000000000000,10,14840432,14840432,14840432,14840432,0,14840432,14840432
1c204100430c340080b538895678124d60a0305a0551a4424f40a0000000000000,10,14448451,14448451,14448451,14448451,0,14448451,14448451
1c204100430c340080b538895678124d60a0305a0551b4424f40a0000000000000,10,13791566,13791566,13791566,13791566,0,13791566,13791566
1c204100430c340080b538895678124d62a0305a0551b4424f40a0000000000000,10,18565327,18565327,18565327,18565327,0,18565327,18565327
1c204100430c340080b538895678124d62a0305a0551b5424f40a0000000000000,10,13397901,13397901,13397901,13397901,0,13397901,13397901
1c204100430c340080b538895678124d62a0305a2551b5424f40a0000000000000,10,13043912,13043912,13043912,13043912,0,13043912,13043912
1c204100430c341080b538895678124d62a0305a2551b5424f40a0000000000000,10,13173125,13173125,13173125,13173125,0,13173125,13173125
1c204100430c341080b538895678124d62a0305a2551b5424f42a0000000000000,10,14121776,14121776,14121776,14121776,0,14121776,14121776
1c204100430c341080b5b8895678124d62a0305a2551b5424f42a0000000000000,10,13317518,13317518,13317518,13317518,0,13317518,13317518
1c204100430c341082b5b8895678124d62a0305a2551b5424f42a0000000000000,10,13301277,13301277,13301277,13301277,0,13301277,13301277
1c204100430c341082b5b88956f8124d62a0305a2551b5424f42a0000000000000,10,13016745,13016745,13016745,13016745,0,13016745,13016745
1c204100430c341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,13111756,13111756,13111756,13111756,0,13111756,13111756
1c204100430d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,12912211,12912211,12912211,12912211,0,12912211,12912211
1c204102430d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,13132351,13132351,13132351,13132351,0,13132351,13132351
1c204102470d341082b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,13411064,13411064,13411064,13411064,0,13411064,13411064
1c204102470d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,12578521,12578521,12578521,12578521,0,12578521,12578521
1c204102570d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,13218109,13218109,13218109,13218109,0,13218109,13218109
1c284102570d341092b5b88956f8124d62a0305a2551b5426f42a0000000000000,10,12471652,12471652,12471652,12471652,0,12471652,12471652
1c284102570d341092b5b88956f8124d62a0305a2551b5426f52a0000000000000,10,12561138,12561138,12561138,12561138,0,12561138,12561138
1c284102570d341092b5b88956f8124d62a0305a2551b5426f52a0080000000000,10,12424277,12424277,12424277,12424277,0,12424277,12424277
1c284102570d341092b5b88956f8134d62a0305a2551b5426f52a0080000000000,10,13092807,13092807,13092807,13092807,0,13092807,13092807
1c284102570d341092b5b88956f8134d62a0305a2551b5426f52a2080000000000,10,12579906,12579906,12579906,12579906,0,12579906,12579906
1c284102570d341092b5b88956f8134d66a0305a2551b5426f52a2080000000000,10,12511880,12511880,12511880,12511880,0,12511880,12511880
1c284102570d341092b5b88956f8134d66a0305a2551b5466f52a2080000000000,10,12376549,12376549,12376549,12376549,0,12376549,12376549
1c284102570d341092b5b88956f8134d66a0305a2551b5466f72a2080000000000,10,12868506,12868506,12868506,12868506,0,12868506,12868506
1c284102570d341092b5b88956f8134d66a0305a2551b5566f72a2080000000000,10,12389976,12389976,12389976,12389976,0,12389976,12389976
1c284112570d341092b5b88956f8134d66a0305a2551b5566f72a2080000000000,10,16006948,16006948,16006948,16006948,0,16006948,16006948
1c284112570d341093b5b88956f8134d66a0305a2551b5566f72a2080000000000,10,12267476,12267476,12267476,12267476,0,12267476,12267476
1c284112570d741093b5b88956f8134d66a0305a2551b5566f72a2080000000000,10,11900617,11900617,11900617,11900617,0,11900617,11900617
1c284112570d741093b7b88956f8134d66a0305a2551b5566f72a2080000000000,10,11915561,11915561,11915561,11915561,0,11915561,11915561
1c284112570d741093b7b88956f8134d66a1305a2551b5566f72a2080000000000,10,11865535,11865535,11865535,11865535,0,11865535,11865535
1c284112570d741093b7b88956f8134d66a1305b2551b5566f72a2080000000000,10,11801034,11801034,11801034,11801034,0,11801034,11801034
1d284112570d741093b7b88956f8134d66a1305b2551b5566f72a2080000000000,10,12002707,12002707,12002707,12002707,0,12002707,12002707
1d2c4112570d741093b7b88956f8134d66a1305b2551b5566f72a2080000000000,10,12031282,12031282,12031282,12031282,0,12031282,12031282
1d2c4112570d741093b7b98956f8134d66a1305b2551b5566f72a2080000000000,10,11908983,11908983,11908983,11908983,0,11908983,11908983
1d2c4112570d74109bb7b98956f8134d66a1305b2551b5566f72a2080000000000,10,15832390,15832390,15832390,15832390,0,15832390,15832390
1d2c4112570d74109bb7b98956f8134d66a9305b2551b5566f72a2080000000000,10,11676898,11676898,11676898,11676898,0,11676898,11676898
1d2c4112570d74109bb7b98956f8134d66a9305b2551b5576f72a2080000000000,10,11579105,11579105,11579105,11579105,0,11579105,11579105
1d2c4112570d74109bb7b98956f8334d66a9305b2551b5576f72a2080000000000,10,11700443,11700443,11700443,11700443,0,11700443,11700443
