id,iter,95th,5th,median,mean,stdev,min,max
80000000000000000,10,3339568665,3339568665,3339568665,3339568665,0,3339568665,3339568665
2000000000000000000000000000000000000000000000080000000000000000,10,561756617,561756617,561756617,561756617,0,561756617,561756617
2000000000200000000000000000000000000000000000080000000000000000,10,518423814,518423814,518423814,518423814,0,518423814,518423814
82000000000200000000000000000000000000000000000080000000000000000,10,496588694,496588694,496588694,496588694,0,496588694,496588694
82000000000200000000000001000000000000000000000080000000000000000,10,440242981,440242981,440242981,440242981,0,440242981,440242981
82000000000200000000000001800000000000000000000080000000000000000,10,424428779,424428779,424428779,424428779,0,424428779,424428779
82000000000200000000000001800000000000000002000080000000000000000,10,418850721,418850721,418850721,418850721,0,418850721,418850721
82000000000200000000000001800002000000000002000080000000000000000,10,429576708,429576708,429576708,429576708,0,429576708,429576708
82000000000200000000000001802002000000000002000080000000000000000,10,370966666,370966666,370966666,370966666,0,370966666,370966666
82000000000200000000000001802002000000000402000080000000000000000,10,408757451,408757451,408757451,408757451,0,408757451,408757451
82000000000200000000000001802002000000000402000090000000000000000,10,370127723,370127723,370127723,370127723,0,370127723,370127723
82000000000200000000000041802002000000000402000090000000000000000,10,397203383,397203383,397203383,397203383,0,397203383,397203383
82000000000200000000000041802002000000001402000090000000000000000,10,384302805,384302805,384302805,384302805,0,384302805,384302805
820000000002000000000000418020020000000014020000b0000000000000000,10,415454730,415454730,415454730,415454730,0,415454730,415454730
820000000002000000000000418020120000000014020000b0000000000000000,10,401798111,401798111,401798111,401798111,0,401798111,401798111
820000000002000000100000418020120000000014020000b0000000000000000,10,395537994,395537994,395537994,395537994,0,395537994,395537994
820000000002000000100000418020120800000014020000b0000000000000000,10,392382861,392382861,392382861,392382861,0,392382861,392382861
820000000002000000110000418020120800000014020000b0000000000000000,10,360740951,360740951,360740951,360740951,0,360740951,360740951
820000000002000000130000418020120800000014020000b0000000000000000,10,357022241,357022241,357022241,357022241,0,357022241,357022241
820000000002000000130000458020120800000014020000b0000000000000000,10,414705481,414705481,414705481,414705481,0,414705481,414705481
820000000042000000130000458020120800000014020000b0000000000000000,10,334459279,334459279,334459279,334459279,0,334459279,334459279
820000000042000000130000458020120800040014020000b0000000000000000,10,372595803,372595803,372595803,372595803,0,372595803,372595803
820000000042000000130000458020120a00040014020000b0000000000000000,10,348871770,348871770,348871770,348871770,0,348871770,348871770
c20000000042000000130000458020120a00040014020000b0000000000000000,10,365891324,365891324,365891324,365891324,0,365891324,365891324
c20000000042000800130000458020120a00040014020000b0000000000000000,10,350986804,350986804,350986804,350986804,0,350986804,350986804
c20000000042000808130000458020120a00040014020000b0000000000000000,10,363606814,363606814,363606814,363606814,0,363606814,363606814
c20000000042000808130000458020120a00040014020000b0080000000000000,10,368103229,368103229,368103229,368103229,0,368103229,368103229
c20000000042000808130000458024120a00040014020000b0080000000000000,10,385429107,385429107,385429107,385429107,0,385429107,385429107
c20000040042000808130000458024120a00040014020000b0080000000000000,10,375707973,375707973,375707973,375707973,0,375707973,375707973
c20000042042000808130000458024120a00040014020000b0080000000000000,10,360488034,360488034,360488034,360488034,0,360488034,360488034
c2000004204200080a130000458024120a00040014020000b0080000000000000,10,372295058,372295058,372295058,372295058,0,372295058,372295058
c2000004204200080b130000458024120a00040014020000b0080000000000000,10,375212537,375212537,375212537,375212537,0,375212537,375212537
c2000004204200080b130000478024120a00040014020000b0080000000000000,10,400454549,400454549,400454549,400454549,0,400454549,400454549
c2000004204200080b130000478024120a00040014020400b0080000000000000,10,390971526,390971526,390971526,390971526,0,390971526,390971526
c2000004204200080b130000478024120a01040014020400b0080000000000000,10,404043089,404043089,404043089,404043089,0,404043089,404043089
c2000004204200080b130000478024120a01040015020400b0080000000000000,10,382793603,382793603,382793603,382793603,0,382793603,382793603
c2000004204200080b130004478024120a01040015020400b0080000000000000,10,354735611,354735611,354735611,354735611,0,354735611,354735611
c2000004204200080b130005478024120a01040015020400b0080000000000000,10,359470763,359470763,359470763,359470763,0,359470763,359470763
c2000004204300080b130005478024120a01040015020400b0080000000000000,10,377062821,377062821,377062821,377062821,0,377062821,377062821
c2000004204300080b130005478024120a01040015020400f0080000000000000,10,401725560,401725560,401725560,401725560,0,401725560,401725560
c2000004204300080b130005478024120a01040015020420f0080000000000000,10,430952327,430952327,430952327,430952327,0,430952327,430952327
c2000004204300080b130085478024120a01040015020420f0080000000000000,10,389849358,389849358,389849358,389849358,0,389849358,389849358
