id,stress,iter,median,mean,stdev,min,max
678244cc68f696dcf42954437637ae3375ffcd,0,3,2898917,21827444,32875459,2794709,59788708
678244cc68f696dcf42954437637ae3375ffcd,2,3,3314833,23006236,34253153,3145625,62558250
678244cc68f696dcf42954437637ae3375ffcd,4,3,3628458,22612735,33053499,3430291,60779458
678244cc68f696dcf42954437637ae3375ffcd,6,3,4252667,24305222,35124070,3800833,64862166
678244cc68f696dcf42954437637ae3375ffcd,8,3,5878417,25120139,33732629,5411708,64070292
678244cc68f696dcf42954437637ae3375ffcd,10,3,6810625,26320430,34361253,6155083,65995583
678244cc68f696dcf42954437637ae3375ffcd,12,3,8625667,27955292,34011603,8013292,67226917
678244cc68f696dcf42954437637ae3375ffcd,14,3,11344375,30217333,33706921,10174750,69132875
678244cc68f696dcf42954437637ae3375ffcd,16,3,11366458,30486972,34075605,10265500,69828958
678244cc68f696dcf42954437637ae3375ffcd,18,3,14196209,33355583,34569708,12607833,73262709
678244cc68f696dcf42954437637ae3375ffcd,20,3,24208833,44408958,36316885,22683208,86334834
678244cc68f696dcf42954437637ae3375ffcd,22,3,17101625,36213319,34685879,15286917,76251417
678244cc68f696dcf42954437637ae3375ffcd,24,3,20822000,40036875,34450866,19478875,79809750
678244cc68f696dcf42954437637ae3375ffcd,26,3,26170625,47141264,38015923,24229208,91023959
678244cc68f696dcf42954437637ae3375ffcd,28,3,50356792,72584278,39338644,49390834,118005208
678244cc68f696dcf42954437637ae3375ffcd,30,3,43307417,66579028,40941764,42577042,113852625
678244cc68f696dcf42954437637ae3375ffcd,32,3,54047625,78328931,42313961,53750584,127188584
bb0d79a8642c259ad82a1b1449814ad78318b6,0,3,3131375,22809555,34159522,3043750,62253542
bb0d79a8642c259ad82a1b1449814ad78318b6,2,3,3134083,22084611,33110778,2802584,60317166
bb0d79a8642c259ad82a1b1449814ad78318b6,4,3,2981625,22701097,34169453,2965084,62156583
bb0d79a8642c259ad82a1b1449814ad78318b6,6,3,3529709,22374778,33005233,3109458,60485167
bb0d79a8642c259ad82a1b1449814ad78318b6,8,3,4035625,23814805,34475748,3785084,63623708
bb0d79a8642c259ad82a1b1449814ad78318b6,10,3,4354583,23663444,33454934,4341875,62293875
bb0d79a8642c259ad82a1b1449814ad78318b6,12,3,4718542,23193083,32027535,4685417,60175291
bb0d79a8642c259ad82a1b1449814ad78318b6,14,3,5479708,24816264,33715650,5221625,63747459
bb0d79a8642c259ad82a1b1449814ad78318b6,16,3,5769917,23893930,31774033,5329333,60582542
bb0d79a8642c259ad82a1b1449814ad78318b6,18,3,6922125,24576111,31217781,6185417,60620791
bb0d79a8642c259ad82a1b1449814ad78318b6,20,3,10680625,30376944,34855264,9828875,70621333
bb0d79a8642c259ad82a1b1449814ad78318b6,22,3,8500750,27660569,33568856,8059250,66421708
bb0d79a8642c259ad82a1b1449814ad78318b6,24,3,10261959,29644597,34090474,9664458,69007375
bb0d79a8642c259ad82a1b1449814ad78318b6,26,3,11112500,29762166,33345705,9913750,68260250
bb0d79a8642c259ad82a1b1449814ad78318b6,28,3,18108750,35897805,32752093,15889708,73694959
bb0d79a8642c259ad82a1b1449814ad78318b6,30,3,16116958,33488264,31431828,14576125,69771709
bb0d79a8642c259ad82a1b1449814ad78318b6,32,3,20015750,39925597,36350389,17879750,81881291
678b44deeff7d6fcf46b5d537f37ef3f7fffed,0,3,3156917,21898597,32743440,2831875,59707000
678b44deeff7d6fcf46b5d537f37ef3f7fffed,2,3,3329542,22459236,33460154,2953083,61095083
678b44deeff7d6fcf46b5d537f37ef3f7fffed,4,3,3775292,20737264,29437690,3707542,54728958
678b44deeff7d6fcf46b5d537f37ef3f7fffed,6,3,4422833,23919305,33919789,4248708,63086375
678b44deeff7d6fcf46b5d537f37ef3f7fffed,8,3,6976125,25749736,33116420,6285875,63987208
678b44deeff7d6fcf46b5d537f37ef3f7fffed,10,3,7916208,26048319,31921792,7321917,62906834
678b44deeff7d6fcf46b5d537f37ef3f7fffed,12,3,10712125,29960611,34021885,9926625,69243083
678b44deeff7d6fcf46b5d537f37ef3f7fffed,14,3,14392375,33299875,34154880,12779708,72727542
678b44deeff7d6fcf46b5d537f37ef3f7fffed,16,3,14606875,34841166,36442340,13005625,76911000
678b44deeff7d6fcf46b5d537f37ef3f7fffed,18,3,18059917,36900430,33956459,16541208,76100167
678b44deeff7d6fcf46b5d537f37ef3f7fffed,20,3,32717792,54905236,40254841,30626083,101371833
678b44deeff7d6fcf46b5d537f37ef3f7fffed,22,3,22806458,43551194,38005018,20432917,87414208
678b44deeff7d6fcf46b5d537f37ef3f7fffed,24,3,27456083,48755083,38241107,25906125,92903042
678b44deeff7d6fcf46b5d537f37ef3f7fffed,26,3,34817042,57582375,40000135,34161083,103769000
678b44deeff7d6fcf46b5d537f37ef3f7fffed,28,3,70924792,93833458,41088643,69306250,141269334
678b44deeff7d6fcf46b5d537f37ef3f7fffed,30,3,61301459,82830694,38415378,60007958,127182666
678b44deeff7d6fcf46b5d537f37ef3f7fffed,32,3,75772834,97219153,37198016,75712917,140171709
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,0,3,2997500,20305597,30115078,2839916,55079375
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,2,3,2936042,21063000,31434600,2892417,57360542
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,4,3,3682750,21120888,30221497,3662250,56017666
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,6,3,4413042,23158458,32477757,4401791,60660541
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,8,3,6588875,25555611,33232514,6149583,63928375
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,10,3,7970833,27541249,34532499,7239208,67413708
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,12,3,9960125,27398833,30930823,9124958,63111417
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,14,3,13719042,31886778,32671524,12337125,69604167
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,16,3,13930541,34149083,35858793,12965208,75551500
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,18,3,17523667,37225347,35713977,15701500,78450875
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,20,3,30745958,52963472,39831231,29196542,98947916
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,22,3,22228875,43236986,37686391,20737125,86744959
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,24,3,27509083,49015347,38469074,26108709,93428250
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,26,3,32392250,53578944,37601093,31351792,96992792
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,28,3,67008750,90319513,41873312,65289333,138660458
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,30,3,56982000,80064402,40074472,56872833,126338375
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,32,3,72325542,95609486,41675420,70779084,143723833
4082448820920280240040405013a832451c0d,0,3,3183416,21654819,32314186,2813625,58967417
4082448820920280240040405013a832451c0d,2,3,3244084,21679778,32224864,2905916,58889334
4082448820920280240040405013a832451c0d,4,3,3465208,23234861,34442216,3234292,63005083
4082448820920280240040405013a832451c0d,6,3,3462875,21272416,31149654,3114000,57240375
4082448820920280240040405013a832451c0d,8,3,4517208,23919277,33965186,4102459,63138166
4082448820920280240040405013a832451c0d,10,3,4769416,24802735,34992575,4430583,65208208
4082448820920280240040405013a832451c0d,12,3,5543875,23364735,31279407,5068291,59482041
4082448820920280240040405013a832451c0d,14,3,7284958,27671639,35406325,7174667,68555292
4082448820920280240040405013a832451c0d,16,3,7116250,27428763,35582398,6655125,68514916
4082448820920280240040405013a832451c0d,18,3,8546625,29038499,35991899,7971833,70597041
4082448820920280240040405013a832451c0d,20,3,13582208,31387722,32107231,12128500,68452458
4082448820920280240040405013a832451c0d,22,3,9535083,27750833,32280980,8694875,65022542
4082448820920280240040405013a832451c0d,24,3,12171583,32320402,35997707,10909042,73880583
4082448820920280240040405013a832451c0d,26,3,14543709,35636861,37652190,13259334,79107542
4082448820920280240040405013a832451c0d,28,3,24714125,45345444,37435905,22764166,88558042
4082448820920280240040405013a832451c0d,30,3,22674209,42710847,36931470,20128042,85330292
4082448820920280240040405013a832451c0d,32,3,27520750,47839222,37397015,24999875,90997042
100008900000c0020004c008041504010080400,0,3,3113209,21922472,32594082,3095333,59558875
100008900000c0020004c008041504010080400,2,3,2871917,20506277,30602409,2804041,55842875
100008900000c0020004c008041504010080400,4,3,3288708,23323222,34814884,3157042,63523916
100008900000c0020004c008041504010080400,6,3,3355791,22494513,33467464,2988917,61138833
100008900000c0020004c008041504010080400,8,3,3316625,22160972,32870649,3049875,60116417
100008900000c0020004c008041504010080400,10,3,3741750,22779638,33279933,3389708,61207458
100008900000c0020004c008041504010080400,12,3,3525833,21794152,31710350,3446542,58410083
100008900000c0020004c008041504010080400,14,3,3726917,21323847,30544655,3650875,56593750
