"path_id","Specification Increment","Workload","Median Time Elapsed (ms)","Verification Type","Path Performance Type","Example"
4,153,16,2.750334,"Gradual","Worst","bst"
4,153,24,2.74975,"Gradual","Worst","bst"
4,153,32,2.766583,"Gradual","Worst","bst"
4,0,16,3.058209,"Gradual","Worst","bst"
4,0,24,3.209583,"Gradual","Worst","bst"
4,0,32,3.029916,"Gradual","Worst","bst"
4,1,16,3.2585,"Gradual","Worst","bst"
4,1,24,3.414375,"Gradual","Worst","bst"
4,1,32,3.606875,"Gradual","Worst","bst"
4,2,16,3.318542,"Gradual","Worst","bst"
4,2,24,3.499625,"Gradual","Worst","bst"
4,2,32,3.825208,"Gradual","Worst","bst"
4,3,16,3.258875,"Gradual","Worst","bst"
4,3,24,3.493292,"Gradual","Worst","bst"
4,3,32,3.807125,"Gradual","Worst","bst"
4,4,16,3.388959,"Gradual","Worst","bst"
4,4,24,3.512125,"Gradual","Worst","bst"
4,4,32,3.815417,"Gradual","Worst","bst"
4,5,16,3.355,"Gradual","Worst","bst"
4,5,24,3.61375,"Gradual","Worst","bst"
4,5,32,3.372125,"Gradual","Worst","bst"
4,6,16,3.328959,"Gradual","Worst","bst"
4,6,24,3.411625,"Gradual","Worst","bst"
4,6,32,3.902625,"Gradual","Worst","bst"
4,7,16,3.114458,"Gradual","Worst","bst"
4,7,24,3.113166,"Gradual","Worst","bst"
4,7,32,3.814625,"Gradual","Worst","bst"
4,8,16,3.354584,"Gradual","Worst","bst"
4,8,24,3.511542,"Gradual","Worst","bst"
4,8,32,3.993625,"Gradual","Worst","bst"
4,9,16,3.362584,"Gradual","Worst","bst"
4,9,24,3.146167,"Gradual","Worst","bst"
4,9,32,4.067542,"Gradual","Worst","bst"
4,10,16,3.2575,"Gradual","Worst","bst"
4,10,24,3.174917,"Gradual","Worst","bst"
4,10,32,3.756083,"Gradual","Worst","bst"
4,11,16,3.411667,"Gradual","Worst","bst"
4,11,24,3.680625,"Gradual","Worst","bst"
4,11,32,4.211208,"Gradual","Worst","bst"
4,12,16,3.238125,"Gradual","Worst","bst"
4,12,24,3.957125,"Gradual","Worst","bst"
4,12,32,4.786708,"Gradual","Worst","bst"
4,13,16,3.574166,"Gradual","Worst","bst"
4,13,24,3.749208,"Gradual","Worst","bst"
4,13,32,4.508625,"Gradual","Worst","bst"
4,14,16,3.722292,"Gradual","Worst","bst"
4,14,24,4.049084,"Gradual","Worst","bst"
4,14,32,4.60175,"Gradual","Worst","bst"
4,15,16,3.572375,"Gradual","Worst","bst"
4,15,24,3.898,"Gradual","Worst","bst"
4,15,32,4.496542,"Gradual","Worst","bst"
4,16,16,3.48925,"Gradual","Worst","bst"
4,16,24,4.015292,"Gradual","Worst","bst"
4,16,32,4.415083,"Gradual","Worst","bst"
4,17,16,3.206208,"Gradual","Worst","bst"
4,17,24,4.023083,"Gradual","Worst","bst"
4,17,32,4.579583,"Gradual","Worst","bst"
4,18,16,3.586833,"Gradual","Worst","bst"
4,18,24,3.893833,"Gradual","Worst","bst"
4,18,32,4.671083,"Gradual","Worst","bst"
4,19,16,3.472417,"Gradual","Worst","bst"
4,19,24,3.845667,"Gradual","Worst","bst"
4,19,32,4.725209,"Gradual","Worst","bst"
4,20,16,3.416083,"Gradual","Worst","bst"
4,20,24,3.664292,"Gradual","Worst","bst"
4,20,32,4.468833,"Gradual","Worst","bst"
4,21,16,3.553958,"Gradual","Worst","bst"
4,21,24,3.626459,"Gradual","Worst","bst"
4,21,32,4.448292,"Gradual","Worst","bst"
4,22,16,3.514458,"Gradual","Worst","bst"
4,22,24,3.992875,"Gradual","Worst","bst"
4,22,32,4.724667,"Gradual","Worst","bst"
4,23,16,3.622125,"Gradual","Worst","bst"
4,23,24,3.818667,"Gradual","Worst","bst"
4,23,32,4.27775,"Gradual","Worst","bst"
4,24,16,3.450667,"Gradual","Worst","bst"
4,24,24,3.944708,"Gradual","Worst","bst"
4,24,32,4.350459,"Gradual","Worst","bst"
4,25,16,3.571042,"Gradual","Worst","bst"
4,25,24,4.214125,"Gradual","Worst","bst"
4,25,32,4.449417,"Gradual","Worst","bst"
4,26,16,3.601042,"Gradual","Worst","bst"
4,26,24,4.247,"Gradual","Worst","bst"
4,26,32,4.303375,"Gradual","Worst","bst"
4,27,16,3.55775,"Gradual","Worst","bst"
4,27,24,4.099333,"Gradual","Worst","bst"
4,27,32,4.573,"Gradual","Worst","bst"
4,28,16,3.622334,"Gradual","Worst","bst"
4,28,24,3.7665,"Gradual","Worst","bst"
4,28,32,4.664459,"Gradual","Worst","bst"
4,29,16,3.417917,"Gradual","Worst","bst"
4,29,24,3.821583,"Gradual","Worst","bst"
4,29,32,4.475458,"Gradual","Worst","bst"
