id,m.create_tree.1.pre.0,m.create_tree.1.pre.1,m.create_tree.2.post.2,m.create_tree.3.fold.3,m.create_tree_helper.1.pre.4,m.create_tree_helper.1.pre.5,m.create_tree_helper.2.post.6,m.create_tree_helper.3.fold.7,m.create_tree_helper.3.fold.8,m.create_tree_helper.3.fold.9,m.main.5.inv.10,m.main.5.inv.11,m.main.5.inv.12,m.main.5.inv.13,m.tree_add.1.pre.14,m.tree_add.1.pre.15,m.tree_add.1.pre.16,m.tree_add.2.post.17,m.tree_add.4.unfold.18,m.tree_add.3.fold.19,m.tree_add_helper.1.pre.20,m.tree_add_helper.1.pre.21,m.tree_add_helper.1.pre.22,m.tree_add_helper.2.post.23,m.tree_add_helper.4.unfold.24,m.tree_add_helper.3.fold.25,m.tree_contains.1.pre.26,m.tree_contains.2.post.27,m.tree_contains.4.unfold.28,m.tree_contains.3.fold.29,m.tree_contains_helper.1.pre.30,m.tree_contains_helper.2.post.31,m.tree_contains_helper.4.unfold.32,m.tree_contains_helper.3.fold.33,m.tree_contains_helper.3.fold.34,m.tree_contains_helper.3.fold.35,m.tree_main_lemma.1.pre.36,m.tree_main_lemma.2.post.37,m.tree_main_lemma.4.unfold.38,m.tree_main_lemma.3.fold.39,m.tree_main_lemma_bst.1.pre.40,m.tree_main_lemma_bst.2.post.41,m.tree_main_lemma_bst.4.unfold.42,m.tree_main_lemma_bst.3.fold.43,m.tree_max.1.pre.44,m.tree_max.1.pre.45,m.tree_max.2.post.46,m.tree_max.4.unfold.47,m.tree_max.3.fold.48,m.tree_max_helper.1.pre.49,m.tree_max_helper.1.pre.50,m.tree_max_helper.2.post.51,m.tree_max_helper.2.post.52,m.tree_max_helper.4.unfold.53,m.tree_max_helper.3.fold.54,m.tree_max_helper.3.fold.55,m.tree_max_helper.4.unfold.56,m.tree_max_helper.0.assert.57,m.tree_max_helper.3.fold.58,m.tree_max_helper.3.fold.59,m.tree_max_lemma.1.pre.60,m.tree_max_lemma.1.pre.61,m.tree_max_lemma.2.post.62,m.tree_max_lemma.4.unfold.63,m.tree_max_lemma.3.fold.64,m.tree_min.1.pre.65,m.tree_min.1.pre.66,m.tree_min.2.post.67,m.tree_min.4.unfold.68,m.tree_min.3.fold.69,m.tree_min_helper.1.pre.70,m.tree_min_helper.1.pre.71,m.tree_min_helper.2.post.72,m.tree_min_helper.2.post.73,m.tree_min_helper.4.unfold.74,m.tree_min_helper.3.fold.75,m.tree_min_helper.3.fold.76,m.tree_min_helper.4.unfold.77,m.tree_min_helper.0.assert.78,m.tree_min_helper.3.fold.79,m.tree_min_helper.3.fold.80,m.tree_min_lemma.1.pre.81,m.tree_min_lemma.1.pre.82,m.tree_min_lemma.2.post.83,m.tree_min_lemma.4.unfold.84,m.tree_min_lemma.3.fold.85,m.tree_remove.1.pre.86,m.tree_remove.2.post.87,m.tree_remove.4.unfold.88,m.tree_remove.3.fold.89,m.tree_remove_helper.1.pre.90,m.tree_remove_helper.2.post.91,m.tree_remove_helper.3.fold.92,m.tree_remove_helper.4.unfold.93,m.tree_remove_helper.3.fold.94,m.tree_remove_helper.3.fold.95,m.tree_remove_helper.3.fold.96,m.tree_remove_helper.4.unfold.97,m.tree_remove_helper.0.assert.98,m.tree_remove_helper.3.fold.99,m.tree_remove_helper.3.fold.100,m.tree_remove_lemma.1.pre.101,m.tree_remove_lemma.2.post.102,m.tree_remove_lemma.4.unfold.103,m.tree_remove_lemma.3.fold.104,m.tree_remove_lemma_left.1.pre.105,m.tree_remove_lemma_left.1.pre.106,m.tree_remove_lemma_left.2.post.107,m.tree_remove_lemma_left.4.unfold.108,m.tree_remove_lemma_left.3.fold.109,m.tree_remove_lemma_left.3.fold.110,m.tree_remove_lemma_left.3.fold.111,m.tree_remove_lemma_left2.1.pre.112,m.tree_remove_lemma_left2.1.pre.113,m.tree_remove_lemma_left2.2.post.114,m.tree_remove_lemma_left2.4.unfold.115,m.tree_remove_lemma_left2.3.fold.116,m.tree_remove_lemma_left2.3.fold.117,m.tree_remove_lemma_left2.3.fold.118,m.tree_remove_lemma_max.1.pre.119,m.tree_remove_lemma_max.1.pre.120,m.tree_remove_lemma_max.2.post.121,m.tree_remove_lemma_max.4.unfold.122,m.tree_remove_lemma_max.3.fold.123,m.tree_remove_lemma_min.1.pre.124,m.tree_remove_lemma_min.1.pre.125,m.tree_remove_lemma_min.2.post.126,m.tree_remove_lemma_min.4.unfold.127,m.tree_remove_lemma_min.3.fold.128,m.tree_remove_lemma_right.1.pre.129,m.tree_remove_lemma_right.1.pre.130,m.tree_remove_lemma_right.2.post.131,m.tree_remove_lemma_right.4.unfold.132,m.tree_remove_lemma_right.3.fold.133,m.tree_remove_lemma_right.3.fold.134,m.tree_remove_lemma_right.3.fold.135,p.bst.6.pred.136,p.bst.6.pred.137,p.bst.6.pred.138,p.bst.6.pred.139,p.bst.6.pred.140,p.bst.6.pred.141,p.bst.6.pred.142,p.bstRemove.6.pred.143,p.bstRemove.6.pred.144,p.bstRemove.6.pred.145,p.bstRemove.6.pred.146,p.bstRemove.6.pred.147,p.bstRemove.6.pred.148,p.bstRemove.6.pred.149,p.bstRemove.6.pred.150,p.tree.6.pred.151,p.treeRemove.6.pred.152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ffffffffffffffffffffffffffffffffffffff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000000400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000000400000008000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000000100000000400000008000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20400000000100000000400000008000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20400020000100000000400000008000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20400020000100002000400000008000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20400020000100402000400000008000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
