"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","component_type","example","classification"
"2001a090400015626880310061093a22",2,24.8,"p.tree.6.pred.pred_inst.120",32,13114569,"gradual",9154595,231.2,"tree","pred","pred_inst","composite","max"
"28120014d4640540402006a8003a0b8",28,24.8,"p.subtreeHelper.6.pred.pred_inst.108",32,43391967,"gradual",17828794,69.7,"subtreeHelper","pred","pred_inst","composite","max"
"28120014d4640540462006e8003b0b9",28,28.8,"p.context.6.pred.pred_inst.72",32,121170744,"gradual",76940164,174,"context","pred","pred_inst","composite","max"
"309014c009010104940961742cc24e28",6,29.6,"p.tree.6.pred.pred_inst.120",16,20026850,"gradual",17854196,821.8,"tree","pred","pred_inst","composite","max"
"309014c009010104940961742cc24e28",6,29.6,"p.tree.6.pred.pred_inst.120",32,149564864,"gradual",144929189,3126.4,"tree","pred","pred_inst","composite","max"
"20230130d9046308b20c858b00a006e",0,30.4,"p.subtreeHelper.6.pred.acc.119",32,18936474,"gradual",9698013,105,"subtreeHelper","pred","acc","composite","max"
"1b68600403602490840aac901a1b1120",8,30.4,"p.subtreeHelper.6.pred.acc.113",32,14801212,"gradual",6774229,84.4,"subtreeHelper","pred","acc","composite","max"
"ec1a02c0128a92c8120c620d4888870",11,32,"p.subtreeHelper.6.pred.acc.119",32,18692414,"gradual",7735291,70.6,"subtreeHelper","pred","acc","composite","max"
"310595005942092704a020350a813931",21,32,"p.tree.6.pred.pred_inst.120",32,23825957,"gradual",12205700,105,"tree","pred","pred_inst","composite","max"
"15276ce780078060226102021049e9",25,32,"p.tree.6.pred.pred_inst.120",32,12521532,"gradual",7775286,163.8,"tree","pred","pred_inst","composite","max"
"319016c009011104940b61742cc24f28",6,33.6,"m.fixup_ancestors.2.post.pred_inst.5",16,28714507,"gradual",8688931,43.4,"fixup_ancestors","post","pred_inst","composite","max"
"319016c009011104940b61742cc24f28",6,33.6,"m.fixup_ancestors.2.post.pred_inst.5",32,200006402,"gradual",48373025,31.9,"fixup_ancestors","post","pred_inst","composite","max"
"38120814d4640560462006e8043b1bd",28,33.6,"m.fixup_ancestors.2.post.pred_inst.5",32,145779250,"gradual",19514579,15.5,"fixup_ancestors","post","pred_inst","composite","max"
"38120814d4660560462006e8043b1bd",28,34.4,"m.tree_get_right.2.post.pred_inst.48",32,151764292,"gradual",5985042,4.1,"tree_get_right","post","pred_inst","composite","max"
"38120814d4660564462006e8043b1bd",28,35.2,"m.tree_has_parent.2.post.pred_inst.63",32,187749181,"gradual",35984889,23.7,"tree_has_parent","post","pred_inst","composite","max"
"2833301b4201250955410d57f0a6121",7,36,"p.subtreeHelper.6.pred.pred_inst.108",32,14465607,"gradual",5889078,68.7,"subtreeHelper","pred","pred_inst","composite","max"
"2f8a0c2209951209d66702c54341016a",10,37.6,"p.context.6.pred.pred_inst.87",32,19207800,"gradual",12857361,202.5,"context","pred","pred_inst","composite","max"
"981564ed0ea2808a4ca4c3986561a21",24,39.2,"p.subtreeHelper.6.pred.pred_inst.114",16,25356451,"gradual",16416923,183.6,"subtreeHelper","pred","pred_inst","composite","max"
"981564ed0ea2808a4ca4c3986561a21",24,39.2,"p.subtreeHelper.6.pred.pred_inst.114",32,202821180,"gradual",174413052,614,"subtreeHelper","pred","pred_inst","composite","max"
"38120814d5660564472406e8443f1bd",28,39.2,"p.subtreeHelper.6.pred.acc.99",32,206829055,"gradual",19065802,10.2,"subtreeHelper","pred","acc","composite","max"
"2f8a0c2209951229d66782c54341416a",10,40,"p.subtreeHelper.6.pred.acc.111",32,25626632,"gradual",6537078,34.2,"subtreeHelper","pred","acc","composite","max"
"2f8a0c2209951229d667a2c54341416a",10,40.8,"p.context.6.pred.pred_inst.80",32,34305711,"gradual",8679079,33.9,"context","pred","pred_inst","composite","max"
"1db23240a02630662370accb96738845",9,41.6,"m.fixup_ancestors.2.post.pred_inst.5",16,13644529,"gradual",11358738,496.9,"fixup_ancestors","post","pred_inst","composite","max"
"1db23240a02630662370accb96738845",9,41.6,"m.fixup_ancestors.2.post.pred_inst.5",32,119058499,"gradual",114203167,2352.1,"fixup_ancestors","post","pred_inst","composite","max"
"212e184b0920e96eb34027a2170a3993",13,41.6,"p.subtreeHelper.6.pred.pred_inst.108",32,19781135,"gradual",11632661,142.8,"subtreeHelper","pred","pred_inst","composite","max"
"3c37c3f5aa02a0a4114ad0641a61dc1",23,41.6,"m.fixup_ancestors.1.pre.pred_inst.4",32,12394156,"gradual",6593139,113.7,"fixup_ancestors","pre","pred_inst","composite","max"
"1b69ea04036024d6940aacf25a5b11a4",8,42.4,"p.context.6.pred.pred_inst.87",32,35704527,"gradual",12276947,52.4,"context","pred","pred_inst","composite","max"
"138238270d9764c6022e1295666b20b3",16,42.4,"p.subtreeHelper.6.pred.pred_inst.108",32,42208147,"gradual",22168208,110.6,"subtreeHelper","pred","pred_inst","composite","max"
"25880ae6891f620c6e0dc2a660321f39",3,43.2,"p.tree.6.pred.pred_inst.120",16,17821685,"gradual",14235792,397,"tree","pred","pred_inst","composite","max"
"25880ae6891f620c6e0dc2a660321f39",3,43.2,"p.tree.6.pred.pred_inst.120",32,116261778,"gradual",108309595,1362,"tree","pred","pred_inst","composite","max"
"319217c10d09111c941b6174acc65f6e",6,44.8,"m.tree_add_left.3.fold.pred_inst.21",32,212633520,"gradual",6016016,2.9,"tree_add_left","fold","pred_inst","composite","max"
"2381a2814d5664564672406e9443f1bf",28,44.8,"m.tree_add_left.2.post.pred_inst.14",32,205588060,"gradual",6424982,3.2,"tree_add_left","post","pred_inst","composite","max"
"212e184b09a0e96eb350a7f2170a3993",13,45.6,"p.context.6.pred.pred_inst.87",16,18487519,"gradual",13467987,268.3,"context","pred","pred_inst","composite","max"
"212e184b09a0e96eb350a7f2170a3993",13,45.6,"p.context.6.pred.pred_inst.87",32,103358358,"gradual",83855957,430,"context","pred","pred_inst","composite","max"
"261a38132dd0d6f4ab20e858f51e086e",0,46.4,"p.subtreeHelper.6.pred.pred_inst.114",32,80377903,"gradual",59382966,282.8,"subtreeHelper","pred","pred_inst","composite","max"
"283b361b4789250b55411d57f2a6b61",7,46.4,"p.subtreeHelper.6.pred.pred_inst.114",32,20347716,"gradual",10389376,104.3,"subtreeHelper","pred","pred_inst","composite","max"
"1fb23240a02678662b70bccf96738845",9,46.4,"m.fixup_ancestors.1.pre.pred_inst.4",16,23431156,"gradual",9556886,68.9,"fixup_ancestors","pre","pred_inst","composite","max"
"1fb23240a02678662b70bccf96738845",9,46.4,"m.fixup_ancestors.1.pre.pred_inst.4",32,219767083,"gradual",101327920,85.6,"fixup_ancestors","pre","pred_inst","composite","max"
"b32e3c0ae6678d48a2c5c42723d61a3",20,46.4,"p.context.6.pred.pred_inst.72",32,19498134,"gradual",7214181,58.7,"context","pred","pred_inst","composite","max"
"278351055d70221e25d4d11f0da85e2f",30,46.4,"p.subtreeHelper.6.pred.acc.116",32,21441676,"gradual",8577177,66.7,"subtreeHelper","pred","acc","composite","max"
"259c0afe895f620c6e0dc2a660321f39",3,47.2,"m.tree_get_parent.2.post.pred_inst.39",16,25164538,"gradual",7366680,41.4,"tree_get_parent","post","pred_inst","composite","max"
"259c0afe895f620c6e0dc2a660321f39",3,47.2,"m.tree_get_parent.2.post.pred_inst.39",32,169617505,"gradual",56414377,49.8,"tree_get_parent","post","pred_inst","composite","max"
"319297c10d09511c941b6174acce5f6e",6,47.2,"m.tree_get_right.1.pre.pred_inst.47",32,229165843,"gradual",21749634,10.5,"tree_get_right","pre","pred_inst","composite","max"
"2b81aac14d5664564672426e9443f1bf",28,48,"p.context.6.pred.acc.84",32,232472110,"gradual",22685757,10.8,"context","pred","acc","composite","max"
"212e185b09a0e96eb758aff2170a3993",13,48.8,"p.context.6.pred.acc.74",32,114951196,"gradual",11216042,10.8,"context","pred","acc","composite","max"
"1fb232c0a06678662f70bccf9e738845",9,49.6,"p.subtreeHelper.6.pred.acc.98",32,226877150,"gradual",7508358,3.4,"subtreeHelper","pred","acc","composite","max"
"279c4afe8b5f720c6e0dc2a660321f39",3,50.4,"m.tree_get_right.4.unfold.pred_inst.49",32,173526063,"gradual",5964682,3.6,"tree_get_right","unfold","pred_inst","composite","max"
"33a23a271fb774c6022e1ad5666b20f3",16,50.4,"p.context.6.pred.pred_inst.87",16,28457384,"gradual",15590101,121.2,"context","pred","pred_inst","composite","max"
"33a23a271fb774c6022e1ad5666b20f3",16,50.4,"p.context.6.pred.pred_inst.87",32,196537080,"gradual",152297343,344.3,"context","pred","pred_inst","composite","max"
"279c4afe8b5f720c6e0de2a660321f39",3,51.2,"p.context.6.pred.pred_inst.80",16,37963421,"gradual",12461828,48.9,"context","pred","pred_inst","composite","max"
"279c4afe8b5f720c6e0de2a660321f39",3,51.2,"p.context.6.pred.pred_inst.80",32,240534218,"gradual",67008155,38.6,"context","pred","pred_inst","composite","max"
"1fb232c0a07678662f70bccf9e738865",9,51.2,"p.tree.6.pred.pred_inst.120",16,47263706,"gradual",23159712,96.1,"tree","pred","pred_inst","composite","max"
"1fb232c0a07678662f70bccf9e738865",9,51.2,"p.tree.6.pred.pred_inst.120",32,396063518,"gradual",172922049,77.5,"tree","pred","pred_inst","composite","max"
"3f8a9c3249951229d677b3c5534141ff",10,51.2,"p.tree.6.pred.pred_inst.121",32,52075957,"gradual",16403181,46,"tree","pred","pred_inst","composite","max"
"2ef3a43c4138bbec8563c638d4bed872",11,52,"p.subtreeHelper.6.pred.pred_inst.108",16,26154664,"gradual",14266267,120,"subtreeHelper","pred","pred_inst","composite","max"
"2ef3a43c4138bbec8563c638d4bed872",11,52,"p.subtreeHelper.6.pred.pred_inst.108",32,195803648,"gradual",162347178,485.2,"subtreeHelper","pred","pred_inst","composite","max"
"11e151f9fc5080bb1fe7f21a1f3a8ee0",15,52,"p.tree.6.pred.pred_inst.120",16,23088591,"gradual",20266111,718,"tree","pred","pred_inst","composite","max"
"11e151f9fc5080bb1fe7f21a1f3a8ee0",15,52,"p.tree.6.pred.pred_inst.120",32,189796309,"gradual",183785875,3057.8,"tree","pred","pred_inst","composite","max"
"2b81aac5cd56645e6672526e9443f1bf",28,52,"m.tree_has_left.1.pre.pred_inst.58",32,261975840,"gradual",38495639,17.2,"tree_has_left","pre","pred_inst","composite","max"
"279ccafe8b5f720c6e0fe2a660321f39",3,52.8,"m.tree_add_left.2.post.pred_inst.14",32,246951861,"gradual",8423579,3.5,"tree_add_left","post","pred_inst","composite","max"
"1a87b371bc789252b55451d57f2a7b61",7,52.8,"m.main.5.inv.pred_inst.11",32,35179417,"gradual",14899212,73.5,"main","inv","pred_inst","composite","max"
"11e151f9fc50c0bb1fe7f21a1f3a8ee0",15,52.8,"m.tree_get_right.1.pre.pred_inst.47",32,208566304,"gradual",18769995,9.9,"tree_get_right","pre","pred_inst","composite","max"
"365a38573dd4f6f5ab20e858f51e486e",0,53.6,"p.subtreeHelper.6.pred.acc.111",16,18639282,"gradual",9606882,106.4,"subtreeHelper","pred","acc","composite","max"
"365a38573dd4f6f5ab20e858f51e486e",0,53.6,"p.subtreeHelper.6.pred.acc.111",32,161271766,"gradual",98174210,155.6,"subtreeHelper","pred","acc","composite","max"
"33cbb49045f05ef825e706e3f383f1ab",5,53.6,"m.fixup_ancestors.1.pre.pred_inst.4",32,35114234,"gradual",24232633,222.7,"fixup_ancestors","pre","pred_inst","composite","max"
"1a87b371bc789256b55451d57f2a7b61",7,53.6,"m.tree_has_left.2.post.pred_inst.59",32,70252827,"gradual",35073410,99.7,"tree_has_left","post","pred_inst","composite","max"
"3e37c7f5aa06a0bc314bdce63a63dc7",23,53.6,"p.context.6.pred.pred_inst.87",32,51661818,"gradual",38268259,285.7,"context","pred","pred_inst","composite","max"
"ac43b8dab47772ff5058aaa575e9c6b",1,54.4,"p.tree.6.pred.pred_inst.120",16,14938756,"gradual",12257216,457.1,"tree","pred","pred_inst","composite","max"
"ac43b8dab47772ff5058aaa575e9c6b",1,54.4,"p.tree.6.pred.pred_inst.120",32,93882986,"gradual",88159909,1540.4,"tree","pred","pred_inst","composite","max"
"279ccafe8b5f720c6e0fe2b660321f3b",3,54.4,"p.context.6.pred.acc.89",32,247099352,"gradual",8274051,3.5,"context","pred","acc","composite","max"
"11ddb0d0e236404e12bd5bff8bbbb755",4,54.4,"p.tree.6.pred.pred_inst.121",16,7958583,"gradual",5961811,298.6,"tree","pred","pred_inst","composite","max"
