id,conjuncts_total,conjuncts_elim
80000000000,222,207
80020000000,222,207
40000000080020000000,224,207
8040000000080020000000,232,207
2008040000000080020000000,240,211
2008040200000080020000000,242,213
2008042200000080020000000,254,219
2008046200000080020000000,275,231
2008046200100080020000000,279,235
2009046200100080020000000,281,237
2009046208100080020000000,297,237
12009046208100080020000000,299,239
12019046208100080020000000,303,243
12019046208100080020000004,305,243
12019046208100080020000006,309,246
13019046208100080020000006,335,262
13019046308100080020000006,342,269
13019046308100081020000006,350,273
1301904630810008102000000e,356,278
1301904630810008102008000e,356,278
130190463081000810a008000e,365,287
130190463081000810b008000e,365,287
130990463081000810b008000e,367,289
20130990463081000810b008000e,369,291
30130990463081000810b008000e,374,296
20030130990463081000810b008000e,385,302
20030130990463081000850b008000e,411,316
20030130990463081000850b008002e,435,331
20030130d90463081000850b008002e,452,340
20230130d90463081000850b008002e,468,340
20230130d90463081200850b008002e,562,404
20230130d90463081200858b008002e,570,410
20230130d90463081204858b008002e,610,430
20230130d90463081204858b00a002e,622,442
20230130d9046308120c858b00a002e,631,443
20230130d9046308920c858b00a002e,638,443
20230130d9046308b20c858b00a002e,643,452
20230130d9046308b20c858b00a006e,643,452
20230130d9046308b20c858b40a006e,643,452
20230130d9046308b20e858b40a006e,741,506
60230130d9046308b20e858b40a006e,753,517
60238130d9046308b20e858b40a006e,765,523
60238130d9046308b20e858b50a006e,777,535
60238130d90c6308b20e858b50a006e,789,540
60a38130d90c6308b20e858b50a006e,628,428
60a38130d90c6b08b20e858b50a006e,628,428
260a38130d90c6b08b20e858b50a006e,629,429
260a38130d90c6f08b20e858b50a006e,631,431
260a38130d90c6f48b20e858b50a006e,633,431
260a38130d90c6f48b20e858f50a006e,636,434
260a38130d90c6f48b20e858f50e006e,644,442
260a38130d90d6f48b20e858f50e006e,649,449
260a38132d90d6f48b20e858f50e006e,653,453
260a38132d90d6f4ab20e858f50e006e,658,459
261a38132d90d6f4ab20e858f50e006e,659,460
261a38132d90d6f4ab20e858f51e006e,659,462
261a38132dd0d6f4ab20e858f51e006e,662,464
261a38132dd0d6f4ab20e858f51e086e,674,476
361a38132dd0d6f4ab20e858f51e086e,679,475
361a38172dd0d6f4ab20e858f51e086e,691,482
361a38172dd0d6f5ab20e858f51e086e,705,492
361a38172dd0f6f5ab20e858f51e086e,715,492
365a38172dd0f6f5ab20e858f51e086e,917,534
365a38172dd4f6f5ab20e858f51e086e,993,600
365a38173dd4f6f5ab20e858f51e086e,998,607
365a38573dd4f6f5ab20e858f51e086e,1006,609
365a38573dd4f6f5ab20e858f51e486e,1006,610
365a38573dd4f6f5ab20e858f53e486e,1006,611
365a38573dd4f6f5af20e858f53e486e,1008,613
365a38573dd4f6f5af20e858f5be486e,1012,617
365a38573df4f6f5af20e858f5be486e,1017,624
365a38573df4f6f5af20e858f5be48ee,1017,624
367a38573df4f6f5af20e858f5be48ee,1019,626
367a385f3df4f6f5af20e858f5be48ee,1024,631
367a385f3df4f6f5af20e858f5bf48ee,1028,635
367a385fbdf4f6f5af20e858f5bf48ee,1100,671
367a385fbdf4f6f5af20e858f5bf4aee,1100,672
367a385fbdf4f6f5afa0e858f5bf4aee,1112,672
367e385fbdf4f6f5afa0e858f5bf4aee,1112,672
367e385fbdf5f6f5afa0e858f5bf4aee,1390,769
367e385fbdf5f6f5efa0e858f5bf4aee,1392,769
367e385fbdf5f6f5efa0e858f5ff4aee,1398,775
367e385fbdf5f6f5efa0e858f5ff4aef,1401,841
367e385fbdf5f6f5efa0e858f5ff6aef,1392,834
367e385fbdf5f6f5efa0e858fdff6aef,1398,837
367e385fbdf5f6f5efb0e858fdff6aef,1440,859
367f385fbdf5f6f5efb0e858fdff6aef,1440,859
377f385fbdf5f6f5efb0e858fdff6aef,1457,876
377f385fbdf5f6f5efb0e85afdff6aef,1457,873
377f385fbdf5f6f5efb0e95afdff6aef,1484,881
377f385fbdf5f6fdefb0e95afdff6aef,1484,881
377f385fbdf5f6fdefb0e9dafdff6aef,1410,853
377f785fbdf5f6fdefb0e9dafdff6aef,1415,858
377f785fbdf5f6fdefb8e9dafdff6aef,1439,873
377f785fbdf5f6ffefb8e9dafdff6aef,1444,885
377f7c5fbdf5f6ffefb8e9dafdff6aef,1457,893
377f7c7fbdf5f6ffefb8e9dafdff6aef,1462,898
377f7c7fbdf5f7ffefb8e9dafdff6aef,1492,915
377f7e7fbdf5f7ffefb8e9dafdff6aef,1562,935
377f7e7fbdf5f7ffffb8e9dafdff6aef,1578,953
377f7e7fbdf5f7ffffb8e9fafdff6aef,1598,969
377f7e7fbdf5ffffffb8e9fafdff6aef,1600,972
377f7e7fbdf5ffffffb8e9fafdff6bef,1606,975
377f7e7fbdfdffffffb8e9fafdff6bef,1608,978
377f7e7fbdfdffffffb8e9fafdff6bff,1730,1079
377f7e7fbdfdffffffb8edfafdff6bff,1757,1088
377f7e7fbdfdffffffbaedfafdff6bff,1787,1102
377f7e7fbdfdffffffbbedfafdff6bff,1817,1116
377ffe7fbdfdffffffbbedfafdff6bff,1823,1118
377ffe7fbdfdffffffbbedfafdffebff,1829,1128
377ffe7fbdfdffffffbbedfafdffefff,1839,1136
377ffe7fbffdffffffbbedfafdffefff,1894,1174
377ffe7fbffdffffffbbfdfafdffefff,1940,1196
377ffe7ffffdffffffbbfdfafdffefff,1940,1196
377ffe7fffffffffffbbfdfafdffefff,1972,1228
377ffe7fffffffffffbbfdfafdffffff,1978,1234
377ffe7ffffffffffffbfdfafdffffff,2047,1267
377ffe7ffffffffffffbfdfaffffffff,2053,1272
377fff7ffffffffffffbfdfaffffffff,2125,1304
377ffffffffffffffffbfdfaffffffff,2125,1304
377ffffffffffffffffffdfaffffffff,2158,1325
377ffffffffffffffffffdfbffffffff,2168,1334
37fffffffffffffffffffdfbffffffff,3186,1592
37fffffffffffffffffffffbffffffff,3244,1602
3ffffffffffffffffffffffbffffffff,3413,1646
3fffffffffffffffffffffffffffffff,2306,1431
800000000,217,202
20800000000,222,207
400000000020800000000,232,216
404000000020800000000,237,219
80404000000020800000000,239,221
a0404000000020800000000,248,227
80a0404000000020800000000,253,232
80a0404000000020800400000,253,232
80a0404040000020800400000,255,232
80a0404040000020800400400,258,235
80a0404040000020800400408,258,235
80a0404050000020800400408,263,241
80a040405000002080040040a,265,242
1080a040405000002080040040a,270,245
1080a040405000002080040044a,270,245
1080b040405000002080040044a,282,253
1080b040505000002080040044a,294,261
10c0b040505000002080040044a,299,265
10c0b040505400002080040044a,301,265
10c0b040505400082080040044a,307,271
10c0b060505400082080040044a,339,291
10c0b060705400082080040044a,403,323
10c0b060705400082080048044a,403,323
10c0b060705400082080048844a,403,323
4010c0b060705400082080048844a,413,328
4010c0b060705400082080048844b,439,342
4010c0b06070540008208004a844b,448,351
4010c0b06070740008208004a844b,450,356
4110c0b06070740008208004a844b,455,361
4110c0b06070760008208004a844b,457,363
44110c0b06070760008208004a844b,523,393
44110c0b06070760008208044a844b,523,393
44110c0b06070760008208044a8c4b,532,402
44110c0b06070761008208044a8c4b,541,409
44110c0b06070761008a08044a8c4b,565,415
c4110c0b06070761008a08044a8c4b,820,537
c4110c0b06070761008a08444a8c4b,823,540
c4110c0b06070761008a08544a8c4b,823,540
c4110c0b06270761008a08544a8c4b,833,549
c4110c0b06270765008a08544a8c4b,835,556
c4190c0b06270765008a08544a8c4b,842,561
c4190c0b06270765008a08544e8c4b,848,567
c4190d0b06270765008a08544e8c4b,867,576
c4190d0b06270765008a08564e8c4b,869,578
c4190d0b06270765008a08565e8c4b,869,578
c4190d8b06270765008a08565e8c4b,890,590
c4190d8b06270775008a08565e8c4b,899,601
c4390d8b06270775008a08565e8c4b,901,603
c4390d8b06270775008a0a565e8c4b,901,603
c4390d8b06670775008a0a565e8c4b,903,606
