"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","component_type","example","classification"
"8998886214f0182018622002300a0f4ee84002",19,29.4,"m.tree_main_lemma_bst.3.fold.pred_inst.43",64,9429916,"gradual",-7699756,-44.9,"tree_main_lemma_bst","fold","pred_inst","bst","min"
"143b8282c214005094088208096e90903330bc8",27,31.4,"m.tree_remove_lemma_right.3.fold.pred_inst.135",64,131405430,"gradual",-16521010,-11.2,"tree_remove_lemma_right","fold","pred_inst","bst","min"
"cc402c2019a55044a602a9c064aa01e8032a01",16,32,"m.tree_main_lemma_bst.3.fold.pred_inst.43",64,15938558,"gradual",-12757698,-44.5,"tree_main_lemma_bst","fold","pred_inst","bst","min"
"618244c820b60690340854435613a832651c0d",10,34.6,"m.tree_main_lemma_bst.3.fold.pred_inst.43",64,15602046,"gradual",-13166816,-45.8,"tree_main_lemma_bst","fold","pred_inst","bst","min"
"61cb2ad470408953214cfba21ad133055a6725",17,43.1,"m.tree_remove.3.fold.pred_inst.89",64,73565159,"gradual",-44117963,-37.5,"tree_remove","fold","pred_inst","bst","min"
"14bf8683c2540054948a921a29feb0d033b0bcc",27,43.1,"m.tree_remove_lemma_left.3.fold.pred_inst.111",64,176560044,"gradual",-16533062,-8.6,"tree_remove_lemma_left","fold","pred_inst","bst","min"
"876420e960e6d1a875b656a1a36f075e88d802",28,45.1,"m.tree_main_lemma_bst.3.fold.pred_inst.43",64,12049549,"gradual",-13856183,-53.5,"tree_main_lemma_bst","fold","pred_inst","bst","min"
"c1656792b53c9e715e97a60fb5281099b7d128",26,49,"m.tree_remove_lemma_right.3.fold.pred_inst.135",64,173020596,"gradual",-12974607,-7,"tree_remove_lemma_right","fold","pred_inst","bst","min"
"678244cc68f69698742954437637ae3375ddcd",10,50.3,"m.tree_remove_lemma_right.4.unfold.pred_inst.132",64,215127884,"gradual",-9198628,-4.1,"tree_remove_lemma_right","unfold","pred_inst","bst","min"
"117f11c28ac230a26734ea8591ff51cff89f42d",11,50.3,"p.bst.6.pred.acc.140",64,107735717,"gradual",-13167877,-10.9,"bst","pred","acc","bst","min"
"19a27b3664ddcf70c4b8da11686c3bc3949ee0e",4,51,"m.tree_max.1.pre.default.44",64,490351704,"gradual",-8804836,-1.8,"tree_max","pre","default","bst","min"
"15bf969bc25404549caab21a29feb8d03bb0fcd",27,51,"p.treeRemove.6.pred.pred_inst.152",64,130652516,"gradual",-44352203,-25.3,"treeRemove","pred","pred_inst","bst","min"
"c5e56792b53cde715e97a61fb5281099b7d128",26,51.6,"m.create_tree_helper.2.post.pred_inst.6",64,149366511,"gradual",-33375613,-18.3,"create_tree_helper","post","pred_inst","bst","min"
"1263455376e285d0ff9c3dd26e1f63df210b3c8",29,52.3,"m.tree_remove_lemma_left.3.fold.pred_inst.111",64,84946812,"gradual",-17967048,-17.5,"tree_remove_lemma_left","fold","pred_inst","bst","min"
"19a27b7664ddcf70c4b8db1168ec3bc7949ee0e",4,53.6,"m.tree_min_lemma.4.unfold.pred_inst.84",64,511319251,"gradual",-13132268,-2.5,"tree_min_lemma","unfold","pred_inst","bst","min"
"37550d3b0bb9965adb359af3ab98f9fa32d4a",6,53.6,"m.tree_main_lemma_bst.3.fold.pred_inst.43",64,15765314,"gradual",-11840237,-42.9,"tree_main_lemma_bst","fold","pred_inst","bst","min"
