id,conjuncts_total,conjuncts_elim
8000000000,1260,977
8000010000,2244,1745
8000050000,2284,1769
8000050040,2284,1769
8000058040,2388,1849
800005a040,2436,1897
20000000800005a040,2444,1899
20100000800005a040,2458,1909
20140000800005a040,2478,1933
20140000800005a042,2486,1933
20140002800005a042,2494,1939
20140002820005a042,2503,1949
20140002820205a042,2604,1905
420140002820205a042,2609,1908
420140002820205e042,2881,2084
42014000282020de042,5057,3628
42014000283020de042,5066,3637
42014000283020de062,5066,3671
4201400028b020de062,5132,3671
420140002ab020de062,5134,3673
520140002ab020de062,5136,3681
560140002ab020de062,5204,3714
560160002ab020de062,5311,3737
560168002ab020de062,5381,3805
560168002ab021de062,5575,3911
560168002ab021de066,5711,3963
560168002af021de066,5713,3965
560168002ef021de066,5718,3968
4560168002ef021de066,5828,4008
4562168002ef021de066,5834,4014
4562168002ef221de066,11508,7895
4562168002ef221de866,11764,8279
4562168002ef221dea66,11761,8276
4562169002ef221dea66,11761,8244
4572169002ef221dea66,11769,8249
4572169006ef221dea66,11775,8252
4572169016ef221dea66,11779,8256
4572169016ef221deae6,6113,4316
4572169016ef221deae7,6199,4347
457a169016ef221deae7,6207,4357
457a169016ef221deee7,6208,4358
457b169016ef221deee7,6218,4358
457b169016ef221dfee7,6794,4614
457b169016ff221dfee7,6794,4614
457b169016ff231dfee7,7091,4623
45fb169016ff231dfee7,7091,4623
45fb169816ff231dfee7,7127,4645
45fb369816ff231dfee7,7207,4689
4dfb369816ff231dfee7,7273,4727
4dfb369836ff231dfee7,7287,4739
4dfbb69836ff231dfee7,7293,4749
4dfbb69c36ff231dfee7,7379,4823
4dfbb69c36ffa31dfee7,7397,4831
4dfbb69cb6ffa31dfee7,7405,4867
4dfbb69cb6ffb31dfee7,14418,9432
5dfbb69cb6ffb31dfee7,14550,9502
5dfbb69eb6ffb31dfee7,14627,9571
5dfbb69fb6ffb31dfee7,14704,9640
5dfbb79fb6ffb31dfee7,14838,9740
5dfbb79fb6fff31dfee7,14842,9746
5dfbb7dfb6fff31dfee7,14959,9810
5dfbf7dfb6fff31dfee7,14973,9812
5dfbf7dfb6fff39dfee7,15367,9818
5dfbf7ffb6fff39dfee7,15497,9899
5dfbf7ffb6fff3ddfee7,16085,10131
5dfbf7ffb6fff3ddfeef,16639,10449
5dfbf7ffb6fff7ddfeef,17633,10473
5ffbf7ffb6fff7ddfeef,17635,10476
5ffff7ffb6fff7ddfeef,17647,10488
7ffff7ffb6fff7ddfeef,17783,10624
7ffff7fff6fff7ddfeef,14845,10308
7ffff7fff7fff7ddfeef,14846,10309
7ffff7fff7fff7dffeef,26174,15365
7ffffffff7fff7dffeef,26242,15405
7ffffffffffff7dffeef,26264,15421
7ffffffffffff7fffeef,5220,3415
7ffffffffffff7fffeff,5220,3419
7ffffffffffffffffeff,5528,3497
7fffffffffffffffffff,5595,3564
8000,1360,1053
8000000008000,1380,1063
1008000000008000,1394,1073
20001008000000008000,1416,1091
20001008000002008000,1469,1069
20201008000002008000,1477,1071
20201008000003008000,1555,1074
20201208000003008000,1614,1106
20203208000003008000,1662,1140
22203208000003008000,1663,1141
22223208000003008000,1669,1145
22223208000043008000,1671,1147
22223208002043008000,1673,1149
22223208002043108000,1723,1182
32223208002043108000,1757,1202
32227208002043108000,1764,1207
32227218002043108000,1764,1199
72227218002043108000,1844,1243
72227218002053108000,1847,1245
72627218002053108000,1883,1260
72627218402053108000,1886,1277
72627218c02053108000,1892,1425
72627a18c02053108000,1912,1437
72627a18c02453108000,1914,1439
7262fa18c02453108000,1918,1443
7262fa18c02453108100,1920,1443
7262fa18c02553108100,1929,1451
7262fa18c02553108108,1970,1459
726afa18c02553108108,1978,1463
726afa18c0255310c108,2378,1671
726afa18c0255310c188,2382,1675
726afa18c2255310c188,2397,1680
726afa1cc2255310c188,2455,1726
726afa1cc2255311c188,2999,2142
726afa1cd2255311c188,3003,2146
726afa1cd2655311c188,3008,2151
726afa1cd2675311c188,3021,2164
726afa1cd3675311c188,3022,2165
726afa1cd3675351c188,3172,2249
726afa1cd3675b51c188,3454,2364
726afa1cd3675b59c188,3494,2388
726afa1cdb675b59c188,3504,2394
726afa1cdb675b59c18a,3561,2443
726afa1cdb675b59c58a,3561,2443
736afa1cdb675b59c58a,3563,2448
736afa5cdb675b59c58a,3597,2468
736afe5cdb675b59c58a,3617,2488
737afe5cdb675b59c58a,3623,2493
737afe5cdb675b59c59a,3623,2492
737afe5cdb675b59cd9a,3815,2620
7b7afe5cdb675b59cd9a,3883,2660
7b7afe5cdf675b59cd9a,3882,2667
7b7afe5cdf675bd9cd9a,3983,2702
7b7afe5cdf675bdbcd9a,6847,3990
7b7afe5edf675bdbcd9a,6874,4011
7b7afe5fdf675bdbcd9a,6901,4032
7b7afe5fdf675bdbcdda,6951,4068
7b7afe5fdf675bdbcfda,6949,4066
7b7afe5fdf775bdbcfda,6949,4066
7b7afe5fff775bdbcfda,6961,4078
7b7afe5fff775fdbcfda,7378,4090
7b7afe5ffff75fdbcfda,7382,4091
7b7afe5ffff75fdbcfde,7490,4141
7b7afe5ffff75fdbefde,7650,4301
7b7afe5ffff7dfdbefde,7664,4309
7b7afe5ffff7dfdbefdf,7726,4362
7b7bfe5ffff7dfdbefdf,7748,4381
7b7bfe5ffff7dfdfefdf,13756,7461
7b7bfe7ffff7dfdfefdf,13822,7505
7b7ffe7ffff7dfdfefdf,13834,7513
7b7ffe7ffff7dfffefdf,2640,1702
7b7ffe7ffff7dfffefff,2662,1737
7b7ffe7fffffdfffefff,2696,1771
7b7ffe7fffffdfffffff,2984,1931
7b7fff7fffffdfffffff,2998,1942
7b7fffffffffdfffffff,3012,1957
7b7fffffffffffffffff,5589,3553
7bffffffffffffffffff,5589,3557
2000000000000000,1294,997
2040000000000000,1311,1006
2040000000400000,1389,1034
102040000000400000,1392,1035
102040002000400000,1394,1037
102040002000402000,1418,1053
102040002000442000,1458,1061
102050002000442000,1458,1053
102050012000442000,1459,1054
20102050012000442000,1473,1064
201020500120004c2000,2641,1904
2010a0500120004c2000,2645,1908
2010a0500120014c2000,2746,1862
2010a0520120014c2000,2786,1896
2030a0520120014c2000,2797,1901
2030a0d20120014c2000,2867,1969
2030a0d20120034c2000,3017,1972
2030a0d20520034c2000,3021,1975
2030a0d20520034e2000,4637,3063
2030a0d20528034e2000,4654,3063
2030a0da0528034e2000,4690,3081
2031a0da0528034e2000,4694,3085
2031a0da0529034e2000,4701,3091
2031a0da0529034e2002,4720,3078
2031a0da1529034e2002,4726,3082
2831a0da1529034e2002,4746,3101
2831a0da1529434e2002,4750,3107
2831a0da152943ce2002,4915,3110
2831a0da152943ce2022,4963,3118
6831a0da152943ce2022,5011,3144
6831a2da152943ce2022,5151,3218
6835a2da152943ce2022,5163,3225
6835a2da152943ce2422,5163,3225
68b5a2da152943ce2422,5163,3225
68b5aada152943ce2422,5197,3245
68b5aada152943cea422,5405,3389
68b5aada153943cea422,5406,3389
68b5aada153943ceb422,5502,3453
68b5aada153943ceb4a2,5874,3585
68b5abda153943ceb4a2,5944,3637
68b5abda153947ceb4a2,6361,3649
68b5abda153947ceb4e2,6521,3745
6cb5abda153947ceb4e2,6526,3748
6cb5abda153947deb4e2,6688,3853
6cb5abda1d3947deb4e2,6694,3859
6cb5abfa1d3947deb4e2,6760,3899
6cb5abfa3d3947deb4e2,6772,3909
7cb5abfa3d3947deb4e2,6808,3929
7cbdabfa3d3947deb4e2,6814,3934
7cbdabfa3d3947deb4ea,6942,3983
7cbdabfa3d3967deb4ea,13627,7769
7cfdabfa3d3967deb4ea,13695,7781
7cfdabfa3d3967def4ea,15423,8709
7cfdabfa3d3967dff4ea,25023,14309
