"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","component_type","example","classification"
"4d844123264504651a00c090002f825111a105186410b08f211000000000000000",17,30.3,"p.bst.6.pred.pred_inst.117.139",32,0.041949889,"gradual",0.0291263905,227.1,"bst","pred","pred_inst","bst","max"
"48ad0b76604971745a37b9985493b55157ebb7c2894b34de6e7980002000000001",6,51.9,"p.bst.6.pred.pred_inst.117.139",32,0.0573581475,"gradual",0.0279798175,95.2,"bst","pred","pred_inst","bst","max"
"6dfc0204651d6450d996ddab5685b4516f6ab599edd8b55f69f8c8020400000000",22,54.3,"p.bst.6.pred.pred_inst.117.140",32,0.0382732795,"gradual",0.029100583,317.3,"bst","pred","pred_inst","bst","max"
"edbd5b505745697488872da356dfb55524eaa69a2519b79f2ffac0080000000080",5,55.8,"p.bst.6.pred.acc.117.145",32,0.0459168125,"gradual",0.030824902,204.2,"bst","pred","acc","bst","max"
"6cbd033775555957dbb6e828747eb7597aaa978beddaa6d7affa8c001800600105",11,63.5,"p.bstRemove.6.pred.imp.118.-1",32,0.065930112,"gradual",0.0382884395,138.5,"bstRemove","pred","imp","bst","max"
"edbd5b52774d6d74cb873dab56ffb75524eba69b2599b79f6ffadd883000008087",5,68.3,"m.tree_main_lemma_bst.1.pre.imp.34.-1",32,0.071612478,"gradual",0.035158162,96.4,"tree_main_lemma_bst","pre","imp","bst","max"
"693d4b73735d7d61dbb2cdbb76ffa75d7f0836dbedcbb7dfebbb8613020420066b",0,72.1,"p.bst.6.pred.imp.117.-1",32,0.052828497,"gradual",0.03381141,177.8,"bst","pred","imp","bst","max"
"6cbd4b3777557d57dbb6fdbb767fb75d7eea97dbeddaa6dfefface399e0060050f",11,79.3,"m.tree_contains_helper.2.post.imp.25.-1",16,0.07415642,"gradual",0.065258252,733.4,"tree_contains_helper","post","imp","bst","max"
"6cbd4b3777557d57dbb6fdbb767fb75d7eea97dbeddaa6dfefface399e0060050f",11,79.3,"m.tree_contains_helper.2.post.imp.25.-1",32,1.242922576,"gradual",1.1906833725,2279.3,"tree_contains_helper","post","imp","bst","max"
"6dbd5977335d7d75dbb6ddbb76d7b7dd7f6ba7cbe99ab6dfedfacf207a1c7e400a",14,79.3,"p.bst.6.pred.imp.117.-1",32,0.0439575505,"gradual",0.0378374775,618.3,"bst","pred","imp","bst","max"
"693d5b77771c7c75dbb3fdbb36bfb75d7febb799ad5b97dfcffe89babf2230c0d7",21,81.2,"m.tree_main_lemma_bst.1.pre.imp.34.-1",32,0.0593760625,"gradual",0.0350977225,144.6,"tree_main_lemma_bst","pre","imp","bst","max"
"69bd5b73735d7d65dbb6fdbb76ffb75d7fab36dbeddbb7dfefbb8e170e3c280f7b",0,83.7,"m.tree_contains.1.pre.imp.20.-1",32,0.086221525,"gradual",0.0302395605,54,"tree_contains","pre","imp","bst","max"
"2dbd1b77765d7d759397fd3b76ffb75d7feb33dbeddbb5dfefee9de6e29e3a290b",15,83.7,"p.bst.6.pred.imp.117.-1",32,0.294348219,"gradual",0.2680515685,1019.3,"bst","pred","imp","bst","max"
"6dbd4b7777557d57dbb6fdbb767fb75d7fea97dbeddaa6dfeffafe399e12700f0f",11,84.1,"m.create_tree.2.post.imp.1.-1",32,0.2652491985,"gradual",0.032283273,13.9,"create_tree","post","imp","bst","max"
"6dbd5b7777197d755bb7bdb936ffb75d5febb7dbedd9a7dfeffb9f81c41228ff9b",20,84.1,"m.tree_contains_helper.2.post.imp.25.-1",32,0.1551517805,"gradual",0.096164385,163,"tree_contains_helper","post","imp","bst","max"
