"id","path_id","level_id","component_added","stress","median","verification","diff"
"400000000000000000",0,1,"m.tree_min_lemma.1.pre.82",56,2554151,"gradual",1656869
"400000000000000000",0,1,"m.tree_min_lemma.1.pre.82",60,3024215,"gradual",2116022
"400000000000000000",0,1,"m.tree_min_lemma.1.pre.82",64,3143368,"gradual",2227002
"4000000000000000000000000000000",1,1,"m.tree_contains_helper.1.pre.30",36,2290474,"gradual",1431156
"4000000000000000000000000000000",1,1,"m.tree_contains_helper.1.pre.30",40,2460176,"gradual",1611304
"4000000000000000000000000000000",1,1,"m.tree_contains_helper.1.pre.30",44,2713474,"gradual",1841383
"4000000000000000000000000000000",1,1,"m.tree_contains_helper.1.pre.30",48,2617037,"gradual",1763606
"4000000000000000000000000000000",1,1,"m.tree_contains_helper.1.pre.30",52,3087209,"gradual",2224772
"4000000000000000000000000000000",1,1,"m.tree_contains_helper.1.pre.30",56,3572902,"gradual",2675620
"4000000000000000000000000000000",1,1,"m.tree_contains_helper.1.pre.30",60,4070032,"gradual",3161839
"4000000000000000000000000000000",1,1,"m.tree_contains_helper.1.pre.30",64,4212789,"gradual",3296423
"10000000000000",2,1,"m.tree_remove_helper.3.fold.100",56,2534768,"gradual",1637486
"10000000000000",2,1,"m.tree_remove_helper.3.fold.100",60,2986137,"gradual",2077944
"10000000000000",2,1,"m.tree_remove_helper.3.fold.100",64,3212290,"gradual",2295924
"800000000000000000000000000",3,1,"m.tree_max.1.pre.45",56,2574196,"gradual",1676914
"800000000000000000000000000",3,1,"m.tree_max.1.pre.45",60,2999522,"gradual",2091329
"800000000000000000000000000",3,1,"m.tree_max.1.pre.45",64,3169502,"gradual",2253136
"400000000",4,1,"m.tree_remove_lemma_left2.3.fold.118",56,2540998,"gradual",1643716
"400000000",4,1,"m.tree_remove_lemma_left2.3.fold.118",60,3073419,"gradual",2165226
"400000000",4,1,"m.tree_remove_lemma_left2.3.fold.118",64,3215057,"gradual",2298691
"400000000000000000000000000",5,1,"m.tree_max.2.post.46",56,2510768,"gradual",1613486
"400000000000000000000000000",5,1,"m.tree_max.2.post.46",60,3031609,"gradual",2123416
"400000000000000000000000000",5,1,"m.tree_max.2.post.46",64,3144595,"gradual",2228229
"400000000000000000",6,1,"m.tree_min_lemma.1.pre.82",56,2554151,"gradual",1656869
"400000000000000000",6,1,"m.tree_min_lemma.1.pre.82",60,3024215,"gradual",2116022
"400000000000000000",6,1,"m.tree_min_lemma.1.pre.82",64,3143368,"gradual",2227002
"40000000000000000000000000000",7,1,"m.tree_main_lemma.4.unfold.38",56,2518853,"gradual",1621571
"40000000000000000000000000000",7,1,"m.tree_main_lemma.4.unfold.38",60,2966745,"gradual",2058552
"40000000000000000000000000000",7,1,"m.tree_main_lemma.4.unfold.38",64,3202369,"gradual",2286003
"400000000000000200000000000",5,2,"m.tree_remove_lemma_left.2.post.107",52,3704463,"gradual",1474178
"400000000000000200000000000",5,2,"m.tree_remove_lemma_left.2.post.107",56,4642518,"gradual",2131750
"400000000000000200000000000",5,2,"m.tree_remove_lemma_left.2.post.107",60,4857585,"gradual",1825976
"400000000000000200000000000",5,2,"m.tree_remove_lemma_left.2.post.107",64,5681215,"gradual",2536620
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",28,3170096,"gradual",1790622
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",32,3441091,"gradual",1979735
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",36,4034341,"gradual",2466873
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",40,4474220,"gradual",2652802
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",44,5286050,"gradual",3323813
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",48,5144173,"gradual",3143540
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",52,6731044,"gradual",4420205
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",56,8157685,"gradual",5663914
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",60,9751601,"gradual",6678212
"10008000000020400002000000010000",6,6,"m.tree_main_lemma_bst.2.post.41",64,10997182,"gradual",7813648
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",28,3233984,"gradual",1823851
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",32,3535810,"gradual",2003939
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",36,4110650,"gradual",2380081
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",40,4506457,"gradual",2769053
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",44,5554130,"gradual",3579495
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",48,5444184,"gradual",3535051
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",52,7062677,"gradual",4772963
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",56,8453975,"gradual",5848616
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",60,10242905,"gradual",7103660
"9808300000080020090002000402",3,13,"m.tree_main_lemma_bst.2.post.41",64,11369216,"gradual",7965035
"80000000040b000210000001600010001410",5,14,"m.tree_remove_lemma_left.1.pre.106",48,4608667,"gradual",1486257
"80000000040b000210000001600010001410",5,14,"m.tree_remove_lemma_left.1.pre.106",52,5761798,"gradual",1911824
"80000000040b000210000001600010001410",5,14,"m.tree_remove_lemma_left.1.pre.106",56,7324024,"gradual",2385410
"80000000040b000210000001600010001410",5,14,"m.tree_remove_lemma_left.1.pre.106",60,7118770,"gradual",1852405
"80000000040b000210000001600010001410",5,14,"m.tree_remove_lemma_left.1.pre.106",64,8613966,"gradual",2633523
"10008000000522400402000011010802",6,14,"p.bst.6.pred.141",36,5428694,"gradual",1422830
"10008000000522400402000011010802",6,14,"p.bst.6.pred.141",40,5905053,"gradual",1589744
"10008000000522400402000011010802",6,14,"p.bst.6.pred.141",44,7973366,"gradual",2690537
"10008000000522400402000011010802",6,14,"p.bst.6.pred.141",52,10247074,"gradual",3559330
"10008000000522400402000011010802",6,14,"p.bst.6.pred.141",56,11598729,"gradual",3596934
"10008000000522400402000011010802",6,14,"p.bst.6.pred.141",60,14408404,"gradual",4738134
"10008000000522400402000011010802",6,14,"p.bst.6.pred.141",64,16154261,"gradual",5214584
"40012008000000522400402800015810802",6,19,"m.tree_contains_helper.2.post.31",36,7009413,"gradual",1509294
"40012008000000522400402800015810802",6,19,"m.tree_contains_helper.2.post.31",40,7886255,"gradual",1941429
"40012008000000522400402800015810802",6,19,"m.tree_contains_helper.2.post.31",44,10871881,"gradual",2898814
"40012008000000522400402800015810802",6,19,"m.tree_contains_helper.2.post.31",48,8072162,"gradual",1714825
"40012008000000522400402800015810802",6,19,"m.tree_contains_helper.2.post.31",52,12659728,"gradual",2619531
"40012008000000522400402800015810802",6,19,"m.tree_contains_helper.2.post.31",56,13908716,"gradual",2502449
"40012008000000522400402800015810802",6,19,"m.tree_contains_helper.2.post.31",60,17845911,"gradual",3103284
"40012008000000522400402800015810802",6,19,"m.tree_contains_helper.2.post.31",64,19115014,"gradual",3055067
"4200101040008201080922040088010880050",7,21,"m.tree_min_lemma.4.unfold.84",0,3328464,"gradual",2451898
"4200101040008201080922040088010880050",7,21,"m.tree_min_lemma.4.unfold.84",4,3026156,"gradual",2095560
"4200101040008201080922040088010880050",7,21,"m.tree_min_lemma.4.unfold.84",8,8004306,"gradual",6928786
"4200101040008201080922040088010880050",7,21,"m.tree_min_lemma.4.unfold.84",12,7887295,"gradual",6801702
"4200101040008201080922040088010880050",7,21,"m.tree_min_lemma.4.unfold.84",16,5286022,"gradual",4085497
"800000009d08300800080720090003420402",3,23,"m.tree_remove_lemma_right.1.pre.130",60,12675345,"gradual",2451342
"800000009d08300800080720090003420402",3,23,"m.tree_remove_lemma_right.1.pre.130",64,14117486,"gradual",2565635
"42001031500092010c092a04008a490880050",7,30,"m.tree_main_lemma_bst.1.pre.40",28,3929281,"gradual",1753988
"42001031500092010c092a04008a490880050",7,30,"m.tree_main_lemma_bst.1.pre.40",32,4478136,"gradual",2120316
"42001031500092010c092a04008a490880050",7,30,"m.tree_main_lemma_bst.1.pre.40",36,5263817,"gradual",2561103
