id,conjuncts_total,conjuncts_elim
400000000000000000,208,140
100000000400000000000000000,210,142
100000000400000008000000000,215,142
400000000100000000400000008000000000,215,142
20400000000100000000400000008000000000,217,144
20400020000100000000400000008000000000,218,144
20400020000100002000400000008000000000,219,144
20400020000100402000400000008000000000,221,146
20401020000100402000400000008000000000,221,145
20401020000100402000480000008000000000,225,149
20401020000110402000480000008000000000,227,149
20401020400110402000480000008000000000,229,151
20401020400110402000480000008200000000,229,150
20401020400110402000480000008200000200,233,150
20401020400110406000480000008200000200,233,150
20401120400110406000480000008200000200,235,152
20401120400110446000480000008200000200,237,152
20401120400110446000680000008200000200,239,154
22401120400110446000680000008200000200,243,158
22401120400110446000680000008200000280,245,158
22401128400110446000680000008200000280,247,161
22401128400110646000680000008200000280,249,164
22401128400110646000680400008200000280,256,166
22401128400110646000680400008204000280,258,166
22401128400110646002680400008204000280,260,168
22401128400110646002680440008204000280,261,168
22401128400112646002680440008204000280,263,171
22401128400112646002680440808204000280,263,169
22401128480112646002680440808204000280,264,169
22401128480112646002680440828204000280,287,177
224011284a0112646002680440828204000280,289,180
224011284e0112646002680440828204000280,291,182
2240112c4e0112646002680440828204000280,294,182
2a40112c4e0112646002680440828204000280,294,179
2a40112c6e0112646002680440828204000280,296,181
3a40112c6e0112646002680440828204000280,300,184
3a60112c6e0112646002680440828204000280,297,181
3a62112c6e0112646002680440828204000280,297,181
3a62112c6e0112666002680440828204000280,299,183
3a62112c6e0112666002e80440828204000280,301,184
3a62112c6e0112666006e80440828204000280,302,184
3a62112c6e0112666006e80440828204000290,310,188
3a62112c6e0112666006e90440828204000290,312,190
3a62112c6e0112666006e90460828204000290,314,192
3a62112c6e0112666006e90460828204400290,321,192
3a62112c6e011266600ee90460828204400290,323,194
3a62112c6e811266600ee90460828204400290,325,194
3a62112c6e811266600ee90460828204400298,333,198
3a62112c6e811266600eeb0460828204400298,334,198
3a62112c6e811266600eeb0460828204402298,347,191
3a62112c6e813266600eeb0460828204402298,349,192
3a62152c6e813266600eeb0460828204402298,355,195
3a62152c6ec13266600eeb0460828204402298,360,198
3a62152c6ec13266600eeb0460828204602298,364,198
3ae2152c6ec13266600eeb0460828204602298,367,199
3ae2152c6ec13266600eeb0460828224602298,380,205
3ae21d2c6ec13266600eeb0460828224602298,383,210
3ae21d2c6ec13266620eeb0460828224602298,385,210
3ae21f2c6ec13266620eeb0460828224602298,391,210
3ae21f2c6ec13266720eeb0460828224602298,393,212
3ae21f2c6ec13266720eeb0460828224602a98,411,224
3ae21f2c6ec13266722eeb0460828224602a98,413,226
3ae21f2c6ec13266722eeb0460828224602e98,431,237
3ae21f2c6ec1326672aeeb0460828224602e98,433,238
3ae21f2c6ec1326672aeeb0460868224602e98,459,248
3ae21f2c6ec1326672aeeb0460868224602e9c,473,256
3ae21f2c6ec1326672aeeb0460868224642e9c,491,263
3ae21f2c6ec1326672aeef0460868224642e9c,492,263
3ae25f2c6ec1326672aeef0460868224642e9c,494,265
3ae25f2c6ec1326672aeef0468868224642e9c,496,265
3ae25f2c6ec132e672aeef0468868224642e9c,497,265
3ae25f2c6ec132e672aeef0468869224642e9c,514,272
3ae25f2c7ec132e672aeef0468869224642e9c,515,273
3ae25f2e7ec132e672aeef0468869224642e9c,519,277
3ae25f2e7ec132e673aeef0468869224642e9c,521,279
3ae25f2e7ec132e673aeef0468869224646e9c,544,281
3ae25f2e7ec132e673aeef8468869224646e9c,546,284
3ae25f2e7ec132e673aeef84e8869224646e9c,550,288
3ae25f2e7ec932e673aeef84e8869224646e9c,550,288
3ae25f2e7ecb32e673aeef84e8869224646e9c,552,290
3ee25f2e7ecb32e673aeef84e8869224646e9c,553,292
3ee25f2e7ecb32e673aeef84e88692246c6e9c,571,299
3ee2df2e7ecb32e673aeef84e88692246c6e9c,572,299
13ee2df2e7ecb32e673aeef84e88692246c6e9c,572,300
13ee2df2e7ecb32e673beef84e88692246c6e9c,581,304
13ee2df2e7ecb32e6f3beef84e88692246c6e9c,581,304
13ee2df2e7ecb32e6f3beef85e88692246c6e9c,583,306
13ee6df2e7ecb32e6f3beef85e88692246c6e9c,583,307
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,629,317
13ee6df2e7ecb32eef3beef85e88692246c6f9c,631,318
13ee6df3e7ecb32eef3beef85e88692246c6f9c,633,320
13ee6df3e7ecb32eff3beef85e88692246c6f9c,644,327
13ee6df3e7ecb32eff3beef85e8869a246c6f9c,665,335
13ee6df3e7ecb32eff3beef85e8a69a246c6f9c,670,340
13ee6df3e7ecb72eff3beef85e8a69a246c6f9c,673,340
13ee6df3e7ecf72eff3beef85e8a69a246c6f9c,674,341
13ee6df3e7ecf76eff3beef85e8a69a246c6f9c,676,340
13ee6df3e7ecf76eff3beef8de8a69a246c6f9c,680,344
13ef6df3e7ecf76eff3beef8de8a69a246c6f9c,680,344
13ef6df3e7ecf76eff3bfef8de8a69a246c6f9c,689,348
13ef6df3e7ecf76eff3bfef8de8a69a246c6fbc,714,348
13ef7df3e7ecf76eff3bfef8de8a69a246c6fbc,714,348
13ef7df3e7ecf76eff3bfef8de8a69a246d6fbc,776,358
13ef7dfbe7ecf76eff3bfef8de8a69a246d6fbc,841,391
13ef7dfbe7ecf76eff7bfef8de8a69a246d6fbc,843,393
13ef7dfbe7ecf76fff7bfef8de8a69a246d6fbc,845,395
13ef7dfbe7ecf76fff7bfef8deca69a246d6fbc,847,395
13ef7dfbe7ecf76fff7bfef8deca69a247d6fbc,853,402
17ef7dfbe7ecf76fff7bfef8deca69a247d6fbc,854,403
17ef7dfbe7ecf76fff7bfef9deca69a247d6fbc,856,405
17ef7dfbe7ecf76fff7bfef9decb69a247d6fbc,862,412
17ef7dffe7ecf76fff7bfef9decb69a247d6fbc,863,413
17ef7dffe7ecf76fff7bfef9dfcb69a247d6fbc,882,419
17ef7dffe7eef76fff7bfef9dfcb69a247d6fbc,897,427
17ef7dffe7eef76fff7bfef9dfcb6ba247d6fbc,905,437
17ef7dffe7eef76fff7bfef9dfcb6ba647d6fbc,913,441
17ef7dffe7eef76fff7bfef9dfcb6ba667d6fbc,921,445
17ef7dffe7eef77fff7bfef9dfcb6ba667d6fbc,927,448
17ef7dffe7eef77fff7bfef9dfcb6ba667f6fbc,1024,486
17ef7dffe7eef77ffffbfef9dfcb6ba667f6fbc,1026,489
17ef7dffe7eef77ffffbfef9dfcb6ba667f6ffc,1066,489
17ef7dffe7eef77ffffbfef9dfcb6ba667f7ffc,1102,525
17ef7dffe7eef77ffffbfef9dfcf6ba667f7ffc,1114,531
1fef7dffe7eef77ffffbfef9dfcf6ba667f7ffc,1115,533
1fef7dffe7eff77ffffbfef9dfcf6ba667f7ffc,1115,533
1fef7dffe7eff77ffffffef9dfcf6ba667f7ffc,1121,537
