id,path_id,level_id,component_added
0,4,0,NA
400000000,4,1,m.tree_remove_lemma_left2.3.fold.118
400000004,4,2,p.bstRemove.6.pred.150
80000000000000000400000004,4,3,m.tree_max_helper.1.pre.49
82000000000000000400000004,4,4,m.tree_max_helper.3.fold.55
8000000082000000000000000400000004,4,5,m.tree_add.2.post.17
2008000000082000000000000000400000004,4,6,m.create_tree_helper.3.fold.7
2008000000082000800000000000400000004,4,7,m.tree_min.3.fold.69
102008000000082000800000000000400000004,4,8,m.create_tree.1.pre.0
102008000000082000800000000001400000004,4,9,m.tree_remove_lemma_left2.3.fold.116
102008000000082000800000000001401000004,4,10,m.tree_remove_lemma_min.3.fold.128
102008200000082000800000000001401000004,4,11,m.tree_add_helper.2.post.23
102008202000082000800000000001401000004,4,12,m.tree_contains_helper.2.post.31
102008202000082000801000000001401000004,4,13,m.tree_min_helper.3.fold.80
102008202000082000801000000003401000004,4,14,m.tree_remove_lemma_left2.4.unfold.115
102008202000092000801000000003401000004,4,15,m.tree_max_helper.2.post.52
102008202000093000801000000003401000004,4,16,m.tree_max_helper.4.unfold.56
102008202000093040801000000003401000004,4,17,m.tree_max_lemma.2.post.62
1020082020000930c0801000000003401000004,4,18,m.tree_max_lemma.1.pre.61
1020082020000930c0801000000003401010004,4,19,p.bst.6.pred.136
1020082020040930c0801000000003401010004,4,20,m.tree_main_lemma_bst.4.unfold.42
1020082020040930c0801000000023401010004,4,21,m.tree_remove_lemma_left.3.fold.111
1020082020040930c0801000000023411010004,4,22,m.tree_remove_lemma_min.1.pre.124
1020082020840930c0801000000023411010004,4,23,m.tree_main_lemma.2.post.37
1020482020840930c0801000000023411010004,4,24,m.tree_add.1.pre.14
1820482020840930c0801000000023411010004,4,25,m.create_tree.1.pre.1
1820482020840930c0801000004023411010004,4,26,m.tree_remove_lemma.2.post.102
1820482020840930c080100000402b411010004,4,27,m.tree_remove_lemma_left2.1.pre.113
1820492020840930c080100000402b411010004,4,28,m.tree_add_helper.1.pre.20
1820492020840930c080100000402b41101000c,4,29,p.bstRemove.6.pred.149
1920492020840930c080100000402b41101000c,4,30,m.create_tree_helper.1.pre.4
19204920208c0930c080100000402b41101000c,4,31,m.tree_main_lemma_bst.2.post.41
19204920208c0930c080100000402b41901000c,4,32,m.tree_remove_lemma_min.1.pre.125
19204922208c0930c080100000402b41901000c,4,33,m.tree_contains.2.post.27
19204922208c0970c080100000402b41901000c,4,34,m.tree_max_helper.3.fold.54
19204926208c0970c080100000402b41901000c,4,35,m.tree_contains.1.pre.26
19206926208c0970c080100000402b41901000c,4,36,m.tree_add.1.pre.15
19206926208c0970c480100000402b41901000c,4,37,m.tree_min.1.pre.66
19206926208c0970c480180000402b41901000c,4,38,m.tree_min_lemma.1.pre.81
19206926208c0970c488180000402b41901000c,4,39,m.tree_min_helper.2.post.73
19206926608c0970c488180000402b41901000c,4,40,m.tree_contains_helper.1.pre.30
19206926608c0970c488180000403b41901000c,4,41,m.tree_remove_lemma_left2.1.pre.112
19206926608c0970c488180000403b43901000c,4,42,m.tree_remove_lemma_max.3.fold.123
1920692660cc0970c488180000403b43901000c,4,43,m.tree_main_lemma.4.unfold.38
1920692660cc0970c488180000483b43901000c,4,44,m.tree_remove_lemma_left.1.pre.105
1920692660cc0970c498180000483b43901000c,4,45,m.tree_min_helper.2.post.72
1920692660cc0970c4981800004c3b43901000c,4,46,m.tree_remove_lemma_left.1.pre.106
1920692660cc0970c4981800004c3b43901800c,4,47,p.bst.6.pred.137
