id,stress,iter,95th,5th,median,mean,stdev,min,max
68bcd335565d34759bb7e8b1765da54577abb053e5493255c8308a840004004000,8,10,6407401.20,5141297.5,5141297.5,5453329.5,540317.56,5057829,6423009
68bcd335565d34759bb7e8b1765da54577abb053e5493255c8308a840004004000,16,10,16710974.50,14747329.0,14747329,15101699,1034590.94,14368804,17804866
68bcd335565d34759bb7e8b1765da54577abb053e5493255c8308a840004004000,32,10,98774822.85,96422675.5,96422675.5,96623709.6,1289325.26,94892561,98786463
100040200001000000001a400002544048004040120008020200000000000000,8,10,2433138.05,2272063.0,2272063,2286441.1,88443.60,2182939,2486315
100040200001000000001a400002544048004040120008020200000000000000,16,10,4310848.15,4159204.0,4159204,4174972.5,82207.92,4078431,4352893
100040200001000000001a400002544048004040120008020200000000000000,32,10,28387176.50,25850524.5,25850524.5,26257078.9,1347878.69,25375780,29922509
9000002008000040004000000100000008a4000000000800d000000000000000,8,10,1471498.00,1353993.5,1353993.5,1370433.6,68339.34,1296952,1482658
9000002008000040004000000100000008a4000000000800d000000000000000,16,10,2113088.75,2032065.5,2032065.5,2039750.3,49739.39,1958414,2115557
9000002008000040004000000100000008a4000000000800d000000000000000,32,10,4055936.45,3852115.0,3852115,3862994.5,113984.67,3727185,4127000
20000100200000100000000000000000000000,8,10,1356723.90,1281367.5,1281367.5,1274281.5,63184.08,1182665,1383327
20000100200000100000000000000000000000,16,10,1366151.55,1255464.0,1255464,1271243.9,54395.56,1222029,1409289
20000100200000100000000000000000000000,32,10,2789241.80,2258705.0,2258705,2299760.7,313153.44,1944113,2893217
25045933161475450bb79d23725115097a61b310ccc3004eaf9e80000000000002,8,10,6328604.95,5273495.5,5273495.5,5384285.3,682889.80,4582428,6473248
25045933161475450bb79d23725115097a61b310ccc3004eaf9e80000000000002,16,10,15224788.15,13949031.0,13949031,14014583.6,1059368.13,12856646,15253828
25045933161475450bb79d23725115097a61b310ccc3004eaf9e80000000000002,32,10,89851319.50,83379176.0,83379176,84442419.9,3323063.85,81259009,92475076
6cbd5b67465c2d70dfb7d93b36fbb34d7de3b5dbc4d9b65de7e8ca020200000001,8,10,4153813.55,3854031.5,3854031.5,3888868.3,162720.08,3740192,4304375
6cbd5b67465c2d70dfb7d93b36fbb34d7de3b5dbc4d9b65de7e8ca020200000001,16,10,13554270.75,12171771.0,12171771,12053245.7,1118036.69,10354389,14353860
6cbd5b67465c2d70dfb7d93b36fbb34d7de3b5dbc4d9b65de7e8ca020200000001,32,10,76437014.90,65739532.0,65739532,67799594.7,5627429.62,64658080,83601131
693c5b77770c7c71dbb3fd93363fb74d7feba799ad5b93dfcfd688282e0210c0c3,8,10,4063121.90,3966456.5,3966456.5,3983025.6,55793.61,3915176,4063454
693c5b77770c7c71dbb3fd93363fb74d7feba799ad5b93dfcfd688282e0210c0c3,16,10,13229870.90,12202555.5,12202555.5,12064169.6,765938.84,11094513,13372241
693c5b77770c7c71dbb3fd93363fb74d7feba799ad5b93dfcfd688282e0210c0c3,32,10,74534522.80,69733425.0,69733425,70510091.5,2583826.34,69147330,77790298
