id,stress,iter,95th,5th,median,mean,stdev,min,max
68bcd335565d34759bb7e8b1765da54577abb053e5493255c8308a840004004000,8,10,1359633.30,1298360.5,1298360.5,1293813.9,55612.92,1216848,1365801
68bcd335565d34759bb7e8b1765da54577abb053e5493255c8308a840004004000,16,10,1503020.90,1307255.5,1307255.5,1332057.3,103358.59,1222535,1601975
68bcd335565d34759bb7e8b1765da54577abb053e5493255c8308a840004004000,32,10,2727815.40,2270447.5,2270447.5,2289877,305926.28,1879560,2736405
100040200001000000001a400002544048004040120008020200000000000000,8,10,1340866.30,1330830.5,1330830.5,1310715.6,34226.40,1256960,1341004
100040200001000000001a400002544048004040120008020200000000000000,16,10,1583516.60,1413469.0,1413469,1427749.7,99136.55,1310194,1610018
100040200001000000001a400002544048004040120008020200000000000000,32,10,3205777.75,3104500.0,3104500,2918530.1,321897.99,2349270,3216751
9000002008000040004000000100000008a4000000000800d000000000000000,8,10,1331604.45,1270415.0,1270415,1262309.4,58762.64,1161987,1332873
9000002008000040004000000100000008a4000000000800d000000000000000,16,10,1419372.15,1354566.5,1354566.5,1352497.1,47214.99,1293828,1436298
9000002008000040004000000100000008a4000000000800d000000000000000,32,10,2705980.70,2249301.0,2249301,2259983.6,302886.75,1859011,2801369
20000100200000100000000000000000000000,8,10,1512156.05,1241820.0,1241820,1306736.7,122648.77,1215298,1604087
20000100200000100000000000000000000000,16,10,1400806.70,1328478.0,1328478,1329713.2,46520.29,1260067,1422809
20000100200000100000000000000000000000,32,10,1960274.80,1940445.0,1940445,1935566.2,23285.84,1896357,1962001
25045933161475450bb79d23725115097a61b310ccc3004eaf9e80000000000002,8,10,1391757.05,1266200.5,1266200.5,1290802.4,71224.72,1192194,1403318
25045933161475450bb79d23725115097a61b310ccc3004eaf9e80000000000002,16,10,1429133.80,1326725.5,1326725.5,1335510,67426.50,1239904,1436242
25045933161475450bb79d23725115097a61b310ccc3004eaf9e80000000000002,32,10,1958140.95,1881378.5,1881378.5,1874695.2,65226.60,1775663,1989033
6cbd5b67465c2d70dfb7d93b36fbb34d7de3b5dbc4d9b65de7e8ca020200000001,8,10,1376713.20,1241424.5,1241424.5,1259057.8,70522.64,1193958,1429329
6cbd5b67465c2d70dfb7d93b36fbb34d7de3b5dbc4d9b65de7e8ca020200000001,16,10,1314524.55,1284280.5,1284280.5,1284601.5,19801.71,1261573,1320816
