"id","path_id","level_id","component_added","stress","median","verification","classification","example"
"0",6,0,NA,16,0.001147354,"gradual","worst","composite"
"1000000000000000",6,0.62111801242236,"p.subtreeHelper.6.pred.acc.72.102",16,0.002770963,"gradual","worst","composite"
"1000000000000000001000000000000000",6,1.24223602484472,"m.tree_get_parent.2.post.pred_inst.40.42",16,0.001867467,"gradual","worst","composite"
"1000000000000000001000400000000000",6,1.86335403726708,"p.subtreeHelper.6.pred.acc.72.116",16,0.002442048,"gradual","worst","composite"
"101000000000000000001000400000000000",6,2.48447204968944,"m.tree_get_left.4.unfold.pred_inst.34.36",16,0.002076761,"gradual","worst","composite"
"101000000000000010001000400000000000",6,3.1055900621118,"p.context.6.pred.acc.71.87",16,0.0018958045,"gradual","worst","composite"
"101000000000000010021000400000000000",6,3.72670807453416,"p.subtreeHelper.6.pred.bool.72.97",16,0.00187854,"gradual","worst","composite"
"101000000000000010021004400000000000",6,4.34782608695652,"p.subtreeHelper.6.pred.pred_inst.72.112",16,0.0025783905,"gradual","worst","composite"
"101000200000000010021004400000000000",6,4.96894409937888,"m.tree_get_right.3.fold.pred_inst.53.55",16,0.001949154,"gradual","worst","composite"
"101000200000040010021004400000000000",6,5.59006211180124,"p.context.6.pred.bool.71.73",16,0.0020630395,"gradual","worst","composite"
"101000210000040010021004400000000000",6,6.2111801242236,"m.tree_get_total.2.post.pred_inst.56.58",16,0.003638186,"gradual","worst","composite"
"800000101000210000040010021004400000000000",6,6.83229813664596,"m.main.5.inv.pred_inst.13.15",16,0.0022999505,"gradual","worst","composite"
"800000101200210000040010021004400000000000",6,7.45341614906832,"m.tree_get_parent.3.fold.pred_inst.43.45",16,0.00236502,"gradual","worst","composite"
"800000101200210000240010021004400000000000",6,8.07453416149068,"m.tree_has_right.4.unfold.pred_inst.69.71",16,0.003147813,"gradual","worst","composite"
"800000181200210000240010021004400000000000",6,8.69565217391304,"m.tree_get_left.3.fold.pred_inst.35.37",16,0.0023014965,"gradual","worst","composite"
"800000181200210000240010021004401000000000",6,9.3167701863354,"p.tree.6.pred.pred_inst.73.125",16,0.0029812075,"gradual","worst","composite"
"800000181200210000240010021004401400000000",6,9.93788819875776,"p.tree.6.pred.acc.73.127",16,0.004974314,"gradual","worst","composite"
"800000181200210000240010021084401400000000",6,10.5590062111801,"p.subtreeHelper.6.pred.acc.72.107",16,0.0047621925,"gradual","worst","composite"
"800000181200210000240810021084401400000000",6,11.1801242236025,"p.context.6.pred.acc.71.80",16,0.0042133785,"gradual","worst","composite"
"800000181200210000240810021094401400000000",6,11.8012422360248,"p.subtreeHelper.6.pred.acc.72.110",16,0.003837933,"gradual","worst","composite"
"800000181200210040240810021094401400000000",6,12.4223602484472,"m.tree_has_parent.1.pre.pred_inst.63.65",16,0.0038104735,"gradual","worst","composite"
"800000181200210040240810021094c01400000000",6,13.0434782608696,"p.subtreeHelper.6.pred.acc.72.115",16,0.004956215,"gradual","worst","composite"
"800000181200210040240810021094c09400000000",6,13.6645962732919,"p.subtreeHelper.6.pred.acc.72.123",16,0.007151495,"gradual","worst","composite"
"800000181200210040240810021894c09400000000",6,14.2857142857143,"p.subtreeHelper.6.pred.acc.72.103",16,0.0062611805,"gradual","worst","composite"
"800000181200210040240811021894c09400000000",6,14.9068322981366,"p.context.6.pred.pred_inst.71.91",16,0.0085120685,"gradual","worst","composite"
"800004181200210040240811021894c09400000000",6,15.527950310559,"m.tree_add_right.3.fold.pred_inst.30.32",16,0.006891985,"gradual","worst","composite"
"800004181200210040240811021894c29400000000",6,16.1490683229814,"p.subtreeHelper.6.pred.acc.72.121",16,0.010483696,"gradual","worst","composite"
"800004181200210040248811021894c29400000000",6,16.7701863354037,"p.context.6.pred.pred_inst.71.76",16,0.0077610715,"gradual","worst","composite"
"800004181200210040248815021894c29400000000",6,17.3913043478261,"p.context.6.pred.acc.71.89",16,0.00777136,"gradual","worst","composite"
"801004181200210040248815021894c29400000000",6,18.0124223602484,"m.tree_add_left.3.fold.pred_inst.22.24",16,0.0096510795,"gradual","worst","composite"
"2000801004181200210040248815021894c29400000000",6,18.6335403726708,"m.fixup_ancestors.2.post.pred_inst.6.6",16,0.0087945555,"gradual","worst","composite"
"2000801004181200210040248815061894c29400000000",6,19.2546583850932,"p.subtreeHelper.6.pred.bool.72.96",16,0.0076878795,"gradual","worst","composite"
"2000801004181600210040248815061894c29400000000",6,19.8757763975155,"m.tree_get_parent.3.fold.pred_inst.42.44",16,0.0096327945,"gradual","worst","composite"
"2000801004181600210040348815061894c29400000000",6,20.4968944099379,"m.tree_has_right.3.fold.pred_inst.70.72",16,0.008416743,"gradual","worst","composite"
"2000801004181600210040348915061894c29400000000",6,21.1180124223602,"p.context.6.pred.bool.71.83",16,0.009868057,"gradual","worst","composite"
"2000801004181600210040368915061894c29400000000",6,21.7391304347826,"p.context.6.pred.bool.71.74",16,0.0083019545,"gradual","worst","composite"
"2000801004181600210040369915061894c29400000000",6,22.360248447205,"p.context.6.pred.acc.71.79",16,0.0084514455,"gradual","worst","composite"
"2200801004181600210040369915061894c29400000000",6,22.9813664596273,"m.main.1.pre.bool.9.9",16,0.0103705295,"gradual","worst","composite"
"220080100418160021004036d915061894c29400000000",6,23.6024844720497,"p.context.6.pred.bool.71.77",16,0.0085660005,"gradual","worst","composite"
"220180100418160021004036d915061894c29400400000",6,24.223602484472,"m.main.5.inv.imp.13.-1",16,0.0097753205,"gradual","worst","composite"
"220180100438160021004036d915061894c29400400000",6,24.8447204968944,"m.tree_get_left.2.post.pred_inst.33.35",16,0.008323858,"gradual","worst","composite"
"220180100438160021004036d915071894c29400400000",6,25.4658385093168,"p.subtreeHelper.6.pred.pred_inst.72.98",16,0.011292071,"gradual","worst","composite"
