"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","composite_component_type","example","classification"
"309014c009010104940961742cc24e28",6,30.1,"p.tree.6.pred.pred_inst.120",22,48909186,"gradual",45825570,1486.1,"tree","pred","pred_inst","composite","max"
"309014c009010104940961742cc24e28",6,30.1,"p.tree.6.pred.pred_inst.120",24,60803516,"gradual",57383240,1677.7,"tree","pred","pred_inst","composite","max"
"309014c009010104940961742cc24e28",6,30.1,"p.tree.6.pred.pred_inst.120",26,76703081,"gradual",72910648,1922.5,"tree","pred","pred_inst","composite","max"
"309014c009010104940961742cc24e28",6,30.1,"p.tree.6.pred.pred_inst.120",28,94817146,"gradual",90783231,2250.5,"tree","pred","pred_inst","composite","max"
"309014c009010104940961742cc24e28",6,30.1,"p.tree.6.pred.pred_inst.120",30,114430610,"gradual",109903798,2427.8,"tree","pred","pred_inst","composite","max"
"309014c009010104940961742cc24e28",6,30.1,"p.tree.6.pred.pred_inst.120",32,151441943,"gradual",146693885,3089.6,"tree","pred","pred_inst","composite","max"
"319016c009011104940b61742cc24f28",6,34.1,"m.fixup_ancestors.2.post.pred_inst.5",32,203961498,"gradual",49552277,32.1,"fixup_ancestors","post","pred_inst","composite","max"
"25880ae6891f620c6e0dc2a660321f39",3,43.9,"p.tree.6.pred.pred_inst.120",24,50652915,"gradual",45012829,798.1,"tree","pred","pred_inst","composite","max"
"25880ae6891f620c6e0dc2a660321f39",3,43.9,"p.tree.6.pred.pred_inst.120",26,64241326,"gradual",58061123,939.5,"tree","pred","pred_inst","composite","max"
"25880ae6891f620c6e0dc2a660321f39",3,43.9,"p.tree.6.pred.pred_inst.120",28,79377880,"gradual",72668072,1083,"tree","pred","pred_inst","composite","max"
"25880ae6891f620c6e0dc2a660321f39",3,43.9,"p.tree.6.pred.pred_inst.120",30,94362623,"gradual",86897262,1164,"tree","pred","pred_inst","composite","max"
"25880ae6891f620c6e0dc2a660321f39",3,43.9,"p.tree.6.pred.pred_inst.120",32,115515680,"gradual",107629495,1364.8,"tree","pred","pred_inst","composite","max"
"261a38132dd0d6f4ab20e858f51e086e",0,47.2,"p.subtreeHelper.6.pred.pred_inst.114",28,58241303,"gradual",42222682,263.6,"subtreeHelper","pred","pred_inst","composite","max"
"261a38132dd0d6f4ab20e858f51e086e",0,47.2,"p.subtreeHelper.6.pred.pred_inst.114",30,69448000,"gradual",52347221,306.1,"subtreeHelper","pred","pred_inst","composite","max"
"261a38132dd0d6f4ab20e858f51e086e",0,47.2,"p.subtreeHelper.6.pred.pred_inst.114",32,81872757,"gradual",60796673,288.5,"subtreeHelper","pred","pred_inst","composite","max"
"259c0afe895f620c6e0dc2a660321f39",3,48,"m.tree_get_parent.2.post.pred_inst.39",30,137695657,"gradual",43634540,46.4,"tree_get_parent","post","pred_inst","composite","max"
