"id","path_id","level_id","component_added","stress","median","verification","diff","context_name","context_type","component_type"
"80000000000",0,1,"p.context.6.pred.acc.82",28,2383545,"gradual",1445343,"context","pred","acc"
"80000000000",0,1,"p.context.6.pred.acc.82",30,2567460,"gradual",1628114,"context","pred","acc"
"80000000000",0,1,"p.context.6.pred.acc.82",32,2849003,"gradual",1938698,"context","pred","acc"
"800000000",1,1,"p.context.6.pred.acc.90",26,2255476,"gradual",1393925,"context","pred","acc"
"800000000",1,1,"p.context.6.pred.acc.90",28,2457619,"gradual",1519417,"context","pred","acc"
"800000000",1,1,"p.context.6.pred.acc.90",30,2615138,"gradual",1675792,"context","pred","acc"
"800000000",1,1,"p.context.6.pred.acc.90",32,2873137,"gradual",1962832,"context","pred","acc"
"80000000000000000000000000",2,1,"m.tree_add_right.1.pre.pred_inst.22",26,2269077,"gradual",1407526,"tree_add_right","pre","pred_inst"
"80000000000000000000000000",2,1,"m.tree_add_right.1.pre.pred_inst.22",28,2495243,"gradual",1557041,"tree_add_right","pre","pred_inst"
"80000000000000000000000000",2,1,"m.tree_add_right.1.pre.pred_inst.22",30,2639955,"gradual",1700609,"tree_add_right","pre","pred_inst"
"80000000000000000000000000",2,1,"m.tree_add_right.1.pre.pred_inst.22",32,2812300,"gradual",1901995,"tree_add_right","pre","pred_inst"
"200",3,1,"p.subtreeHelper.6.pred.acc.116",28,2447984,"gradual",1509782,"subtreeHelper","pred","acc"
"200",3,1,"p.subtreeHelper.6.pred.acc.116",30,2572833,"gradual",1633487,"subtreeHelper","pred","acc"
"200",3,1,"p.subtreeHelper.6.pred.acc.116",32,2783553,"gradual",1873248,"subtreeHelper","pred","acc"
"200000",4,1,"p.subtreeHelper.6.pred.acc.104",26,2275302,"gradual",1413751,"subtreeHelper","pred","acc"
"200000",4,1,"p.subtreeHelper.6.pred.acc.104",28,2453146,"gradual",1514944,"subtreeHelper","pred","acc"
"200000",4,1,"p.subtreeHelper.6.pred.acc.104",30,2575979,"gradual",1636633,"subtreeHelper","pred","acc"
"200000",4,1,"p.subtreeHelper.6.pred.acc.104",32,2822764,"gradual",1912459,"subtreeHelper","pred","acc"
