"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","component_type","example","classification"
"4d983aabc5febf17c2e5571567a6f904988c7f9b90440000",9,56.5,"m.tree_has_parent.3.fold.pred_inst.66.68",16,0.0511807165,"gradual",-0.0178973955,-25.9,"tree_has_parent","fold","pred_inst","composite","min"
"5c89b826f5bab75fcbf1820d1715f6f4feefdfbf82001000",11,62.1,"m.main.5.inv.bool.11.13",16,0.021984608,"gradual",-0.0221382495,-50.2,"main","inv","bool","composite","min"
"4e98a38e747c3f5361f5170065cfefd7ffb7fd9f92c00000",19,62.7,"m.tree_has_left.2.post.pred_inst.60.62",16,0.062181571,"gradual",-0.018405041,-22.8,"tree_has_left","post","pred_inst","composite","min"
"4eb8b38ff47c3f5763f5970175cfefd7ffb7fd9f92c00880",19,69.6,"m.tree_has_right.3.fold.pred_inst.70.72",16,0.028033658,"gradual",-0.0178785375,-38.9,"tree_has_right","fold","pred_inst","composite","min"
"4dba3aafc5febf5fcaf5571d77a7f9a4defcff9f98cc0000",9,70.8,"m.tree_has_right.3.fold.pred_inst.70.72",16,0.036582057,"gradual",-0.0174377245,-32.3,"tree_has_right","fold","pred_inst","composite","min"
"4ebabb8ff5fc3f5763f5970175cfefd7ffb7fd9f92c00890",19,72.7,"m.main.5.inv.bool.11.13",16,0.00606475,"gradual",-0.0241185815,-79.9,"main","inv","bool","composite","min"
"5a39b2aef5fcae57eae4d75d77fbbbf6afbfffbf8ac00560",14,74.5,"m.tree_has_left.2.post.pred_inst.60.62",16,0.019917502,"gradual",-0.0365937495,-64.8,"tree_has_left","post","pred_inst","composite","min"
"5eb893acf55ebf5fa9f5d75877efffa5f7ddffbdf2400708",21,75.2,"m.tree_has_left.2.post.pred_inst.60.62",16,0.0571596645,"gradual",-0.0189056505,-24.9,"tree_has_left","post","pred_inst","composite","min"
"4fbabaafc5febf5feaf5571d77f7fda4deffff9f9fcc0090",9,78.9,"m.tree_get_parent.3.fold.pred_inst.47.49",16,0.018020711,"gradual",-0.018818292,-51.1,"tree_get_parent","fold","pred_inst","composite","min"
"5eba93acf5febf5fa9f5d75c77efffe7f7ddffbffa450708",21,81.4,"m.tree_has_parent.3.fold.pred_inst.66.68",16,0.023673995,"gradual",-0.0252631135,-51.6,"tree_has_parent","fold","pred_inst","composite","min"
"5e98baaff5febf5febfdd55d77feff36fbfdffbd91e41e50",20,82.6,"m.tree_get_parent.3.fold.pred_inst.43.45",16,0.014675827,"gradual",-0.01805375,-55.2,"tree_get_parent","fold","pred_inst","composite","min"
"5ebbbaaff5fabf5fcbf5835d77bff7f7ffffdfbfc7831821",11,83.2,"m.tree_has_right.4.unfold.pred_inst.69.71",16,0.025668357,"gradual",-0.0178797355,-41.1,"tree_has_right","unfold","pred_inst","composite","min"
"de9abaafd5febd5feb75975d76fffff5feffffbff7c000f9",2,85.1,"m.tree_get_parent.3.fold.pred_inst.47.49",16,0.012343089,"gradual",-0.01954154,-61.3,"tree_get_parent","fold","pred_inst","composite","min"
"5eb8baaff5febf5febf5d75b77f7fff7ffffffbff3f70c1a",24,90.1,"m.tree_get_parent.3.fold.pred_inst.47.49",16,0.0275701705,"gradual",-0.01977362,-41.8,"tree_get_parent","fold","pred_inst","composite","min"
"5ebabbaff5fcbd5feaf5d75d77fffff7ffffffbffdf0c279",1,90.7,"m.tree_has_left.4.unfold.pred_inst.61.63",16,0.0141544975,"gradual",-0.0214647235,-60.3,"tree_has_left","unfold","pred_inst","composite","min"
"5ebabaaff5febf5febfdd75d77fefff6fbfdffbf93fede79",20,91.9,"m.tree_has_left.4.unfold.pred_inst.61.63",16,0.0030190415,"gradual",-0.0229713685,-88.4,"tree_has_left","unfold","pred_inst","composite","min"
"5ebbbaaff5fabf5febf5c75d77fffff7ffffffbfffb31cbf",11,93.8,"m.tree_get_parent.3.fold.pred_inst.47.49",16,1.386738882,"gradual",-0.0445105525,-3.1,"tree_get_parent","fold","pred_inst","composite","min"
"1ebbbaaff5febd5febf5d75d77fffff7ffffffbfbef85f7f",25,94.4,"m.tree_has_right.2.post.imp.68.-1",16,0.042772419,"gradual",-0.0198202435,-31.7,"tree_has_right","post","imp","composite","min"
"5ebabaaff5febf5febf5d75f777ffff7ffbfffbffffbdc79",5,95,"m.tree_has_left.4.unfold.pred_inst.61.63",16,0.0026963795,"gradual",-0.017444774,-86.6,"tree_has_left","unfold","pred_inst","composite","min"
"5ebabbaff5febf5febf5d75977fffff7ffffffbfe7fddf9f",6,96.3,"m.fixup_ancestors.4.unfold.pred_inst.7.7",16,18.3795112095,"gradual",-0.0214025735000014,-0.1,"fixup_ancestors","unfold","pred_inst","composite","min"
"5ebabeaff5febf5fcbf1d75d77fffff7ffffffbfffff1bff",15,96.9,"m.main.5.inv.imp.11.-1",16,24.8671610395,"gradual",-0.0907988549999992,-0.4,"main","inv","imp","composite","min"
"1ebbbaaff5febf5febf5d75d77fffff7ffffffbfbefd5fff",25,96.9,"m.tree_get_left.2.post.imp.33.-1",16,18.8043414315,"gradual",-0.0743168025000003,-0.4,"tree_get_left","post","imp","composite","min"
"5ebabbaff5febf5febf5d75977fffff7ffffffbffffddf9f",6,97.5,"m.fixup_ancestors.2.post.imp.6.-1",16,18.457143744,"gradual",-0.0598341200000014,-0.3,"fixup_ancestors","post","imp","composite","min"
"5ebabeaff5febf5fcbf5d75d77fffff7ffffffbfffff1bff",15,97.5,"m.tree_get_total.1.pre.pred_inst.55.57",16,24.847879499,"gradual",-0.0192815404999997,-0.1,"tree_get_total","pre","pred_inst","composite","min"
"5ebabaaff5ffbf5febf5975d77fffff7ffffffbfffffd9ff",0,98.1,"m.tree_add_left.2.post.imp.15.-1",8,0.001164689,"gradual",-0.0248724205,-95.5,"tree_add_left","post","imp","composite","min"
"5ebabaaff5ffbf5febf5975d77fffff7ffffffbfffffd9ff",0,98.1,"m.tree_add_left.2.post.imp.15.-1",16,0.001215953,"gradual",-0.0806925615,-98.5,"tree_add_left","post","imp","composite","min"
"5ebabbaff5febf5febf5d75d77fffff7ffffffbfffffdf9f",6,98.8,"m.tree_has_parent.3.fold.pred_inst.66.68",16,22.0023961025,"gradual",-0.116074817499999,-0.5,"tree_has_parent","fold","pred_inst","composite","min"
"5fbabaaff5febf5febf5d71d77fffff7ffffffbfffffdfbf",9,98.8,"m.tree_get_total.1.pre.imp.55.-1",16,21.8555812345,"gradual",-0.0829254665000008,-0.4,"tree_get_total","pre","imp","composite","min"
"5ebabaaff5febf5febf5d75f77fffff7ffffffbfffffdf9f",24,98.8,"m.tree_has_parent.3.fold.pred_inst.66.68",16,21.919557023,"gradual",-0.145824428000001,-0.7,"tree_has_parent","fold","pred_inst","composite","min"
"debabaaff5febf5febf5d75d77fffff7ffffffbfffefdfff",2,99.4,"m.tree_add_left.1.pre.imp.14.-1",4,0.0034397705,"gradual",-0.0263662765,-88.5,"tree_add_left","pre","imp","composite","min"
"debabaaff5febf5febf5d75d77fffff7ffffffbfffefdfff",2,99.4,"m.tree_add_left.1.pre.imp.14.-1",8,0.0262353925,"gradual",-0.751641789,-96.6,"tree_add_left","pre","imp","composite","min"
"debabaaff5febf5febf5d75d77fffff7ffffffbfffefdfff",2,99.4,"m.tree_add_left.1.pre.imp.14.-1",16,0.0810724545,"gradual",-9.8107371345,-99.2,"tree_add_left","pre","imp","composite","min"
"5ebabbaff5febf5febf5d75d77fffff7ffffffbfffffdfbf",6,99.4,"m.tree_has_parent.2.post.imp.64.-1",16,21.965602504,"gradual",-0.036793598500001,-0.2,"tree_has_parent","post","imp","composite","min"
"5ebabeaff5febf5febf5d75d77fffff7ffffffbfffff9fff",15,99.4,"m.tree_get_parent.1.pre.imp.39.-1",4,0.0023451135,"gradual",-0.0547935205,-95.9,"tree_get_parent","pre","imp","composite","min"
"5ebabeaff5febf5febf5d75d77fffff7ffffffbfffff9fff",15,99.4,"m.tree_get_parent.1.pre.imp.39.-1",8,0.0077891825,"gradual",-1.3827176015,-99.4,"tree_get_parent","pre","imp","composite","min"
"5ebabeaff5febf5febf5d75d77fffff7ffffffbfffff9fff",15,99.4,"m.tree_get_parent.1.pre.imp.39.-1",16,0.0300968645,"gradual",-24.9430752845,-99.9,"tree_get_parent","pre","imp","composite","min"
"5ebabeaff5febf5febf5d75d77fffff7ffffffbfffefdfff",16,99.4,"m.tree_add_left.1.pre.imp.14.-1",4,0.0033400435,"gradual",-0.026516591,-88.8,"tree_add_left","pre","imp","composite","min"
"5ebabeaff5febf5febf5d75d77fffff7ffffffbfffefdfff",16,99.4,"m.tree_add_left.1.pre.imp.14.-1",8,0.0259231475,"gradual",-0.751192173,-96.7,"tree_add_left","pre","imp","composite","min"
"5ebabeaff5febf5febf5d75d77fffff7ffffffbfffefdfff",16,99.4,"m.tree_add_left.1.pre.imp.14.-1",16,0.0814299425,"gradual",-9.771256538,-99.2,"tree_add_left","pre","imp","composite","min"
"5ebabbaff5febf5febf5d75d77fffff7ffffffbffffddfff",17,99.4,"m.tree_get_left.2.post.imp.33.-1",16,32.952733048,"gradual",-0.0341393810000028,-0.1,"tree_get_left","post","imp","composite","min"
"5ebebaaff5febf5febf5d75d77fffff7ffffffbfbfffdfff",28,99.4,"m.create_tree.1.pre.bool.0.0",16,33.8903465305,"gradual",-0.0538673140000014,-0.2,"create_tree","pre","bool","composite","min"
"5ebabbaff5febf5febf5d75d77fffff7ffffffbfffffdfff",1,100,"m.tree_add_right.1.pre.imp.23.-1",4,0.0011427875,"gradual",-0.033190684,-96.7,"tree_add_right","pre","imp","composite","min"
"5ebabbaff5febf5febf5d75d77fffff7ffffffbfffffdfff",1,100,"m.tree_add_right.1.pre.imp.23.-1",8,0.0010987165,"gradual",-0.5250822605,-99.8,"tree_add_right","pre","imp","composite","min"
"5ebabbaff5febf5febf5d75d77fffff7ffffffbfffffdfff",1,100,"m.tree_add_right.1.pre.imp.23.-1",16,0.0011066875,"gradual",-10.7626863875,-100,"tree_add_right","pre","imp","composite","min"
"debabaaff5febf5febf5d75d77fffff7ffffffbfffffdfff",2,100,"m.tree_add_left.2.post.imp.15.-1",8,0.0011350395,"gradual",-0.025100353,-95.7,"tree_add_left","post","imp","composite","min"
"debabaaff5febf5febf5d75d77fffff7ffffffbfffffdfff",2,100,"m.tree_add_left.2.post.imp.15.-1",16,0.001382155,"gradual",-0.0796902995,-98.3,"tree_add_left","post","imp","composite","min"
"5ebabbaff5febf5febf5d75d77fffff7ffffffbfffffdfff",6,100,"m.tree_has_parent.1.pre.imp.63.-1",4,0.0011427875,"gradual",-0.0452938345,-97.5,"tree_has_parent","pre","imp","composite","min"
"5ebabbaff5febf5febf5d75d77fffff7ffffffbfffffdfff",6,100,"m.tree_has_parent.1.pre.imp.63.-1",8,0.0010987165,"gradual",-1.2181766035,-99.9,"tree_has_parent","pre","imp","composite","min"
"5ebabbaff5febf5febf5d75d77fffff7ffffffbfffffdfff",6,100,"m.tree_has_parent.1.pre.imp.63.-1",16,0.0011066875,"gradual",-21.9644958165,-100,"tree_has_parent","pre","imp","composite","min"
"5fbabaaff5febf5febf5d75d77fffff7ffffffbfffffdfff",9,100,"m.tree_has_parent.1.pre.imp.63.-1",4,0.00119721,"gradual",-0.045202406,-97.4,"tree_has_parent","pre","imp","composite","min"
