"id","path_id","level_id","component_added","stress","median","verification","diff","context_name","context_type","component_type"
"8000000001200",3,3,"p.context.6.pred.acc.74",16,1500755,"gradual",-1694383,"context","pred","acc"
"8040000000080020000000",0,4,"m.tree_get_parent.1.pre.pred_inst.38",2,966591,"gradual",-21270189,"tree_get_parent","pre","pred_inst"
"408080480110000080880a600321219",3,22,"p.context.6.pred.default.86",2,846583,"gradual",-10823465,"context","pred","default"
"4010c0b060705400082080048844b",1,26,"p.tree.6.pred.acc.125",2,849761,"gradual",-7139756,"tree","pred","acc"
"4010c0b060705400082080048844b",1,26,"p.tree.6.pred.acc.125",4,998675,"gradual",-6960072,"tree","pred","acc"
"14d0080c204000a128401fb0b2a2540",4,34,"m.fixup_ancestors.3.fold.pred_inst.7",18,1719588,"gradual",-1960555,"fixup_ancestors","fold","pred_inst"
"14d0080c204000a128401fb0b2a2540",4,34,"m.fixup_ancestors.3.fold.pred_inst.7",20,1980919,"gradual",-2185427,"fixup_ancestors","fold","pred_inst"
"14d0080c204000a128401fb0b2a2540",4,34,"m.fixup_ancestors.3.fold.pred_inst.7",22,2108352,"gradual",-2639533,"fixup_ancestors","fold","pred_inst"
"14d0080c204000a128401fb0b2a2540",4,34,"m.fixup_ancestors.3.fold.pred_inst.7",24,2358586,"gradual",-2946107,"fixup_ancestors","fold","pred_inst"
"14d0080c204000a128401fb0b2a2540",4,34,"m.fixup_ancestors.3.fold.pred_inst.7",26,2443424,"gradual",-3890221,"fixup_ancestors","fold","pred_inst"
"14d0080c204000a128401fb0b2a2540",4,34,"m.fixup_ancestors.3.fold.pred_inst.7",28,2697269,"gradual",-3770383,"fixup_ancestors","fold","pred_inst"
"14d0080c204000a128401fb0b2a2540",4,34,"m.fixup_ancestors.3.fold.pred_inst.7",30,2897373,"gradual",-4355551,"fixup_ancestors","fold","pred_inst"
"14d0080c204000a128401fb0b2a2540",4,34,"m.fixup_ancestors.3.fold.pred_inst.7",32,3119544,"gradual",-4907938,"fixup_ancestors","fold","pred_inst"
"309014c009011104940b61742cc24e28",6,39,"m.tree_get_right.4.unfold.pred_inst.49",30,117277247,"gradual",-1733700,"tree_get_right","unfold","pred_inst"
"309016c009011104940b61742cc24f28",6,41,"m.tree_add_left.3.fold.pred_inst.20",28,96592760,"gradual",-2568683,"tree_add_left","fold","pred_inst"
"319016c009011104940b61742cc24f68",6,43,"p.subtreeHelper.6.pred.acc.119",24,85331653,"gradual",-1777297,"subtreeHelper","pred","acc"
