"conjuncts","type","path_id","level_id"
181,"static",0,1
181,"static",0,2
181,"static",0,3
181,"static",0,4
186,"static",0,5
188,"static",0,6
194,"static",0,7
206,"static",0,8
210,"static",0,9
212,"static",0,10
212,"static",0,11
214,"static",0,12
218,"static",0,13
218,"static",0,14
220,"static",0,15
236,"static",0,16
243,"static",0,17
257,"static",0,18
262,"static",0,19
262,"static",0,20
262,"static",0,21
262,"static",0,22
264,"static",0,23
266,"static",0,24
271,"static",0,25
277,"static",0,26
291,"static",0,27
294,"static",0,28
303,"static",0,29
303,"static",0,30
317,"static",0,31
331,"static",0,32
331,"static",0,33
331,"static",0,34
327,"static",0,35
327,"static",0,36
331,"static",0,37
331,"static",0,38
331,"static",0,39
335,"static",0,40
343,"static",0,41
349,"static",0,42
349,"static",0,43
354,"static",0,44
242,"static",0,45
242,"static",0,46
243,"static",0,47
245,"static",0,48
245,"static",0,49
245,"static",0,50
245,"static",0,51
249,"static",0,52
253,"static",0,53
256,"static",0,54
257,"static",0,55
258,"static",0,56
260,"static",0,57
260,"static",0,58
262,"static",0,59
268,"static",0,60
278,"static",0,61
278,"static",0,62
356,"static",0,63
383,"static",0,64
387,"static",0,65
389,"static",0,66
389,"static",0,67
389,"static",0,68
391,"static",0,69
391,"static",0,70
395,"static",0,71
395,"static",0,72
397,"static",0,73
402,"static",0,74
402,"static",0,75
438,"static",0,76
439,"static",0,77
433,"static",0,78
433,"static",0,79
581,"static",0,80
581,"static",0,81
586,"static",0,82
620,"static",0,83
625,"static",0,84
629,"static",0,85
633,"static",0,86
633,"static",0,87
650,"static",0,88
646,"static",0,89
646,"static",0,90
646,"static",0,91
654,"static",0,92
656,"static",0,93
660,"static",0,94
665,"static",0,95
670,"static",0,96
672,"static",0,97
731,"static",0,98
757,"static",0,99
770,"static",0,100
808,"static",0,101
811,"static",0,102
815,"static",0,103
818,"static",0,104
868,"static",0,105
868,"static",0,106
872,"static",0,107
876,"static",0,108
878,"static",0,109
884,"static",0,110
884,"static",0,111
969,"static",0,112
969,"static",0,113
969,"static",0,114
981,"static",0,115
985,"static",0,116
989,"static",0,117
989,"static",0,118
1021,"static",0,119
1021,"static",0,120
1025,"static",0,121
1025,"static",0,122
1403,"static",0,123
1403,"static",0,124
1459,"static",0,125
1561,"static",0,126
1561,"static",1,126
1561,"static",2,126
1561,"static",3,126
1561,"static",4,126
1561,"static",5,126
1561,"static",6,126
1561,"static",7,126
181,"static",1,1
181,"static",1,2
186,"static",1,3
189,"static",1,4
191,"static",1,5
198,"static",1,6
203,"static",1,7
203,"static",1,8
203,"static",1,9
203,"static",1,10
203,"static",1,11
209,"static",1,12
210,"static",1,13
213,"static",1,14
213,"static",1,15
221,"static",1,16
229,"static",1,17
232,"static",1,18
232,"static",1,19
232,"static",1,20
236,"static",1,21
274,"static",1,22
274,"static",1,23
274,"static",1,24
279,"static",1,25
292,"static",1,26
292,"static",1,27
298,"static",1,28
303,"static",1,29
305,"static",1,30
347,"static",1,31
347,"static",1,32
347,"static",1,33
353,"static",1,34
353,"static",1,35
515,"static",1,36
515,"static",1,37
515,"static",1,38
524,"static",1,39
531,"static",1,40
535,"static",1,41
535,"static",1,42
547,"static",1,43
547,"static",1,44
547,"static",1,45
559,"static",1,46
570,"static",1,47
572,"static",1,48
572,"static",1,49
575,"static",1,50
579,"static",1,51
561,"static",1,52
563,"static",1,53
563,"static",1,54
566,"static",1,55
570,"static",1,56
570,"static",1,57
574,"static",1,58
578,"static",1,59
578,"static",1,60
584,"static",1,61
592,"static",1,62
595,"static",1,63
599,"static",1,64
612,"static",1,65
715,"static",1,66
783,"static",1,67
806,"static",1,68
816,"static",1,69
817,"static",1,70
904,"static",1,71
908,"static",1,72
908,"static",1,73
915,"static",1,74
915,"static",1,75
920,"static",1,76
985,"static",1,77
1011,"static",1,78
1013,"static",1,79
1013,"static",1,80
1015,"static",1,81
1068,"static",1,82
1073,"static",1,83
1077,"static",1,84
1081,"static",1,85
1086,"static",1,86
1086,"static",1,87
1086,"static",1,88
1089,"static",1,89
1093,"static",1,90
1101,"static",1,91
1113,"static",1,92
1116,"static",1,93
1120,"static",1,94
1232,"static",1,95
1266,"static",1,96
1266,"static",1,97
1266,"static",1,98
1270,"static",1,99
1291,"static",1,100
1298,"static",1,101
1308,"static",1,102
1361,"static",1,103
1361,"static",1,104
1361,"static",1,105
1362,"static",1,106
1365,"static",1,107
1367,"static",1,108
1369,"static",1,109
1371,"static",1,110
1374,"static",1,111
1380,"static",1,112
1384,"static",1,113
1436,"static",1,114
1458,"static",1,115
