id,conjuncts_total,conjuncts_elim
800000000000000000000000000000,219,204
800000000000002000000000000000,219,204
800000000000002100000000000000,221,206
20000000000000800000000000002100000000000000,230,206
20000000000000800000000000402100000000000000,230,206
20000040000000800000000000402100000000000000,232,208
20000040000000800008000000402100000000000000,234,210
30000040000000800008000000402100000000000000,243,219
30000040000000800008000000402102000000000000,245,221
30000040080000800008000000402102000000000000,247,223
30000040280000800008000000402102000000000000,250,224
30000040280000800008000000402102200000000000,250,224
300000402c0000800008000000402102200000000000,258,229
300000482c0000800008000000402102200000000000,267,234
300000482c0000800008002000402102200000000000,272,239
300040482c0000800008002000402102200000000000,280,243
300040482c0000800008002000402102240000000000,280,243
300040682c0000800008002000402102240000000000,285,248
300040682e0000800008002000402102240000000000,323,264
300040682e0000c00008002000402102240000000000,329,268
300040682e0000c00008002000402182240000000000,329,269
300040682e0000c00008002800402182240000000000,340,274
300040682e0000c00008002810402182240000000000,349,277
302040682e0000c00008002810402182240000000000,353,277
302040682e0000c00008006810402182240000000000,376,292
302040682e0080c00008006810402182240000000000,384,297
302040682f0080c00008006810402182240000000000,402,324
302040682f0880c00008006810402182240000000000,404,326
302040682f0880c00008006811402182240000000000,422,338
302440682f0880c00008006811402182240000000000,424,340
302440682f0880c00008006811402982240000000000,424,340
302440682f0880c00008006811602982240000000000,428,342
302440682f0880c00008006811602982240400000000,436,343
8302440682f0880c00008006811602982240400000000,558,381
8302440682f0880c0000800681160298a240400000000,566,389
8302440682f0880c0000800681160298a240500000000,582,398
8302440682f1880c0000800681160298a240500000000,585,398
8302440682f1880c0000800681160298a241500000000,640,421
8302440682f1880c0004800681160298a241500000000,656,429
8302440682f1880c0004800681160698a241500000000,656,429
8302444682f1880c0004800681160698a241500000000,660,429
8302444682f1880c0004800681160698a249500000000,660,429
8302444682f1880c0004802681160698a249500000000,671,428
8302444682f1880c0004802681160698a2c9500000000,675,432
8302444682f1880c0004802681160698a2c9580000000,691,443
8302c44682f1880c0004802681160698a2c9580000000,695,447
8302c44682f1880c0004802681160698a2cb580000000,695,447
