id,stress,iter,95th,5th,median,mean,stdev,min,max
5ebabeaff4febf5febf5d75d77fffff7ffffffbfffe8dfed,4,10,2428136.15,1445718.0,1445718,1616733.9,529431.19,1325060,3099137
5ebabeaff4febf5febf5d75d77fffff7ffffffbfffe8dfed,8,10,1773681.40,1616630.0,1616630,1639735.7,74644.19,1577580,1819288
5ebabeaff4febf5febf5d75d77fffff7ffffffbfffe8dfed,16,10,2554889.80,2473249.0,2473249,2480416.6,53472.96,2402395,2561332
290002cb18c1f5340a00000456587920296c0af80000000,4,10,2362159.95,2193364.5,2193364.5,2183949.5,120976.16,2004267,2430789
290002cb18c1f5340a00000456587920296c0af80000000,8,10,5742608.25,5334577.5,5334577.5,5371981.3,332774.41,4934126,5761929
290002cb18c1f5340a00000456587920296c0af80000000,16,10,19793049.75,19001853.0,19001853,19154115.3,383642.03,18664798,19884744
eb8be2490fca808498185186755bb35f0cff5b900800000,4,10,2606712.55,2493976.0,2493976,2512457.8,67526.49,2398302,2617063
eb8be2490fca808498185186755bb35f0cff5b900800000,8,10,9624955.40,7886510.0,7886510,8308971.4,771512.11,7795050,9797120
eb8be2490fca808498185186755bb35f0cff5b900800000,16,10,46614425.60,45056515.5,45056515.5,45258950.8,921405.38,44142897,46956323
5ebabeaff4febd5febd5d75d67fffff7fbfffdbfbfa083e5,4,10,1895604.05,1729744.5,1729744.5,1758075,83404.17,1663623,1943642
5ebabeaff4febd5febd5d75d67fffff7fbfffdbfbfa083e5,8,10,4565360.20,4223987.0,4223987,4287068.6,152305.91,4192283,4665343
5ebabeaff4febd5febd5d75d67fffff7fbfffdbfbfa083e5,16,10,23666256.25,21369942.5,21369942.5,21723414.8,1297295.38,20937311,25365373
4e960283c5b6230e68a1130925477c20b627281d84000000,4,10,2360957.45,2301818.0,2301818,2291215.6,70795.90,2149887,2366132
4e960283c5b6230e68a1130925477c20b627281d84000000,8,10,8256973.95,5068871.5,5068871.5,5521030.3,1681328.69,3732930,8594874
4e960283c5b6230e68a1130925477c20b627281d84000000,16,10,20470196.50,14878757.0,14878757,14495427.8,6045882.47,8270231,20475304
2088200905ca8084980040024448914e04265b100000000,4,10,1694689.75,1569191.5,1569191.5,1580970.9,64969.72,1510854,1726624
2088200905ca8084980040024448914e04265b100000000,8,10,2185667.15,2094516.0,2094516,2093067.2,69093.72,1996830,2213510
2088200905ca8084980040024448914e04265b100000000,16,10,3945958.85,3542348.5,3542348.5,3558646.2,337089.62,3108305,3951929
5aba9b8ff4febf5febf0c65d777dcdb59f7fafb784d2d040,4,10,1911798.05,1819992.5,1819992.5,1827695.4,64913.79,1740049,1917680
5aba9b8ff4febf5febf0c65d777dcdb59f7fafb784d2d040,8,10,3014439.70,2899762.0,2899762,2898886.2,79914.38,2800875,3025363
5aba9b8ff4febf5febf0c65d777dcdb59f7fafb784d2d040,16,10,7638174.75,7574956.5,7574956.5,7557526.3,60968.51,7469368,7650066
5ea880a2a0dcbe4e4891050370e5a0012c77aba5c0000010,4,10,1697413.85,1562599.0,1562599,1580344.8,77533.31,1468322,1738709
5ea880a2a0dcbe4e4891050370e5a0012c77aba5c0000010,8,10,2053806.75,2038076.0,2038076,2025888.3,29394.28,1967097,2057193
5ea880a2a0dcbe4e4891050370e5a0012c77aba5c0000010,16,10,4513585.15,4274083.0,4274083,4240087.9,234175.98,3740139,4677724
5e3abeaff1dcbf5febf5d74d77f7fff7fffbfebf0380dfd8,4,10,1852893.70,1752956.0,1752956,1751471.5,67164.87,1664463,1882222
5e3abeaff1dcbf5febf5d74d77f7fff7fffbfebf0380dfd8,8,10,3164550.35,2762290.0,2762290,2849966.3,175147.07,2728846,3241859
5e3abeaff1dcbf5febf5d74d77f7fff7fffbfebf0380dfd8,16,10,6288011.65,6182795.5,6182795.5,6006601.8,387278.17,5253911,6310765
5c883024f5bab75fc9f1820d1311f6f4be4fdf9f80000000,4,10,2867769.85,2766343.0,2766343,2763213,75277.69,2636117,2911036
5c883024f5bab75fc9f1820d1311f6f4be4fdf9f80000000,8,10,9148207.80,9065866.5,9065866.5,9013990.8,152804.59,8663459,9161868
5c883024f5bab75fc9f1820d1311f6f4be4fdf9f80000000,16,10,45310296.55,44345710.0,44345710,44459289.5,561161.15,43928577,45886117
5208302e456abf19a3d0814c02685fe5efbb2cb580000000,4,10,1673152.60,1575395.0,1575395,1589890.6,52499.54,1552387,1729813
5208302e456abf19a3d0814c02685fe5efbb2cb580000000,8,10,2088641.40,2052600.0,2052600,2050282.5,25552.24,2013112,2105223
5208302e456abf19a3d0814c02685fe5efbb2cb580000000,16,10,3200917.40,3170469.5,3170469.5,3158165.4,38011.77,3092951,3212486
eb8be2590fcb818498197186755bf35f0eff5b900800000,4,10,2940231.25,2759733.0,2759733,2785510.3,89913.09,2696771,2983987
eb8be2590fcb818498197186755bf35f0eff5b900800000,8,10,10002731.10,9885523.0,9885523,9892781.9,73247.53,9789969,10027779
eb8be2590fcb818498197186755bf35f0eff5b900800000,16,10,62955047.55,60113444.0,60113444,60663177.7,1270855.11,59699104,63217794
c2aa08204800d150201020845e46044a50c150000000000,4,10,1564018.80,1451705.5,1451705.5,1468128.8,66473.90,1378672,1595013
c2aa08204800d150201020845e46044a50c150000000000,8,10,1853635.65,1798563.0,1798563,1798206.8,40289.74,1726224,1854942
c2aa08204800d150201020845e46044a50c150000000000,16,10,2614512.70,2516925.0,2516925,2512142.5,73059.42,2417277,2655694
4eb8be2fb0feb85c4b8197196775ff75f8eff5bd03800080,4,10,2910280.25,2829949.5,2829949.5,2829843.3,58092.47,2747637,2953325
4eb8be2fb0feb85c4b8197196775ff75f8eff5bd03800080,8,10,11005025.60,10720714.0,10720714,10746370.1,174700.86,10530459,11063531
4eb8be2fb0feb85c4b8197196775ff75f8eff5bd03800080,16,10,66694260.80,65346070.0,65346070,65508928.4,690139.92,64756442,67023803
4000000000000000000000000000000000000,4,10,1375191.40,1309741.5,1309741.5,1305292,61648.16,1213871,1378543
4000000000000000000000000000000000000,8,10,1478719.15,1375695.0,1375695,1384418.9,65319.75,1291832,1502620
4000000000000000000000000000000000000,16,10,2267131.20,1872488.5,1872488.5,1927746.9,194049.61,1760260,2383017
1eb02eafb5aebf5debf5c75d36fbfbc7f7ff6fbf80821800,4,10,2274490.05,2187117.0,2187117,2179170.6,82911.97,2050082,2296050
1eb02eafb5aebf5debf5c75d36fbfbc7f7ff6fbf80821800,8,10,5718041.50,5663945.5,5663945.5,5502233.3,243360.00,5155932,5728252
1eb02eafb5aebf5debf5c75d36fbfbc7f7ff6fbf80821800,16,10,19845102.15,19756988.5,19756988.5,19653936.6,229055.32,19196968,19860381
100000008000000000000000,4,10,1389797.45,1282190.5,1282190.5,1297473.9,55409.75,1238185,1398140
100000008000000000000000,8,10,2076307.60,1450066.5,1450066.5,1536969.5,349160.31,1325518,2511796
100000008000000000000000,16,10,1825296.45,1777885.0,1777885,1779783,34305.38,1717467,1838004
ce92b02ff56eba57aa15d65173ff5ee2fdfeff3744000600,4,10,2240692.70,2093794.0,2093794,2100573.8,88035.70,1997061,2317190
ce92b02ff56eba57aa15d65173ff5ee2fdfeff3744000600,8,10,5936089.50,5804770.0,5804770,5791632,111766.19,5590599,5955696
ce92b02ff56eba57aa15d65173ff5ee2fdfeff3744000600,16,10,24747162.05,23216291.0,23216291,23546211.2,658920.79,23085218,24787523
5cb832afa570bf5fabf1c54f337ff7d5bfbeefbf88800010,4,10,3194007.90,2686472.0,2686472,2739192.9,274999.70,2426216,3203880
5cb832afa570bf5fabf1c54f337ff7d5bfbeefbf88800010,8,10,7757216.90,6573260.5,6573260.5,6785752.1,890302.30,5944636,7770428
5cb832afa570bf5fabf1c54f337ff7d5bfbeefbf88800010,16,10,22258028.20,21798842.0,21798842,21867202.9,236792.41,21608357,22273762
810a0826410024240001000000aa3533f32100a80000000,4,10,1704340.70,1665118.5,1665118.5,1660403.7,41932.03,1563611,1707785
810a0826410024240001000000aa3533f32100a80000000,8,10,3328147.90,3173987.0,3173987,3134222.1,170393.83,2886602,3370015
810a0826410024240001000000aa3533f32100a80000000,16,10,7596080.65,7393236.5,7393236.5,7425963.1,137858.58,7126357,7603723
5020000800308005010511112440024110a40a0400000000,4,10,1879413.15,1548619.0,1548619,1572143.5,193825.88,1361850,2045397
5020000800308005010511112440024110a40a0400000000,8,10,1937229.60,1805271.5,1805271.5,1818826.4,74566.28,1725384,1953075
5020000800308005010511112440024110a40a0400000000,16,10,3893623.50,3788855.5,3788855.5,3590156,349600.39,2960258,3905571
5ebea2a7c5f6bf1f69e5170d675f7ea7bf67bbbdeec00080,4,10,2609888.65,2418125.5,2418125.5,2444680.1,97430.22,2306765,2614507
