id,stress,iter,95th,5th,median,mean,stdev,min,max
5ebabeaff4febf5febf5d75d77fffff7ffffffbfffe8dfed,4,10,6261673.95,6162867.5,6162867.5,6101597.7,157022.61,5821872,6293178
5ebabeaff4febf5febf5d75d77fffff7ffffffbfffe8dfed,8,10,43238910.05,39478544.0,39478544,40051956.1,2172749.65,38833862,46181150
5ebabeaff4febf5febf5d75d77fffff7ffffffbfffe8dfed,16,10,283385988.50,280274685.5,280274685.5,280627527.7,1611466.45,278331334,283414271
290002cb18c1f5340a00000456587920296c0af80000000,4,10,2798357.90,2705438.5,2705438.5,2699619.3,72935.68,2596855,2801183
290002cb18c1f5340a00000456587920296c0af80000000,8,10,14976789.35,13294793.0,13294793,13313708.3,1428467.37,11724627,14987255
290002cb18c1f5340a00000456587920296c0af80000000,16,10,82747921.70,80412293.0,80412293,80642330.3,1341760.19,79129229,83193437
eb8be2490fca808498185186755bb35f0cff5b900800000,4,10,3993775.75,3611097.0,3611097,3656783.1,202641.44,3460770,3996982
eb8be2490fca808498185186755bb35f0cff5b900800000,8,10,23509069.80,20548310.5,20548310.5,20940484.8,1754082.49,18977088,24655974
eb8be2490fca808498185186755bb35f0cff5b900800000,16,10,138698321.60,136261294.5,136261294.5,136484454.3,1226796.01,135380347,139107152
5ebabeaff4febd5febd5d75d67fffff7fbfffdbfbfa083e5,4,10,9264483.15,6563536.5,6563536.5,7126275.4,1412054.04,5900533,10051440
5ebabeaff4febd5febd5d75d67fffff7fbfffdbfbfa083e5,8,10,57040873.85,39533614.5,39533614.5,42633723.5,9970718.80,39030415,70997726
5ebabeaff4febd5febd5d75d67fffff7fbfffdbfbfa083e5,16,10,283588651.60,281277769.0,281277769,281334638.7,1722183.18,278350701,283865191
4e960283c5b6230e68a1130925477c20b627281d84000000,4,10,3411408.60,3233955.0,3233955,3257189.8,98897.79,3118092,3485493
4e960283c5b6230e68a1130925477c20b627281d84000000,8,10,16669507.80,16585703.5,16585703.5,16567693.8,82559.84,16416005,16678434
4e960283c5b6230e68a1130925477c20b627281d84000000,16,10,118526558.25,115700656.0,115700656,115966223.2,1974332.95,113489742,119227512
2088200905ca8084980040024448914e04265b100000000,4,10,2377733.45,2273732.5,2273732.5,2257086.2,86221.23,2122757,2419520
