id,stress,iter,95th,5th,median,mean,stdev,min,max
5ebabeaff4febf5febf5d75d77fffff7ffffffbfffe8dfed,4,10,1498520.10,1202509.5,1202509.5,1243628.8,160397.73,1146364,1688610
5ebabeaff4febf5febf5d75d77fffff7ffffffbfffe8dfed,8,10,1370863.95,1330580.0,1330580,1327526.8,32733.73,1275978,1371867
5ebabeaff4febf5febf5d75d77fffff7ffffffbfffe8dfed,16,10,1772944.95,1741524.0,1741524,1738278.3,23632.72,1698110,1778295
290002cb18c1f5340a00000456587920296c0af80000000,4,10,1255309.85,1193224.0,1193224,1190663.1,45190.88,1136908,1267904
290002cb18c1f5340a00000456587920296c0af80000000,8,10,1376251.40,1344825.5,1344825.5,1336666.8,32045.90,1276553,1384274
290002cb18c1f5340a00000456587920296c0af80000000,16,10,1803534.25,1768180.0,1768180,1762261.5,32136.50,1715784,1811632
eb8be2490fca808498185186755bb35f0cff5b900800000,4,10,1333674.75,1266075.0,1266075,1259261.5,62993.70,1131771,1341471
eb8be2490fca808498185186755bb35f0cff5b900800000,8,10,1490254.80,1411807.5,1411807.5,1405869.3,65993.84,1313157,1506300
eb8be2490fca808498185186755bb35f0cff5b900800000,16,10,2420771.20,2070653.0,2070653,2089253,233186.22,1791769,2451490
5ebabeaff4febd5febd5d75d67fffff7fbfffdbfbfa083e5,4,10,1340505.25,1247051.0,1247051,1259135.6,56686.76,1177407,1343428
5ebabeaff4febd5febd5d75d67fffff7fbfffdbfbfa083e5,8,10,1461309.85,1384457.0,1384457,1386932.8,55685.88,1307994,1468486
5ebabeaff4febd5febd5d75d67fffff7fbfffdbfbfa083e5,16,10,2730305.40,2207434.0,2207434,2281785,283445.76,2028372,2852709
4e960283c5b6230e68a1130925477c20b627281d84000000,4,10,1258133.40,1194108.0,1194108,1199515.5,36937.96,1155481,1276020
4e960283c5b6230e68a1130925477c20b627281d84000000,8,10,1327527.00,1287115.5,1287115.5,1290950.6,24493.98,1262127,1341171
4e960283c5b6230e68a1130925477c20b627281d84000000,16,10,1788801.50,1724548.0,1724548,1738540,36422.03,1699074,1802729
2088200905ca8084980040024448914e04265b100000000,4,10,1343511.65,1187643.0,1187643,1210024,83500.92,1119981,1407170
2088200905ca8084980040024448914e04265b100000000,8,10,1365340.15,1333776.0,1333776,1336957.4,18730.77,1309396,1369216
2088200905ca8084980040024448914e04265b100000000,16,10,1887736.70,1760059.5,1760059.5,1776447.6,70116.39,1697133,1906427
5aba9b8ff4febf5febf0c65d777dcdb59f7fafb784d2d040,4,10,1339095.25,1243341.0,1243341,1245934.1,68710.23,1129096,1341748
5aba9b8ff4febf5febf0c65d777dcdb59f7fafb784d2d040,8,10,1701242.35,1512668.0,1512668,1518325.3,135574.62,1365684,1701628
5aba9b8ff4febf5febf0c65d777dcdb59f7fafb784d2d040,16,10,4206247.80,3180971.0,3180971,3258345.7,735279.09,2353557,4212672
5ea880a2a0dcbe4e4891050370e5a0012c77aba5c0000010,4,10,1280428.65,1254761.0,1254761,1248335.5,25226.91,1210271,1296171
5ea880a2a0dcbe4e4891050370e5a0012c77aba5c0000010,8,10,1431490.10,1376864.0,1376864,1371040.4,53556.20,1279143,1434542
5ea880a2a0dcbe4e4891050370e5a0012c77aba5c0000010,16,10,2044389.25,1988229.5,1988229.5,1966271.6,72162.22,1835791,2051515
5e3abeaff1dcbf5febf5d74d77f7fff7fffbfebf0380dfd8,4,10,1396177.85,1254706.5,1254706.5,1273760.7,75962.88,1192100,1454978
5e3abeaff1dcbf5febf5d74d77f7fff7fffbfebf0380dfd8,8,10,1437484.90,1387849.0,1387849,1376262.8,47931.98,1284252,1448563
5e3abeaff1dcbf5febf5d74d77f7fff7fffbfebf0380dfd8,16,10,1883081.45,1835179.0,1835179,1820991,53801.30,1749909,1895672
5c883024f5bab75fc9f1820d1311f6f4be4fdf9f80000000,4,10,1259635.90,1178518.5,1178518.5,1192995.8,39934.69,1153861,1268041
5c883024f5bab75fc9f1820d1311f6f4be4fdf9f80000000,8,10,1365486.45,1328540.0,1328540,1328086.1,26876.64,1293802,1381578
5c883024f5bab75fc9f1820d1311f6f4be4fdf9f80000000,16,10,1821826.45,1763102.5,1763102.5,1770880.1,32921.60,1733869,1853614
5208302e456abf19a3d0814c02685fe5efbb2cb580000000,4,10,1263200.85,1180623.0,1180623,1195591.9,45144.24,1133374,1269306
5208302e456abf19a3d0814c02685fe5efbb2cb580000000,8,10,1431003.45,1356930.5,1356930.5,1361792.1,44444.87,1309418,1464438
5208302e456abf19a3d0814c02685fe5efbb2cb580000000,16,10,2402971.95,1988548.0,1988548,2053907.9,240918.73,1746773,2487315
eb8be2590fcb818498197186755bf35f0eff5b900800000,4,10,1324783.00,1231629.5,1231629.5,1247604.1,56187.97,1174469,1325665
eb8be2590fcb818498197186755bf35f0eff5b900800000,8,10,1364417.45,1317683.0,1317683,1313083.5,39303.76,1242619,1389239
eb8be2590fcb818498197186755bf35f0eff5b900800000,16,10,2105463.75,1993644.0,1993644,1983289.3,94551.60,1831680,2116545
c2aa08204800d150201020845e46044a50c150000000000,4,10,1492673.60,1250619.0,1250619,1289871.3,122671.14,1184136,1593974
c2aa08204800d150201020845e46044a50c150000000000,8,10,1362384.00,1331406.0,1331406,1328175.6,31694.17,1263022,1363662
c2aa08204800d150201020845e46044a50c150000000000,16,10,1789215.80,1727011.0,1727011,1736673,41807.93,1686119,1795550
4eb8be2fb0feb85c4b8197196775ff75f8eff5bd03800080,4,10,1286726.60,1197630.0,1197630,1205906.5,49520.80,1158600,1326314
4eb8be2fb0feb85c4b8197196775ff75f8eff5bd03800080,8,10,1384233.75,1344122.5,1344122.5,1342252.4,34171.33,1286207,1388061
4eb8be2fb0feb85c4b8197196775ff75f8eff5bd03800080,16,10,2231312.40,1904892.0,1904892,1946226.9,197150.32,1713785,2274984
4000000000000000000000000000000000000,4,10,1234720.55,1210943.5,1210943.5,1205753.7,27716.45,1140008,1244315
4000000000000000000000000000000000000,8,10,1351161.55,1311318.5,1311318.5,1317071.9,21880.91,1295138,1365868
4000000000000000000000000000000000000,16,10,1768167.15,1739421.0,1739421,1735886.5,28409.03,1681743,1768461
1eb02eafb5aebf5debf5c75d36fbfbc7f7ff6fbf80821800,4,10,1352575.45,1275884.5,1275884.5,1287493.5,43725.06,1232850,1356382
1eb02eafb5aebf5debf5c75d36fbfbc7f7ff6fbf80821800,8,10,1409700.70,1392683.5,1392683.5,1379271.3,37103.88,1296299,1412137
1eb02eafb5aebf5debf5c75d36fbfbc7f7ff6fbf80821800,16,10,2904706.50,2291319.5,2291319.5,2357932.8,376684.05,1964900,3066549
100000008000000000000000,4,10,1371329.25,1291760.0,1291760,1286629.2,62460.14,1206798,1375026
