"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","bst_component_type","example","classification","list_component_type","composite_component_type"
"19a37b7764ddef70c6bbdb116aec3be7949fe0e",4,59.5,"m.tree_contains.4.unfold.pred_inst.28",56,296959317,"gradual",-43019832,-12.7,"tree_contains","unfold","pred_inst","bst","min",NA,NA
"19a37b7764ddef70c6bbdb116aec3be7949fe0e",4,59.5,"m.tree_contains.4.unfold.pred_inst.28",60,404547753,"gradual",-61984099,-13.3,"tree_contains","unfold","pred_inst","bst","min",NA,NA
"19a37b7764ddef70c6bbdb116aec3be7949fe0e",4,59.5,"m.tree_contains.4.unfold.pred_inst.28",64,453682208,"gradual",-69938064,-13.4,"tree_contains","unfold","pred_inst","bst","min",NA,NA
"1f7bd1ef4ed3fe3bded5fc3dfd6db7a1ece6bdb",1,68.6,"p.treeRemove.6.pred.pred_inst.152",60,62705670,"gradual",-38842791,-38.3,"treeRemove","pred","pred_inst","bst","min",NA,NA
"1f7bd1ef4ed3fe3bded5fc3dfd6db7a1ece6bdb",1,68.6,"p.treeRemove.6.pred.pred_inst.152",64,71429512,"gradual",-44244885,-38.2,"treeRemove","pred","pred_inst","bst","min",NA,NA
"1dbbfbff74fdef75d7bfdb3d7aec3be7959fe6e",4,72.5,"m.tree_main_lemma.3.fold.pred_inst.39",60,346891311,"gradual",-34583201,-9.1,"tree_main_lemma","fold","pred_inst","bst","min",NA,NA
"1dbbfbff74fdef75d7bfdb3d7aec3be7959fe6e",4,72.5,"m.tree_main_lemma.3.fold.pred_inst.39",64,393131883,"gradual",-50809803,-11.4,"tree_main_lemma","fold","pred_inst","bst","min",NA,NA
"837d7af3f9fb9b75efbfdbefbbf98fdfe3ff5e",6,73.2,"m.tree_main_lemma_bst.4.unfold.pred_inst.42",64,435308697,"gradual",-45860021,-9.5,"tree_main_lemma_bst","unfold","pred_inst","bst","min",NA,NA
"1dbbfbff76ffef75f7bfdb3d7aec3be7959ff6e",4,75.2,"m.tree_main_lemma_bst.3.fold.pred_inst.43",52,164481324,"gradual",-41569696,-20.2,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1dbbfbff76ffef75f7bfdb3d7aec3be7959ff6e",4,75.2,"m.tree_main_lemma_bst.3.fold.pred_inst.43",56,249397535,"gradual",-61168550,-19.7,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1dbbfbff76ffef75f7bfdb3d7aec3be7959ff6e",4,75.2,"m.tree_main_lemma_bst.3.fold.pred_inst.43",60,337037466,"gradual",-81720406,-19.5,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1dbbfbff76ffef75f7bfdb3d7aec3be7959ff6e",4,75.2,"m.tree_main_lemma_bst.3.fold.pred_inst.43",64,386561526,"gradual",-91736135,-19.2,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1ff4cff3ff75ee5cffdfff9fef3b9dfbff77ff5",2,79.7,"p.bstRemove.6.pred.acc.148",64,117184383,"gradual",-32477083,-21.7,"bstRemove","pred","acc","bst","min",NA,NA
"1f7bf1ff4ef7fffbded7fe7dfd7dbfbbecfffdb",1,81,"p.bst.6.pred.acc.140",60,196435395,"gradual",-33079270,-14.4,"bst","pred","acc","bst","min",NA,NA
"1f7bf1ff4ef7fffbded7fe7dfd7dbfbbecfffdb",1,81,"p.bst.6.pred.acc.140",64,215648047,"gradual",-39169108,-15.4,"bst","pred","acc","bst","min",NA,NA
"1fff7fd7bfdffefbabeefbff77e1ddaf7ff9fff",3,83,"m.tree_main_lemma_bst.3.fold.pred_inst.43",52,107641938,"gradual",-40194510,-27.2,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1fff7fd7bfdffefbabeefbff77e1ddaf7ff9fff",3,83,"m.tree_main_lemma_bst.3.fold.pred_inst.43",56,152275139,"gradual",-67563943,-30.7,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1fff7fd7bfdffefbabeefbff77e1ddaf7ff9fff",3,83,"m.tree_main_lemma_bst.3.fold.pred_inst.43",60,221321553,"gradual",-87561591,-28.3,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"1fff7fd7bfdffefbabeefbff77e1ddaf7ff9fff",3,83,"m.tree_main_lemma_bst.3.fold.pred_inst.43",64,247713616,"gradual",-100751923,-28.9,"tree_main_lemma_bst","fold","pred_inst","bst","min",NA,NA
"19b7dfff3fffbdbf5ffbfdbefbbf98ffff3fffe",6,83,"m.tree_main_lemma.3.fold.pred_inst.39",60,335980262,"gradual",-34832800,-9.4,"tree_main_lemma","fold","pred_inst","bst","min",NA,NA
"19b7dfff3fffbdbf5ffbfdbefbbf98ffff3fffe",6,83,"m.tree_main_lemma.3.fold.pred_inst.39",64,381539780,"gradual",-50537579,-11.7,"tree_main_lemma","fold","pred_inst","bst","min",NA,NA
"1ffccffbff75eeddffdfff9fef3fddfbff7fff5",2,84.3,"m.tree_add_helper.3.fold.pred_inst.25",60,234616649,"gradual",-32841247,-12.3,"tree_add_helper","fold","pred_inst","bst","min",NA,NA
"1ffccffbff75eeddffdfff9fef3fddfbff7fff5",2,84.3,"m.tree_add_helper.3.fold.pred_inst.25",64,271511550,"gradual",-33802994,-11.1,"tree_add_helper","fold","pred_inst","bst","min",NA,NA
"1ffccffbfffdeedfffdfff9fef3fddfbff7fff7",2,86.9,"p.tree.6.pred.pred_inst.151",44,70507776,"gradual",-41091572,-36.8,"tree","pred","pred_inst","bst","min",NA,NA
"1ffccffbfffdeedfffdfff9fef3fddfbff7fff7",2,86.9,"p.tree.6.pred.pred_inst.151",48,67857463,"gradual",-35786412,-34.5,"tree","pred","pred_inst","bst","min",NA,NA
"1ffccffbfffdeedfffdfff9fef3fddfbff7fff7",2,86.9,"p.tree.6.pred.pred_inst.151",52,103006458,"gradual",-58561664,-36.2,"tree","pred","pred_inst","bst","min",NA,NA
"1ffccffbfffdeedfffdfff9fef3fddfbff7fff7",2,86.9,"p.tree.6.pred.pred_inst.151",56,148064892,"gradual",-87711529,-37.2,"tree","pred","pred_inst","bst","min",NA,NA
"1ffccffbfffdeedfffdfff9fef3fddfbff7fff7",2,86.9,"p.tree.6.pred.pred_inst.151",60,210513957,"gradual",-118152361,-35.9,"tree","pred","pred_inst","bst","min",NA,NA
