"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","component_type","example","classification"
"16cb25870c52917e20c65d4b870020",27,43.5,"m.list_insert.3.fold.pred_inst.35.77",128,0.2841868505,"gradual",-0.2827482535,-49.9,"list_insert","fold","pred_inst","list","min"
"3de86f4356a86b16faff7172bcd8036",28,62,"m.list_insert.3.fold.pred_inst.23.57",128,0.0094413705,"gradual",-0.283927576,-96.8,"list_insert","fold","pred_inst","list","min"
"3fddda7ffaf6abc7fbfb3d55bdd8204",9,74.1,"m.list_insert.3.fold.pred_inst.35.77",128,0.0089228125,"gradual",-0.286453263,-97,"list_insert","fold","pred_inst","list","min"
"3b959d7dbebfeb87bafbff4ebdf800d",17,74.1,"m.list_insert.3.fold.pred_inst.35.77",128,0.01116287,"gradual",-0.282077459,-96.2,"list_insert","fold","pred_inst","list","min"
"3ff57a7fecdf63d6fbf6ff53bcf8014",30,75,"m.list_insert.3.fold.pred_inst.23.57",128,0.0097581455,"gradual",-0.28492509,-96.7,"list_insert","fold","pred_inst","list","min"
"15fdff7beefdcbd77beffb17b9f2414",3,77.8,"m.list_insert.3.fold.pred_inst.23.57",128,0.008479305,"gradual",-0.283628846,-97.1,"list_insert","fold","pred_inst","list","min"
"3b3dbf7dfafeeb57fbffffd2b9f81f1",6,82.4,"m.main.5.inv.bool.38.81",128,0.009523454,"gradual",-0.2777485,-96.7,"main","inv","bool","list","min"
"3ff9ff3ffef9eb967b7fff76bdfa034",31,82.4,"m.list_insert.3.fold.pred_inst.23.57",128,0.0173530045,"gradual",-0.2770763845,-94.1,"list_insert","fold","pred_inst","list","min"
"3f7dff7ffaffebd7fbffffd6bdfa7ff",6,95.4,"m.create_list.1.pre.imp.12.-1",64,0.038583554,"gradual",-1.3879431795,-97.3,"create_list","pre","imp","list","min"
"3f7dff7ffaffebd7fbffffd6bdfa7ff",6,95.4,"m.create_list.1.pre.imp.12.-1",128,0.278491447,"gradual",-22.91184069,-98.8,"create_list","pre","imp","list","min"
"3ffdff7ffeff6bd7fbffff76bdfe7bf",4,96.3,"m.create_list.1.pre.imp.12.-1",64,0.0386490865,"gradual",-1.3899430765,-97.3,"create_list","pre","imp","list","min"
"3ffdff7ffeff6bd7fbffff76bdfe7bf",4,96.3,"m.create_list.1.pre.imp.12.-1",128,0.281574798,"gradual",-23.1089199395,-98.8,"create_list","pre","imp","list","min"
"3ffdfe7ffeffebd7fbffff57bdf9ff7",9,96.3,"m.appendLemmaLoopBody.1.pre.imp.6.-1",128,23.9488190695,"gradual",-0.393315936499999,-1.6,"appendLemmaLoopBody","pre","imp","list","min"
"3ffdff7efeffebd7fbffff76bdfe7bf",15,96.3,"m.create_list.1.pre.imp.12.-1",64,0.038613309,"gradual",-1.391277291,-97.3,"create_list","pre","imp","list","min"
"3ffdff7efeffebd7fbffff76bdfe7bf",15,96.3,"m.create_list.1.pre.imp.12.-1",128,0.283454284,"gradual",-23.1870941055,-98.8,"create_list","pre","imp","list","min"
"3ffdff7ffeffead7fbffffd6bdff9ff",8,97.2,"m.list_insert.5.inv.imp.26.-1",128,22.7009453255,"gradual",-0.788047495999997,-3.4,"list_insert","inv","imp","list","min"
"3ffdfe7ffeffebd7fbffff57bdf9fff",9,97.2,"m.main.5.inv.imp.38.-1",64,0.0384865915,"gradual",-1.465937852,-97.4,"main","inv","imp","list","min"
"3ffdfe7ffeffebd7fbffff57bdf9fff",9,97.2,"m.main.5.inv.imp.38.-1",128,0.2832104895,"gradual",-23.66560858,-98.8,"main","inv","imp","list","min"
"3ffdff7ffeffebd7fbffff76bdffe3f",16,97.2,"m.list_insert.3.fold.pred_inst.23.57",128,0.008620343,"gradual",-0.28070292,-97,"list_insert","fold","pred_inst","list","min"
"3ffdff7ffeffebd7fbfbff5ebdfffbf",17,98.1,"m.create_list.1.pre.imp.12.-1",64,0.039695664,"gradual",-1.4038007575,-97.3,"create_list","pre","imp","list","min"
"3ffdff7ffeffebd7fbfbff5ebdfffbf",17,98.1,"m.create_list.1.pre.imp.12.-1",128,0.2828644855,"gradual",-22.732463522,-98.8,"create_list","pre","imp","list","min"
"3ffdff7ffeffebd7fbffff76bdfffff",1,100,"m.appendLemmaLoopBody.1.pre.imp.6.-1",128,0.0011415055,"gradual",-0.2807970545,-99.6,"appendLemmaLoopBody","pre","imp","list","min"
"3ffdff7ffeffebd7fbffff57bdfffff",2,100,"m.appendLemmaLoopBody.2.post.imp.7.-1",128,0.00117025,"gradual",-0.282362476,-99.6,"appendLemmaLoopBody","post","imp","list","min"
"3ffdff7ffeffebd7fbffff76bdfffff",4,100,"m.appendLemmaLoopBody.2.post.imp.7.-1",128,0.0011415055,"gradual",-0.2804784665,-99.6,"appendLemmaLoopBody","post","imp","list","min"
"3ffdff7ffeffebd7fbffff57bdfffff",5,100,"m.list_insert.5.inv.imp.26.-1",128,0.00117025,"gradual",-0.2829915825,-99.6,"list_insert","inv","imp","list","min"
"3ffdff7ffeffebd7fbffffd6bdfffff",6,100,"m.appendLemmaLoopBody.1.pre.imp.6.-1",128,0.001132705,"gradual",-0.2807329865,-99.6,"appendLemmaLoopBody","pre","imp","list","min"
"3ffdff7ffeffebd7fbffffd6bdfffff",7,100,"m.appendLemmaLoopBody.1.pre.imp.6.-1",128,0.001132705,"gradual",-0.2807329865,-99.6,"appendLemmaLoopBody","pre","imp","list","min"
"3ffdff7ffeffebd7fbffffd6bdfffff",8,100,"m.create_list.1.pre.imp.12.-1",64,0.001152283,"gradual",-1.356644656,-99.9,"create_list","pre","imp","list","min"
