"id","path_id","level_id","component_added","stress","median","verification","diff"
"8000000000",0,1,"m.create_list.3.fold.39",0,832006,"gradual",-193061
"8000",1,1,"m.list_insert.3.fold.63",4,829831,"gradual",-187113
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.17",0,841423,"gradual",-183644
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.17",4,829620,"gradual",-187324
"800000000000000000",4,1,"m.appendLemmaAfterLoopBody.1.pre.7",4,821199,"gradual",-195745
"1000000000000",5,1,"m.appendLemmaLoopBody.2.post.30",4,826375,"gradual",-190569
"200000000000",6,1,"m.appendLemmaLoopBody.2.post.33",4,830377,"gradual",-186567
"8000000000008000000",7,2,"m.appendLemmaAfterLoopBody.1.pre.3",28,1207997,"gradual",-189780
"8000000000008000000",7,2,"m.appendLemmaAfterLoopBody.1.pre.3",36,1523119,"gradual",-279482
"8000000000008000000",7,2,"m.appendLemmaAfterLoopBody.1.pre.3",44,1836183,"gradual",-217392
"800002100004",3,4,"p.sortedSegHelper.6.pred.76",20,1018345,"gradual",-190093
"800002100004",3,4,"p.sortedSegHelper.6.pred.76",40,1583487,"gradual",-277454
"8000058040",0,5,"m.list_insert.3.fold.63",0,936062,"gradual",-1302118
"8000058040",0,5,"m.list_insert.3.fold.63",4,856393,"gradual",-323781
"8000058040",0,5,"m.list_insert.3.fold.63",8,879657,"gradual",-364494
"8000058040",0,5,"m.list_insert.3.fold.63",40,1669721,"gradual",-187227
"8000058040",0,5,"m.list_insert.3.fold.63",44,1790929,"gradual",-251717
"804280000000000800",4,5,"m.appendLemmaLoopBody.1.pre.21",32,1306571,"gradual",-207126
"40203000000000100",5,5,"m.appendLemmaLoopBody.1.pre.21",4,818343,"gradual",-229636
"40203000000000100",5,5,"m.appendLemmaLoopBody.1.pre.21",36,1575468,"gradual",-804336
"10200800100002",6,5,"p.sortedSegHelper.6.pred.77",36,1561175,"gradual",-261264
"20201008000002008000",1,6,"m.appendLemmaAfterLoopBody.2.post.9",0,894430,"gradual",-280379
"842002100004",3,6,"m.create_list.3.fold.41",64,2739268,"gradual",-196764
"102040002000442000",2,7,"m.list_insert.3.fold.60",20,1089843,"gradual",-594066
"102040002000442000",2,7,"m.list_insert.3.fold.60",24,1128149,"gradual",-985770
"102040002000442000",2,7,"m.list_insert.3.fold.60",28,1295542,"gradual",-455947
"102040002000442000",2,7,"m.list_insert.3.fold.60",32,1383526,"gradual",-627579
"102040002000442000",2,7,"m.list_insert.3.fold.60",36,1527313,"gradual",-603306
"102040002000442000",2,7,"m.list_insert.3.fold.60",40,1687126,"gradual",-495819
"102040002000442000",2,7,"m.list_insert.3.fold.60",44,1895463,"gradual",-421662
"102040002000442000",2,7,"m.list_insert.3.fold.60",48,1992521,"gradual",-452107
"102040002000442000",2,7,"m.list_insert.3.fold.60",52,2194028,"gradual",-582049
"102040002000442000",2,7,"m.list_insert.3.fold.60",56,2315347,"gradual",-513303
"102040002000442000",2,7,"m.list_insert.3.fold.60",60,2540436,"gradual",-509895
"102050002000442000",2,8,"m.appendLemmaLoopBody.1.pre.26",8,824125,"gradual",-260659
"1000842002900004",3,8,"m.appendLemmaLoopBody.1.pre.18",36,1515530,"gradual",-287794
"1000842002900004",3,8,"m.appendLemmaLoopBody.1.pre.18",40,1618094,"gradual",-288156
"1000842002900004",3,8,"m.appendLemmaLoopBody.1.pre.18",44,1779967,"gradual",-284796
"1000842002900004",3,8,"m.appendLemmaLoopBody.1.pre.18",48,1960397,"gradual",-276062
"1000842002900004",3,8,"m.appendLemmaLoopBody.1.pre.18",52,2131846,"gradual",-304018
