id,stress,iter,95th,5th,median,mean,stdev,min,max
380220402ce8000400340000008000,32,10,2585929.50,1829598.5,1829598.5,1954659,425867.54,1751455,3160926
380220402ce8000400340000008000,64,10,3388155.35,3232153.5,3232153.5,3231347.6,111631.88,3066384,3404264
380220402ce8000400340000008000,128,10,9605976.20,9494162.5,9494162.5,9396824.3,294208.49,8702299,9629459
3ffd7f7dfafffbd7fbfd7756bdf863d,32,10,2070657.70,1952465.0,1952465,1959038.2,81790.96,1826946,2121919
3ffd7f7dfafffbd7fbfd7756bdf863d,64,10,3501064.10,3258484.0,3258484,3288122.5,129305.43,3151192,3541817
3ffd7f7dfafffbd7fbfd7756bdf863d,128,10,9004754.95,8838074.5,8838074.5,8785561.1,196391.21,8523812,9046717
2000200024e8000400340000000000,32,10,2302617.60,1905918.5,1905918.5,1975631,202463.68,1802233,2487060
2000200024e8000400340000000000,64,10,4325888.25,3954611.5,3954611.5,4049009.2,187558.45,3892809,4333203
2000200024e8000400340000000000,128,10,11264300.40,11197892.5,11197892.5,11197523.9,49553.06,11105057,11274042
575ff3beefdcbd61b67db07b9f2004,32,10,7206528.00,7087594.5,7087594.5,7093298.5,73767.25,6991317,7263327
575ff3beefdcbd61b67db07b9f2004,64,10,41544020.95,41408740.0,41408740,41362196,164483.94,41074584,41584453
575ff3beefdcbd61b67db07b9f2004,128,10,298444217.10,296233015.5,296233015.5,295248446.5,2954997.17,290056846,298997664
34400501805000040242010008a0000,32,10,2079684.90,1936349.0,1936349,1953778.7,92306.95,1821864,2089278
34400501805000040242010008a0000,64,10,3285817.00,3227655.0,3227655,3226559.3,41928.59,3166497,3294907
34400501805000040242010008a0000,128,10,8961910.10,8614372.0,8614372,8579095.3,329446.08,8162356,8971226
3fe57f79faebfbd5fbdd7756adf8635,32,10,2188103.35,1980371.5,1980371.5,2010793.3,100253.78,1906957,2232688
3fe57f79faebfbd5fbdd7756adf8635,64,10,4087630.30,4019070.5,4019070.5,3989395.4,95327.54,3776132,4107550
3fe57f79faebfbd5fbdd7756adf8635,128,10,10751624.10,10647711.5,10647711.5,10656302.1,63950.25,10558817,10767438
3fbdff7ffeffebd7fbfdff5ea9db39c,32,10,2196749.40,2059972.5,2059972.5,2079280.4,93742.29,1969014,2200236
3fbdff7ffeffebd7fbfdff5ea9db39c,64,10,3592224.00,3486601.5,3486601.5,3489054.5,68857.16,3369974,3602709
3fbdff7ffeffebd7fbfdff5ea9db39c,128,10,8966175.20,8900777.0,8900777,8898327.4,50444.12,8828133,8976383
44090014004a800918020008000000,32,10,2093114.05,1936952.0,1936952,1963765.7,80761.43,1864625,2140792
44090014004a800918020008000000,64,10,3738843.60,3450342.5,3450342.5,3523807.2,179293.62,3286053,3743448
44090014004a800918020008000000,128,10,10561490.20,8407909.0,8407909,8781576.4,947757.88,8207636,11043766
3339b7657abecb43fbfdffd020e8030,32,10,2272087.15,2141048.0,2141048,2133990.9,114911.99,1924252,2321656
3339b7657abecb43fbfdffd020e8030,64,10,3671909.00,3590864.0,3590864,3583884.2,73061.69,3455367,3688883
3339b7657abecb43fbfdffd020e8030,128,10,9162128.75,8707339.5,8707339.5,8771794.8,213869.67,8614033,9298121
3ffdff7ffeffebd7fbefffd69dfb7bd,32,10,2089507.10,1935435.5,1935435.5,1963539.6,82365.91,1863615,2097347
3ffdff7ffeffebd7fbefffd69dfb7bd,64,10,4505397.25,4418640.0,4418640,4378750.3,150838.61,3991964,4525060
3ffdff7ffeffebd7fbefffd69dfb7bd,128,10,11471130.25,8256190.0,8256190,9279076.3,1556495.64,8057654,11496391
41d0d9aa52a8698caf0069460000,32,10,2276831.05,2125120.0,2125120,2127979.2,95833.68,1978837,2323726
41d0d9aa52a8698caf0069460000,64,10,3696010.60,3559822.5,3559822.5,3562820.6,82404.78,3443152,3712504
41d0d9aa52a8698caf0069460000,128,10,9591555.00,9539550.0,9539550,9464230.1,185935.58,9031068,9610302
4300000800000000800000800000,32,10,2043525.20,1854554.5,1854554.5,1895461.2,106837.16,1729016,2087159
4300000800000000800000800000,64,10,4740848.30,3958664.0,3958664,4113813.2,344791.62,3804398,4833668
4300000800000000800000800000,128,10,12532925.15,10759012.0,10759012,11271904.5,833943.99,10742732,12565844
20000100000202000002000000000,32,10,1958337.00,1757770.0,1757770,1799369.5,109719.87,1682023,1961190
20000100000202000002000000000,64,10,3410734.35,3192612.0,3192612,3228333.3,119788.70,3097901,3412101
20000100000202000002000000000,128,10,9411004.05,9287152.0,9287152,9077604,356712.41,8536525,9415842
116cb25b74e72b57e20c75d4b970020,32,10,7331715.20,6802806.0,6802806,6818112.3,313143.05,6442736,7405562
116cb25b74e72b57e20c75d4b970020,64,10,40420330.05,38531607.0,38531607,38850866.2,972099.35,38274645,41554902
116cb25b74e72b57e20c75d4b970020,128,10,285953265.60,283236201.5,283236201.5,283609760.9,1575464.19,281703205,286511712
c5694492270854b8d86a142928000,32,10,2196515.40,2084409.0,2084409,2076240.5,81179.10,1944250,2231079
c5694492270854b8d86a142928000,64,10,3609736.70,3499831.5,3499831.5,3507456.3,63932.43,3426550,3647408
c5694492270854b8d86a142928000,128,10,8680247.05,8599683.0,8599683,8600564.1,54698.31,8529827,8723956
39a0da2b7459aa96430f2a100148000,32,10,2050564.40,1987743.5,1987743.5,1968618.3,76115.76,1850583,2061953
39a0da2b7459aa96430f2a100148000,64,10,3641630.45,3442959.5,3442959.5,3402843.4,170012.26,3161075,3670799
39a0da2b7459aa96430f2a100148000,128,10,9193741.40,8395012.0,8395012,8631779.9,354722.16,8348242,9310178
86c2372a05dc0101281e00691e8000,32,10,2298307.30,2085566.5,2085566.5,2128097.3,103250.26,2014642,2341672
86c2372a05dc0101281e00691e8000,64,10,3932137.80,3737236.5,3737236.5,3703912.6,174962.56,3455405,3974256
86c2372a05dc0101281e00691e8000,128,10,9838386.60,8609881.0,8609881,8857993.8,535570.50,8391858,9901203
2208d5500c28a02a9108743b8a8004,32,10,1959306.90,1881295.5,1881295.5,1882687.5,50659.03,1816937,1971591
2208d5500c28a02a9108743b8a8004,64,10,3636083.00,3587429.5,3587429.5,3578831.3,44152.53,3509717,3644399
2208d5500c28a02a9108743b8a8004,128,10,8976969.15,8029105.5,8029105.5,8242042.1,400838.76,7959438,9119418
11991b018038c190022110400908000,32,10,1969206.15,1868110.0,1868110,1869957.1,67253.67,1790701,1994241
11991b018038c190022110400908000,64,10,3721770.40,3587472.0,3587472,3606484.5,69664.02,3535586,3745120
11991b018038c190022110400908000,128,10,11219030.25,10196802.5,10196802.5,10401314.2,573414.65,9511196,11248215
1790725692dea181f03f66423138000,32,10,1969071.50,1859347.0,1859347,1840224.5,94515.47,1690996,2017460
1790725692dea181f03f66423138000,64,10,4745633.60,3622877.5,3622877.5,3819748.5,582987.65,3116001,4890503
1790725692dea181f03f66423138000,128,10,11616419.55,8136869.5,8136869.5,8794199.7,1541389.23,8085252,12756819
37ddff7deabdc1d3daf1de4419b8000,32,10,2249827.25,2080830.5,2080830.5,2106242.1,86704.91,2010535,2325353
37ddff7deabdc1d3daf1de4419b8000,64,10,3808348.05,3570335.5,3570335.5,3598423.5,120536.70,3477690,3817488
37ddff7deabdc1d3daf1de4419b8000,128,10,9344854.85,9290736.0,9290736,9118952.7,323797.97,8543090,9349601
3785ff625afbcbd7f27dcfd6adba638,32,10,1955443.25,1860739.5,1860739.5,1855010.9,85879.66,1705696,1976762
3785ff625afbcbd7f27dcfd6adba638,64,10,3565112.55,3160426.5,3160426.5,3242416,201965.47,3047611,3643008
3785ff625afbcbd7f27dcfd6adba638,128,10,8138246.50,7989996.5,7989996.5,8000512.5,93345.41,7872858,8187445
39800911ba214bc0d28421120c40000,32,10,1918894.30,1850139.0,1850139,1841013.6,56304.78,1767518,1947697
39800911ba214bc0d28421120c40000,64,10,3329847.35,3296467.0,3296467,3294282.9,32181.82,3246472,3332132
39800911ba214bc0d28421120c40000,128,10,10111960.10,8577453.0,8577453,8899873,713697.50,8105905,10349102
1041d2a9a00ca048205f1421060000,32,10,2091178.60,1945040.0,1945040,1965494.4,78559.14,1885304,2141782
1041d2a9a00ca048205f1421060000,64,10,3407953.05,3314143.5,3314143.5,3292375.5,92530.11,3137254,3428298
1041d2a9a00ca048205f1421060000,128,10,8617936.85,8414473.5,8414473.5,8421185.7,136914.56,8188206,8679707
40090010000a000810000000000000,32,10,1902885.80,1783714.0,1783714,1789254.3,75572.93,1675785,1915007
40090010000a000810000000000000,64,10,3326269.10,3109142.5,3109142.5,3137030.2,106824.66,3029833,3339446
40090010000a000810000000000000,128,10,10042339.55,8362569.5,8362569.5,8731732.5,815955.45,7946453,10075937
3fddda7ffaf7abc7fbff7f55bdd8226,32,10,2008383.65,1890032.5,1890032.5,1901202.5,63084.66,1842018,2044268
