id,stress,iter,95th,5th,median,mean,stdev,min,max
380220402ce8000400340000008000,32,10,1832761.75,1752295.0,1752295,1762442.4,43549.87,1712647,1836517
380220402ce8000400340000008000,64,10,3320841.90,3088665.5,3088665.5,3118783,130896.40,2972923,3408654
380220402ce8000400340000008000,128,10,9937487.85,9888480.5,9888480.5,9824400.7,202944.56,9257006,9940164
3ffd7f7dfafffbd7fbfd7756bdf863d,32,10,11689356.30,11615327.0,11615327,11608668.9,64757.48,11497586,11711463
3ffd7f7dfafffbd7fbfd7756bdf863d,64,10,77724852.55,76680106.0,76680106,76644954.2,744793.70,75629219,77733205
3ffd7f7dfafffbd7fbfd7756bdf863d,128,10,575292374.00,570181914.0,570181914,569914382.3,4001439.27,565074648,575474795
2000200024e8000400340000000000,32,10,1847465.40,1745065.0,1745065,1754038.8,71377.14,1646177,1872579
2000200024e8000400340000000000,64,10,3168561.80,3029056.0,3029056,3057576.4,69070.09,2982387,3169325
2000200024e8000400340000000000,128,10,7877265.90,7799408.0,7799408,7800074.1,53993.00,7720932,7922202
575ff3beefdcbd61b67db07b9f2004,32,10,18301555.55,18239316.5,18239316.5,16450720.9,2587231.99,11920764,18320501
575ff3beefdcbd61b67db07b9f2004,64,10,82056234.25,76044853.0,76044853,77029417.1,3205116.15,74533568,85948912
575ff3beefdcbd61b67db07b9f2004,128,10,570180763.80,569001388.5,569001388.5,568772676.7,1390327.50,565454911,570270159
34400501805000040242010008a0000,32,10,7672909.05,6982935.0,6982935,7113723.7,300413.99,6897640,7711776
34400501805000040242010008a0000,64,10,41623870.35,40510744.0,40510744,40678302.7,592344.20,40219092,42292794
34400501805000040242010008a0000,128,10,295571528.45,291517304.0,291517304,292503933.7,2039225.60,290419874,296332802
3fe57f79faebfbd5fbdd7756adf8635,32,10,13444583.75,12454901.5,12454901.5,12497731.8,741084.68,11544074,13469246
3fe57f79faebfbd5fbdd7756adf8635,64,10,78922721.50,75755454.5,75755454.5,76333958.8,1450748.93,75260779,80078290
3fe57f79faebfbd5fbdd7756adf8635,128,10,572579995.70,565799301.0,565799301,565851953.8,4280947.19,559920438,572677121
3fbdff7ffeffebd7fbfdff5ea9db39c,32,10,11847146.45,11633703.5,11633703.5,11668628.6,108977.37,11540418,11910281
3fbdff7ffeffebd7fbfdff5ea9db39c,64,10,78752128.15,76015704.0,76015704,76449579.6,1552987.11,74793734,80675002
3fbdff7ffeffebd7fbfdff5ea9db39c,128,10,574770081.25,570613395.5,570613395.5,570207954,3619448.18,564536128,575333551
44090014004a800918020008000000,32,10,1874185.65,1810725.0,1810725,1792074.3,67419.44,1679556,1891242
44090014004a800918020008000000,64,10,5355453.75,4010859.0,4010859,4167422.3,894112.43,3084561,5394768
44090014004a800918020008000000,128,10,14394079.85,13874042.0,13874042,13655633.4,1074879.44,10695189,14741555
3339b7657abecb43fbfdffd020e8030,32,10,1870583.85,1726845.0,1726845,1752768.4,83676.10,1662824,1876536
3339b7657abecb43fbfdffd020e8030,64,10,3117943.25,3046567.5,3046567.5,3049702.2,42605.06,2988099,3135149
3339b7657abecb43fbfdffd020e8030,128,10,7916526.00,7891955.0,7891955,7892040.4,22761.06,7852623,7918695
3ffdff7ffeffebd7fbefffd69dfb7bd,32,10,12653579.00,11764452.5,11764452.5,11902074.8,424646.00,11496930,12673019
3ffdff7ffeffebd7fbefffd69dfb7bd,64,10,79344902.80,75842764.0,75842764,76383772.6,1768484.21,75161448,81194590
3ffdff7ffeffebd7fbefffd69dfb7bd,128,10,573192172.40,568203616.5,568203616.5,568407425.4,3011969.57,564097397,574589093
41d0d9aa52a8698caf0069460000,32,10,8775561.35,7499665.0,7499665,7845709.8,752811.56,7023028,8792561
41d0d9aa52a8698caf0069460000,64,10,43474379.00,40787968.0,40787968,41253890.3,1506430.75,40605555,45527540
41d0d9aa52a8698caf0069460000,128,10,293130996.90,289399173.0,289399173,290067374.9,1752151.11,287909936,294080694
4300000800000000800000800000,32,10,1893489.55,1749255.5,1749255.5,1776175,80749.06,1673937,1942333
4300000800000000800000800000,64,10,3168216.30,3074530.0,3074530,3075732.2,78718.66,2933952,3173727
4300000800000000800000800000,128,10,8177512.50,7817282.5,7817282.5,7886228.4,163453.86,7730362,8206713
20000100000202000002000000000,32,10,1845564.80,1772011.5,1772011.5,1759123.6,73723.81,1633600,1861664
20000100000202000002000000000,64,10,3706416.80,3160857.5,3160857.5,3260535.2,263007.36,3054945,3862718
20000100000202000002000000000,128,10,10019958.45,9879559.5,9879559.5,9294120.6,961644.23,7863747,10028256
116cb25b74e72b57e20c75d4b970020,32,10,13549333.50,12778937.5,12778937.5,12702930.4,807260.57,11724480,13555215
116cb25b74e72b57e20c75d4b970020,64,10,81100671.55,76549151.0,76549151,77266623.4,2421560.18,75939367,84036418
116cb25b74e72b57e20c75d4b970020,128,10,569859644.75,566608179.0,566608179,565718649.2,3556471.84,558828020,571187723
c5694492270854b8d86a142928000,32,10,14500185.40,12482784.0,12482784,12803935.2,923255.65,11845264,14662648
c5694492270854b8d86a142928000,64,10,76613027.95,75673197.0,75673197,75708730.8,576967.13,75059041,76788631
c5694492270854b8d86a142928000,128,10,571035493.05,563900364.5,563900364.5,564995130.1,4008232.80,559060488,573318915
39a0da2b7459aa96430f2a100148000,32,10,14984498.80,14662717.0,14662717,14129188.8,1096081.68,11613505,15182200
39a0da2b7459aa96430f2a100148000,64,10,77493508.85,76481053.5,76481053.5,76396330,763468.31,75515867,77887226
39a0da2b7459aa96430f2a100148000,128,10,576256686.30,564380074.5,564380074.5,566323707.7,5884153.12,559677302,576965925
86c2372a05dc0101281e00691e8000,32,10,8382975.25,8054021.5,8054021.5,7631629,773737.17,6559712,8394412
86c2372a05dc0101281e00691e8000,64,10,43212408.55,38794189.0,38794189,39544684.3,2494093.64,38521971,46619728
86c2372a05dc0101281e00691e8000,128,10,288313491.55,282988310.5,282988310.5,283715896.2,2717186.52,281121640,288950413
2208d5500c28a02a9108743b8a8004,32,10,1846451.10,1804036.5,1804036.5,1791508.4,44932.35,1723452,1851915
2208d5500c28a02a9108743b8a8004,64,10,4678179.60,4001201.5,4001201.5,3970282.6,647354.95,3024100,4688463
2208d5500c28a02a9108743b8a8004,128,10,12456340.00,12306797.0,12306797,11831006.8,1204234.71,8651198,12483124
11991b018038c190022110400908000,32,10,7202127.35,6652112.0,6652112,6728825.6,278900.84,6389491,7231799
11991b018038c190022110400908000,64,10,40333553.10,38829640.5,38829640.5,39130781.9,749435.49,38501981,40914675
11991b018038c190022110400908000,128,10,288399662.30,286745343.0,286745343,286535455.2,1546129.99,284265152,288629210
1790725692dea181f03f66423138000,32,10,1853660.60,1737965.0,1737965,1757217.9,63328.54,1651904,1876724
1790725692dea181f03f66423138000,64,10,3105878.75,3052045.5,3052045.5,3052917,35981.38,3005647,3108203
1790725692dea181f03f66423138000,128,10,9840989.05,8702166.5,8702166.5,8935964.3,618138.61,8104874,9846187
37ddff7deabdc1d3daf1de4419b8000,32,10,7514499.85,7108742.0,7108742,7033492.7,465837.22,6462221,7528390
37ddff7deabdc1d3daf1de4419b8000,64,10,39551979.35,38881559.0,38881559,39019228.7,328837.70,38731234,39730088
37ddff7deabdc1d3daf1de4419b8000,128,10,287779592.15,285436488.0,285436488,285378184.3,1994449.85,282054172,288000701
3785ff625afbcbd7f27dcfd6adba638,32,10,14802761.05,14402033.5,14402033.5,13507553.2,1463578.09,11557777,14903260
3785ff625afbcbd7f27dcfd6adba638,64,10,80798463.00,76134867.5,76134867.5,76797633.9,2467299.30,75122326,83511999
3785ff625afbcbd7f27dcfd6adba638,128,10,570884334.90,561646680.0,561646680,563442415.1,4480153.06,558521395,572151957
39800911ba214bc0d28421120c40000,32,10,1801102.10,1742149.0,1742149,1734035.7,51120.12,1650627,1823252
39800911ba214bc0d28421120c40000,64,10,3305246.30,3083968.0,3083968,3101100.9,128986.91,2935036,3395834
39800911ba214bc0d28421120c40000,128,10,10835450.80,9903176.0,9903176,10065823.5,420859.97,9708039,11103352
1041d2a9a00ca048205f1421060000,32,10,8743327.55,8078983.5,8078983.5,8124639.4,621802.62,6993386,8743625
1041d2a9a00ca048205f1421060000,64,10,45694825.70,40262031.5,40262031.5,41247065,2985003.04,39971561,49710254
1041d2a9a00ca048205f1421060000,128,10,293098768.80,290873527.5,290873527.5,290523162.9,2206204.53,287334891,293206686
40090010000a000810000000000000,32,10,1837808.55,1764316.0,1764316,1766140,44796.43,1708488,1846215
40090010000a000810000000000000,64,10,3642949.35,3134120.0,3134120,3216162.1,245161.51,2955652,3729789
40090010000a000810000000000000,128,10,8537869.60,7890348.5,7890348.5,8008800.7,346718.49,7827837,8981098
3fddda7ffaf7abc7fbff7f55bdd8226,32,10,7165768.45,6905155.0,6905155,6953541.9,132946.85,6811006,7236490
3fddda7ffaf7abc7fbff7f55bdd8226,64,10,41122292.05,40817926.5,40817926.5,40826587.4,175340.23,40616897,41173624
3fddda7ffaf7abc7fbff7f55bdd8226,128,10,295942887.50,290368713.5,290368713.5,291405032.4,3049496.93,287318221,296546666
3ffdff7ffeffead7fbffffd6bdff9ff,32,10,11868122.65,11685407.0,11685407,11694129.4,120958.91,11515280,11883730
3ffdff7ffeffead7fbffffd6bdff9ff,64,10,77433340.15,76205564.0,76205564,76424879.3,616062.90,75849161,77895595
3ffdff7ffeffead7fbffffd6bdff9ff,128,10,575262654.55,569311481.5,569311481.5,569955307.9,3079221.89,566416326,575950777
165f719e8ec4bd21b61db0398d0004,32,10,6678287.85,6513599.0,6513599,6550876.5,82233.03,6469710,6699990
165f719e8ec4bd21b61db0398d0004,64,10,39139852.40,38916465.0,38916465,38961611.5,131726.03,38768539,39154760
165f719e8ec4bd21b61db0398d0004,128,10,288933639.25,281999076.5,281999076.5,282834176.7,3663377.69,279362161,289766002
23859d6dbebfea869acbf20ebc70008,32,10,7999365.10,7306283.5,7306283.5,7341738.1,396564.51,6886812,8022730
23859d6dbebfea869acbf20ebc70008,64,10,43035665.55,40768033.5,40768033.5,41127338.1,1274038.17,40257900,44708469
23859d6dbebfea869acbf20ebc70008,128,10,292590214.80,291056821.0,291056821,291132549.8,1348280.70,288361138,292745058
3ffdff7ffeffebd7fbefffd69dfa7bd,32,10,16335402.70,13396098.0,13396098,13990793.5,1939112.72,11613066,16336939
3ffdff7ffeffebd7fbefffd69dfa7bd,64,10,82265778.70,76363061.0,76363061,77439791.8,3064115.40,75533498,85926589
3ffdff7ffeffebd7fbefffd69dfa7bd,128,10,573501227.60,568526650.0,568526650,568733209,3022632.01,565376537,575540885
3fec6f5756b86b17faff7976bcd8036,32,10,13584754.50,13412654.5,13412654.5,13293339,377513.88,12339704,13695954
3fec6f5756b86b17faff7976bcd8036,64,10,77712228.35,76279321.0,76279321,76491676.9,1057053.33,74895396,77757488
3fec6f5756b86b17faff7976bcd8036,128,10,572632760.75,565011244.5,565011244.5,566331277.6,5438869.58,556626511,573366911
3fffff7ffeffebd7fbffdf56bdfbc3d,32,10,15032658.85,13743529.5,13743529.5,13631731.1,1244480.65,11676567,15234559
3fffff7ffeffebd7fbffdf56bdfbc3d,64,10,81205388.00,75815017.5,75815017.5,76658532.4,2598557.38,74399258,83410478
