id,stress,iter,95th,5th,median,mean,stdev,min,max
380220402ce8000400340000008000,32,10,1817049.20,1735694.0,1735694,1740006.4,60723.57,1658906,1817951
380220402ce8000400340000008000,64,10,3080563.00,3015804.5,3015804.5,3020929.8,42887.78,2962528,3091246
380220402ce8000400340000008000,128,10,9689616.20,8229121.5,8229121.5,8392233,747941.88,7769301,10304309
3ffd7f7dfafffbd7fbfd7756bdf863d,32,10,1848133.40,1734112.0,1734112,1742040.8,75461.51,1631453,1869179
3ffd7f7dfafffbd7fbfd7756bdf863d,64,10,3193799.15,3142693.5,3142693.5,3102977.5,96286.38,2910945,3203426
3ffd7f7dfafffbd7fbfd7756bdf863d,128,10,14044271.30,13349251.0,13349251,12231093.5,2123019.22,8438213,14132951
2000200024e8000400340000000000,32,10,1883635.90,1751636.0,1751636,1765024.4,73849.02,1660324,1933414
2000200024e8000400340000000000,64,10,4731446.80,3653456.5,3653456.5,3866660.1,540326.28,3342717,4960720
2000200024e8000400340000000000,128,10,15900207.55,11356676.5,11356676.5,11822076.3,2943312.56,7854043,16072585
575ff3beefdcbd61b67db07b9f2004,32,10,1758125.15,1699244.0,1699244,1707147.7,30625.57,1666229,1778336
575ff3beefdcbd61b67db07b9f2004,64,10,4362185.05,3657526.0,3657526,3674016.1,558673.85,2984005,4369840
575ff3beefdcbd61b67db07b9f2004,128,10,13475190.05,11641434.0,11641434,11962732.1,1014433.72,10879321,14065325
34400501805000040242010008a0000,32,10,1753704.35,1717027.5,1717027.5,1718201,22962.68,1684542,1767239
34400501805000040242010008a0000,64,10,3070251.35,3021344.0,3021344,3010811.1,49046.39,2935959,3084650
34400501805000040242010008a0000,128,10,7947168.75,7853269.0,7853269,7867206.4,45868.06,7814635,7959843
3fe57f79faebfbd5fbdd7756adf8635,32,10,1772493.35,1683608.5,1683608.5,1694683.6,48592.24,1633917,1774328
3fe57f79faebfbd5fbdd7756adf8635,64,10,3283241.80,3236967.0,3236967,3206502.7,82995.06,3044428,3289576
3fe57f79faebfbd5fbdd7756adf8635,128,10,8520406.60,7947827.5,7947827.5,8109543.2,307041.49,7806615,8543641
3fbdff7ffeffebd7fbfdff5ea9db39c,32,10,1869891.05,1739463.5,1739463.5,1759191.1,82223.19,1665934,1898021
3fbdff7ffeffebd7fbfdff5ea9db39c,64,10,4349473.50,3634292.5,3634292.5,3697691,513714.17,3032820,4370412
3fbdff7ffeffebd7fbfdff5ea9db39c,128,10,12723066.30,9363122.5,9363122.5,10196563.1,1787260.97,8192454,12751536
44090014004a800918020008000000,32,10,1908668.10,1744967.0,1744967,1761436.7,96313.79,1638926,1964550
44090014004a800918020008000000,64,10,3548412.65,3167471.0,3167471,3195140.7,213608.92,2959078,3663704
44090014004a800918020008000000,128,10,12276566.80,11698971.0,11698971,11609753,684142.21,10736146,12294745
3339b7657abecb43fbfdffd020e8030,32,10,1845557.95,1730551.5,1730551.5,1748151.4,57086.28,1689759,1848775
3339b7657abecb43fbfdffd020e8030,64,10,4644838.50,3721870.0,3721870,3838501.7,645905.32,3042722,4659486
3339b7657abecb43fbfdffd020e8030,128,10,12260972.70,9321683.0,9321683,10110431.4,1325351.80,9236954,12272049
3ffdff7ffeffebd7fbefffd69dfb7bd,32,10,1895765.85,1780028.0,1780028,1786902.8,72115.93,1714710,1916721
