id,stress,iter,median,mean,stdev,min,max
1b7f7fe3d966e918348946f9987040a18307ae4,16,7,1655854,2096645,755278,1577164,3332775
1b7f7fe3d966e918348946f9987040a18307ae4,32,7,3449314,3481343,90827,3348644,3594246
1b7f7fe3d966e918348946f9987040a18307ae4,64,7,10312248,10253691,589560,9633651,11111404
2105909098308080100018a21803c291160588,16,7,1630500,1596388,127784,1440669,1741531
2105909098308080100018a21803c291160588,32,7,3346901,3309232,99880,3178955,3464436
2105909098308080100018a21803c291160588,64,7,7813829,7823609,107013,7720110,7995073
1ae3555377e2a7d1ffdc3dd66e5fe3df211b3c8,16,7,7160031,7208215,111947,7124014,7414821
1ae3555377e2a7d1ffdc3dd66e5fe3df211b3c8,32,7,44632406,44967231,748164,44435973,46516376
1ae3555377e2a7d1ffdc3dd66e5fe3df211b3c8,64,7,353642125,352766269,3187332,347391837,357032474
7fb7fefffffff7edfffefff3ff8fd6db76ffec,16,7,4960496,4867504,211238,4557431,5081261
7fb7fefffffff7edfffefff3ff8fd6db76ffec,32,7,26201820,26504925,1069448,25767532,28877926
7fb7fefffffff7edfffefff3ff8fd6db76ffec,64,7,189429889,188622350,3604503,182117868,192093774
9998886b94f0186058623c12300a1fceea4403,16,7,2062035,2394786,739252,1766369,3873043
9998886b94f0186058623c12300a1fceea4403,32,7,3598130,3904462,853877,3430250,5794578
9998886b94f0186058623c12300a1fceea4403,64,7,8229998,8116169,329780,7615870,8523837
1c32000304001110100902200901004120420,16,7,1337928,1379395,88746,1309438,1525999
1c32000304001110100902200901004120420,32,7,2119040,2126467,74073,2040795,2216199
1c32000304001110100902200901004120420,64,7,4379903,4461004,294714,4198125,4980951
4080400420020000000000004000000004,16,7,1093957,1099173,54264,1033922,1175797
4080400420020000000000004000000004,32,7,1715495,1702295,71623,1627083,1815208
4080400420020000000000004000000004,64,7,3475943,3501006,112400,3381124,3709462
1fffff7ffbefffffffffdff7ffffffffffbffbf,16,7,4278473,4682427,1354624,3915976,7724219
1fffff7ffbefffffffffdff7ffffffffffbffbf,32,7,22929749,22913561,293635,22461762,23319547
1fffff7ffbefffffffffdff7ffffffffffbffbf,64,7,171922946,172714984,2373497,170409725,177142668
8ca4c352440942e43b32908204eb1980007124,16,7,1834161,1827313,40587,1768037,1882899
8ca4c352440942e43b32908204eb1980007124,32,7,3172467,3156589,73079,3054454,3244207
8ca4c352440942e43b32908204eb1980007124,64,7,8550749,9307470,1875046,8481620,13549545
4200101040008201080922040088010880050,16,7,1361320,1371892,57582,1301680,1450958
4200101040008201080922040088010880050,32,7,2171772,2177569,53689,2084469,2246776
4200101040008201080922040088010880050,64,7,4464438,4475698,93799,4316734,4611582
87e520f960e6d1a875b656e3a36f0fde89d826,16,7,4096270,4122627,65519,4052272,4232064
87e520f960e6d1a875b656e3a36f0fde89d826,32,7,22582146,22781574,532638,22279745,23766611
87e520f960e6d1a875b656e3a36f0fde89d826,64,7,183163435,182006424,3384697,177114430,184992998
1ffb7feffffffffedfffefff3ff9ffedb7effec,16,7,4742603,5846067,1531983,4518807,7820972
1ffb7feffffffffedfffefff3ff9ffedb7effec,32,7,26440955,26539449,325141,26228927,27223141
1ffb7feffffffffedfffefff3ff9ffedb7effec,64,7,183742799,185321897,3094728,182683963,191239340
1ffbfdfbe1f7fff3fdfdff3e97ffb9dfe6fffef,16,7,6350109,6410152,107103,6336617,6625973
1ffbfdfbe1f7fff3fdfdff3e97ffb9dfe6fffef,32,7,39061761,39078109,405160,38489472,39812780
1ffbfdfbe1f7fff3fdfdff3e97ffb9dfe6fffef,64,7,302319363,301164124,6930709,293317549,312426083
991001b340a5ea510c1701d41418930b473159,16,7,1852007,1841142,81088,1719784,1940906
991001b340a5ea510c1701d41418930b473159,32,7,5013318,4949869,139709,4733036,5071996
991001b340a5ea510c1701d41418930b473159,64,7,14931728,15321343,1111301,14787192,17837232
1dffffffffffefffffbffbfffffffffffffffef,16,7,2727166,2719981,64225,2619672,2802670
1dffffffffffefffffbffbfffffffffffffffef,32,7,12171712,12132674,153604,11897522,12298469
1dffffffffffefffffbffbfffffffffffffffef,64,7,90623756,91441044,1841769,89686655,94473274
1fdfff7dfffebdff7ff3ffbffe7ffbdf3f5fffe,16,7,3860750,3862120,21473,3823930,3887134
1fdfff7dfffebdff7ff3ffbffe7ffbdf3f5fffe,32,7,24184972,24317161,381196,24039834,25157706
1fdfff7dfffebdff7ff3ffbffe7ffbdf3f5fffe,64,7,184543681,183908985,2755039,180059606,187520851
802aa040151949500836a84e13058140cc71a8,16,7,1915141,1911533,61511,1824033,1989720
802aa040151949500836a84e13058140cc71a8,32,7,6465633,6468084,98607,6328330,6632849
802aa040151949500836a84e13058140cc71a8,64,7,21539572,21598710,197677,21370408,21875181
1ffffdfffffffffffffffffdffff7feef7ffffc,16,7,5172024,5225023,130944,5093936,5481084
1ffffdfffffffffffffffffdffff7feef7ffffc,32,7,31669203,31737515,382819,31385867,32561883
