"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","component_type","example","classification"
"314d97e059421b2705b021b5ee9139b1",21,46,"m.tree_has_right.3.fold.pred_inst.69",32,14922638,"gradual",-9768204,-39.6,"tree_has_right","fold","pred_inst","composite","min"
"1cca5291f4aec59530604fa9f45412bd",12,47.6,"m.main.5.inv.default.10",32,6295856,"gradual",-9129941,-59.2,"main","inv","default","composite","min"
"361a38172dd0d6f5ab20e858f51e086e",0,48.4,"m.tree_has_left.3.fold.pred_inst.61",32,61657324,"gradual",-17469491,-22.1,"tree_has_left","fold","pred_inst","composite","min"
"9855e5ed9fa2a48a6cacc3986de1a21",24,48.4,"m.main.5.inv.pred_inst.11",32,187125146,"gradual",-15360604,-7.6,"main","inv","pred_inst","composite","min"
"9855e5ed9faab48a6cacc3986de1a21",24,50,"m.tree_get_parent.3.fold.pred_inst.46",32,131065131,"gradual",-53891907,-29.1,"tree_get_parent","fold","pred_inst","composite","min"
"319697c10f09551c941b6174aeee5f6f",6,51.6,"m.main.5.inv.pred_inst.11",32,207609133,"gradual",-20678982,-9.1,"main","inv","pred_inst","composite","min"
"cbf276de7c907af6422698a22d1d9e9",25,51.6,"m.main.5.inv.default.10",32,16219020,"gradual",-8548185,-34.5,"main","inv","default","composite","min"
"1fb232c0a07678673f70bccf9e738865",9,52.4,"m.tree_has_left.3.fold.pred_inst.61",32,346055056,"gradual",-47623946,-12.1,"tree_has_left","fold","pred_inst","composite","min"
"33a23a279fb774c70a2e1ad5666b20f3",16,52.4,"m.tree_has_left.3.fold.pred_inst.61",32,159588694,"gradual",-38701310,-19.5,"tree_has_left","fold","pred_inst","composite","min"
"319697c10f09551cd51b6174aeee5f6f",6,53.2,"m.tree_has_right.3.fold.pred_inst.69",32,158589972,"gradual",-45221184,-22.2,"tree_has_right","fold","pred_inst","composite","min"
"33a23a279fb774c70a2e1af5666b20f3",16,53.2,"p.context.6.pred.acc.88",32,140860056,"gradual",-18728638,-11.7,"context","pred","acc","composite","min"
"2b81aac5cd56645f667252ee9443f1bf",28,53.2,"m.tree_has_left.3.fold.pred_inst.61",32,225564357,"gradual",-39436553,-14.9,"tree_has_left","fold","pred_inst","composite","min"
"1fb332c0a27678673f70bccf9e738865",9,54,"m.tree_add_left.1.pre.pred_inst.13",32,342787706,"gradual",-8425480,-2.4,"tree_add_left","pre","pred_inst","composite","min"
"11e151f9fc58c0bb1fe7f21a1f3e8ee0",15,54,"m.tree_get_parent.3.fold.pred_inst.42",32,157055611,"gradual",-49737966,-24.1,"tree_get_parent","fold","pred_inst","composite","min"
"c1e4f79954d8bb39b4ce1af67c40cf7",26,54,"m.main.5.inv.default.10",32,8400685,"gradual",-11853047,-58.5,"main","inv","default","composite","min"
"1ff332c0a27678673f70bccf9e738865",9,54.8,"m.fixup_ancestors.3.fold.pred_inst.7",16,28638374,"gradual",-11745319,-29.1,"fixup_ancestors","fold","pred_inst","composite","min"
"1ff332c0a27678673f70bccf9e738865",9,54.8,"m.fixup_ancestors.3.fold.pred_inst.7",32,228577350,"gradual",-114210356,-33.3,"fixup_ancestors","fold","pred_inst","composite","min"
"292e585b09b2f96fb758afff170a3993",13,55.6,"m.tree_has_left.3.fold.pred_inst.61",32,63153642,"gradual",-55431856,-46.7,"tree_has_left","fold","pred_inst","composite","min"
"2b81aac5cd566c5f767272ee9443f1bf",28,55.6,"m.tree_has_parent.3.fold.pred_inst.65",16,50154404,"gradual",-10286680,-17,"tree_has_parent","fold","pred_inst","composite","min"
"2b81aac5cd566c5f767272ee9443f1bf",28,55.6,"m.tree_has_parent.3.fold.pred_inst.65",32,290469566,"gradual",-66549915,-18.6,"tree_has_parent","fold","pred_inst","composite","min"
"33cfb49045f05ef82de746f3f383f1eb",5,57.1,"p.context.6.pred.acc.89",32,18748138,"gradual",-16228897,-46.4,"context","pred","acc","composite","min"
"15e951f9fc58c0bb9fe7f61a1f3e8ee0",15,57.1,"m.main.5.inv.default.10",16,3692744,"gradual",-16983543,-82.1,"main","inv","default","composite","min"
"15e951f9fc58c0bb9fe7f61a1f3e8ee0",15,57.1,"m.main.5.inv.default.10",32,18357694,"gradual",-139363818,-88.4,"main","inv","default","composite","min"
"37e27a279ff774c70a3e1af5666b20f3",16,57.1,"m.fixup_ancestors.3.fold.pred_inst.7",32,146516016,"gradual",-27609740,-15.9,"fixup_ancestors","fold","pred_inst","composite","min"
"327677e6e0e8d39c4cc9fff71bf940f7",14,59.5,"m.tree_has_right.1.pre.pred_inst.66",32,83890438,"gradual",-9198206,-9.9,"tree_has_right","pre","pred_inst","composite","min"
