id,stress,iter,median,mean,stdev,min,max
3ccf7af1f4bec797bc706faffefd1fbf,8,7,4021301,8033755,11482428,1964719,33947649
3ccf7af1f4bec797bc706faffefd1fbf,16,7,3328875,4148417,1237702,3073296,5844843
3ccf7af1f4bec797bc706faffefd1fbf,32,7,9062095,9058987,81725,8951332,9194366
31fbbdbeecd59de66f9f3fef796dfee7,8,7,3272118,3259992,91291,3120792,3405397
31fbbdbeecd59de66f9f3fef796dfee7,16,7,7491009,7424645,126834,7207131,7533399
31fbbdbeecd59de66f9f3fef796dfee7,32,7,19297306,19331081,170603,19141145,19642723
2833321b4201250955410d57f0a6121,8,7,2248259,2469690,573858,2127956,3758631
2833321b4201250955410d57f0a6121,16,7,5039429,5053894,98955,4930756,5198705
2833321b4201250955410d57f0a6121,32,7,14091931,14906752,1516833,13962966,17950030
3f8a9c3209951229d677b3c5534141ef,8,7,4435381,5045776,1289518,4208300,7766157
3f8a9c3209951229d677b3c5534141ef,16,7,9286263,9320890,127773,9163216,9481284
3f8a9c3209951229d677b3c5534141ef,32,7,35841674,36101210,686883,35524952,37482452
39dbbd39cbbeffe7bf975f7fbbb7e74b,8,7,1277305,1328594,151306,1210235,1654676
39dbbd39cbbeffe7bf975f7fbbb7e74b,16,7,1826855,1864990,87978,1784619,2025715
39dbbd39cbbeffe7bf975f7fbbb7e74b,32,7,3774340,3785486,59339,3712319,3888635
204000100020000000c00000004040,8,7,1191124,1165500,47508,1080437,1213608
204000100020000000c00000004040,16,7,1624421,2470308,2191686,1584733,7438893
204000100020000000c00000004040,32,7,3130882,3107291,76392,2965407,3191707
3f9ffffffffdffffbfff7ff7ffff7fff,8,7,3315111,3306087,111788,3174276,3523908
3f9ffffffffdffffbfff7ff7ffff7fff,16,7,16140834,16185780,120547,16037283,16374008
3f9ffffffffdffffbfff7ff7ffff7fff,32,7,136016990,136213391,1443761,134901630,138984327
3ffefff7ddddfebdfff7f7ffff41dbff,8,7,2559395,2554426,93218,2436550,2710569
3ffefff7ddddfebdfff7f7ffff41dbff,16,7,6059787,6126319,191489,5984784,6540169
3ffefff7ddddfebdfff7f7ffff41dbff,32,7,22173662,22203547,217944,21858531,22468560
3f7ffa55f3e9e7d79dafeef2fe7bffef,8,7,4166971,4144134,81628,4028029,4243473
3f7ffa55f3e9e7d79dafeef2fe7bffef,16,7,19129394,19181436,180510,18933396,19370598
3f7ffa55f3e9e7d79dafeef2fe7bffef,32,7,166173808,166480110,1150736,165142135,168373095
13f37dffdea06a6feb74bdde63ee3fff,8,7,21848960,21891259,208965,21684467,22177737
13f37dffdea06a6feb74bdde63ee3fff,16,7,153649734,153865594,2064641,150727792,156642918
13f37dffdea06a6feb74bdde63ee3fff,32,7,1468092736,1464256742,21948310,1427408440,1486170736
3ffefffffdfdfebdfff7f7ffff41fbff,8,7,2479463,2474389,39852,2415636,2539178
3ffefffffdfdfebdfff7f7ffff41fbff,16,7,6129442,6138576,43625,6073491,6198506
3ffefffffdfdfebdfff7f7ffff41fbff,32,7,22405633,22400870,59977,22326834,22495409
3ffffbfffefffffffff7ffffbffffefc,8,7,2879798,2898959,92033,2783473,3010683
3ffffbfffefffffffff7ffffbffffefc,16,7,10621592,10682280,100818,10589234,10829366
3ffffbfffefffffffff7ffffbffffefc,32,7,97626286,97928990,1296779,96646885,99953352
18101040950000c2000d10d05204000,8,7,1401376,1640942,644535,1344575,3099489
18101040950000c2000d10d05204000,16,7,2087312,2124261,84909,2024924,2260324
18101040950000c2000d10d05204000,32,7,4315498,4322749,32784,4279612,4373753
1c350105820020a4014050440041881,8,7,1505902,1510610,110979,1354167,1703076
1c350105820020a4014050440041881,16,7,2378487,2351613,89190,2222067,2442604
1c350105820020a4014050440041881,32,7,4910969,4900100,127780,4709374,5074653
377ffe7fbdfdffffffbbedfafdffefff,8,7,3165597,3161467,86736,3033704,3258420
377ffe7fbdfdffffffbbedfafdffefff,16,7,14034608,14059269,166441,13844046,14335968
377ffe7fbdfdffffffbbedfafdffefff,32,7,124402302,124496665,1444374,121993171,126859408
11e001d9a44080bb1603521202220640,8,7,1590457,1608487,131423,1427852,1780473
11e001d9a44080bb1603521202220640,16,7,2265945,2284024,94127,2193771,2484338
11e001d9a44080bb1603521202220640,32,7,4744743,4744439,24557,4714021,4785243
1b68680403602492840aac925a5b1124,8,7,2380412,3283198,2314182,2365586,8529653
1b68680403602492840aac925a5b1124,16,7,6509961,6519645,114178,6376648,6715085
1b68680403602492840aac925a5b1124,32,7,17966658,17968545,95530,17797858,18118304
22108742c800003e2c9c015ecc7150e5,8,7,2367857,2335181,78512,2212551,2410133
22108742c800003e2c9c015ecc7150e5,16,7,4194536,4203105,100665,4066891,4341598
22108742c800003e2c9c015ecc7150e5,32,7,10908226,10926795,119720,10744814,11062572
3ffffbffdfffffefbf7ffffff7fffbff,8,7,1589078,1609685,77006,1526938,1733450
3ffffbffdfffffefbf7ffffff7fffbff,16,7,2958903,2984794,64087,2923729,3070629
3ffffbffdfffffefbf7ffffff7fffbff,32,7,9333260,10192475,2319153,9234614,15450303
1c040101020020a0010050440040800,8,7,1176993,1193550,57321,1120087,1276758
1c040101020020a0010050440040800,16,7,1813943,1842187,95531,1729569,2030256
1c040101020020a0010050440040800,32,7,3397686,3459102,146537,3339292,3761142
211dcc5a64856a179e084c41e95b8cdd,8,7,1933563,1943686,55704,1888053,2054390
211dcc5a64856a179e084c41e95b8cdd,16,7,3473089,3466440,43666,3410111,3541509
211dcc5a64856a179e084c41e95b8cdd,32,7,9479246,9514645,107288,9353792,9682308
20080000010000000000000002000810,8,7,1064856,1292609,626026,993856,2704707
20080000010000000000000002000810,16,7,1452425,1461393,32806,1430373,1519305
20080000010000000000000002000810,32,7,2831567,2850388,62480,2777047,2965264
3fffffbfffffff9ffffdffdfffffff7f,8,7,2766289,2800256,72666,2717092,2906247
3fffffbfffffff9ffffdffdfffffff7f,16,7,12192563,12239835,156161,12039328,12495564
3fffffbfffffff9ffffdffdfffffff7f,32,7,105663988,105688900,1584319,103592611,108559888
37e67bb79fff74d70a7e3af7676b30fb,8,7,11727802,11745329,106762,11606038,11913408
37e67bb79fff74d70a7e3af7676b30fb,16,7,50898028,50807869,551701,50043249,51416735
37e67bb79fff74d70a7e3af7676b30fb,32,7,284090703,284066517,3222390,279805194,288284606
2f8a0c2209951229d66782c54341416a,8,7,3185725,3143033,89964,2987921,3217541
2f8a0c2209951229d66782c54341416a,16,7,6545438,6579065,106161,6446874,6708545
2f8a0c2209951229d66782c54341416a,32,7,25626632,25716917,178445,25529099,26018529
3ebf3feffffdbffffe7ffbbbe3dfdbf9,8,7,3917640,3908769,53813,3824522,3970138
3ebf3feffffdbffffe7ffbbbe3dfdbf9,16,7,15876835,15915187,141057,15762229,16126223
3ebf3feffffdbffffe7ffbbbe3dfdbf9,32,7,105109492,105320183,1522119,103827406,107779536
3f9ff3f1bf7c975ebfff5fd7ff3b7f7f,8,7,6315772,6301940,83856,6198987,6438265
3f9ff3f1bf7c975ebfff5fd7ff3b7f7f,16,7,24557819,24484509,202527,24153130,24722107
3f9ff3f1bf7c975ebfff5fd7ff3b7f7f,32,7,270545222,269934015,2852806,265165928,273987355
2cbf3fefffdd3fef7e2afbab63dddbf9,8,7,3528893,3536743,48823,3474133,3595010
2cbf3fefffdd3fef7e2afbab63dddbf9,16,7,9380667,9372575,38256,9311310,9423644
2cbf3fefffdd3fef7e2afbab63dddbf9,32,7,27872931,27838543,114860,27691671,27976473
3ff6f7e6afeefdf7baffffdeff7f7fef,8,7,6196753,6216068,78776,6095121,6339739
3ff6f7e6afeefdf7baffffdeff7f7fef,16,7,28984049,28995683,367889,28454851,29517656
3ff6f7e6afeefdf7baffffdeff7f7fef,32,7,243117921,243194377,3030286,239238744,247190098
39dbbd3bcbfeffe7ff975f7fbbb7e74b,8,7,1218572,1219164,32025,1185334,1277678
39dbbd3bcbfeffe7ff975f7fbbb7e74b,16,7,1753743,1756091,27733,1724228,1793338
39dbbd3bcbfeffe7ff975f7fbbb7e74b,32,7,3598806,3625853,111396,3470080,3811328
112008210002000000200000000000,8,7,1076955,1082479,57569,1019832,1191194
