id,stress,iter,median,mean,stdev,min,max
3ccf7af1f4bec797bc706faffefd1fbf,8,7,1021492,1031281,59152,963312,1119172
3ccf7af1f4bec797bc706faffefd1fbf,16,7,1451201,1450957,28608,1401268,1487132
3ccf7af1f4bec797bc706faffefd1fbf,32,7,2838116,2850151,57116,2774529,2931221
31fbbdbeecd59de66f9f3fef796dfee7,8,7,990167,995426,30400,958517,1042436
31fbbdbeecd59de66f9f3fef796dfee7,16,7,1401560,1420176,34987,1381079,1469555
31fbbdbeecd59de66f9f3fef796dfee7,32,7,2769803,2785127,56666,2707314,2866340
2833321b4201250955410d57f0a6121,8,7,1001121,1008903,51364,960988,1107970
2833321b4201250955410d57f0a6121,16,7,1428982,1430184,19791,1403752,1467267
2833321b4201250955410d57f0a6121,32,7,2761370,2782207,69302,2701671,2896054
3f8a9c3209951229d677b3c5534141ef,8,7,983244,993683,56446,939485,1107150
3f8a9c3209951229d677b3c5534141ef,16,7,1387508,1395809,21444,1369044,1431219
3f8a9c3209951229d677b3c5534141ef,32,7,2780129,2772167,39496,2722761,2838234
39dbbd39cbbeffe7bf975f7fbbb7e74b,8,7,1005781,1000503,50999,949904,1098337
39dbbd39cbbeffe7bf975f7fbbb7e74b,16,7,1391587,1402087,28803,1373475,1444987
39dbbd39cbbeffe7bf975f7fbbb7e74b,32,7,2763515,2772025,41700,2713412,2835079
204000100020000000c00000004040,8,7,992817,1019356,60917,966064,1141198
204000100020000000c00000004040,16,7,1432620,1432883,24077,1401426,1462957
204000100020000000c00000004040,32,7,2755011,2754850,37920,2705697,2815676
3f9ffffffffdffffbfff7ff7ffff7fff,8,7,989981,1005081,56935,933296,1093589
3f9ffffffffdffffbfff7ff7ffff7fff,16,7,1371032,1371856,8842,1358632,1384636
3f9ffffffffdffffbfff7ff7ffff7fff,32,7,2738501,2763532,63167,2681175,2856386
3ffefff7ddddfebdfff7f7ffff41dbff,8,7,1004304,1022345,55610,966862,1140671
3ffefff7ddddfebdfff7f7ffff41dbff,16,7,1403477,1405903,28442,1370179,1448318
3ffefff7ddddfebdfff7f7ffff41dbff,32,7,2756509,2763667,40783,2720046,2836786
3f7ffa55f3e9e7d79dafeef2fe7bffef,8,7,992812,1010919,81670,940090,1186707
3f7ffa55f3e9e7d79dafeef2fe7bffef,16,7,1392172,1404805,44526,1364607,1500171
3f7ffa55f3e9e7d79dafeef2fe7bffef,32,7,2762359,2759443,33026,2699018,2797351
13f37dffdea06a6feb74bdde63ee3fff,8,7,1027244,1293159,720669,961981,2923859
13f37dffdea06a6feb74bdde63ee3fff,16,7,1425578,1421056,37259,1361628,1464282
13f37dffdea06a6feb74bdde63ee3fff,32,7,2735879,2744359,27740,2721776,2805598
3ffefffffdfdfebdfff7f7ffff41fbff,8,7,1019949,1021731,49268,969069,1112476
3ffefffffdfdfebdfff7f7ffff41fbff,16,7,1433399,1436114,37190,1387806,1492821
3ffefffffdfdfebdfff7f7ffff41fbff,32,7,2795802,2815409,82652,2732379,2989450
3ffffbfffefffffffff7ffffbffffefc,8,7,998477,1013898,56386,964404,1131668
3ffffbfffefffffffff7ffffbffffefc,16,7,1394467,1396663,29855,1358195,1445070
3ffffbfffefffffffff7ffffbffffefc,32,7,2756778,2777668,58207,2723688,2862633
18101040950000c2000d10d05204000,8,7,990378,1007723,41310,961047,1054013
18101040950000c2000d10d05204000,16,7,1379312,1376235,18034,1354368,1403266
18101040950000c2000d10d05204000,32,7,2716408,2716151,30534,2683489,2763927
1c350105820020a4014050440041881,8,7,1010819,1025377,46349,981366,1107776
1c350105820020a4014050440041881,16,7,1435214,1439115,62434,1366632,1557294
1c350105820020a4014050440041881,32,7,2765290,2759014,19122,2729115,2778654
377ffe7fbdfdffffffbbedfafdffefff,8,7,1020129,1032899,43547,983906,1091352
377ffe7fbdfdffffffbbedfafdffefff,16,7,1431140,1440978,44541,1381029,1515557
377ffe7fbdfdffffffbbedfafdffefff,32,7,2818626,2822098,48751,2765938,2890473
11e001d9a44080bb1603521202220640,8,7,1021399,1013833,50743,950969,1101989
11e001d9a44080bb1603521202220640,16,7,1407884,1414724,26485,1379503,1454955
11e001d9a44080bb1603521202220640,32,7,2771186,2830946,196728,2671497,3265338
1b68680403602492840aac925a5b1124,8,7,1076329,1060298,55188,980233,1135025
1b68680403602492840aac925a5b1124,16,7,1498837,2510948,2631479,1486528,8477715
1b68680403602492840aac925a5b1124,32,7,2815514,2818289,49027,2759059,2911547
22108742c800003e2c9c015ecc7150e5,8,7,1041660,1037608,60811,967036,1143762
22108742c800003e2c9c015ecc7150e5,16,7,1430455,1432674,19430,1403105,1463239
22108742c800003e2c9c015ecc7150e5,32,7,2777629,2790813,56525,2731753,2894906
