id,stress,iter,median,mean,stdev,min,max
7dffdf7fffff7fd3d76f,32,7,3190193,2934986,888218,1997289,4253251
7dffdf7fffff7fd3d76f,64,7,3980880,5256677,2101457,3676997,9435045
7dffdf7fffff7fd3d76f,128,7,9429828,9407550,97501,9268337,9504091
1bbae818ef291fff7f16,32,7,1662018,1686460,106419,1571062,1889544
1bbae818ef291fff7f16,64,7,3224727,3294320,219521,3061569,3695986
1bbae818ef291fff7f16,128,7,8345009,8335938,49516,8271833,8401830
44d4021322400c400302,32,7,1518441,2072110,1479848,1469796,5427154
44d4021322400c400302,64,7,2901506,4317518,3746754,2856921,12814079
44d4021322400c400302,128,7,7920114,7891178,67188,7810069,7963821
73f6c7e5badbf77effdc,32,7,1528580,1713691,492641,1445926,2825578
73f6c7e5badbf77effdc,64,7,2945980,2944247,34177,2882167,2981483
73f6c7e5badbf77effdc,128,7,8154091,8146055,75973,8028399,8242886
7ffffdf7fbffeffbffff,32,7,1624914,3060595,3812466,1559423,11705911
7ffffdf7fbffeffbffff,64,7,3037669,3052638,68463,2979870,3183836
7ffffdf7fbffeffbffff,128,7,8818935,8843105,81651,8774732,8984293
100ca402402804041194,32,7,1708205,1729997,78842,1640657,1870474
100ca402402804041194,64,7,3094624,3114186,69769,3018196,3215292
100ca402402804041194,128,7,8018906,8003041,59900,7899707,8064986
49ff7fdbfafa9fdffdde,32,7,12091749,12237878,262693,11990001,12715500
49ff7fdbfafa9fdffdde,64,7,78613466,78672875,541410,78097910,79420653
49ff7fdbfafa9fdffdde,128,7,603193876,605488514,12598480,588950473,620981356
159db2a5203265317dbb,32,7,6452796,6449528,44351,6370690,6517129
159db2a5203265317dbb,64,7,40350046,40187782,402228,39437537,40559001
159db2a5203265317dbb,128,7,294791343,294968811,3460116,289675603,299869792
72627218002053108000,32,7,1472377,1509289,129530,1377232,1762433
72627218002053108000,64,7,2873866,2907328,87663,2812787,3030655
72627218002053108000,128,7,7850756,7856712,96988,7721526,7960635
18223d0087bc97b75825,32,7,1624931,1659814,72432,1582676,1753282
18223d0087bc97b75825,64,7,3096434,3087780,46725,3040643,3146198
18223d0087bc97b75825,128,7,8306101,8295541,96231,8158793,8417316
5f6fad6de09f7b7ff97f,32,7,1796886,1778179,93247,1598366,1887890
5f6fad6de09f7b7ff97f,64,7,3358700,3367631,63096,3260582,3442476
5f6fad6de09f7b7ff97f,128,7,9023321,9016001,119011,8850103,9179676
615a49f4911485e81bf1,32,7,1496179,1489726,66683,1394886,1579452
615a49f4911485e81bf1,64,7,2823249,2841225,64282,2744406,2948876
615a49f4911485e81bf1,128,7,7761180,7775774,79356,7661501,7887310
726afa1cdb675b59c58a,32,7,1599092,1605483,56428,1514377,1697952
726afa1cdb675b59c58a,64,7,3165650,3199212,109525,3083159,3409432
726afa1cdb675b59c58a,128,7,8648876,8629246,83469,8483845,8747716
20100000800005a040,32,7,1609207,1588442,80661,1464450,1705010
20100000800005a040,64,7,2995968,2970840,121405,2770206,3118560
20100000800005a040,128,7,8075459,9395844,3480118,7984726,17286875
2629b06c77c223ef1770,32,7,1638729,1635942,65981,1533640,1708158
2629b06c77c223ef1770,64,7,2982457,3004546,41814,2958486,3069269
2629b06c77c223ef1770,128,7,8297677,8214099,236244,7911066,8494038
251be474a1f05968330f,32,7,1542216,1545079,45516,1461444,1596761
251be474a1f05968330f,64,7,2947164,2962680,67181,2885809,3047091
251be474a1f05968330f,128,7,7863682,7911438,106778,7807250,8112643
7fe474ff7d1b77530bf3,32,7,1793953,1785035,60503,1694754,1857684
7fe474ff7d1b77530bf3,64,7,3309711,3278160,161784,3099432,3566482
7fe474ff7d1b77530bf3,128,7,8504353,8521624,133279,8379643,8696338
45ad3593a2cd0dbccf62,32,7,1554125,1605915,84671,1525205,1753217
45ad3593a2cd0dbccf62,64,7,3061701,3068462,121482,2877480,3270194
45ad3593a2cd0dbccf62,128,7,8109448,8373122,634477,7937327,9781928
3312e43480cb1f52acbd,32,7,1622574,1641204,86176,1550578,1782358
3312e43480cb1f52acbd,64,7,3041511,3052899,44200,2991930,3114502
3312e43480cb1f52acbd,128,7,8456115,8456588,62806,8359002,8561038
7f5bfff5ebf5f96db7ef,32,7,1562616,1580245,64010,1494048,1678850
7f5bfff5ebf5f96db7ef,64,7,3251571,3272087,58947,3207037,3366787
7f5bfff5ebf5f96db7ef,128,7,9371564,9432775,120867,9356327,9695396
69f3b9eb7f6cdf7f155f,32,7,1564741,1585175,96293,1478263,1748767
69f3b9eb7f6cdf7f155f,64,7,3055998,3039619,78294,2945668,3162976
69f3b9eb7f6cdf7f155f,128,7,7994150,8114132,284585,7817685,8506782
7b7ffe65affdff6ee7fb,32,7,7157415,7164059,124193,7007705,7335672
7b7ffe65affdff6ee7fb,64,7,42525888,42545010,319651,42236221,43195738
7b7ffe65affdff6ee7fb,128,7,309262647,307605406,4207749,301202725,312146191
49448d0580800b35f97e,32,7,1400188,3146018,4509441,1372065,13370085
49448d0580800b35f97e,64,7,2789929,2782000,37488,2704610,2827166
49448d0580800b35f97e,128,7,7733805,7747056,52861,7678301,7816338
102040002000402000,32,7,1490865,1498757,48372,1445713,1598445
102040002000402000,64,7,2869166,2874018,26572,2853633,2930764
102040002000402000,128,7,7909272,7889977,57529,7807586,7951876
4080000088a6800000,32,7,1482723,1507240,46336,1468463,1586591
4080000088a6800000,64,7,3001081,3980480,2554035,2968582,9771535
4080000088a6800000,128,7,8056851,8047881,118768,7859446,8207871
400000402000400,32,7,1393759,1381933,34949,1344190,1439927
400000402000400,64,7,2790053,2806590,54057,2736605,2888968
400000402000400,128,7,7743297,7734706,39562,7681782,7787998
2629a06c77c222ed0660,32,7,1551855,1549869,76460,1436130,1683529
2629a06c77c222ed0660,64,7,2883039,2870137,39863,2790983,2905453
2629a06c77c222ed0660,128,7,7857684,7859551,59700,7739140,7915490
7ffeffffffffffffffff,32,7,1592275,1607674,82863,1506772,1717153
7ffeffffffffffffffff,64,7,3102748,3113809,92700,2989972,3248009
7ffeffffffffffffffff,128,7,8562155,8601872,95607,8526904,8797290
22223208000003008000,32,7,1501498,1522758,47277,1461062,1587556
22223208000003008000,64,7,2962768,2960654,47856,2889012,3011140
22223208000003008000,128,7,7975725,7974782,62264,7859029,8046523
238283900606821f281,32,7,1532139,1754217,654513,1391301,3223469
238283900606821f281,64,7,2747739,2742156,30228,2697445,2781828
238283900606821f281,128,7,7800223,7802935,53447,7736461,7875866
4bff7ffbfbfedfdfffde,32,7,1927223,2221150,821659,1794600,4069672
4bff7ffbfbfedfdfffde,64,7,3410088,3398195,80986,3279842,3523141
4bff7ffbfbfedfdfffde,128,7,8679392,8664059,68465,8555938,8752883
43a05ff79cd9784ccec4,32,7,1529777,1539772,38900,1495702,1609198
43a05ff79cd9784ccec4,64,7,2905758,2899860,44749,2816312,2944261
43a05ff79cd9784ccec4,128,7,7993291,8069631,194982,7913691,8481199
726bf065afd9f76003db,32,7,6905818,6920304,61630,6834323,7001777
726bf065afd9f76003db,64,7,41572713,41899941,794594,41384257,43645122
726bf065afd9f76003db,128,7,309229002,309364381,2884099,304602724,312239593
8000000008000200040,32,7,1455843,1451549,62724,1381228,1562605
8000000008000200040,64,7,2843187,2853185,47552,2792731,2941802
8000000008000200040,128,7,7680443,7679008,37201,7623292,7722414
7dffffffffffffdfffef,32,7,2340681,2321585,81143,2192669,2436219
7dffffffffffffdfffef,64,7,4041843,4003688,78381,3870351,4090656
7dffffffffffffdfffef,128,7,9835466,9835218,138298,9693035,10064617
3fbae7f593dbfff2aebd,32,7,1570116,1579716,76028,1477243,1673812
3fbae7f593dbfff2aebd,64,7,3068575,3082139,70680,2971005,3153103
