id,stress,iter,median,mean,stdev,min,max
7dffdf7fffff7fd3d76f,32,7,11745544,11722029,162332,11502297,12004941
7dffdf7fffff7fd3d76f,64,7,77004545,76959414,561296,76272659,77692546
7dffdf7fffff7fd3d76f,128,7,585008193,583381720,5714229,573306119,590439788
1bbae818ef291fff7f16,32,7,6691591,6722791,108254,6621727,6918856
1bbae818ef291fff7f16,64,7,41366012,41286283,391253,40857183,41793589
1bbae818ef291fff7f16,128,7,297390975,298321244,3135037,294814915,302530932
44d4021322400c400302,32,7,1478108,1497987,83849,1383767,1612446
44d4021322400c400302,64,7,2805610,2768582,87674,2646517,2857025
44d4021322400c400302,128,7,7743237,7707331,101548,7497209,7792364
73f6c7e5badbf77effdc,32,7,11624393,11596215,100128,11444868,11752603
73f6c7e5badbf77effdc,64,7,76599542,76783088,1046547,75692788,78437965
73f6c7e5badbf77effdc,128,7,576710978,579214119,7681398,571478586,594943556
7ffffdf7fbffeffbffff,32,7,11596525,11626504,100515,11510532,11746524
7ffffdf7fbffeffbffff,64,7,77747391,78050950,979297,76837781,79355021
7ffffdf7fbffeffbffff,128,7,578213365,578925483,6030435,571673828,589870914
100ca402402804041194,32,7,6705942,6716771,107272,6594083,6898664
100ca402402804041194,64,7,40818924,40911507,347971,40386795,41413191
100ca402402804041194,128,7,293478271,295098902,2990711,291405911,298932894
49ff7fdbfafa9fdffdde,32,7,11639424,11656898,142918,11520277,11859462
49ff7fdbfafa9fdffdde,64,7,76388615,76860162,1195876,75601964,78835449
49ff7fdbfafa9fdffdde,128,7,576082903,578542594,7540139,572127231,594626984
159db2a5203265317dbb,32,7,6337469,6344222,128763,6202330,6602167
159db2a5203265317dbb,64,7,38885419,38856697,265143,38404723,39219268
159db2a5203265317dbb,128,7,289208436,289264311,2732650,286170476,293391493
72627218002053108000,32,7,1427319,1484017,118419,1379406,1709268
72627218002053108000,64,7,2813717,2790585,89751,2652377,2879795
72627218002053108000,128,7,7789006,7768243,73499,7617807,7843045
18223d0087bc97b75825,32,7,11615282,11667983,134469,11537078,11943056
18223d0087bc97b75825,64,7,78403759,77861113,1018818,75755122,78497867
18223d0087bc97b75825,128,7,580439889,583099064,6346180,576849358,595911687
5f6fad6de09f7b7ff97f,32,7,11510061,11481978,115574,11297001,11601987
5f6fad6de09f7b7ff97f,64,7,76439169,76498435,404753,75981409,77087404
5f6fad6de09f7b7ff97f,128,7,580565881,583774806,8387173,576971950,600252355
615a49f4911485e81bf1,32,7,6205189,6208048,52780,6141019,6307089
615a49f4911485e81bf1,64,7,39247907,39295226,266553,38955560,39777613
615a49f4911485e81bf1,128,7,291554749,292174486,1865493,290097652,295645884
726afa1cdb675b59c58a,32,7,1446523,1458432,108681,1354234,1683561
726afa1cdb675b59c58a,64,7,2749133,2749211,56685,2694788,2845209
726afa1cdb675b59c58a,128,7,7600226,7592349,55143,7482495,7656601
20100000800005a040,32,7,1386158,1393724,39992,1348197,1449727
20100000800005a040,64,7,2698857,2700389,63478,2629758,2827314
20100000800005a040,128,7,7613289,7627699,92724,7487921,7780833
2629b06c77c223ef1770,32,7,1358467,1380700,52735,1339354,1478541
2629b06c77c223ef1770,64,7,2697828,2704003,41736,2651723,2760307
2629b06c77c223ef1770,128,7,7606638,7615381,49449,7542470,7704406
251be474a1f05968330f,32,7,6265951,6298546,77797,6217711,6399602
251be474a1f05968330f,64,7,39133282,39322726,404002,39019932,40147765
251be474a1f05968330f,128,7,294377164,294002979,2842174,290265055,297748485
7fe474ff7d1b77530bf3,32,7,11701996,11718160,97709,11592170,11841764
7fe474ff7d1b77530bf3,64,7,76695204,76904938,541187,76291560,77860568
7fe474ff7d1b77530bf3,128,7,578587642,579636461,6558501,573690090,592951485
45ad3593a2cd0dbccf62,32,7,6705831,6756629,120546,6640838,6970800
45ad3593a2cd0dbccf62,64,7,40547228,40475837,306541,39993410,40883137
45ad3593a2cd0dbccf62,128,7,297744468,297046223,1966844,294250918,299043204
3312e43480cb1f52acbd,32,7,6815566,6836153,50912,6782337,6918220
3312e43480cb1f52acbd,64,7,40599624,40528809,186399,40175799,40739427
3312e43480cb1f52acbd,128,7,299305200,298408885,2846499,294223184,301447198
7f5bfff5ebf5f96db7ef,32,7,6256441,6303085,110802,6209253,6514117
7f5bfff5ebf5f96db7ef,64,7,39234507,39415076,370768,39209690,40222610
7f5bfff5ebf5f96db7ef,128,7,289760882,291400547,2996692,288574736,296044358
69f3b9eb7f6cdf7f155f,32,7,6835721,6800698,84595,6641053,6878355
69f3b9eb7f6cdf7f155f,64,7,41610402,41500841,575239,40740344,42400473
69f3b9eb7f6cdf7f155f,128,7,298655678,298956507,2950313,294428691,303843523
7b7ffe65affdff6ee7fb,32,7,11611435,11649179,89142,11541101,11772029
7b7ffe65affdff6ee7fb,64,7,77634643,77652773,803468,76624900,79012882
7b7ffe65affdff6ee7fb,128,7,581652082,582949015,6288173,575854834,594183684
49448d0580800b35f97e,32,7,1391598,1393223,59209,1322252,1495039
49448d0580800b35f97e,64,7,2733669,2732461,74826,2619953,2868252
49448d0580800b35f97e,128,7,7689197,7697563,57850,7625383,7770834
102040002000402000,32,7,1362967,1376400,59648,1318546,1491859
102040002000402000,64,7,2676959,2679380,22814,2643647,2708849
102040002000402000,128,7,7656602,7649819,75498,7530847,7733461
4080000088a6800000,32,7,6694334,6743061,96261,6656165,6905417
4080000088a6800000,64,7,40702874,40817503,504022,40424261,41887523
4080000088a6800000,128,7,295112441,295564754,2490815,292795004,298704941
400000402000400,32,7,1433503,1443106,78297,1354626,1585393
400000402000400,64,7,2781838,2775897,53034,2662960,2818428
400000402000400,128,7,7613475,7650846,79572,7574836,7810747
2629a06c77c222ed0660,32,7,1383904,1393654,49488,1328005,1448066
2629a06c77c222ed0660,64,7,2718402,2708597,30067,2653979,2744175
2629a06c77c222ed0660,128,7,7677820,7651017,66548,7579263,7735462
7ffeffffffffffffffff,32,7,11636084,11668309,93890,11559567,11792169
7ffeffffffffffffffff,64,7,77276537,77193758,710932,75997704,77965025
7ffeffffffffffffffff,128,7,578450159,580187235,4663216,575508381,588430005
22223208000003008000,32,7,1386439,1437479,129795,1314223,1703458
22223208000003008000,64,7,2723537,2717268,53768,2647673,2790441
22223208000003008000,128,7,7624529,7630034,38768,7577016,7693977
238283900606821f281,32,7,1353414,1360399,48157,1323221,1461688
238283900606821f281,64,7,2662322,2669035,28000,2634662,2718690
238283900606821f281,128,7,7576749,7611146,60696,7557113,7706440
4bff7ffbfbfedfdfffde,32,7,11647921,11626960,81997,11537453,11720888
4bff7ffbfbfedfdfffde,64,7,77981893,78134630,1116589,76669574,80328264
4bff7ffbfbfedfdfffde,128,7,584168198,584658039,5685612,576882256,595216892
43a05ff79cd9784ccec4,32,7,11352171,11401303,130168,11270359,11649298
43a05ff79cd9784ccec4,64,7,76035449,76682052,1186711,75849247,79179927
43a05ff79cd9784ccec4,128,7,580990002,580089928,4358266,573674440,585956507
726bf065afd9f76003db,32,7,11580909,11645749,137141,11495139,11846760
726bf065afd9f76003db,64,7,77069262,77078076,1185566,75817640,78653332
726bf065afd9f76003db,128,7,579615514,580514694,3259620,576384923,584463051
8000000008000200040,32,7,1376768,1409191,100268,1329729,1617061
8000000008000200040,64,7,2738423,2742926,99354,2628447,2940422
8000000008000200040,128,7,7650449,7627897,59410,7556791,7693890
7dffffffffffffdfffef,32,7,11535168,11577433,93163,11489964,11716231
7dffffffffffffdfffef,64,7,77282798,77190545,805441,76223134,78413604
7dffffffffffffdfffef,128,7,579551334,580286468,5539448,574414597,591156419
3fbae7f593dbfff2aebd,32,7,11621004,11630825,95559,11516311,11790511
3fbae7f593dbfff2aebd,64,7,77192378,77272880,611203,76516236,78261615
3fbae7f593dbfff2aebd,128,7,586385186,585845764,4305977,577055956,591199736
900080000044,32,7,1370859,1440214,163880,1314352,1751845
900080000044,64,7,2696502,2687966,22034,2651746,2715310
900080000044,128,7,7613194,7628929,67759,7551654,7757132
8821411a80a10188818,32,7,6760079,6749371,74722,6610515,6839165
8821411a80a10188818,64,7,40788073,40891231,460205,40379581,41573036
8821411a80a10188818,128,7,298756065,299181657,4406714,292401246,305069332
146eb40640a94495d1fc,32,7,6742708,6774147,76430,6702211,6910236
146eb40640a94495d1fc,64,7,40668968,40507877,286065,39991684,40753183
146eb40640a94495d1fc,128,7,298822623,298394323,1617625,295885875,300682565
2030a0da0528034e2000,32,7,6714230,6709324,39890,6630849,6750239
2030a0da0528034e2000,64,7,41163190,41291572,328841,40943193,41914111
2030a0da0528034e2000,128,7,296632877,296550214,1715439,294391448,299052752
7fbffeffbbffffffffff,32,7,11728069,11703401,44833,11650604,11747595
7fbffeffbbffffffffff,64,7,76821990,77190237,974256,76115742,78732846
7fbffeffbbffffffffff,128,7,579004326,578727677,2647978,575623971,582123678
6863a9e35f64df7b155e,32,7,1411389,1422902,102097,1305998,1585527
6863a9e35f64df7b155e,64,7,2749360,2769614,56978,2703826,2870174
6863a9e35f64df7b155e,128,7,7624639,7648851,104403,7511001,7830962
7ffffff9ffffa77ffffb,32,7,11663976,11678660,92557,11578483,11858801
7ffffff9ffffa77ffffb,64,7,76890525,77094933,542386,76551442,77942794
7ffffff9ffffa77ffffb,128,7,580817250,583734117,7941324,577560228,600427086
119c9084202261202da3,32,7,1460883,1477894,66949,1401122,1603532
119c9084202261202da3,64,7,2769491,2786111,80749,2682796,2929649
119c9084202261202da3,128,7,7683786,7645697,122639,7498834,7828004
7fffdf5febdfffffffdf,32,7,11566604,11584932,55683,11526833,11691754
7fffdf5febdfffffffdf,64,7,76919620,77080415,641085,76488234,77942142
7fffdf5febdfffffffdf,128,7,581667949,582471726,7282073,573292923,591995068
53e28785b083b33cae4c,32,7,1342817,1354169,61032,1303037,1479407
53e28785b083b33cae4c,64,7,2661326,2660342,30845,2620422,2698253
53e28785b083b33cae4c,128,7,7619657,7638719,46651,7588240,7699665
3d1be5f4a1f47968334f,32,7,6349258,6325150,87088,6189468,6446197
3d1be5f4a1f47968334f,64,7,39146958,39044621,319072,38511034,39439262
3d1be5f4a1f47968334f,128,7,291857102,292305445,2690621,289104317,296805815
8000000,32,7,1454567,1469299,100325,1349790,1664117
8000000,64,7,2765140,2752204,66241,2653774,2836063
8000000,128,7,7652868,7653149,71854,7563955,7764138
715a69f4911485e81ff1,32,7,6283326,6274210,42716,6223969,6326896
715a69f4911485e81ff1,64,7,39430966,39383634,246224,39087527,39709625
715a69f4911485e81ff1,128,7,294891184,293394568,4532574,288246449,299132131
7cfd37141dfaaefafa35,32,7,11642047,11662591,73649,11550997,11754992
7cfd37141dfaaefafa35,64,7,77047678,77093021,948872,75794988,78874156
7cfd37141dfaaefafa35,128,7,583898493,582654318,3121738,577279944,585931627
10200800100000,32,7,6692774,6700689,74023,6585281,6829603
10200800100000,64,7,40999984,41001199,325119,40544549,41605205
10200800100000,128,7,295592386,296806571,2598082,294505595,301048052
7ff475ffff3b7ff3fff3,32,7,11582144,11595099,103569,11437109,11752858
7ff475ffff3b7ff3fff3,64,7,78068380,78130366,614631,77008904,78867013
7ff475ffff3b7ff3fff3,128,7,579389429,580162466,4436383,574849025,589208325
68f3b9eb7f6cdf7f155f,32,7,6802330,6772805,89394,6631388,6864529
68f3b9eb7f6cdf7f155f,64,7,41190735,41163788,235187,40770463,41524658
68f3b9eb7f6cdf7f155f,128,7,299599395,298276841,2900140,293298631,300923424
