id,stress,iter,median,mean,stdev,min,max
7dffdf7fffff7fd3d76f,32,7,1395404,1396682,47359,1338746,1483528
7dffdf7fffff7fd3d76f,64,7,2695145,2691450,38460,2633942,2747056
7dffdf7fffff7fd3d76f,128,7,7614989,7600711,69599,7520261,7687424
1bbae818ef291fff7f16,32,7,1418478,1450221,122500,1328414,1667453
1bbae818ef291fff7f16,64,7,2738984,2711217,87534,2599521,2841316
1bbae818ef291fff7f16,128,7,7732917,7716462,122986,7563115,7894962
44d4021322400c400302,32,7,1351943,1360164,48044,1301900,1447025
44d4021322400c400302,64,7,2678882,2680584,46032,2640446,2773637
44d4021322400c400302,128,7,7636856,7631404,63756,7558426,7742423
73f6c7e5badbf77effdc,32,7,1398016,1398181,40447,1337620,1465202
73f6c7e5badbf77effdc,64,7,2718187,2729857,31650,2688021,2775203
73f6c7e5badbf77effdc,128,7,7564128,7597651,73415,7534987,7721691
7ffffdf7fbffeffbffff,32,7,1376810,1386979,45318,1343964,1471848
7ffffdf7fbffeffbffff,64,7,2694526,2682557,28069,2639076,2715142
7ffffdf7fbffeffbffff,128,7,7677751,7646239,80296,7537547,7731121
100ca402402804041194,32,7,1374079,1400460,73733,1338505,1544725
100ca402402804041194,64,7,2701759,2717414,43786,2664205,2802542
100ca402402804041194,128,7,7616416,7592224,77720,7462816,7688258
49ff7fdbfafa9fdffdde,32,7,1341285,1351673,36103,1319846,1430711
49ff7fdbfafa9fdffdde,64,7,2709440,2715089,42853,2667938,2790143
49ff7fdbfafa9fdffdde,128,7,7626212,7669699,142833,7505849,7958844
159db2a5203265317dbb,32,7,1418178,1406503,34314,1346393,1450860
159db2a5203265317dbb,64,7,2692804,2703567,54071,2647380,2775929
159db2a5203265317dbb,128,7,7659654,7637570,55139,7523102,7677837
72627218002053108000,32,7,1417991,1414731,38266,1368208,1486019
72627218002053108000,64,7,2739120,2726540,54802,2655437,2803787
72627218002053108000,128,7,7737849,7727224,50062,7662144,7805172
18223d0087bc97b75825,32,7,1385261,1387798,45291,1343290,1482947
18223d0087bc97b75825,64,7,2711209,2699720,35723,2645433,2736583
18223d0087bc97b75825,128,7,7639799,7647489,61385,7562539,7758097
5f6fad6de09f7b7ff97f,32,7,1353202,1365535,58050,1316611,1479352
5f6fad6de09f7b7ff97f,64,7,2647599,2644498,19364,2622648,2676090
5f6fad6de09f7b7ff97f,128,7,7575620,7588016,63327,7495292,7684445
615a49f4911485e81bf1,32,7,1383092,1382912,52405,1313823,1460273
615a49f4911485e81bf1,64,7,2730060,2719850,35928,2657576,2766091
615a49f4911485e81bf1,128,7,7572215,7583644,55319,7527443,7699927
726afa1cdb675b59c58a,32,7,1386316,1392700,61822,1324296,1518439
726afa1cdb675b59c58a,64,7,2669685,2663290,19694,2631835,2683995
726afa1cdb675b59c58a,128,7,7563600,7551787,34049,7501824,7600258
20100000800005a040,32,7,1376943,1380299,45728,1327243,1439985
20100000800005a040,64,7,2685142,2679436,39513,2618674,2721247
20100000800005a040,128,7,7566350,7569798,45703,7520521,7627281
2629b06c77c223ef1770,32,7,1361551,1395367,95383,1328782,1604141
2629b06c77c223ef1770,64,7,2650645,2658239,29000,2618480,2697423
2629b06c77c223ef1770,128,7,7552785,7556695,52057,7504288,7659266
251be474a1f05968330f,32,7,1352116,1376367,94730,1305367,1575609
251be474a1f05968330f,64,7,2772477,2777263,66924,2684642,2906170
251be474a1f05968330f,128,7,7714430,7747639,144100,7635052,8057671
7fe474ff7d1b77530bf3,32,7,1348963,1367472,38643,1342097,1450729
7fe474ff7d1b77530bf3,64,7,2652873,2685510,58480,2611035,2766676
7fe474ff7d1b77530bf3,128,7,7561533,7580530,92683,7459094,7700164
45ad3593a2cd0dbccf62,32,7,1355135,1376045,59191,1313547,1468722
45ad3593a2cd0dbccf62,64,7,2677971,2673988,31027,2633786,2715532
45ad3593a2cd0dbccf62,128,7,7558258,7573212,44915,7509305,7637712
3312e43480cb1f52acbd,32,7,1322157,1342117,44161,1294455,1412412
3312e43480cb1f52acbd,64,7,2645400,2644462,26430,2603286,2679569
3312e43480cb1f52acbd,128,7,7532637,7546891,66503,7448801,7643086
7f5bfff5ebf5f96db7ef,32,7,1344832,1354626,34319,1316359,1414482
7f5bfff5ebf5f96db7ef,64,7,2697422,2694225,30988,2639110,2729904
7f5bfff5ebf5f96db7ef,128,7,7531058,7576000,66080,7517555,7674017
69f3b9eb7f6cdf7f155f,32,7,1367326,1379542,56955,1307538,1475202
69f3b9eb7f6cdf7f155f,64,7,2665557,2675059,35279,2636481,2747343
69f3b9eb7f6cdf7f155f,128,7,7531421,7551649,59197,7465374,7650881
7b7ffe65affdff6ee7fb,32,7,1325803,1335475,39704,1291276,1417554
7b7ffe65affdff6ee7fb,64,7,2715174,2679884,48195,2612527,2723090
7b7ffe65affdff6ee7fb,128,7,7575656,7577961,76696,7482693,7712262
49448d0580800b35f97e,32,7,1365202,1381671,44745,1344171,1468542
49448d0580800b35f97e,64,7,2665225,2675678,22733,2649351,2708663
49448d0580800b35f97e,128,7,7613166,7607657,64207,7519041,7715964
102040002000402000,32,7,1332313,1353703,46611,1315852,1448091
102040002000402000,64,7,2690891,2676076,38014,2603259,2715476
102040002000402000,128,7,7660844,7645166,125807,7506667,7833019
4080000088a6800000,32,7,1367924,1378681,46249,1316605,1453319
4080000088a6800000,64,7,2705107,2712382,55457,2644295,2810350
4080000088a6800000,128,7,7592026,7581793,65372,7499382,7684752
400000402000400,32,7,1374993,1384002,48065,1317117,1473855
400000402000400,64,7,2696812,2694650,33813,2649894,2731476
400000402000400,128,7,7607606,7612660,52699,7551000,7704031
2629a06c77c222ed0660,32,7,1357365,1364568,44677,1305256,1449666
2629a06c77c222ed0660,64,7,2699963,2700151,42593,2646090,2762456
2629a06c77c222ed0660,128,7,7625500,7625087,61498,7548634,7714467
7ffeffffffffffffffff,32,7,1328768,1351104,57549,1293279,1454301
7ffeffffffffffffffff,64,7,2689429,2675213,28355,2627019,2696423
7ffeffffffffffffffff,128,7,7504726,7518901,34957,7485853,7565829
22223208000003008000,32,7,1351827,1395075,80542,1340414,1544733
22223208000003008000,64,7,2678649,2688111,33840,2649350,2747664
22223208000003008000,128,7,7561120,7587306,89973,7514474,7781330
238283900606821f281,32,7,1383794,1573638,513223,1325210,2731001
238283900606821f281,64,7,2675253,2697152,46629,2641806,2763570
238283900606821f281,128,7,7555675,7575697,55804,7511078,7651827
4bff7ffbfbfedfdfffde,32,7,1386791,1410659,101968,1340513,1629617
4bff7ffbfbfedfdfffde,64,7,2723331,2708325,58638,2621445,2799371
4bff7ffbfbfedfdfffde,128,7,7612375,7616464,68893,7507449,7727445
43a05ff79cd9784ccec4,32,7,1358991,1376782,39698,1339959,1453234
43a05ff79cd9784ccec4,64,7,2724319,2717961,40137,2662735,2780032
43a05ff79cd9784ccec4,128,7,7564711,7590906,65814,7540648,7724695
726bf065afd9f76003db,32,7,1351031,1363012,60487,1298649,1485905
726bf065afd9f76003db,64,7,2646097,2651717,10868,2638458,2670296
726bf065afd9f76003db,128,7,7635391,7645301,87033,7538431,7820963
8000000008000200040,32,7,1330999,1340409,37680,1301576,1417340
8000000008000200040,64,7,2673144,2697918,56435,2641174,2783984
8000000008000200040,128,7,7598540,7584592,42735,7518378,7638292
7dffffffffffffdfffef,32,7,1379418,1373795,16452,1353549,1390567
7dffffffffffffdfffef,64,7,2659901,2680599,61333,2627500,2787668
7dffffffffffffdfffef,128,7,7571701,7558550,64625,7480015,7664806
3fbae7f593dbfff2aebd,32,7,1376763,1383327,56095,1308861,1478032
3fbae7f593dbfff2aebd,64,7,2667288,2672149,32073,2623805,2714410
3fbae7f593dbfff2aebd,128,7,7600887,7611459,53010,7545989,7712648
900080000044,32,7,1368624,1376007,37183,1325878,1449205
900080000044,64,7,2693827,2685045,30874,2639967,2720660
900080000044,128,7,7617139,7624172,63861,7559491,7737109
8821411a80a10188818,32,7,1327048,1349575,52989,1291337,1453826
8821411a80a10188818,64,7,2675934,2706337,61427,2639577,2807516
8821411a80a10188818,128,7,7573197,7579883,44070,7515141,7647051
146eb40640a94495d1fc,32,7,1383436,1400698,76451,1316334,1526076
146eb40640a94495d1fc,64,7,2678911,2678235,34468,2632571,2737427
146eb40640a94495d1fc,128,7,7622253,7615175,22755,7577255,7638896
2030a0da0528034e2000,32,7,1392186,1400286,57524,1326133,1513864
2030a0da0528034e2000,64,7,2675708,2703125,58878,2639524,2787924
2030a0da0528034e2000,128,7,7589370,7595525,60051,7508502,7677169
7fbffeffbbffffffffff,32,7,1380105,1386404,32943,1355763,1453823
7fbffeffbbffffffffff,64,7,2696665,2707278,53805,2654669,2811417
7fbffeffbbffffffffff,128,7,7625602,7687140,134642,7547512,7952356
6863a9e35f64df7b155e,32,7,1357716,1364260,38402,1324308,1411570
6863a9e35f64df7b155e,64,7,2694764,2692586,30795,2643651,2746602
6863a9e35f64df7b155e,128,7,7587070,7601765,50920,7551846,7696421
7ffffff9ffffa77ffffb,32,7,1341769,1353194,40751,1313795,1440342
7ffffff9ffffa77ffffb,64,7,2691166,2689633,36795,2628824,2738604
7ffffff9ffffa77ffffb,128,7,7543821,7584039,71762,7506570,7685821
119c9084202261202da3,32,7,1371568,1366517,40598,1318876,1419622
119c9084202261202da3,64,7,2678622,2677095,53959,2617302,2781128
119c9084202261202da3,128,7,7592186,7594813,59258,7496720,7673297
7fffdf5febdfffffffdf,32,7,1370657,1370129,38919,1321656,1438383
7fffdf5febdfffffffdf,64,7,2673294,2678829,30150,2643542,2727357
7fffdf5febdfffffffdf,128,7,7543044,7555079,50462,7509162,7661231
53e28785b083b33cae4c,32,7,1342063,1353972,38399,1324937,1437549
53e28785b083b33cae4c,64,7,2679734,2682832,39369,2633155,2732935
