id,95th,5th,median,mean,stdev,min,max
dac0a2257455c6ddb33f89a663f05181f8ba4d3edc1360963f0a0081000008101,572063667.60,530800333.0,530800333,540462267.4,23250895.89,528498933,581944027
6400480020000020000210220008011021208001800a0000020600000000000002,309629919.40,290487633.0,290487633,295016726.4,10836210.03,289314352,314379312
880ca1767193c219b21c9b2142720552aa3139ba581b31f6d5802000000000000,527049671.20,517426333.0,517426333,518295648.2,6538164.15,513244142,529270530
200900410015000885c08050001004094012582188100800f800000000000000,380991661.60,370886504.0,370886504,373204027,5722496.19,369929187,383395776
6099da75624c28755b357829502da309656936d98d5a149e2cba83040000000002,534267004.60,533240554.0,533240554,532711140.2,1462119.98,530855915,534492813
6d2d4b7776dc7075db31f1bb76df365c7f6ab5da2dda969f4bfaa6061020180103,627819569.20,619114124.0,619114124,619885119.8,6238232.24,612955620,629276903
d80080012014064c923700200340110030184c20841060140a000000000000000,337294109.40,331625522.0,331625522,333282640.8,3395791.83,329739626,337569674
6dbddb77771d7d75dbb7fdbb52ffb75c7be9b7dbeddbb7dbeffae778f8917836d3,657073941.40,645895779.0,645895779,647245517,7357202.38,640505533,659710102
2000000000080000000000000000000000000000000002000000000000000,255050222.20,254496997.0,254496997,254201318.2,1124361.41,252267048,255103635
258443051554291010301491064421014a83020a00082146800a00000000000000,393707553.80,392365423.0,392365423,392554296.8,885486.06,391616517,394022092
4db5ca664609787598a53c3b52bc355479a0b7cb4d0024db6c7002002000003000,534606235.60,531481850.0,531481850,532307489.2,1893791.71,530677392,534797738
6d2d4b7776dc7075db3171bb76df365c7d6ab5c22dca909f49faa6041000100103,570265892.60,569855044.0,569855044,569131212.2,1408556.24,567113376,570281039
21b95b72774c7d754ab7fdbb76f5b55d7feba75ae4dbbfc7c99a8498c11c180010,601966407.20,600053732.0,600053732,597882112.4,4748390.62,591897631,602020776
6599db75724c3875db357cab507da709656936d98d5a149e6cba83043000000002,578437111.00,543203408.0,543203408,553612153.6,18967156.17,537730252,581997839
891b03445520009814200216439014408a069b4442800040b800000000000000,385572045.20,383555972.0,383555972,383837037.4,1297846.90,382792073,385941683
4d914976760c5c7187b1311156f5b3497dc124d8a558a4cd8f4082002200000000,559391891.00,558695569.0,558695569,555256387.8,5311727.15,548678573,559443184
42711577555393491a3c52a347f931951a287c981c2b4c5c21a04000000000100,498641968.60,492751328.0,492751328,494032364.6,3359912.73,492014955,499960276
290100250850110a1188a0021006401bc0131a8480070a221000000000000000,387489774.40,384615610.0,384615610,385212327,1725498.81,383628469,387884528
6dbd5b77755d7575dbb7fdbb76ffb75d7fe9b7dbecd3b7dfecf9dfe27cbd302e11,587026647.00,584514198.0,584514198,584985128,1503080.70,583830165,587479628
6d2f5957775d3d35d9b7d5ba36ffb71d77ea97dbe5dab4dfea9a8425582300110a,523920573.80,518481463.0,518481463,519372465.4,3393414.95,516109952,525006311
251156755539348122852a2476821811a2878981c23441421a00000000000000,416770216.00,408693625.0,408693625,410799866.6,4682756.17,406516747,417518673
6dbd5b67255d6d35dba5bd3376abb7197fcb87d3e5d9b7ceafbefe800804205582,719160295.80,708016433.0,708016433,709525917,7121863.41,703932418,721758409
6dbddb77735c7875db37fdab767fb75d6debb6dbeddab7dfefbae706300c684013,674359153.00,670902242.0,670902242,669674312,5431598.24,661404592,674388233
6dbd5b77775d7d75dbb7fdbb76ffb75d7fe9b7d3eddbb7dfeffef3fef7bf7eb57f,375921915.40,372909096.0,372909096,373079132.4,2564793.43,369593846,376201909
659f5a67675d7d74c285fdba76bfa71d7de927d3e999b7dfeffac707f010080003,667690990.60,664940917.0,664940917,664928988.2,2459369.68,661410186,668365209
2c2f0922634d0974d2812c8a56eca6545c6a21d1e880921defea84005000000003,612388079.20,608097983.0,608097983,608111826.8,3283824.15,605113312,613426116
48001104401c10409b37b802500122047b210010641122800d4000000000000000,383924497.20,377231808.0,377231808,378304827.2,4183054.89,374894410,385586229
10000002001000008040000040c01001000200000100002408000000000000000,278154741.60,277084083.0,277084083,276991667,1079536.58,275639805,278247563
28a8ca3767197c719b25c9b3362720553fa397dbe581b71fed7802090000000000,508343388.80,504122890.0,504122890,505137963.4,2343284.85,503176152,509100236
6d2d7b76671d7574db9775b372ffb75c57e3335be9cbb68fef7067000600200100,580086439.20,575375068.0,575375068,576250649.8,2952984.47,572939248,580860611
