id,conjuncts_total,conjuncts_elim
800000000000000000000000000000000000000,204,138
800001000000000000000000000000000000000,206,140
800001000000000000000400000000000000000,207,141
800001000000000000000408000000000000000,209,143
801001000000000000000408000000000000000,214,147
40000000801001000000000000000408000000000000000,214,146
40000000801001000000000100000408000000000000000,214,145
40000000801001000000000100002408000000000000000,221,149
40000040801001000000000100002408000000000000000,221,148
40000040c01001000000000100002408000000000000000,224,151
40000040c01001000200000100002408000000000000000,224,149
8040000040c01001000200000100002408000000000000000,224,149
10000000000000008040000040c01001000200000100002408000000000000000,224,146
10000002000000008040000040c01001000200000100002408000000000000000,224,145
10000002001000008040000040c01001000200000100002408000000000000000,227,145
10000022001000008040000040c01001000200000100002408000000000000000,229,147
10000032001000008040000040c01001000200000100002408000000000000000,231,149
10000032001000008040000040c01001000200800100002408000000000000000,236,149
10000032001000008040000040c01001000200800100002608000000000000000,240,153
10000032001000008040000040c01101000200800100002608000000000000000,241,153
10000032001000008044000040c01101000200800100002608000000000000000,248,159
10000032001000008044000040c01101000200800120002608000000000000000,250,159
10000032001000008044080040c01101000200800120002608000000000000000,252,159
10000032001000008044080040c01101000200900120002608000000000000000,255,162
10000032001040008044080040c01101000200900120002608000000000000000,262,165
10000032001040008044080040c01101000200900120402608000000000000000,266,165
10000032001040008044080240c01101000200900120402608000000000000000,268,167
10000032001040008244080240c01101000200900120402608000000000000000,268,166
10000032001040008244080240c01103000200900120402608000000000000000,270,168
10000032001040008244080240e01103000200900120402608000000000000000,271,168
10008032001040008244080240e01103000200900120402608000000000000000,271,168
10008132001040008244080240e01103000200900120402608000000000000000,271,168
1000a132001040008244080240e01103000200900120402608000000000000000,271,168
1000a1320010c0008244080240e01103000200900120402608000000000000000,278,171
1000a1320010c0008244080240e01103000200900120402618000000000000000,281,174
1000a1320010c0008244080240f01103000200900120402618000000000000000,288,179
1000a1320010c0008244080240f81103000200900120402618000000000000000,295,182
1000a1320010c0008244080240f8110300020090012040261a000000000000000,295,185
1000a1320010c0008244080340f8110300020090012040261a000000000000000,297,187
1000a1320010c0008244080344f8110300020090012040261a000000000000000,299,189
1000a1320010c00082440a0344f8110300020090012040261a000000000000000,301,189
1000a1320010c00082440a0344f8110300020090012040661a000000000000000,337,208
1000a1320010c00092440a0344f8110300020090012040661a000000000000000,339,210
1000a1320010c00892440a0344f8110300020090012040661a000000000000000,343,215
1000a1321010c00892440a0344f8110300020090012040661a000000000000000,398,246
1000a1321010c00892440a2344f8110300020090012040661a000000000000000,398,247
1000a3321010c00892440a2344f8110300020090012040661a000000000000000,398,248
1000a3321010c00892440a2344f8110300020190012040661a000000000000000,403,252
1000a3321010c20892440a2344f8110300020190012040661a000000000000000,405,254
1000a3321010c20892440a2344f8110302020190012040661a000000000000000,412,256
1000a3321010c20892440a2344f8110302020190412040661a000000000000000,414,256
1000a3321010c20892440a2344f8110302020190412040661b000000000000000,416,260
1000b3321010c20892440a2344f8110302020190412040661b000000000000000,412,256
1000b3321010c20892440a2344f8110302020190412040e61b000000000000000,468,284
1000b3321010c20892440a2344f8110302020194412040e61b000000000000000,481,289
1000b3321010c20893440a2344f8110302020194412040e61b000000000000000,487,292
1000b3321010c20893448a2344f8110302020194412040e61b000000000000000,502,297
1000b3321010c20893448a2344f8110302020194412040e65b000000000000000,518,309
1000b3321010c60893448a2344f8110302020194412040e65b000000000000000,519,309
1000b3321010c60893448a2344f8110302020194412040e65f000000000000000,527,313
1000b3321010c60893448a234cf8110302020194412040e65f000000000000000,529,314
1000b3321010c60893448a234cf9110302020194412040e65f000000000000000,531,315
1000b3321010c60893449a234cf9110302020194412040e65f000000000000000,533,317
1000b3321010c60893449a236cf9110302020194412040e65f000000000000000,537,319
1200b3321010c60893449a236cf9110302020194412040e65f000000000000000,538,319
1200b3321010c60893449a236cf9110302024194412040e65f000000000000000,542,320
1200b3321010c60893449a236cf911030202419441a040e65f000000000000000,548,325
1200b3321010c60893449a236cf911030202419441a044e65f000000000000000,595,343
1200b3321010c60893449a236cf911031202419441a044e65f000000000000000,602,350
1200b3325010c60893449a236cf911031202419441a044e65f000000000000000,608,356
1200f3325010c60893449a236cf911031202419441a044e65f000800000000000,608,356
1200f3325010c60893449a236cf911131202419441a044e65f000800000000000,612,356
1200f3325010c608934c9a236cf911131202419441a044e65f000800000000000,614,352
1240f3325010c608934c9a236cf911131202419441a044e65f000800000000000,629,366
1240f3325010c608934c9a236cf911131202419441a045e65f000800000000000,629,366
1240f3325010c608934c9b236cf911131202419441a045e65f000800000000000,636,374
1240f3325010c608934c9b236cf911131202499441a045e65f000800000000000,656,380
1240f3325010c608934c9b236cf91113120249b441a045e65f000800000000000,661,380
1240f3325010c608934c9b236cf91113120249b451a045e65f000800000000000,663,380
1240f3325010c608934c9b236cf91113120249b451a045e65f080800000000000,663,380
1240f3325010c608934c9b236cfb1113120249b451a045e65f080800000000000,665,382
1240f3325010c608934c9b236cfb1113120249b451b045e65f080800000000000,672,390
1240f3325010c708934c9b236cfb1113120249b451b045e65f080800000000000,674,393
9240f3325010c708934c9b236cfb1113120249b451b045e65f080800000000000,675,393
9240f3325010c708934c9b236cfb1113320249b451b045e65f080800000000000,677,395
9250f3325010c708934c9b236cfb1113320249b451b045e65f080800000000000,677,395
9250f3325010c708934c9b236cfb1113320249b451b045e65f880800000000000,689,405
9250f3325010c708935c9b236cfb1113320249b451b045e65f880800000000000,696,413
9250f3325010c708935c9b236cfb1117320249b451b045e65f880800000000000,703,418
9250f3325010c708935c9b236cfb111732024db451b045e65f880800000000000,773,445
9250f3325010c708935c9b236cfb111732024db451b045e65f880802000000000,773,445
9250f3325010c708935c9b236cfb111736024db451b045e65f880802000000000,788,454
9250f3325010c708935c9b236cfb111736024db451b245e65f880802000000000,788,452
9250f3365010c708935c9b236cfb111736024db451b245e65f880802000000000,791,457
9250f3365010c708935c9b236cfb511736024db451b245e65f880802000000000,793,459
49250f3365010c708935c9b236cfb511736024db451b245e65f880802000000000,793,460
49250f3365090c708935c9b236cfb511736024db451b245e65f880802000000000,795,462
49250f3365090c708935c9b236cfb511736024db651b245e65f880802000000000,865,489
49250f3765090c708935c9b236cfb511736024db651b245e65f880802000000000,866,490
49250f3765090c708935c9b236cfb511736024db651b255e65f880802000000000,905,503
49250f3765090c708935c9b236cfb51173e024db651b255e65f880802000000000,906,503
49250f3765092c708935c9b236cfb51173e024db651b255e65f880802000000000,913,512
49251f3765092c708935c9b236cfb51173e024db651b255e65f880802000000000,914,513
