id,iter,95th,5th,median,mean,stdev,min,max
800000000000000000000000000000000000000,2,156165218,156165218,100157877.5,100157877.5,79206340.53,44150537,156165218
800001000000000000000000000000000000000,2,41467794,41467794,35054499.5,35054499.5,9069768.06,28641205,41467794
800001000000000000000400000000000000000,2,26749572,26749572,24389806.5,24389806.5,3337212.37,22030041,26749572
800001000000000000000408000000000000000,2,20453265,20453265,19377459,19377459,1521419.44,18301653,20453265
801001000000000000000408000000000000000,2,18278059,18278059,15535720.5,15535720.5,3878252.30,12793382,18278059
40000000801001000000000000000408000000000000000,2,24381923,24381923,20806395.5,20806395.5,5056559.48,17230868,24381923
40000000801001000000000100000408000000000000000,2,14350040,14350040,15887380.5,15887380.5,2174127.79,14350040,17424721
40000000801001000000000100002408000000000000000,2,16707610,16707610,13640708,13640708,4337254.40,10573806,16707610
40000040801001000000000100002408000000000000000,2,14450061,14450061,11439641,11439641,4257376.79,8429221,14450061
40000040c01001000000000100002408000000000000000,2,13884046,13884046,11587862.5,11587862.5,3247293.85,9291679,13884046
40000040c01001000200000100002408000000000000000,2,14699241,14699241,13215615.5,13215615.5,2098163.30,11731990,14699241
8040000040c01001000200000100002408000000000000000,2,11855933,11855933,10542345,10542345,1857693.96,9228757,11855933
10000000000000008040000040c01001000200000100002408000000000000000,2,8445375,8445375,10043286,10043286,2259787.41,8445375,11641197
10000002000000008040000040c01001000200000100002408000000000000000,2,8527353,8527353,8427180.5,8427180.5,141665.31,8327008,8527353
10000002001000008040000040c01001000200000100002408000000000000000,2,21999526,21999526,20571012.5,20571012.5,2020223.17,19142499,21999526
10000022001000008040000040c01001000200000100002408000000000000000,2,14273792,14273792,11585536.5,11585536.5,3801767.39,8897281,14273792
10000032001000008040000040c01001000200000100002408000000000000000,2,9804693,9804693,9324913,9324913,678511.38,8845133,9804693
10000032001000008040000040c01001000200800100002408000000000000000,2,9617068,9617068,11304784.5,11304784.5,2386791.56,9617068,12992501
10000032001000008040000040c01001000200800100002608000000000000000,2,15699094,15699094,14883863.5,14883863.5,1152910.03,14068633,15699094
10000032001000008040000040c01101000200800100002608000000000000000,2,13358925,13358925,13282543.5,13282543.5,108019.75,13206162,13358925
10000032001000008044000040c01101000200800100002608000000000000000,2,14847101,14847101,14838399,14838399,12306.49,14829697,14847101
10000032001000008044000040c01101000200800120002608000000000000000,2,10533568,10533568,9556334.5,9556334.5,1382016.87,8579101,10533568
10000032001000008044080040c01101000200800120002608000000000000000,2,13181579,13181579,12391309,12391309,1117610.55,11601039,13181579
10000032001000008044080040c01101000200900120002608000000000000000,2,14959527,14959527,13711356.5,13711356.5,1765179.65,12463186,14959527
10000032001040008044080040c01101000200900120002608000000000000000,2,13534713,13534713,11033695,11033695,3536973.58,8532677,13534713
10000032001040008044080040c01101000200900120402608000000000000000,2,9306859,9306859,12421982.5,12421982.5,4405449.90,9306859,15537106
10000032001040008044080240c01101000200900120402608000000000000000,2,12161542,12161542,12538909,12538909,533677.53,12161542,12916276
10000032001040008244080240c01101000200900120402608000000000000000,2,8559004,8559004,10449463.5,10449463.5,2673513.46,8559004,12339923
10000032001040008244080240c01103000200900120402608000000000000000,2,9147403,9147403,10339707.5,10339707.5,1686173.19,9147403,11532012
10000032001040008244080240e01103000200900120402608000000000000000,2,9323848,9323848,9314692,9314692,12948.54,9305536,9323848
10008032001040008244080240e01103000200900120402608000000000000000,2,8194949,8194949,10843254,10843254,3745268.85,8194949,13491559
10008132001040008244080240e01103000200900120402608000000000000000,2,11697639,11697639,10544970,10544970,1630120.13,9392301,11697639
1000a132001040008244080240e01103000200900120402608000000000000000,2,12885391,12885391,12467727.5,12467727.5,590665.39,12050064,12885391
1000a1320010c0008244080240e01103000200900120402608000000000000000,2,12003020,12003020,11593166.5,11593166.5,579620.38,11183313,12003020
1000a1320010c0008244080240e01103000200900120402618000000000000000,2,7992996,7992996,7923797.5,7923797.5,97861.46,7854599,7992996
1000a1320010c0008244080240f01103000200900120402618000000000000000,2,7970048,7970048,7562916.5,7562916.5,575770.89,7155785,7970048
1000a1320010c0008244080240f81103000200900120402618000000000000000,2,11697158,11697158,11618664,11618664,111007.28,11540170,11697158
1000a1320010c0008244080240f8110300020090012040261a000000000000000,2,10775122,10775122,11678941.5,11678941.5,1278193.79,10775122,12582761
1000a1320010c0008244080340f8110300020090012040261a000000000000000,2,10745125,10745125,9050527.5,9050527.5,2396522.77,7355930,10745125
1000a1320010c0008244080344f8110300020090012040261a000000000000000,2,11733613,11733613,9307537.5,9307537.5,3430988.88,6881462,11733613
1000a1320010c00082440a0344f8110300020090012040261a000000000000000,2,7443870,7443870,7432771,7432771,15696.36,7421672,7443870
1000a1320010c00082440a0344f8110300020090012040661a000000000000000,2,7969926,7969926,9218791,9218791,1766161.82,7969926,10467656
1000a1320010c00092440a0344f8110300020090012040661a000000000000000,2,7525682,7525682,7718408,7718408,272555.72,7525682,7911134
