id,path_id,level_id,component_added
0,0,0,NA
800000000000000000000000000000000000000,0,1,m.tree_min_helper.3.fold.pred_inst.63.78
800001000000000000000000000000000000000,0,2,m.tree_remove_helper.4.unfold.pred_inst.79.95
800001000000000000000400000000000000000,0,3,p.bst.6.pred.acc.117.144
800001000000000000000408000000000000000,0,4,p.bstRemove.6.pred.bool.118.150
801001000000000000000408000000000000000,0,5,m.tree_min_lemma.3.fold.pred_inst.71.87
40000000801001000000000000000408000000000000000,0,6,m.tree_max_helper.2.post.bool.43.53
40000000801001000000000100000408000000000000000,0,7,m.tree_remove_lemma_min.1.pre.bool.107.126
40000000801001000000000100002408000000000000000,0,8,p.bst.6.pred.bool.117.141
40000040801001000000000100002408000000000000000,0,9,m.tree_min_helper.1.pre.bool.59.72
40000040c01001000000000100002408000000000000000,0,10,m.tree_min_helper.4.unfold.pred_inst.64.79
40000040c01001000200000100002408000000000000000,0,11,m.tree_remove_lemma_left.1.pre.bool.91.107
8040000040c01001000200000100002408000000000000000,0,12,m.tree_max.1.pre.pred_inst.38.47
10000000000000008040000040c01001000200000100002408000000000000000,0,13,m.create_tree_helper.1.pre.bool.3.4
10000002000000008040000040c01001000200000100002408000000000000000,0,14,m.tree_add_helper.1.pre.bool.16.23
10000002001000008040000040c01001000200000100002408000000000000000,0,15,m.tree_contains_helper.1.pre.pred_inst.24.32
10000022001000008040000040c01001000200000100002408000000000000000,0,16,m.tree_add.4.unfold.pred_inst.14.20
10000032001000008040000040c01001000200000100002408000000000000000,0,17,m.tree_add.3.fold.pred_inst.15.21
10000032001000008040000040c01001000200800100002408000000000000000,0,18,m.tree_remove_lemma_left2.1.pre.pred_inst.97.115
10000032001000008040000040c01001000200800100002608000000000000000,0,19,p.bst.6.pred.acc.117.145
10000032001000008040000040c01101000200800100002608000000000000000,0,20,m.tree_remove.2.post.pred_inst.73.89
10000032001000008044000040c01101000200800100002608000000000000000,0,21,m.tree_max_helper.3.fold.pred_inst.46.57
10000032001000008044000040c01101000200800120002608000000000000000,0,22,m.tree_remove_lemma_min.2.post.pred_inst.108.128
10000032001000008044080040c01101000200800120002608000000000000000,0,23,m.tree_max_lemma.1.pre.pred_inst.51.63
10000032001000008044080040c01101000200900120002608000000000000000,0,24,m.tree_remove_lemma_left2.4.unfold.pred_inst.99.117
10000032001040008044080040c01101000200900120002608000000000000000,0,25,m.tree_contains_helper.3.fold.pred_inst.29.37
