id,iter,95th,5th,median,mean,stdev,min,max
800000000000000000000000000000000000000,2,346030727,346030727,249736786.5,249736786.5,136180196.63,153442846,346030727
800001000000000000000000000000000000000,2,126348642,126348642,126191081,126191081,222824.90,126033520,126348642
800001000000000000000400000000000000000,2,111401061,111401061,106195075,106195075,7362376.01,100989089,111401061
800001000000000000000408000000000000000,2,87206280,87206280,86489969,86489969,1013016.73,85773658,87206280
801001000000000000000408000000000000000,2,71089402,71089402,65456439,65456439,7966212.67,59823476,71089402
40000000801001000000000000000408000000000000000,2,60536740,60536740,61789050,61789050,1771033.79,60536740,63041360
40000000801001000000000100000408000000000000000,2,55362654,55362654,47213673.5,47213673.5,11524398.74,39064693,55362654
40000000801001000000000100002408000000000000000,2,51174682,51174682,50509406,50509406,940842.34,49844130,51174682
40000040801001000000000100002408000000000000000,2,35023698,35023698,42308766.5,42308766.5,10302642.68,35023698,49593835
40000040c01001000000000100002408000000000000000,2,41658116,41658116,45197444,45197444,5005365.66,41658116,48736772
40000040c01001000200000100002408000000000000000,2,25610329,25610329,31488180,31488180,8312536.60,25610329,37366031
8040000040c01001000200000100002408000000000000000,2,38141618,38141618,32407218,32407218,8109666.25,26672818,38141618
10000000000000008040000040c01001000200000100002408000000000000000,2,24518900,24518900,23184690,23184690,1886857.88,21850480,24518900
10000002000000008040000040c01001000200000100002408000000000000000,2,34527730,34527730,28805100.5,28805100.5,8093020.25,23082471,34527730
10000002001000008040000040c01001000200000100002408000000000000000,2,20687627,20687627,25702552.5,25702552.5,7092175.66,20687627,30717478
10000022001000008040000040c01001000200000100002408000000000000000,2,32565124,32565124,32626958.5,32626958.5,87447.19,32565124,32688793
10000032001000008040000040c01001000200000100002408000000000000000,2,33445357,33445357,32034601,32034601,1995110.27,30623845,33445357
10000032001000008040000040c01001000200800100002408000000000000000,2,18675960,18675960,17792019,17792019,1250081.35,16908078,18675960
10000032001000008040000040c01001000200800100002608000000000000000,2,17510690,17510690,23547095,23547095,8536765.82,17510690,29583500
10000032001000008040000040c01101000200800100002608000000000000000,2,27422350,27422350,28046152.5,28046152.5,882189.96,27422350,28669955
10000032001000008044000040c01101000200800100002608000000000000000,2,26884016,26884016,27767517,27767517,1249459.10,26884016,28651018
10000032001000008044000040c01101000200800120002608000000000000000,2,25173004,25173004,20858712.5,20858712.5,6101329.55,16544421,25173004
10000032001000008044080040c01101000200800120002608000000000000000,2,15696544,15696544,21229421,21229421,7824669.69,15696544,26762298
10000032001000008044080040c01101000200900120002608000000000000000,2,24212470,24212470,24673386.5,24673386.5,651834.37,24212470,25134303
10000032001040008044080040c01101000200900120002608000000000000000,2,25053787,25053787,21141952.5,21141952.5,5532169.40,17230118,25053787
10000032001040008044080040c01101000200900120402608000000000000000,2,24808661,24808661,22764529.5,22764529.5,2890838.49,20720398,24808661
10000032001040008044080240c01101000200900120402608000000000000000,2,30257489,30257489,27035983.5,27035983.5,4555896.77,23814478,30257489
10000032001040008244080240c01101000200900120402608000000000000000,2,21645772,21645772,20516398.5,20516398.5,1597175.32,19387025,21645772
10000032001040008244080240c01103000200900120402608000000000000000,2,15100682,15100682,14348945.5,14348945.5,1063115.95,13597209,15100682
10000032001040008244080240e01103000200900120402608000000000000000,2,33731423,33731423,31061826.5,31061826.5,3775379.58,28392230,33731423
10008032001040008244080240e01103000200900120402608000000000000000,2,26282278,26282278,21464748.5,21464748.5,6813015.56,16647219,26282278
10008132001040008244080240e01103000200900120402608000000000000000,2,23048253,23048253,21662092.5,21662092.5,1960326.98,20275932,23048253
1000a132001040008244080240e01103000200900120402608000000000000000,2,18325226,18325226,21005599,21005599,3790619.85,18325226,23685972
1000a1320010c0008244080240e01103000200900120402608000000000000000,2,23765053,23765053,23431971.5,23431971.5,471048.37,23098890,23765053
1000a1320010c0008244080240e01103000200900120402618000000000000000,2,25955937,25955937,19891441.5,19891441.5,8576491.79,13826946,25955937
1000a1320010c0008244080240f01103000200900120402618000000000000000,2,14211348,14211348,15635349.5,15635349.5,2013842.23,14211348,17059351
1000a1320010c0008244080240f81103000200900120402618000000000000000,2,21523458,21523458,21840370.5,21840370.5,448181.96,21523458,22157283
1000a1320010c0008244080240f8110300020090012040261a000000000000000,2,24354981,24354981,23348397.5,23348397.5,1423524.04,22341814,24354981
1000a1320010c0008244080340f8110300020090012040261a000000000000000,2,23470353,23470353,22193973.5,22193973.5,1805073.20,20917594,23470353
1000a1320010c0008244080344f8110300020090012040261a000000000000000,2,22259145,22259145,18270717.5,18270717.5,5640488.26,14282290,22259145
1000a1320010c00082440a0344f8110300020090012040261a000000000000000,2,25184123,25184123,21319273,21319273,5465723.29,17454423,25184123
1000a1320010c00082440a0344f8110300020090012040661a000000000000000,2,13662447,13662447,17581672.5,17581672.5,5542621.86,13662447,21500898
1000a1320010c00092440a0344f8110300020090012040661a000000000000000,2,22002640,22002640,18515150.5,18515150.5,4932054.95,15027661,22002640
1000a1320010c00892440a0344f8110300020090012040661a000000000000000,2,12997593,12997593,13409751.5,13409751.5,582880.14,12997593,13821910
1000a1321010c00892440a0344f8110300020090012040661a000000000000000,2,19459960,19459960,16290243,16290243,4482656.77,13120526,19459960
1000a1321010c00892440a2344f8110300020090012040661a000000000000000,2,22623479,22623479,18170229.5,18170229.5,6297845.84,13716980,22623479
1000a3321010c00892440a2344f8110300020090012040661a000000000000000,2,13351593,13351593,16715997,16715997,4757985.77,13351593,20080401
1000a3321010c00892440a2344f8110300020190012040661a000000000000000,2,20387032,20387032,16734064.5,16734064.5,5166076.18,13081097,20387032
1000a3321010c20892440a2344f8110300020190012040661a000000000000000,2,13452086,13452086,13269227.5,13269227.5,258600.97,13086369,13452086
1000a3321010c20892440a2344f8110302020190012040661a000000000000000,2,13154082,13154082,13194311,13194311,56892.40,13154082,13234540
1000a3321010c20892440a2344f8110302020190412040661a000000000000000,2,23341801,23341801,22979948,22979948,511737.42,22618095,23341801
1000a3321010c20892440a2344f8110302020190412040661b000000000000000,2,13030958,13030958,14036259.5,14036259.5,1421711.02,13030958,15041561
1000b3321010c20892440a2344f8110302020190412040661b000000000000000,2,12441740,12441740,12767128,12767128,460168.12,12441740,13092516
1000b3321010c20892440a2344f8110302020190412040e61b000000000000000,2,12594719,12594719,14155825.5,14155825.5,2207737.98,12594719,15716932
1000b3321010c20892440a2344f8110302020194412040e61b000000000000000,2,12841182,12841182,12871637.5,12871637.5,43070.58,12841182,12902093
1000b3321010c20893440a2344f8110302020194412040e61b000000000000000,2,12682043,12682043,12817942.5,12817942.5,192190.92,12682043,12953842
1000b3321010c20893448a2344f8110302020194412040e61b000000000000000,2,15222473,15222473,17784049.5,17784049.5,3622616.23,15222473,20345626
1000b3321010c20893448a2344f8110302020194412040e65b000000000000000,2,12626117,12626117,13061790,13061790,616134.67,12626117,13497463
1000b3321010c60893448a2344f8110302020194412040e65b000000000000000,2,17963856,17963856,14898938,14898938,4334448.60,11834020,17963856
1000b3321010c60893448a2344f8110302020194412040e65f000000000000000,2,27809240,27809240,25481266,25481266,3292252.40,23153292,27809240
1000b3321010c60893448a234cf8110302020194412040e65f000000000000000,2,11718672,11718672,17985024.5,17985024.5,8861960.69,11718672,24251377
1000b3321010c60893448a234cf9110302020194412040e65f000000000000000,2,13693058,13693058,13647147,13647147,64927.96,13601236,13693058
1000b3321010c60893449a234cf9110302020194412040e65f000000000000000,2,23209068,23209068,22181367,22181367,1453388.69,21153666,23209068
1000b3321010c60893449a236cf9110302020194412040e65f000000000000000,2,16307303,16307303,14746369.5,14746369.5,2207493.33,13185436,16307303
1200b3321010c60893449a236cf9110302020194412040e65f000000000000000,2,12247552,12247552,12376214.5,12376214.5,181956.25,12247552,12504877
1200b3321010c60893449a236cf9110302024194412040e65f000000000000000,2,15459576,15459576,13608955.5,13608955.5,2617172.61,11758335,15459576
1200b3321010c60893449a236cf911030202419441a040e65f000000000000000,2,12016662,12016662,11807125.5,11807125.5,296329.36,11597589,12016662
1200b3321010c60893449a236cf911030202419441a044e65f000000000000000,2,13863551,13863551,12587527.5,12587527.5,1804569.74,11311504,13863551
1200b3321010c60893449a236cf911031202419441a044e65f000000000000000,2,15542085,15542085,17013094,17013094,2080320.88,15542085,18484103
1200b3325010c60893449a236cf911031202419441a044e65f000000000000000,2,17307811,17307811,18506356,18506356,1694998.59,17307811,19704901
1200f3325010c60893449a236cf911031202419441a044e65f000800000000000,2,10917043,10917043,10827330,10827330,126873.34,10737617,10917043
1200f3325010c60893449a236cf911131202419441a044e65f000800000000000,2,11796559,11796559,12079276.5,12079276.5,399822.92,11796559,12361994
1200f3325010c608934c9a236cf911131202419441a044e65f000800000000000,2,12065470,12065470,13557573.5,13557573.5,2110153.01,12065470,15049677
1240f3325010c608934c9a236cf911131202419441a044e65f000800000000000,2,18188131,18188131,14828991,14828991,4750541.35,11469851,18188131
1240f3325010c608934c9a236cf911131202419441a045e65f000800000000000,2,11757771,11757771,11047419.5,11047419.5,1004588.73,10337068,11757771
1240f3325010c608934c9b236cf911131202419441a045e65f000800000000000,2,10941322,10941322,10563618.5,10563618.5,534153.41,10185915,10941322
1240f3325010c608934c9b236cf911131202499441a045e65f000800000000000,2,11926419,11926419,13459029.5,13459029.5,2167438.55,11926419,14991640
1240f3325010c608934c9b236cf91113120249b441a045e65f000800000000000,2,10526721,10526721,10455348.5,10455348.5,100935.96,10383976,10526721
1240f3325010c608934c9b236cf91113120249b451a045e65f000800000000000,2,20494267,20494267,15476480,15476480,7096222.43,10458693,20494267
1240f3325010c608934c9b236cf91113120249b451a045e65f080800000000000,2,10724176,10724176,11174630.5,11174630.5,637038.86,10724176,11625085
1240f3325010c608934c9b236cfb1113120249b451a045e65f080800000000000,2,18947109,18947109,18799908.5,18799908.5,208172.94,18652708,18947109
1240f3325010c608934c9b236cfb1113120249b451b045e65f080800000000000,2,10237185,10237185,10361501,10361501,175809.37,10237185,10485817
1240f3325010c708934c9b236cfb1113120249b451b045e65f080800000000000,2,11082546,11082546,10897420,10897420,261807.70,10712294,11082546
9240f3325010c708934c9b236cfb1113120249b451b045e65f080800000000000,2,10906145,10906145,10687920.5,10687920.5,308616.05,10469696,10906145
9240f3325010c708934c9b236cfb1113320249b451b045e65f080800000000000,2,11480804,11480804,11529013,11529013,68177.82,11480804,11577222
9250f3325010c708934c9b236cfb1113320249b451b045e65f080800000000000,2,11595715,11595715,14655654,14655654,4327407.23,11595715,17715593
9250f3325010c708934c9b236cfb1113320249b451b045e65f880800000000000,2,17769870,17769870,14694397.5,14694397.5,4349374.92,11618925,17769870
9250f3325010c708935c9b236cfb1113320249b451b045e65f880800000000000,2,10422867,10422867,13825783,13825783,4812449.96,10422867,17228699
9250f3325010c708935c9b236cfb1117320249b451b045e65f880800000000000,2,10833914,10833914,11387094.5,11387094.5,782315.37,10833914,11940275
9250f3325010c708935c9b236cfb111732024db451b045e65f880800000000000,2,10499673,10499673,13188849.5,13188849.5,3803069.88,10499673,15878026
9250f3325010c708935c9b236cfb111732024db451b045e65f880802000000000,2,10722468,10722468,12884063,12884063,3056956.97,10722468,15045658
9250f3325010c708935c9b236cfb111736024db451b045e65f880802000000000,2,11887931,11887931,11178497.5,11178497.5,1003290.48,10469064,11887931
9250f3325010c708935c9b236cfb111736024db451b245e65f880802000000000,2,13285795,13285795,13402892.5,13402892.5,165600.87,13285795,13519990
9250f3365010c708935c9b236cfb111736024db451b245e65f880802000000000,2,10590284,10590284,10578277,10578277,16980.46,10566270,10590284
9250f3365010c708935c9b236cfb511736024db451b245e65f880802000000000,2,10375727,10375727,14580369.5,14580369.5,5946262.45,10375727,18785012
49250f3365010c708935c9b236cfb511736024db451b245e65f880802000000000,2,11026264,11026264,10964253,10964253,87696.80,10902242,11026264
49250f3365090c708935c9b236cfb511736024db451b245e65f880802000000000,2,10855215,10855215,12718290.5,12718290.5,2634786.64,10855215,14581366
49250f3365090c708935c9b236cfb511736024db651b245e65f880802000000000,2,12689839,12689839,17811300.5,17811300.5,7242840.31,12689839,22932762
49250f3765090c708935c9b236cfb511736024db651b245e65f880802000000000,2,10644954,10644954,11826219,11826219,1670560.98,10644954,13007484
49250f3765090c708935c9b236cfb511736024db651b255e65f880802000000000,2,18354010,18354010,14425332.5,14425332.5,5555989.00,10496655,18354010
49250f3765090c708935c9b236cfb51173e024db651b255e65f880802000000000,2,12078457,12078457,11888584.5,11888584.5,268520.26,11698712,12078457
49250f3765092c708935c9b236cfb51173e024db651b255e65f880802000000000,2,10852397,10852397,10736479.5,10736479.5,163932.10,10620562,10852397
49251f3765092c708935c9b236cfb51173e024db651b255e65f880802000000000,2,11106037,11106037,12469552,12469552,1928301.41,11106037,13833067
49a51f3765092c708935c9b236cfb51173e024db651b255e65f880802000000000,2,12443468,12443468,11632810,11632810,1146443.54,10822152,12443468
49a51f3765092c708935e9b236cfb51173e024db651b255e65f880802000000000,2,12565259,12565259,15706641.5,15706641.5,4442585.74,12565259,18848024
49a51f37650d2c708935e9b236cfb51173e024db651b255e65f880802000000000,2,11442101,11442101,11179391,11179391,371528.04,10916681,11442101
49a51f37650d2c708935e9b236cfb51173e024db651b255e65f881802000000000,2,10771713,10771713,11427674,11427674,927668.94,10771713,12083635
49a51f37650d2c708935e9b236cfb51173e024db659b255e65f881802000000000,2,14344101,14344101,14714205,14714205,523406.10,14344101,15084309
49a51f37650d2c708935e9b236cfb51173e024db659b355e65f881802000000000,2,11017645,11017645,11640833.5,11640833.5,881321.63,11017645,12264022
49a51f37650d2c708935e9b236cfb51573e024db659b355e65f881802000000000,2,12072954,12072954,12167404.5,12167404.5,133573.18,12072954,12261855
49a51f37650d2c708935e9b236cfb51d73e024db659b355e65f881802000000000,2,11206211,11206211,10889898,10889898,447334.13,10573585,11206211
49a51f37650d2d708935e9b236cfb51d73e024db659b355e65f881802000000000,2,10838100,10838100,10784136.5,10784136.5,76315.91,10730173,10838100
49a51f37650d2d708935e9b236cfb51d73e024db659b355e65f881802000000001,2,10935424,10935424,10859101.5,10859101.5,107936.31,10782779,10935424
49b51f37650d2d708935e9b236cfb51d73e024db659b355e65f881802000000001,2,10937560,10937560,16268690.5,16268690.5,7539357.06,10937560,21599821
4db51f37650d2d708935e9b236cfb51d73e024db659b355e65f881802000000001,2,10893666,10893666,10961577,10961577,96040.66,10893666,11029488
4db51f37650d2d709935e9b236cfb51d73e024db659b355e65f881802000000001,2,15794063,15794063,15273007.5,15273007.5,736883.75,14751952,15794063
4db51f37650d2d709935e9b236cfb51d7be024db659b355e65f881802000000001,2,11301442,11301442,13710191,13710191,3406485.50,11301442,16118940
4db51f37670d2d709935e9b236cfb51d7be024db659b355e65f881802000000001,2,12407511,12407511,12882601,12882601,671878.72,12407511,13357691
6db51f37670d2d709935e9b236cfb51d7be024db659b355e65f881802000000001,2,12397136,12397136,11659393.5,11659393.5,1043325.45,10921651,12397136
6db51f37671d2d709935e9b236cfb51d7be024db659b355e65f881802000000001,2,11276064,11276064,11216922,11216922,83639.42,11157780,11276064
6db51f37671d2d709935e9b236cfb51d7be024db659bb55e65f881802000000001,2,12355389,12355389,11700638,11700638,925957.74,11045887,12355389
6db51f37671d2d709935e9b236cfb51d7be024db659bb55e65f8a1802000000001,2,10862368,10862368,10767301,10767301,134445.04,10672234,10862368
6db51f37671d2d709937e9b236cfb51d7be024db659bb55e65f8a1802000000001,2,11546906,11546906,11673682,11673682,179288.34,11546906,11800458
6db51f37671d2d709937e9b236cfb51d7be024db659bb55e65f8a1822000000001,2,10879386,10879386,11196035.5,11196035.5,447810.02,10879386,11512685
6db51f37671d2d709937e9b236cfb51d7be024db659bb55e65faa1822000000001,2,10967687,10967687,11585741,11585741,874060.35,10967687,12203795
6db51f37671d2d709937e9b236cfb51d7be024db659bb55e6dfaa1822000000001,2,11116369,11116369,11144873.5,11144873.5,40311.45,11116369,11173378
6dbd1f37671d2d709937e9b236cfb51d7be024db659bb55e6dfaa1822000000001,2,10906260,10906260,11074869.5,11074869.5,238449.84,10906260,11243479
6dbd1f37771d2d709937e9b236cfb51d7be024db659bb55e6dfaa1822000000001,2,12472679,12472679,12144610.5,12144610.5,463958.92,11816542,12472679
6dbd1f37771d2d709937e9b236cfb51d7be024db659bb55e6dfaa18a2000000001,2,16754995,16754995,14303969,14303969,3466274.21,11852943,16754995
6dbd5f37771d2d709937e9b236cfb51d7be024db659bb55e6dfaa18a2000000001,2,19370023,19370023,15074321,15074321,6075040.03,10778619,19370023
6dbd5f37771d2d709937e9b236cfb51d7be124db659bb55e6dfaa18a2000000001,2,11455489,11455489,11540764,11540764,120597.06,11455489,11626039
6dbd5f37771d2d709937e9b236cfb51d7be126db659bb55e6dfaa18a2000000001,2,10998097,10998097,12283273.5,12283273.5,1817514.04,10998097,13568450
6dbd5f37771d2d709937e9b236cfb71d7be126db659bb55e6dfaa18a2000000001,2,15683165,15683165,13488804,13488804,3103295.09,11294443,15683165
6dbd5f37771d2d709937e9b236cfb71d7be1a6db659bb55e6dfaa18a2000000001,2,11121196,11121196,14521440.5,14521440.5,4808671.89,11121196,17921685
6dbd5f37771d2d709937e9b236cfb71d7be1a6db659bb75e6dfaa18a2000000001,2,11050268,11050268,10939915,10939915,156062.71,10829562,11050268
6dbd5f37771d2d709937e9b236cfb71d7be1a6db659bb75e6dfaa58a2000000001,2,12299926,12299926,11756652,11756652,768305.46,11213378,12299926
6dbd5f37771d2d709937e9b236cfb71d7be1a6db659bb75e6dfaa58a6000000001,2,15705253,15705253,13651295.5,13651295.5,2904734.55,11597338,15705253
6dbd5f37771d2d70d937e9b236cfb71d7be1a6db659bb75e6dfaa58a6000000001,2,15269197,15269197,13761287,13761287,2132506.77,12253377,15269197
6dbd5f37771d2d70d937e9b276cfb71d7be1a6db659bb75e6dfaa58a6000000001,2,11238763,11238763,12070975.5,12070975.5,1176926.20,11238763,12903188
6dbd5f37771d2d70d937e9b276cfb71d7be1a6db659bb75e6dfaa78a6000000001,2,11498091,11498091,11931651,11931651,613146.43,11498091,12365211
6dbd5f37771d2d70d937e9b276cfb71d7be9a6db659bb75e6dfaa78a6000000001,2,11144083,11144083,11641221,11641221,703059.30,11144083,12138359
6dbd5f37771d2d70d937e9b276cfb71d7be9a6db659bb75e6dfaa78a6000400001,2,11230757,11230757,11120343,11120343,156148.98,11009929,11230757
6dbd5f37771d2d70db37e9b276cfb71d7be9a6db659bb75e6dfaa78a6000400001,2,12569125,12569125,11874621.5,11874621.5,982176.27,11180118,12569125
6dbd5f37771d2d70dbb7e9b276cfb71d7be9a6db659bb75e6dfaa78a6000400001,2,11086001,11086001,11008215.5,11008215.5,110005.31,10930430,11086001
6dbd5f37771d2d71dbb7e9b276cfb71d7be9a6db659bb75e6dfaa78a6000400001,2,16349083,16349083,13879481,13879481,3492544.64,11409879,16349083
6dbd5f37771d2d71dbb7e9b276cfb71d7be9a6db659bb75e6dfaa78a6000480001,2,18808874,18808874,14980350.5,14980350.5,5414349.86,11151827,18808874
6dbd5f37771d2d71dbb7e9b276cfb71d7be9a6dbe59bb75e6dfaa78a6000480001,2,11197463,11197463,11080753.5,11080753.5,165052.16,10964044,11197463
6dbd5f37771d2d71dbb7e9b276cfb71d7beba6dbe59bb75e6dfaa78a6000480001,2,15882901,15882901,13623722,13623722,3194961.58,11364543,15882901
6dbd5f37771d2d71dbb7e9b276cfb71d7beba6dbe59bb75e6dfaa78a6000480041,2,12450469,12450469,11927029,11927029,740255.95,11403589,12450469
6dbd5f37771d2d71dbb7e9b276cfb71d7beba6dbe59bb75e6dfaa79a6000480041,2,11174654,11174654,11895653.5,11895653.5,1019647.27,11174654,12616653
6dbd5f37771d2d71dbb7e9b276cfb75d7beba6dbe59bb75e6dfaa79a6000480041,2,12417547,12417547,11804282.5,11804282.5,867286.97,11191018,12417547
